element_type,osmid,geometry,nodes,building,name,height,roof:colour,roof:shape,tourism,amenity,building:levels,leisure,sport,alt_name,historic,wikipedia,cuisine,fast_food,smoking,alt_name:en,loc_name,name:en,official_name,short_name,healthcare,power,voltage,atm,opening_hours,shop,layer,ways,type
way,88778541,"POLYGON ((118.7758662 32.0598035, 118.7758879 32.0596187, 118.7763698 32.0596588, 118.7763383 32.0598475, 118.7758662 32.0598035))","[1030350308, 1030350283, 1030350298, 1030350261, 1030350308]",yes,网络信息中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88778542,"POLYGON ((118.7745417 32.0586373, 118.7746017 32.0582463, 118.7747574 32.0582634, 118.7746973 32.0586545, 118.774619 32.0586458, 118.7745417 32.0586373))","[1030350273, 1030350307, 1030350271, 1030350290, 1684901827, 1030350273]",university,辛壬楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88778543,"POLYGON ((118.7744733 32.0591345, 118.7745314 32.0587337, 118.7746032 32.0587411, 118.7746702 32.0587481, 118.7746121 32.0591489, 118.7744733 32.0591345))","[1030350264, 1030350304, 1684901841, 1030350280, 1030350275, 1030350264]",university,戊己庚楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88778546,"POLYGON ((118.7749769 32.0591803, 118.7750239 32.0589134, 118.7751537 32.0589298, 118.7751067 32.0591967, 118.7749769 32.0591803))","[1030350263, 1030350302, 1030350287, 1030350281, 1030350263]",university,甲乙楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88778548,"POLYGON ((118.7745903 32.0593014, 118.7746115 32.0591677, 118.77495 32.0592063, 118.7749288 32.0593399, 118.7745903 32.0593014))","[1030350262, 1030350286, 1030350289, 1030350285, 1030350262]",university,丙丁楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88778553,"POLYGON ((118.7762561 32.0595394, 118.7762879 32.0593684, 118.7763142 32.0592267, 118.7764736 32.059248, 118.7764155 32.0595607, 118.7762561 32.0595394))","[1030350274, 1997461849, 1030350306, 1030350297, 1030350268, 1030350274]",university,东北楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88778554,"POLYGON ((118.7751111 32.0594041, 118.7751384 32.0592793, 118.7756845 32.0593649, 118.7756573 32.0594897, 118.7751111 32.0594041))","[1030350288, 1030350276, 1030350300, 1030350266, 1030350288]",yes,南大药业,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88778613,"POLYGON ((118.7751434 32.058801, 118.775212 32.0583559, 118.7754271 32.0583797, 118.7753911 32.0586137, 118.7753586 32.0588247, 118.7751434 32.058801))","[1030351531, 1030351505, 1030351549, 1984421631, 1030351541, 1030351531]",university,西大楼（数学系）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88778614,"POLYGON ((118.7766425 32.0564907, 118.7766891 32.0562059, 118.7767701 32.0562154, 118.7767794 32.0561585, 118.777016 32.0561863, 118.7770067 32.0562432, 118.7770901 32.056253, 118.7770434 32.0565378, 118.7766425 32.0564907))","[1030351493, 1030351470, 2024932740, 2024932736, 2024932738, 2024932742, 1030351469, 1030351544, 1030351493]",university,蒙民伟楼,113.6,blue,pyramidal,,,,,,,,,,,,,,,,,,,,,,,,,
way,88778615,"POLYGON ((118.7762196 32.0589276, 118.776252 32.0587157, 118.776292 32.0584528, 118.7764924 32.0584748, 118.7764647 32.0586561, 118.7765299 32.0586633, 118.7765076 32.0588093, 118.7764223 32.0587999, 118.7763999 32.0589474, 118.7762196 32.0589276))","[1030351543, 1684901835, 1030351507, 1030351464, 1030351542, 1030351484, 1030351489, 1030351502, 1030351517, 1030351543]",university,东大楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88778616,"POLYGON ((118.7758362 32.056777, 118.7758665 32.0565887, 118.7764187 32.0566524, 118.7763884 32.0568407, 118.7761065 32.0568082, 118.7758362 32.056777))","[1030351559, 1030351474, 1030351463, 1030351534, 1984452091, 1030351559]",yes,校史博物馆,,,,museum,,,,,,,,,,,,,,,,,,,,,,,,
way,88778617,"POLYGON ((118.7755098 32.056892, 118.7755594 32.0565665, 118.7756229 32.0561503, 118.7758252 32.0561724, 118.7758359 32.0561023, 118.7765428 32.0561797, 118.776521 32.0563223, 118.7762708 32.0562949, 118.7762646 32.0563352, 118.7762611 32.0563584, 118.776344 32.0563675, 118.7763092 32.0565959, 118.7759789 32.0565598, 118.7760133 32.0563339, 118.7760905 32.0563424, 118.7760945 32.0563163, 118.7760999 32.0562811, 118.7758701 32.056256, 118.7757687 32.0569203, 118.7755098 32.056892))","[1030351518, 1683871122, 1030351475, 1030351557, 1030351546, 1030351473, 1030351553, 1030351519, 8943863903, 1030351548, 1030351555, 1030351483, 1030351532, 1030351472, 1030351491, 8943863902, 1030351536, 1030351486, 1030351554, 1030351518]",yes,南京大学图书馆（鼓楼）,,,,,library,,,,,,,,,,,,,,,,,,,,,,,
way,88778618,"POLYGON ((118.776468 32.057839, 118.7763717 32.0578273, 118.7763396 32.0580173, 118.77688 32.058083, 118.7769122 32.057893, 118.7766924 32.0578663, 118.7767242 32.0576785, 118.7767572 32.0574832, 118.7769767 32.0575099, 118.7770117 32.0573033, 118.7764976 32.0572408, 118.7764627 32.0574474, 118.7765328 32.0574559, 118.7764998 32.057651, 118.776468 32.057839))","[1030351467, 1030351533, 1030351561, 1030351535, 1030351466, 1030351479, 1984452113, 1030351551, 1030351504, 1030351499, 1030351550, 1030351500, 1030351547, 1984452111, 1030351467]",university,东南楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
