u,v,key,osmid,oneway,name,highway,reversed,length,maxspeed,access,geometry,service,junction
1030348723,1683601249,0,88778406,True,平仓巷,residential,False,12.851,,,"LINESTRING (118.772959 32.0580037, 118.7729423 32.057889)",,
1030348723,1030350294,0,156066609,False,南高路,service,False,81.635,10,permissive,"LINESTRING (118.772959 32.0580037, 118.7738167 32.0581066)",,
1030348723,1984469018,0,192257614,False,,service,True,57.9,5,permissive,"LINESTRING (118.772959 32.0580037, 118.7729093 32.0585227)",,
1030348739,1683685535,0,88778406,True,平仓巷,residential,False,62.28,,,"LINESTRING (118.7729142 32.0576833, 118.7729142 32.0571232)",,
1030348739,1683601189,0,156050901,False,,footway,False,11.849,,,"LINESTRING (118.7729142 32.0576833, 118.7730168 32.0576217)",,
1030350260,1683871195,0,156066572,False,三江路,service,False,82.634,10,permissive,"LINESTRING (118.7751502 32.057252, 118.776018 32.0573585)",,
1030350260,1683871173,0,156066572,False,三江路,service,True,29.186,10,permissive,"LINESTRING (118.7751502 32.057252, 118.7748437 32.0572144)",,
1030350260,1030350299,0,156220841,False,中央大道,service,False,49.603,10,permissive,"LINESTRING (118.7751502 32.057252, 118.7750791 32.057694)",,
1030350260,1683871126,0,156220841,False,中央大道,service,True,58.307,10,permissive,"LINESTRING (118.7751502 32.057252, 118.775236 32.0567327)",,
1030350269,1984452109,0,88778552,False,,service,True,23.56,10,permissive,"LINESTRING (118.7763228 32.0578434, 118.7763586 32.0576337)",,
1030350269,1030357729,0,156066573,False,两江路,service,False,35.753,10,permissive,"LINESTRING (118.7763228 32.0578434, 118.7759472 32.0577981)",,
1030350269,1983392611,0,187804261,False,南高路,service,True,21.223,10,permissive,"LINESTRING (118.7763228 32.0578434, 118.7762906 32.0580323)",,
1030350270,1984421628,0,156066609,False,南高路,service,False,38.624,10,permissive,"LINESTRING (118.7762291 32.0583961, 118.7766349 32.0584448)",,
1030350270,1683685601,0,156066609,False,南高路,service,True,36.006,10,permissive,"LINESTRING (118.7762291 32.0583961, 118.7758508 32.0583507)",,
1030350270,1983392611,0,187804261,False,南高路,service,False,40.866,10,permissive,"LINESTRING (118.7762291 32.0583961, 118.7762906 32.0580323)",,
1030350270,1684901821,0,88779385,False,,footway,False,7.149,,,"LINESTRING (118.7762291 32.0583961, 118.7762234 32.058427, 118.7761849 32.058422)",,
1030350293,1683685560,0,88778547,False,西南路,service,False,17.957,5,permissive,"LINESTRING (118.7739091 32.0575536, 118.7738824 32.0577135)",,
1030350293,1683871209,0,156066573,False,两江路,service,True,39.033,10,permissive,"LINESTRING (118.7739091 32.0575536, 118.7743192 32.0576028)",,
1030350293,1683685554,0,156066593,False,西南路,service,False,24.873,10,permissive,"LINESTRING (118.7739091 32.0575536, 118.7739415 32.0573316)",,
1030350294,1683685560,0,88778547,False,西南路,service,True,44.147,5,permissive,"LINESTRING (118.7738167 32.0581066, 118.7738824 32.0577135)",,
1030350294,1152345201,0,156066609,False,南高路,service,False,73.212,10,permissive,"LINESTRING (118.7738167 32.0581066, 118.7745859 32.0581989)",,
1030350294,1030348723,0,156066609,False,南高路,service,True,81.635,10,permissive,"LINESTRING (118.7738167 32.0581066, 118.772959 32.0580037)",,
1030350299,1683871210,0,156066573,False,两江路,service,False,29.506,10,permissive,"LINESTRING (118.7750791 32.057694, 118.7747691 32.0576568)",,
1030350299,1684901806,0,156066573,False,两江路,service,True,62.913,10,permissive,"LINESTRING (118.7750791 32.057694, 118.7757401 32.0577733)",,
1030350299,1030350260,0,156220841,False,中央大道,service,True,49.603,10,permissive,"LINESTRING (118.7750791 32.057694, 118.7751502 32.057252)",,
1030350299,2515885297,0,"[156066577, 156066578, 156066583]",False,中央大道,footway,False,28.839,,,"LINESTRING (118.7750791 32.057694, 118.7750632 32.0577891, 118.7750405 32.0579249, 118.7750362 32.0579508)",,
1030350301,1984452109,0,88778552,False,,service,False,25.685,10,permissive,"LINESTRING (118.7763977 32.0574051, 118.7763586 32.0576337)",,
1030350301,1683871195,0,156066572,False,三江路,service,True,36.156,10,permissive,"LINESTRING (118.7763977 32.0574051, 118.776018 32.0573585)",,
1030350301,1983392603,0,156066584,False,,service,True,24.504,10,permissive,"LINESTRING (118.7763977 32.0574051, 118.7764349 32.057187)",,
1030354668,1030354727,0,192257614,False,,service,False,30.467,5,permissive,"LINESTRING (118.7727832 32.0601183, 118.7727833 32.0598443)",,
1030354668,10806750267,0,1161981175,False,,service,False,9.045,,,"LINESTRING (118.7727832 32.0601183, 118.7728758 32.0601397)",,
1030354668,1686027134,0,191930709,False,,service,True,55.309,10,permissive,"LINESTRING (118.7727832 32.0601183, 118.7722828 32.0601147, 118.7721963 32.0601146)",,
1030354718,1683685632,0,156218521,False,金银街,residential,True,41.137,10,permissive,"LINESTRING (118.7715971 32.0601141, 118.7716046 32.0597442)",,
1030354718,1984623671,0,88778550,False,,service,True,11.33,,,"LINESTRING (118.7715971 32.0601141, 118.771537 32.0601152, 118.7714769 32.0601164)",,
1030354718,1683601375,0,156218521,False,金银街,residential,False,78.982,10,permissive,"LINESTRING (118.7715971 32.0601141, 118.7716342 32.060663, 118.7717627 32.0607809)",,
1030354718,1984584769,0,191930709,False,,service,False,15.474,10,permissive,"LINESTRING (118.7715971 32.0601141, 118.7716821 32.0601142, 118.7717613 32.0601143)",,
1030354727,1684918724,0,187808010,False,,service,True,100.79,10,permissive,"LINESTRING (118.7727833 32.0598443, 118.7738526 32.0598632)",,
1030354727,1984584742,0,192257614,False,,service,False,86.532,5,permissive,"LINESTRING (118.7727833 32.0598443, 118.7727854 32.0590661)",,
1030354727,1030354668,0,192257614,False,,service,True,30.467,5,permissive,"LINESTRING (118.7727833 32.0598443, 118.7727832 32.0601183)",,
1030357710,1684901845,0,187708727,False,,footway,False,11.967,,,"LINESTRING (118.7753225 32.0588822, 118.7754258 32.0588196)",,
1030357710,1030357732,0,224848903,False,,footway,False,8.641,,,"LINESTRING (118.7753225 32.0588822, 118.7754132 32.0588936)",,
1030357710,1684901849,0,224848903,False,,footway,True,19.308,,,"LINESTRING (118.7753225 32.0588822, 118.7751197 32.0588575)",,
1030357716,1683685603,0,155900459,False,,footway,False,31.934,,,"LINESTRING (118.7754725 32.0585467, 118.7758083 32.0585852)",,
1030357716,1984421634,0,632893317,False,,footway,True,8.495,,,"LINESTRING (118.7754725 32.0585467, 118.7754595 32.0586223)",,
1030357716,1684901812,0,"[88779379, 632893317]",False,,"['steps', 'footway']",False,23.114,,,"LINESTRING (118.7754725 32.0585467, 118.7755008 32.0583811, 118.7755086 32.0583411)",,
1030357725,1684901853,0,88779376,False,,footway,False,17.635,,,"LINESTRING (118.7761296 32.058746, 118.7761031 32.058903)",,
1030357725,1684901832,0,88779376,False,,footway,True,4.774,,,"LINESTRING (118.7761296 32.058746, 118.7761368 32.0587035)",,
1030357725,1683685610,0,88779388,False,,footway,True,32.54,,,"LINESTRING (118.7761296 32.058746, 118.7757876 32.0587057)",,
1030357726,1683685601,0,88779378,False,金大路,footway,False,3.47,,,"LINESTRING (118.7758436 32.0583813, 118.7758508 32.0583507)",,
1030357726,1684901821,0,187804259,False,,footway,False,32.48,,,"LINESTRING (118.7758436 32.0583813, 118.7761849 32.058422)",,
1030357726,1684901812,0,187804259,False,,footway,True,31.885,,,"LINESTRING (118.7758436 32.0583813, 118.7755086 32.0583411)",,
1030357726,1683685603,0,"[88779377, 88779389]",False,,"['steps', 'footway']",False,22.916,,,"LINESTRING (118.7758436 32.0583813, 118.7758386 32.0584086, 118.7758083 32.0585852)",,
1030357729,2024911728,0,88779378,False,金大路,footway,False,23.511,,,"LINESTRING (118.7759472 32.0577981, 118.7759809 32.0575886)",,
1030357729,1683685601,0,88779378,False,金大路,footway,True,62.114,,,"LINESTRING (118.7759472 32.0577981, 118.7758508 32.0583507)",,
1030357729,1684901806,0,156066573,False,两江路,service,False,19.711,10,permissive,"LINESTRING (118.7759472 32.0577981, 118.7757401 32.0577733)",,
1030357729,1030350269,0,156066573,False,两江路,service,True,35.753,10,permissive,"LINESTRING (118.7759472 32.0577981, 118.7763228 32.0578434)",,
1030357730,1684901847,0,224848903,False,,footway,False,29.61,,,"LINESTRING (118.7746945 32.0588057, 118.7750055 32.0588436)",,
1030357730,1030357733,0,224950863,False,,service,False,11.953,,permissive,"LINESTRING (118.7746945 32.0588057, 118.7747126 32.0586993)",,
1030357730,1167714383,0,224950863,False,,service,True,39.454,,permissive,"LINESTRING (118.7746945 32.0588057, 118.7746365 32.0591571)",,
1030357732,1684901866,0,156217241,False,,footway,True,39.2,,,"LINESTRING (118.7754132 32.0588936, 118.7753634 32.0592436)",,
1030357732,1030357710,0,224848903,False,,footway,True,8.641,,,"LINESTRING (118.7754132 32.0588936, 118.7753225 32.0588822)",,
1030357732,1684901856,0,632893316,False,,footway,False,31.905,,,"LINESTRING (118.7754132 32.0588936, 118.7757484 32.0589339)",,
1030357732,1684901845,0,632893317,False,,footway,False,8.314,,,"LINESTRING (118.7754132 32.0588936, 118.7754258 32.0588196)",,
1030357733,1684901823,0,224950863,False,,service,False,17.996,,permissive,"LINESTRING (118.7747126 32.0586993, 118.7747389 32.058539)",,
1030357733,1030357730,0,224950863,False,,service,True,11.953,,permissive,"LINESTRING (118.7747126 32.0586993, 118.7746945 32.0588057)",,
1030357733,1684901830,0,"[625067282, 88779382]",False,,"['steps', 'footway']",True,9.558,,,"LINESTRING (118.7747126 32.0586993, 118.7746751 32.0586943, 118.7746122 32.0586871)",,
1030357734,1684901853,0,156217230,False,,footway,False,8.39,,,"LINESTRING (118.7761104 32.0589782, 118.7761031 32.058903)",,
1030357734,1684901868,0,632893316,False,,footway,False,40.31,,,"LINESTRING (118.7761104 32.0589782, 118.7760501 32.0593371)",,
1030357734,1684901856,0,632893316,False,,footway,True,34.468,,,"LINESTRING (118.7761104 32.0589782, 118.7757484 32.0589339)",,
1030357740,1684901810,0,156066609,False,南高路,service,False,12.678,10,permissive,"LINESTRING (118.7755147 32.0583104, 118.7756479 32.0583264)",,
1030357740,1684901809,0,156066609,False,南高路,service,True,28.145,10,permissive,"LINESTRING (118.7755147 32.0583104, 118.775219 32.0582749)",,
1030357740,1684901812,0,156217229,False,,footway,True,3.462,,,"LINESTRING (118.7755147 32.0583104, 118.7755086 32.0583411)",,
1030357746,1684901832,0,88779376,False,,footway,False,8.75,,,"LINESTRING (118.7761499 32.0586256, 118.7761368 32.0587035)",,
1030357746,1683685603,0,155900459,False,,footway,True,32.504,,,"LINESTRING (118.7761499 32.0586256, 118.7758083 32.0585852)",,
1030357746,1684901821,0,"[88779376, 156217234]",False,,"['steps', 'footway']",True,22.878,,,"LINESTRING (118.7761499 32.0586256, 118.7761766 32.0584675, 118.7761849 32.058422)",,
1030357747,1683685610,0,88779388,False,,footway,False,31.924,,,"LINESTRING (118.7754519 32.0586672, 118.7757876 32.0587057)",,
1030357747,1984421634,0,632893317,False,,footway,False,5.044,,,"LINESTRING (118.7754519 32.0586672, 118.7754595 32.0586223)",,
1030357747,1684901845,0,632893317,False,,footway,True,17.124,,,"LINESTRING (118.7754519 32.0586672, 118.7754258 32.0588196)",,
1152345201,1984452118,0,99661970,False,,footway,True,33.151,,,"LINESTRING (118.7745859 32.0581989, 118.7746269 32.0579028)",,
1152345201,1167714382,0,156066609,False,南高路,service,False,19.798,10,permissive,"LINESTRING (118.7745859 32.0581989, 118.7747939 32.0582239)",,
1152345201,1030350294,0,156066609,False,南高路,service,True,73.212,10,permissive,"LINESTRING (118.7745859 32.0581989, 118.7738167 32.0581066)",,
1152345201,1682447987,0,187808010,False,,service,False,53.381,10,permissive,"LINESTRING (118.7745859 32.0581989, 118.7745199 32.0586757)",,
1155818298,1155818351,0,99978660,False,,service,False,35.743,10,permissive,"LINESTRING (118.7753924 32.0532536, 118.7750175 32.053205)",,
1155818298,1683870862,0,99978663,False,,service,False,17.51,10,permissive,"LINESTRING (118.7753924 32.0532536, 118.7755767 32.0532735)",,
1155818298,1683870869,0,99978663,False,,service,True,67.304,10,permissive,"LINESTRING (118.7753924 32.0532536, 118.7752805 32.0538514)",,
1155818351,1155818298,0,99978660,False,,service,True,35.743,10,permissive,"LINESTRING (118.7750175 32.053205, 118.7753924 32.0532536)",,
1155818366,1683870862,0,99978663,False,,service,True,69.209,10,permissive,"LINESTRING (118.7763036 32.053362, 118.7755767 32.0532735)",,
1155818366,1683870878,0,187953264,False,,service,False,69.374,10,permissive,"LINESTRING (118.7763036 32.053362, 118.7761977 32.0539794)",,
1155818366,1686024176,0,187953264,False,,service,True,14.742,10,permissive,"LINESTRING (118.7763036 32.053362, 118.7763261 32.0532308)",,
1155818387,1683882090,0,99978656,False,,footway,True,70.751,,,"LINESTRING (118.777106 32.0528578, 118.7778492 32.0529476)",,
1155818387,1699099703,0,156339450,False,,service,False,15.663,10,permissive,"LINESTRING (118.777106 32.0528578, 118.7771273 32.0527181)",,
1155818387,1155818401,0,156339450,False,,service,True,32.761,10,permissive,"LINESTRING (118.777106 32.0528578, 118.7770615 32.05315)",,
1155818387,1985866068,0,187814573,False,,service,False,42.877,10,permissive,"LINESTRING (118.777106 32.0528578, 118.7766541 32.0528132)",,
1155818396,1683871061,0,99978646,False,,service,True,71.18,10,permissive,"LINESTRING (118.776719 32.0553978, 118.7759714 32.0553067)",,
1155818396,1683871043,0,156339450,False,,service,False,38.905,10,permissive,"LINESTRING (118.776719 32.0553978, 118.7767719 32.0550508)",,
1155818396,1984584689,0,187815913,False,,footway,True,108.787,,,"LINESTRING (118.776719 32.0553978, 118.7774288 32.055505, 118.7775034 32.0551432)",,
1155818401,1155818431,0,156085162,False,,service,False,67.285,10,permissive,"LINESTRING (118.7770615 32.05315, 118.7763548 32.053064)",,
1155818401,1985873498,0,156085162,False,,service,True,61.333,10,permissive,"LINESTRING (118.7770615 32.05315, 118.7777057 32.0532283)",,
1155818401,1155818387,0,156339450,False,,service,False,32.761,10,permissive,"LINESTRING (118.7770615 32.05315, 118.777106 32.0528578)",,
