element_type,osmid,geometry,source,building,name,nodes,name:en,name:ja,ref,amenity,atm,brand,brand:en,brand:wikidata,brand:wikipedia,operator,source:name,leisure,opening_hours,tourism,fast_food,internet_access,internet_access:fee,internet_access:ssid,takeaway,shop,ways,name:zh,type,name_1
node,3611901738,POINT (118.846934 32.0271653),,yes,求真园,,,,,,,,,,,,,,,,,,,,,,,,,
way,133049460,"POLYGON ((118.8489996 32.0338776, 118.849994 32.0338602, 118.8499903 32.0337111, 118.848996 32.0337284, 118.8489996 32.0338776))",bing,university,马克思主义学院与人文学院,"[1464019714, 1464019712, 1464019713, 1464019715, 1464019714]",NJUST University office,南京理工大学本部,,,,,,,,,,,,,,,,,,,,,,
way,136415982,"POLYGON ((118.8482631 32.0342965, 118.84826 32.0342121, 118.8489193 32.0341884, 118.8489162 32.0342833, 118.8482631 32.0342965))",bing,yes,109栋,"[1496398204, 1496398202, 1496398201, 1496398203, 1496398204]",,,109,,,,,,,,,,,,,,,,,,,,,
way,136415984,"POLYGON ((118.8482601 32.0345476, 118.8482569 32.0344592, 118.8489161 32.0344422, 118.8489193 32.0345306, 118.8482601 32.0345476))",bing,yes,110栋,"[1496398208, 1496398206, 1496398205, 1496398207, 1496398208]",,,110,,,,,,,,,,,,,,,,,,,,,
way,136415986,"POLYGON ((118.8482849 32.0347236, 118.8489286 32.0347078, 118.8489286 32.0347895, 118.8482818 32.0348053, 118.8482849 32.0347236))",bing,yes,南京理工大学111栋,"[1496398210, 1496398209, 1496398211, 1496398212, 1496398210]",,,,,,,,,,,,,,,,,,,,,,,,
way,136693013,"POLYGON ((118.8492589 32.0324202, 118.8492826 32.0320873, 118.8494857 32.0319897, 118.8496042 32.0319438, 118.8497261 32.0318548, 118.8498277 32.0317371, 118.8499598 32.03174, 118.8498819 32.0318203, 118.8498819 32.0319179, 118.8499192 32.0319372, 118.8499438 32.031973, 118.8499421 32.0320172, 118.8499167 32.0320545, 118.8498864 32.0320742, 118.8498853 32.0322136, 118.8499868 32.0322136, 118.8499868 32.0323743, 118.8497905 32.0323772, 118.8497938 32.0325264, 118.8495365 32.0325264, 118.8495331 32.0324834, 118.8493063 32.0324776, 118.8492589 32.0324202))",,yes,南京理工大学 艺文馆,"[1499555402, 1499555397, 1499555394, 1499555392, 1499555390, 1499555387, 1499555388, 1499555389, 1499555391, 1499555393, 1757488891, 1499555395, 1757488896, 1499555396, 1499555398, 1499555399, 1499555400, 1499555401, 1499555406, 1499555405, 1499555404, 1499555403, 1499555402]",,,,,,,,,,,,,,,,,,,,,,,,
way,137775972,"POLYGON ((118.847896 32.0346823, 118.8479088 32.0343108, 118.8480819 32.0343151, 118.848069 32.0346866, 118.847896 32.0346823))",bing,yes,中国工商银行,"[1510914447, 1510914431, 1510914434, 1510914450, 1510914447]",Industrial and Commercial Bank of China,,,bank,yes,中国工商银行,Industrial and Commercial Bank of China,Q26463,en:Industrial and Commercial Bank of China,中国工商银行,survey,,,,,,,,,,,,,
way,138883122,"POLYGON ((118.8503709 32.0297943, 118.8503669 32.0300165, 118.8503625 32.0302584, 118.8505969 32.0302614, 118.8505947 32.0303854, 118.8498895 32.0303762, 118.8498919 32.0302429, 118.8501276 32.030246, 118.8501302 32.030102, 118.8497902 32.0300976, 118.8497929 32.0299478, 118.8501255 32.0299521, 118.8501284 32.029795, 118.8498915 32.0297919, 118.8498938 32.0296627, 118.8506065 32.0296719, 118.8506042 32.0297973, 118.8503709 32.0297943))",bing,yes,南京理工大学图书馆,"[1464752916, 1757184265, 1522672043, 1522672044, 1522672046, 1522672045, 1522672040, 1522672041, 1522672039, 1522672038, 1522672035, 1522672037, 1522672033, 1522672032, 1522672030, 1522672031, 1522672034, 1464752916]",NJUST Library,南京理工大学図書館,,library,,,,,,,Survey,,,,,,,,,,,,,
way,138883123,"POLYGON ((118.8482178 32.0339136, 118.8482138 32.0337419, 118.8488252 32.0337184, 118.8488331 32.0338967, 118.8482178 32.0339136))",,yes,,"[1522672051, 1522672049, 1522672047, 1522672050, 1522672051]",,,,,,,,,,,,,,,,,,,,,,,,
way,139850960,"POLYGON ((118.8464606 32.0306094, 118.8464593 32.0306851, 118.846458 32.0307583, 118.8461389 32.0307544, 118.8461414 32.0306055, 118.8464606 32.0306094))",bing,yes,学生浴室,"[1532713433, 1757184274, 1532713435, 1532713434, 1532713431, 1532713433]",,,,,,,,,,南京理工大学,,sauna,14:00-20:30,,,,,,,,,,,
way,140265535,"POLYGON ((118.8522237 32.0298112, 118.8524601 32.029811, 118.852454 32.0300375, 118.8524608 32.0302717, 118.8522151 32.030272, 118.8522153 32.0304045, 118.8525021 32.0304069, 118.8529594 32.0304038, 118.8529592 32.030274, 118.8525776 32.0302744, 118.8525774 32.030142, 118.8528368 32.0301418, 118.8528366 32.0299622, 118.8525608 32.0299624, 118.8525607 32.029816, 118.8529539 32.0298156, 118.8529536 32.0296477, 118.8522234 32.0296484, 118.8522237 32.0298112))",bing,yes,南京理工大学第二教学楼,"[1536890635, 1536890636, 1757184268, 1536890659, 1536890658, 1536890664, 1757184271, 1536890666, 1536890660, 1536890662, 1536890652, 1536890655, 1536890648, 1536890647, 1536890638, 1536890642, 1536890618, 1536890617, 1536890635]",,南京理工大学第二教学楼,,,,,,,,,Survey,,,,,,,,,,,,,
way,140265551,"POLYGON ((118.8478626 32.0379233, 118.8478646 32.037777, 118.8480097 32.0377784, 118.8480103 32.0377298, 118.8481546 32.0377312, 118.8481552 32.0376881, 118.8483072 32.0376896, 118.8483078 32.0376448, 118.8486203 32.0376478, 118.848619 32.0377451, 118.8484584 32.0377435, 118.8484577 32.0377946, 118.8483091 32.0377931, 118.8483086 32.0378371, 118.8481586 32.0378357, 118.848158 32.0378796, 118.8480054 32.0378782, 118.8480048 32.0379247, 118.8478626 32.0379233))",bing,yes,,"[1536891046, 1536891019, 1536891021, 1536891010, 1536891013, 1536890996, 1536890999, 1536890992, 1536890994, 1536891017, 1536891015, 1536891024, 1536891022, 1536891037, 1536891033, 1536891043, 1536891040, 1536891049, 1536891046]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265552,"POLYGON ((118.8495818 32.0342584, 118.8495857 32.0343787, 118.8500981 32.0343787, 118.8500903 32.0342584, 118.8495818 32.0342584))",bing,apartments,,"[1536890751, 1536890757, 1536890759, 1536890752, 1536890751]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265553,"POLYGON ((118.8497881 32.0351759, 118.8497894 32.0352963, 118.8502998 32.0352924, 118.8502985 32.035172, 118.8497881 32.0351759))",bing,apartments,,"[1536890804, 1536890835, 1536890837, 1536890805, 1536890804]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265554,"POLYGON ((118.8489231 32.03614, 118.8489241 32.036257, 118.8496118 32.0362529, 118.8496108 32.0361359, 118.8489231 32.03614))",bing,apartments,,"[1536890953, 1536890961, 1536890963, 1536890954, 1536890953]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265555,"POLYGON ((118.8504267 32.0348702, 118.8504278 32.0349872, 118.851021 32.0349832, 118.8510199 32.0348662, 118.8504267 32.0348702))",bing,apartments,,"[1536890784, 1536890796, 1536890798, 1536890786, 1536890784]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265556,"POLYGON ((118.8497802 32.0348818, 118.8497815 32.0350022, 118.8502919 32.0349983, 118.8502906 32.0348779, 118.8497802 32.0348818))",bing,apartments,,"[1536890787, 1536890800, 1536890801, 1536890794, 1536890787]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265559,"POLYGON ((118.8504129 32.035475, 118.850414 32.035592, 118.8510072 32.035588, 118.8510061 32.035471, 118.8504129 32.035475))",bing,apartments,,"[1536890851, 1536890860, 1536890863, 1536890852, 1536890851]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265560,"POLYGON ((118.849792 32.0354766, 118.8497933 32.035597, 118.8503038 32.0355931, 118.8503025 32.0354727, 118.849792 32.0354766))",bing,apartments,,"[1536890846, 1536890878, 1536890879, 1536890848, 1536890846]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265561,"POLYGON ((118.8504188 32.0345812, 118.8504201 32.0347015, 118.8509305 32.0346975, 118.8509292 32.0345772, 118.8504188 32.0345812))",bing,apartments,,"[1536890770, 1536890779, 1536890781, 1536890772, 1536890770]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265563,"POLYGON ((118.8491259 32.0357807, 118.8491272 32.0359011, 118.8496376 32.0358972, 118.8496363 32.0357768, 118.8491259 32.0357807))",bing,apartments,,"[1536890883, 1536890911, 1536890913, 1536890886, 1536890883]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265564,"POLYGON ((118.8497901 32.0345812, 118.8497914 32.0347015, 118.8503018 32.0346975, 118.8503005 32.0345772, 118.8497901 32.0345812))",bing,apartments,,"[1536890761, 1536890773, 1536890776, 1536890764, 1536890761]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265565,"POLYGON ((118.8489152 32.036404, 118.8489162 32.0365209, 118.8496039 32.0365168, 118.8496029 32.0363999, 118.8489152 32.036404))",bing,apartments,,"[1536890968, 1536890987, 1536890990, 1536890980, 1536890968]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265566,"POLYGON ((118.8504169 32.0357858, 118.850418 32.0359028, 118.8510112 32.0358987, 118.8510101 32.0357817, 118.8504169 32.0357858))",bing,apartments,,"[1536890889, 1536890926, 1536890927, 1536890896, 1536890889]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265567,"POLYGON ((118.8497999 32.035774, 118.8498012 32.0358944, 118.8503116 32.0358905, 118.8503103 32.0357701, 118.8497999 32.035774))",bing,apartments,,"[1536890880, 1536890915, 1536890917, 1536890882, 1536890880]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265568,"POLYGON ((118.850409 32.0351743, 118.8504101 32.0352913, 118.8510033 32.0352872, 118.8510022 32.0351702, 118.850409 32.0351743))",bing,apartments,,"[1536890809, 1536890827, 1536890828, 1536890819, 1536890809]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265569,"POLYGON ((118.8490182 32.0339711, 118.8490221 32.0340914, 118.8495345 32.0340914, 118.8495266 32.0339711, 118.8490182 32.0339711))",bing,apartments,,"[1536890720, 1536890737, 1536890739, 1536890730, 1536890720]",,,4,,,,,,,,,,,,,,,,,,,,,
way,140265570,"POLYGON ((118.8490768 32.0354851, 118.8490779 32.035602, 118.849671 32.035598, 118.8496699 32.035481, 118.8490768 32.0354851))",bing,apartments,,"[1536890854, 1536890865, 1536890876, 1536890857, 1536890854]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265571,"POLYGON ((118.8485465 32.0358709, 118.8485478 32.0359913, 118.8490582 32.0359874, 118.8490569 32.035867, 118.8485465 32.0358709))",bing,apartments,,"[1536890904, 1536890933, 1536890935, 1536890908, 1536890904]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265572,"POLYGON ((118.848176 32.0361282, 118.8481773 32.0362486, 118.8486877 32.0362447, 118.8486864 32.0361243, 118.848176 32.0361282))",bing,apartments,,"[1536890937, 1536890957, 1536890958, 1536890939, 1536890937]",,,,,,,,,,,,,,,,,,,,,,,,
way,140265573,"POLYGON ((118.8481681 32.0363888, 118.8481694 32.0365092, 118.8486798 32.0365053, 118.8486785 32.0363849, 118.8481681 32.0363888))",bing,apartments,,"[1536890965, 1536890983, 1536890984, 1536890966, 1536890965]",,,,,,,,,,,,,,,,,,,,,,,,
