u,v,key,osmid,lanes,highway,oneway,reversed,length,name,geometry,bridge,junction,service,tunnel
1463998788,1532713436,0,137077802,2,residential,False,False,26.565,,"LINESTRING (118.8478777 32.0335899, 118.8481595 32.0335872)",,,,
1463998788,1503665098,0,135149846,2,living_street,False,False,138.95399999999998,理工大学3号路,"LINESTRING (118.8478777 32.0335899, 118.8478069 32.0347551, 118.8478021 32.0348379)",,,,
1463998788,1497354114,0,135149846,2,living_street,False,True,216.022,理工大学3号路,"LINESTRING (118.8478777 32.0335899, 118.8478756 32.0331772, 118.8478652 32.0316472)",,,,
1463998788,1737988869,0,"[137077802, 133607077]",2,"['living_street', 'residential']",False,True,62.802,,"LINESTRING (118.8478777 32.0335899, 118.847699 32.0335963, 118.8472123 32.0335745)",,,,
1463998794,1532713412,0,135149846,2,living_street,False,False,88.747,理工大学3号路,"LINESTRING (118.8479687 32.0294019, 118.8479419 32.0301997)",,,,
1463998794,1463998798,0,135149846,2,living_street,False,True,131.923,理工大学3号路,"LINESTRING (118.8479687 32.0294019, 118.8480054 32.0282159)",,,,
1463998794,1768160452,0,164745793,,service,False,False,78.265,,"LINESTRING (118.8479687 32.0294019, 118.8487989 32.0294086)",,,,
1463998798,1463998794,0,135149846,2,living_street,False,False,131.923,理工大学3号路,"LINESTRING (118.8480054 32.0282159, 118.8479687 32.0294019)",,,,
1463998798,1484509798,0,135149846,2,living_street,False,True,151.692,理工大学3号路,"LINESTRING (118.8480054 32.0282159, 118.8480054 32.0268517)",,,,
1463998798,1763532175,0,164745795,,service,False,False,151.753,,"LINESTRING (118.8480054 32.0282159, 118.8496148 32.0282454)",,,,
1463998804,1737988892,0,135149846,2,living_street,False,False,111.718,理工大学3号路,"LINESTRING (118.8477778 32.0366121, 118.8477011 32.0376147)",,,,
1463998804,1710201708,0,135149846,2,living_street,False,True,64.507,理工大学3号路,"LINESTRING (118.8477778 32.0366121, 118.8477842 32.036032)",,,,
1463998804,1737988881,0,161844660,,living_street,False,False,65.625,,"LINESTRING (118.8477778 32.0366121, 118.848474 32.0366115)",,,,
1464739860,1710201704,0,133117088,2,residential,False,False,257.505,理工大学2号路,"LINESTRING (118.8513567 32.0367849, 118.8513313 32.0351288, 118.8513413 32.0344693)",,,,
1464752915,1497354127,0,133117329,2,service,False,True,90.175,理工大学2号路,"LINESTRING (118.8514064 32.0311451, 118.8513945 32.031956)",,,,
1464752915,1497354108,0,136510945,,living_street,False,False,111.679,友谊路,"LINESTRING (118.8514064 32.0311451, 118.8525911 32.0311495)",,,,
1464752915,1497354106,0,136510945,,living_street,False,True,111.09,友谊路,"LINESTRING (118.8514064 32.0311451, 118.8502282 32.0311241)",,,,
1464752915,1464752922,0,"[758671174, 758671175]",2,service,False,False,44.498,理工大学2号路,"LINESTRING (118.8514064 32.0311451, 118.8514147 32.0309274, 118.8514204 32.0307451)",yes,,,
1464752922,1757181411,0,157207757,,service,False,False,8.157,,"LINESTRING (118.8514204 32.0307451, 118.851506 32.0307344)",,,,
1464752922,1757181409,0,157207757,,service,False,True,8.593,,"LINESTRING (118.8514204 32.0307451, 118.8513361 32.0307157)",,,,
1464752922,1464752915,0,"[758671174, 758671175]",2,service,False,True,44.498,理工大学2号路,"LINESTRING (118.8514204 32.0307451, 118.8514147 32.0309274, 118.8514064 32.0311451)",yes,,,
1464752924,1536890710,0,133117330,2,living_street,False,False,160.715,理工大学1号路,"LINESTRING (118.8542174 32.0334644, 118.8540042 32.0320304)",,,,
1464752924,1503665079,0,133607078,,service,False,True,132.143,,"LINESTRING (118.8542174 32.0334644, 118.8543838 32.0334421, 118.8548868 32.0334166, 118.8549415 32.0334527, 118.8556012 32.0334321)",,,,
1464752924,1497354128,0,"[758671170, 758671171]",2,residential,False,False,169.56300000000002,,"LINESTRING (118.8542174 32.0334644, 118.854068 32.0334666, 118.8524189 32.0334925)",yes,,,
1464752929,1536890710,0,133117330,2,living_street,False,True,98.199,理工大学1号路,"LINESTRING (118.853874 32.0311542, 118.8540042 32.0320304)",,,,
1464752929,1712764488,0,758671169,,living_street,False,True,14.63,友谊路,"LINESTRING (118.853874 32.0311542, 118.8537188 32.0311536)",yes,,,
1464752929,6147171780,0,758671173,2,living_street,False,False,23.09,理工大学1号路,"LINESTRING (118.853874 32.0311542, 118.8538797 32.0309466)",yes,,,
1464752929,1536890672,0,140265539,,living_street,False,True,224.34499999999997,,"LINESTRING (118.853874 32.0311542, 118.8555911 32.0311943, 118.8557488 32.0311476, 118.8558079 32.0310841, 118.8558434 32.0307466)",,,,
1470635084,1497354127,0,133117329,2,service,False,False,160.179,理工大学2号路,"LINESTRING (118.8513759 32.0333964, 118.8513742 32.0333462, 118.8513945 32.031956)",,,,
1470635084,1470635090,0,133607080,2,residential,True,False,21.61,,"LINESTRING (118.8513759 32.0333964, 118.8514214 32.0334012, 118.8514632 32.0334172, 118.8514976 32.0334429, 118.8515214 32.0334761, 118.8515326 32.0335138)",,roundabout,,
1470635090,1470635097,0,133607080,2,residential,True,False,25.372,,"LINESTRING (118.8515326 32.0335138, 118.8515304 32.0335518, 118.8515154 32.0335876, 118.8514887 32.0336182, 118.8514528 32.033641, 118.8514106 32.0336539, 118.8513658 32.033656)",,roundabout,,
1470635090,1497354128,0,758671170,2,residential,False,True,83.6,,"LINESTRING (118.8515326 32.0335138, 118.8515929 32.0335085, 118.8519801 32.0334983, 118.8524189 32.0334925)",,,,
1470635092,1470635084,0,133607080,2,residential,True,False,21.704,,"LINESTRING (118.8512265 32.0335214, 118.8512352 32.0334831, 118.8512569 32.0334486, 118.8512897 32.0334212, 118.8513306 32.0334033, 118.8513759 32.0333964)",,roundabout,,
1470635092,1497354129,0,137077802,2,residential,False,True,109.56,,"LINESTRING (118.8512265 32.0335214, 118.8511517 32.0335204, 118.8500645 32.0335404)",,,,
1470635094,1674422717,0,137077802,2,residential,False,True,33.692,,"LINESTRING (118.8489279 32.0335754, 118.8485706 32.0335832)",,,,
