element_type,osmid,nodes,building,geometry,name,amenity,leisure,fast_food,ways,type
way,139098533,"[1524592477, 1524592484, 1524592467, 1524592447, 1524592477]",yes,"POLYGON ((117.1543927 39.0995664, 117.1551258 39.0995902, 117.1551309 39.0994945, 117.1543978 39.0994707, 117.1543927 39.0995664))",,,,,,
way,139098534,"[1524592552, 1524592565, 1524592520, 1524592519, 1524592552]",yes,"POLYGON ((117.1543762 39.0998207, 117.1551399 39.0998408, 117.1551443 39.0997407, 117.1543806 39.0997206, 117.1543762 39.0998207))",,,,,,
way,139098535,"[1524592401, 1524592410, 1524592391, 1524592388, 1524592401]",yes,"POLYGON ((117.151825 39.0993207, 117.1528386 39.099361, 117.1528468 39.0992362, 117.1518332 39.099196, 117.151825 39.0993207))",,,,,,
way,139098536,"[1524592990, 1524592995, 1524592950, 1524592936, 1524592990]",yes,"POLYGON ((117.1579049 39.1007042, 117.1586922 39.100728, 117.1586973 39.1006266, 117.15791 39.1006028, 117.1579049 39.1007042))",,,,,,
way,139098537,"[1524592652, 1524592648, 1524592601, 1524592603, 1524592652]",yes,"POLYGON ((117.1588384 39.1000786, 117.1598095 39.1000731, 117.1598086 39.0999725, 117.1588374 39.099978, 117.1588384 39.1000786))",,,,,,
way,139098538,"[1524592496, 1524592500, 1524592471, 1524592470, 1524592496]",yes,"POLYGON ((117.1559131 39.0996158, 117.1566815 39.0996359, 117.1566859 39.099534, 117.1559175 39.0995139, 117.1559131 39.0996158))",,,,,,
way,139098539,"[1524593071, 1524593076, 1524593027, 1524593022, 1524593071]",yes,"POLYGON ((117.1558424 39.1009548, 117.1565967 39.1009768, 117.1566013 39.1008802, 117.155847 39.1008583, 117.1558424 39.1009548))",,,,,,
way,139098540,"[1524592577, 1524592582, 1524592543, 1524592537, 1524592577]",yes,"POLYGON ((117.1558919 39.0998737, 117.1566509 39.0998975, 117.1566566 39.0997881, 117.1558975 39.0997643, 117.1558919 39.0998737))",,,,,,
way,139098541,"[1524592498, 1524592504, 1524592472, 1524592469, 1524592498]",yes,"POLYGON ((117.1519263 39.0996244, 117.1528551 39.0996628, 117.1528636 39.099539, 117.1519348 39.0995005, 117.1519263 39.0996244))",,,,,,
way,139098542,"[1524592971, 1524592992, 1524592947, 1524592941, 1524592971]",yes,"POLYGON ((117.1558565 39.1007006, 117.1563609 39.1007152, 117.1563654 39.1006219, 117.155861 39.1006073, 117.1558565 39.1007006))",,,,,,
way,139098543,"[1524593019, 1524593024, 1524593005, 1524593002, 1524593019]",yes,"POLYGON ((117.1528645 39.1008573, 117.1534538 39.1008756, 117.1534596 39.1007627, 117.1528703 39.1007444, 117.1528645 39.1008573))",,,,,,
way,139098544,"[1524592567, 1524592574, 1524592532, 1524592522, 1524592567]",yes,"POLYGON ((117.1552248 39.0998536, 117.1557999 39.0998682, 117.1558046 39.0997566, 117.1552295 39.099742, 117.1552248 39.0998536))",,,,,,
way,139098545,"[1524592913, 1524592929, 1524592890, 1524592881, 1524592913]",yes,"POLYGON ((117.1521738 39.1005463, 117.1527985 39.1005701, 117.1528049 39.100468, 117.1521803 39.1004442, 117.1521738 39.1005463))",,,,,,
way,139098546,"[1524592853, 1524592858, 1524592727, 1524592722, 1524592853]",yes,"POLYGON ((117.1617094 39.1004225, 117.1618766 39.1004246, 117.1618813 39.1001959, 117.1617142 39.1001939, 117.1617094 39.1004225))",,,,,,
way,139098547,"[1524593081, 1524593085, 1524593047, 1524593028, 1524593081]",yes,"POLYGON ((117.157153 39.1009933, 117.1578201 39.1010079, 117.1578238 39.1009038, 117.1571568 39.1008892, 117.157153 39.1009933))",,,,,,
way,139098548,"[1524592683, 1524592707, 1524592623, 1524592618, 1524592683]",yes,"POLYGON ((117.154355 39.100139, 117.1551022 39.1001646, 117.1551091 39.1000424, 117.1543619 39.1000168, 117.154355 39.100139))",,,,,,
way,139098549,"[1524593086, 1524593109, 1524593056, 1524593049, 1524593086]",yes,"POLYGON ((117.1578931 39.1010189, 117.1586569 39.1010408, 117.158662 39.100933, 117.1578983 39.100911, 117.1578931 39.1010189))",,,,,,
way,139098550,"[1524592539, 1524592545, 1524592510, 1524592502, 1524592539]",yes,"POLYGON ((117.1607807 39.0997713, 117.1617354 39.0997987, 117.161741 39.0996811, 117.1607863 39.0996537, 117.1607807 39.0997713))",,,,,,
way,139098551,"[1524592953, 1524592955, 1524592918, 1524592910, 1524592953]",yes,"POLYGON ((117.1543172 39.1006493, 117.1550833 39.1006731, 117.1550892 39.1005602, 117.1543231 39.1005364, 117.1543172 39.1006493))",,,,,,
way,139098552,"[1524592838, 1524592844, 1524592783, 1524592771, 1524592838]",yes,"POLYGON ((117.1571624 39.1003731, 117.1578507 39.1003951, 117.1578559 39.1002959, 117.1571676 39.1002739, 117.1571624 39.1003731))",,,,,,
way,139098553,"[1524592839, 1524592849, 1524592788, 1524592780, 1524592839]",yes,"POLYGON ((117.1543432 39.1003878, 117.1550928 39.1004152, 117.1550989 39.100315, 117.1543493 39.1002875, 117.1543432 39.1003878))",,,,,,
way,139098554,"[1524593054, 1524593060, 1524593017, 1524593014, 1524593054]",yes,"POLYGON ((117.1551611 39.1009311, 117.1557551 39.1009475, 117.1557596 39.1008511, 117.1551656 39.1008347, 117.1551611 39.1009311))",,,,,,
way,139098555,"[1524592711, 1524592714, 1524592649, 1524592645, 1524592711]",yes,"POLYGON ((117.1552083 39.1001719, 117.1557881 39.1001829, 117.1557914 39.1000786, 117.1552115 39.1000677, 117.1552083 39.1001719))",,,,,,
way,139098556,"[1524592958, 1524592963, 1524592939, 1524592931, 1524592958]",yes,"POLYGON ((117.1551729 39.1006804, 117.1557646 39.1006951, 117.1557682 39.1006055, 117.1551766 39.1005908, 117.1551729 39.1006804))",,,,,,
way,139098557,"[1524593132, 1524593137, 1524593119, 1524593118, 1524593132]",yes,"POLYGON ((117.1524001 39.1012433, 117.1527584 39.1012488, 117.1527616 39.1011221, 117.1524033 39.1011166, 117.1524001 39.1012433))",,,,,,
way,139098558,"[1524592883, 1524592887, 1524592835, 1524592831, 1524592883]",yes,"POLYGON ((117.1558683 39.1004445, 117.1563704 39.1004591, 117.1563746 39.1003707, 117.1558726 39.100356, 117.1558683 39.1004445))",,,,,,
way,139098559,"[1524592908, 1524592915, 1524592885, 1524592873, 1524592908]",yes,"POLYGON ((117.1528739 39.1005317, 117.1534632 39.1005463, 117.1534671 39.1004514, 117.1528778 39.1004368, 117.1528739 39.1005317))",,,,,,
way,139098560,"[1524592643, 1524592657, 1524592610, 1524592589, 1524592643]",yes,"POLYGON ((117.1571883 39.1000548, 117.1578719 39.1000859, 117.1578798 39.0999808, 117.1571963 39.0999497, 117.1571883 39.1000548))",,,,,,
way,139098561,"[1524593114, 1524593116, 1524593079, 1524593074, 1524593114]",yes,"POLYGON ((117.153607 39.1010988, 117.1541562 39.1011153, 117.1541628 39.1009844, 117.1536135 39.100968, 117.153607 39.1010988))",,,,,,
way,139098563,"[1524592487, 1524592490, 1524592468, 1524592448, 1524592487]",yes,"POLYGON ((117.1552436 39.099592, 117.1558188 39.0996085, 117.1558242 39.0994954, 117.155249 39.099479, 117.1552436 39.099592))",,,,,,
way,139098564,"[1524593045, 1524593052, 1524593010, 1524593008, 1524593045]",yes,"POLYGON ((117.154296 39.1009018, 117.1550645 39.1009237, 117.1550693 39.1008229, 117.1543008 39.1008009, 117.154296 39.1009018))",,,,,,
way,139098567,"[1524592898, 1524592901, 1524592833, 1524592829, 1524592898]",yes,"POLYGON ((117.1579521 39.1004847, 117.1586993 39.1005067, 117.1587059 39.1003703, 117.1579587 39.1003484, 117.1579521 39.1004847))",,,,,,
way,139098569,"[1524592757, 1524592768, 1524592702, 1524592680, 1524592757]",yes,"POLYGON ((117.1520135 39.1002427, 117.1528103 39.1002683, 117.152816 39.100161, 117.1520193 39.1001354, 117.1520135 39.1002427))",,,,,,
way,139098570,"[1524592855, 1524592877, 1524592827, 1524592797, 1524592855]",yes,"POLYGON ((117.1551823 39.1004243, 117.1557787 39.1004408, 117.1557832 39.1003422, 117.1551869 39.1003257, 117.1551823 39.1004243))",,,,,,
way,139098572,"[1524592540, 1524592541, 1524592508, 1524592505, 1524592540]",yes,"POLYGON ((117.1599439 39.0997768, 117.1607029 39.0997768, 117.1607029 39.0996688, 117.1599439 39.0996688, 117.1599439 39.0997768))",,,,,,
way,139098574,"[1524592960, 1524592966, 1524592943, 1524592934, 1524592960]",yes,"POLYGON ((117.1571647 39.1006804, 117.1578413 39.1006987, 117.1578452 39.100612, 117.1571686 39.1005937, 117.1571647 39.1006804))",,,,,,
way,139098577,"[1524592846, 1524592841, 1524592760, 1524592766, 1524592846]",yes,"POLYGON ((117.1588619 39.1004024, 117.1597977 39.1003896, 117.1597946 39.100253, 117.1588588 39.1002658, 117.1588619 39.1004024))",,,,,,
way,139098579,"[1524592718, 1524592729, 1524592671, 1524592661, 1524592718]",yes,"POLYGON ((117.1558754 39.1001884, 117.1563892 39.100203, 117.1563938 39.1001064, 117.1558799 39.1000918, 117.1558754 39.1001884))",,,,,,
way,139098581,"[1524592733, 1524592734, 1524592674, 1524592673, 1524592733]",yes,"POLYGON ((117.1528951 39.1002098, 117.1534774 39.1002207, 117.1534805 39.1001199, 117.1528983 39.1001089, 117.1528951 39.1002098))",,,,,,
way,139098585,"[1524592564, 1524592555, 1524592512, 1524592516, 1524592564]",yes,"POLYGON ((117.1571742 39.099828, 117.1578342 39.0998207, 117.157832 39.099702, 117.157172 39.0997093, 117.1571742 39.099828))",,,,,,
way,139098587,"[1524592584, 1524592599, 1524592566, 1524592550, 1524592584]",yes,"POLYGON ((117.1520277 39.099939, 117.1528338 39.0999646, 117.1528401 39.099846, 117.1520339 39.0998204, 117.1520277 39.099939))",,,,,,
way,139098590,"[1524593124, 1524593129, 1524593107, 1524593089, 1524593124]",yes,"POLYGON ((117.15298 39.1011646, 117.1534821 39.1011811, 117.1534898 39.1010385, 117.1529878 39.1010221, 117.15298 39.1011646))",,,,,,
way,139098592,"[1524592546, 1524592544, 1524592515, 1524592518, 1524592546]",yes,"POLYGON ((117.1579238 39.0998079, 117.1586922 39.0997969, 117.1586901 39.0997087, 117.1579217 39.0997197, 117.1579238 39.0998079))",,,,,,
way,139098594,"[1524592479, 1524592482, 1524592466, 1524592451, 1524592431, 1524592429, 1524592465, 1524592450, 1524592479]",apartments,"POLYGON ((117.1540355 39.09958, 117.1542579 39.0995856, 117.1542617 39.099494, 117.1541917 39.0994922, 117.1541948 39.099419, 117.1541105 39.0994169, 117.1541073 39.0994939, 117.1540391 39.0994921, 117.1540355 39.09958))",,,,,,
way,139098596,"[1524592433, 1524592435, 1524592405, 1524592403, 1524592397, 1524592394, 1524592404, 1524592402, 1524592433]",apartments,"POLYGON ((117.1529441 39.0994282, 117.1531665 39.0994338, 117.1531704 39.0993422, 117.1531004 39.0993404, 117.1531034 39.0992672, 117.1530192 39.0992651, 117.1530159 39.099342, 117.1529478 39.0993403, 117.1529441 39.0994282))",,,,,,
way,139098599,"[1524592741, 1524592738, 1524592669, 1524592666, 1524592737, 1524592735, 1524592592, 1524592593, 1524592741]",yes,"POLYGON ((117.1599313 39.1002411, 117.160128 39.1002385, 117.160125 39.1000997, 117.1605057 39.1000947, 117.1605086 39.1002316, 117.1607092 39.100229, 117.1607033 39.0999535, 117.1599253 39.0999636, 117.1599313 39.1002411))",,,,,,
way,139098602,"[1524592437, 1524592440, 1524592415, 1524592408, 1524592400, 1524592398, 1524592413, 1524592406, 1524592437]",apartments,"POLYGON ((117.1536758 39.0994476, 117.1538983 39.0994532, 117.1539021 39.0993616, 117.1538321 39.0993598, 117.1538352 39.0992866, 117.1537509 39.0992845, 117.1537477 39.0993614, 117.1536795 39.0993597, 117.1536758 39.0994476))",,,,,,
way,139098604,"[1524592473, 1524592475, 1524592446, 1524592443, 1524592427, 1524592426, 1524592445, 1524592442, 1524592473]",apartments,"POLYGON ((117.1533058 39.0995498, 117.1535282 39.0995554, 117.1535321 39.0994638, 117.1534621 39.099462, 117.1534651 39.0993888, 117.1533809 39.0993867, 117.1533776 39.0994636, 117.1533095 39.0994619, 117.1533058 39.0995498))",,,,,,
way,139098607,"[1524592775, 1524592769, 1524592678, 1524592676, 1524592765, 1524592763, 1524592605, 1524592612, 1524592775]",yes,"POLYGON ((117.1579271 39.1002739, 117.1580991 39.1002724, 117.1580971 39.1001299, 117.1585192 39.1001264, 117.1585211 39.1002654, 117.1586979 39.1002639, 117.1586939 39.0999784, 117.1579231 39.0999849, 117.1579271 39.1002739))",,,,,,
way,139098609,"[1524592571, 1524592576, 1524592607, 1524592611, 1524592549, 1524592547, 1524592534, 1524592530, 1524592571]",yes,"POLYGON ((117.1529349 39.0998626, 117.1533398 39.0998691, 117.1533368 39.0999806, 117.1535117 39.0999834, 117.1535161 39.0998194, 117.1533718 39.0998171, 117.1533733 39.0997605, 117.1529378 39.0997536, 117.1529349 39.0998626))",,,,,,
way,139098611,"[1524593130, 1524593135, 1524593122, 1524593127, 1524593139, 1524593158, 1524593112, 1524593090, 1524593130]",yes,"POLYGON ((117.1543157 39.1012374, 117.1545 39.1012438, 117.1545051 39.1011555, 117.1548471 39.1011674, 117.1548421 39.1012531, 117.1550464 39.1012602, 117.1550582 39.101056, 117.1543277 39.1010306, 117.1543157 39.1012374))",,,,,,
way,267172630,"[2726482389, 2726482390, 2726482391, 2726482392, 2726482389]",university,"POLYGON ((117.1634089 39.1026935, 117.1659001 39.1027795, 117.1659317 39.1022824, 117.1634405 39.1022087, 117.1634089 39.1026935))",教学2主楼,,,,,
way,543815141,"[5256998859, 612050805, 5256998860, 8983189594, 5256998861, 6794880251, 5256998862, 8983189595, 5256998859]",university,"POLYGON ((117.1685303 39.1055071, 117.1685313 39.105182, 117.1685323 39.1048589, 117.1688746 39.1048595, 117.1694002 39.1048605, 117.1693991 39.1052065, 117.1693982 39.1055088, 117.168863 39.1055078, 117.1685303 39.1055071))",天大南开联合实验楼,,,,,
way,543826738,"[5257095413, 5257095414, 5257095415, 5257095416, 5257095413]",dormitory,"POLYGON ((117.1528886 39.1048156, 117.154047 39.1048108, 117.1540409 39.1044139, 117.1530303 39.1044139, 117.1528886 39.1048156))",,,,,,
