u,v,key,osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes
1000165759,5257437692,0,86167179,励耘路,tertiary,False,True,139.121,,"LINESTRING (117.1587191 39.0998548, 117.1571073 39.0998828)",
1000165759,5257095489,0,543826759,,service,False,True,168.512,,"LINESTRING (117.1587191 39.0998548, 117.1587555 39.10137)",
1000165759,1000224032,0,"[86201008, 86167179, 86201006]",励耘路,tertiary,False,"[False, True]",399.73599999999993,yes,"LINESTRING (117.1587191 39.0998548, 117.161858 39.0998376, 117.1620764 39.0998364, 117.1621365 39.0998402, 117.1622561 39.0998784, 117.1623828 39.099984, 117.1624461 39.100086, 117.1624954 39.1002061, 117.1625118 39.10035, 117.16254 39.100532, 117.1625566 39.1006623)",
1000180120,5257437692,0,86167179,励耘路,tertiary,False,False,13.249,,"LINESTRING (117.1569538 39.0998855, 117.1571073 39.0998828)",
1000180120,5257437690,0,"[970635746, 139098531]",,service,False,"[False, True]",28.395999999999997,,"LINESTRING (117.1569538 39.0998855, 117.1569567 39.0999467, 117.1567066 39.0999427)",
1000203311,5257095493,0,86169717,,service,False,False,12.971,,"LINESTRING (117.164942 39.1001267, 117.1649519 39.1000103)",
1000224021,1000224036,0,86173995,,service,False,False,101.585,,"LINESTRING (117.1634388 39.1011089, 117.1646137 39.1011664)",
1000224021,5257095475,0,86173995,,service,False,True,40.737,,"LINESTRING (117.1634388 39.1011089, 117.162967 39.1010961)",
1000224021,5257095472,0,543826753,,service,False,True,55.0,,"LINESTRING (117.1634388 39.1011089, 117.1634441 39.1012618, 117.1631222 39.1014949)",
1000224025,5257095475,0,86173995,,service,False,False,35.176,,"LINESTRING (117.1625596 39.1010851, 117.162967 39.1010961)",
1000224025,1000224032,0,970635745,,tertiary,False,True,47.014,,"LINESTRING (117.1625596 39.1010851, 117.1625566 39.1006623)",
1000224025,1000548740,0,86201061,,tertiary,False,False,84.825,,"LINESTRING (117.1625596 39.1010851, 117.1625857 39.1013552, 117.1626468 39.1018449)",
1000224032,5257095500,0,543826763,,service,False,True,155.506,,"LINESTRING (117.1625566 39.1006623, 117.1643578 39.1007064)",
1000224032,1000224025,0,970635745,,tertiary,False,False,47.014,,"LINESTRING (117.1625566 39.1006623, 117.1625596 39.1010851)",
1000224032,1000165759,0,"[86201008, 86167179, 86201006]",励耘路,tertiary,False,"[False, True]",399.736,yes,"LINESTRING (117.1625566 39.1006623, 117.16254 39.100532, 117.1625118 39.10035, 117.1624954 39.1002061, 117.1624461 39.100086, 117.1623828 39.099984, 117.1622561 39.0998784, 117.1621365 39.0998402, 117.1620764 39.0998364, 117.161858 39.0998376, 117.1587191 39.0998548)",
1000224032,5257095491,0,"[543826761, 86173996, 970635749]",,service,False,"[False, True]",81.994,yes,"LINESTRING (117.1625566 39.1006623, 117.1622868 39.1007079, 117.161987 39.1007305, 117.1616162 39.1007609)",
1000224036,5257095469,0,86173995,,service,False,False,125.079,,"LINESTRING (117.1646137 39.1011664, 117.1660601 39.1012399)",
1000224036,1000224021,0,86173995,,service,False,True,101.585,,"LINESTRING (117.1646137 39.1011664, 117.1634388 39.1011089)",
1000224036,5257095456,0,543826752,,service,False,True,58.976,,"LINESTRING (117.1646137 39.1011664, 117.1645943 39.1015126, 117.164681 39.1016837)",
1000548740,5256996661,0,543814767,,tertiary,False,False,11.147,,"LINESTRING (117.1626468 39.1018449, 117.1626037 39.1019394)",
1000548740,5257574303,0,970635729,,service,False,False,12.749,,"LINESTRING (117.1626468 39.1018449, 117.1627879 39.1018789)",
1000548740,1000224025,0,86201061,,tertiary,False,True,84.825,,"LINESTRING (117.1626468 39.1018449, 117.1625857 39.1013552, 117.1625596 39.1010851)",
1000612664,5257095505,0,86173995,,service,False,True,122.576,,"LINESTRING (117.168062 39.1013336, 117.1666439 39.1012696)",
1000612664,5257159777,0,86203370,,service,False,False,31.657,,"LINESTRING (117.168062 39.1013336, 117.1680756 39.1010491)",
1000612664,1000631248,0,86203370,,service,False,True,87.059,,"LINESTRING (117.168062 39.1013336, 117.1680246 39.102116)",
1000613397,5257095458,0,86202881,大中路,service,False,False,37.294,,"LINESTRING (117.16484 39.1019865, 117.1652716 39.1020041)",
1000613397,5257095455,0,86202881,大中路,service,False,True,34.579,,"LINESTRING (117.16484 39.1019865, 117.1644398 39.1019706)",
1000613397,5257095459,0,543826749,,service,False,False,5.906,,"LINESTRING (117.16484 39.1019865, 117.1648474 39.1019337)",
1000613405,5257159782,0,86203370,,service,False,True,20.352,,"LINESTRING (117.1680998 39.1005436, 117.168091 39.1007265)",
1000631248,5257095519,0,86202881,大中路,service,False,False,70.836,,"LINESTRING (117.1680246 39.102116, 117.1688445 39.1021475)",
1000631248,5257574528,0,86202881,大中路,service,False,True,172.868,,"LINESTRING (117.1680246 39.102116, 117.166024 39.1020347)",
1000631248,1000612664,0,86203370,,service,False,False,87.059,,"LINESTRING (117.1680246 39.102116, 117.168062 39.1013336)",
1000631248,5257574607,0,"[86202882, 837804668, 543878015]",,service,False,True,101.238,yes,"LINESTRING (117.1680246 39.102116, 117.1680209 39.1022001, 117.168014 39.1023169, 117.1679768 39.1030257)",
1000631250,5257159782,0,86203370,,service,False,False,17.993,,"LINESTRING (117.1680833 39.1008882, 117.168091 39.1007265)",
1000631250,5257159777,0,86203370,,service,False,True,17.904,,"LINESTRING (117.1680833 39.1008882, 117.1680756 39.1010491)",
1000631250,5257159791,0,86203054,,service,False,False,151.558,,"LINESTRING (117.1680833 39.1008882, 117.1684176 39.100899, 117.1688666 39.1009159, 117.1692721 39.100945, 117.1695273 39.1010295, 117.1696401 39.1011231, 117.1696992 39.1012063)",
1000631251,5257159789,0,86202881,大中路,service,False,False,84.51,,"LINESTRING (117.1696674 39.1021815, 117.1706456 39.1022187)",
1000631251,5257095441,0,86202881,大中路,service,False,True,35.102,,"LINESTRING (117.1696674 39.1021815, 117.1692611 39.102166)",
1000631251,5257159791,0,86203054,,service,False,True,109.22099999999999,,"LINESTRING (117.1696674 39.1021815, 117.169733 39.1013841, 117.169735 39.1013088, 117.1697231 39.1012398, 117.1696992 39.1012063)",
1000631251,5257095510,0,543826765,,service,False,True,107.908,,"LINESTRING (117.1696674 39.1021815, 117.1696557 39.1023361, 117.1696532 39.102407, 117.1696636 39.102532, 117.1696899 39.1026367, 117.1697195 39.1027019, 117.1697707 39.1027968, 117.1698077 39.1028931, 117.1698147 39.1029539, 117.1698129 39.1030146, 117.1697826 39.1031307)",
1524592580,5257437690,0,139098531,,service,False,False,264.922,,"LINESTRING (117.1536372 39.0998938, 117.1567066 39.0999427)",
5256992742,8984661600,0,543814288,,tertiary,False,True,11.906,,"LINESTRING (117.1610471 39.1041268, 117.160947 39.1042005)",2
5256992742,5256996666,0,543814767,,tertiary,False,True,18.216,,"LINESTRING (117.1610471 39.1041268, 117.1611537 39.1039854)",
5256992742,5257574318,0,543814288,,tertiary,False,False,182.99900000000002,,"LINESTRING (117.1610471 39.1041268, 117.1611898 39.1040757, 117.1612675 39.1040465, 117.1614392 39.1039945, 117.1631321 39.1039801)",2
5256992747,8983233423,0,543814288,,tertiary,False,False,49.887,,"LINESTRING (117.1687011 39.1038817, 117.1686636 39.1043294)",2
5256992747,5257574610,0,543814288,,tertiary,False,True,62.8,,"LINESTRING (117.1687011 39.1038817, 117.1679733 39.1038817)",2
5256992747,5257095506,0,543826765,,service,False,False,62.97,,"LINESTRING (117.1687011 39.1038817, 117.1688071 39.1033214)",
5256992748,8983233423,0,543814288,,tertiary,False,True,9.284,,"LINESTRING (117.1686586 39.1044128, 117.1686636 39.1043294)",2
5256992748,5362791059,0,555894485,,service,False,True,13.102,,"LINESTRING (117.1686586 39.1044128, 117.1685069 39.1044077)",
5256992748,8983233431,0,543814288,,tertiary,False,False,24.218,,"LINESTRING (117.1686586 39.1044128, 117.1686622 39.1044755, 117.1686708 39.1044962, 117.1686896 39.1045147, 117.1688304 39.1045248)",2
5256996626,5257095478,0,543826755,,service,False,False,61.82,,"LINESTRING (117.1559086 39.1027065, 117.1566246 39.1026874)",
5256996661,1000548740,0,543814767,,tertiary,False,True,11.147,,"LINESTRING (117.1626037 39.1019394, 117.1626468 39.1018449)",
5256996661,5256996663,0,543866657,,service,False,True,42.096,yes,"LINESTRING (117.1626037 39.1019394, 117.1621181 39.1019031)",
5256996661,5257095435,0,543814767,,tertiary,False,False,118.556,,"LINESTRING (117.1626037 39.1019394, 117.1625384 39.1023452, 117.1620757 39.1028957)",
5256996661,5257574301,0,543877992,,service,False,False,16.448,,"LINESTRING (117.1626037 39.1019394, 117.1626999 39.1020018, 117.1627636 39.1019909)",
5256996663,5362790905,0,543826760,,service,False,True,33.916,,"LINESTRING (117.1621181 39.1019031, 117.1620765 39.1015998)",
5256996663,5362790899,0,543866656,,service,False,True,33.131,,"LINESTRING (117.1621181 39.1019031, 117.1620926 39.1022004)",
5256996663,5256996661,0,543866657,,service,False,False,42.096,yes,"LINESTRING (117.1621181 39.1019031, 117.1626037 39.1019394)",
5256996666,5256992742,0,543814767,,tertiary,False,False,18.216,,"LINESTRING (117.1611537 39.1039854, 117.1610471 39.1041268)",
5256996666,5257095435,0,543814767,,tertiary,False,True,144.953,,"LINESTRING (117.1611537 39.1039854, 117.1620757 39.1028957)",
5256996666,5257095434,0,"[543866656, 543814769]",,service,False,"[False, True]",183.103,yes,"LINESTRING (117.1611537 39.1039854, 117.1608036 39.1037744, 117.1617587 39.1027031)",
5257095434,5257095435,0,543826743,,service,False,False,34.74,yes,"LINESTRING (117.1617587 39.1027031, 117.1620757 39.1028957)",
5257095434,5362790901,0,543826755,,service,False,True,40.812,,"LINESTRING (117.1617587 39.1027031, 117.1614621 39.1025258, 117.1613637 39.1025304)",
5257095434,5362790899,0,543866656,,service,False,False,64.347,,"LINESTRING (117.1617587 39.1027031, 117.1620233 39.1024246, 117.1620849 39.1022907, 117.1620926 39.1022004)",
5257095434,5256996666,0,"[543866656, 543814769]",,service,False,"[False, True]",183.103,yes,"LINESTRING (117.1617587 39.1027031, 117.1608036 39.1037744, 117.1611537 39.1039854)",
5257095435,5256996666,0,543814767,,tertiary,False,False,144.953,,"LINESTRING (117.1620757 39.1028957, 117.1611537 39.1039854)",
5257095435,5257095434,0,543826743,,service,False,True,34.74,yes,"LINESTRING (117.1620757 39.1028957, 117.1617587 39.1027031)",
5257095435,5256996661,0,543814767,,tertiary,False,True,118.556,,"LINESTRING (117.1620757 39.1028957, 117.1625384 39.1023452, 117.1626037 39.1019394)",
5257095435,5257574307,0,543877993,,service,False,True,94.268,,"LINESTRING (117.1620757 39.1028957, 117.1625159 39.1029082, 117.1631671 39.1029329)",
5257095441,1000631251,0,86202881,大中路,service,False,False,35.102,,"LINESTRING (117.1692611 39.102166, 117.1696674 39.1021815)",
5257095441,5257095519,0,86202881,大中路,service,False,True,36.008,,"LINESTRING (117.1692611 39.102166, 117.1691627 39.1021623, 117.1688445 39.1021475)",
5257095441,5257095442,0,"[837818576, 543826745, 837818575]",,service,False,False,87.68,yes,"LINESTRING (117.1692611 39.102166, 117.1692578 39.102243, 117.169247 39.1023479, 117.1692248 39.1029539)",
5257095442,5257095441,0,"[837818576, 543826745, 837818575]",,service,False,True,87.68,yes,"LINESTRING (117.1692248 39.1029539, 117.169247 39.1023479, 117.1692578 39.102243, 117.1692611 39.102166)",
5257095455,1000613397,0,86202881,大中路,service,False,False,34.579,,"LINESTRING (117.1644398 39.1019706, 117.16484 39.1019865)",
5257095455,5257095456,0,543826748,,service,False,False,38.091,,"LINESTRING (117.1644398 39.1019706, 117.164681 39.1016837)",
5257095455,5257574312,0,543877995,,service,False,True,27.303,,"LINESTRING (117.1644398 39.1019706, 117.1644341 39.1022161)",
5257095455,5257095471,0,"[86202881, 543814766]",大中路,service,False,True,124.741,,"LINESTRING (117.1644398 39.1019706, 117.1637984 39.1019452, 117.1629973 39.1018985)",
5257095456,5257095463,0,543826748,,service,False,False,17.703,,"LINESTRING (117.164681 39.1016837, 117.1648844 39.1017045)",
5257095456,5257095455,0,543826748,,service,False,True,38.091,,"LINESTRING (117.164681 39.1016837, 117.1644398 39.1019706)",
5257095456,1000224036,0,543826752,,service,False,False,58.976,,"LINESTRING (117.164681 39.1016837, 117.1645943 39.1015126, 117.1646137 39.1011664)",
5257095457,5257095458,0,543826748,,service,False,False,34.993,,"LINESTRING (117.1650845 39.1017249, 117.1652716 39.1020041)",
5257095457,5257095463,0,543826748,,service,False,True,17.415,,"LINESTRING (117.1650845 39.1017249, 117.1648844 39.1017045)",
