element_type,osmid,geometry,amenity,addr:city,addr:postcode,addr:street,building,name,opening_hours,website,nodes,building:levels,layer,name:en,name:ms,addr:housenumber,internet_access,fixme:zh,name:zh,addr:country,addr:housename,description,name:zh-Hans,name:zh-Hant,operator,phone,source,tourism,healthcare,short_name,landuse,man_made,construction,parking,leisure,sport,wikidata,wikimedia_commons,wikipedia,fixme,access,bench,shelter_type,bin,ways,type,alt_name,start_date
node,4751154964,POINT (103.6877816 1.3537325),,Singapore,636958,62 Nanyang Crescent,yes,"Binjai Hall (19A, 19B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4751154965,POINT (103.6884861 1.3538124),,Singapore,636960,66 Nanyang Crescent,yes,"Banyan Hall (21A, 21B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4751154966,POINT (103.688126 1.3537549),,Singapore,636959,64 Nanyang Crescent,yes,"Tanjong Hall (20A, 20B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967705,"POLYGON ((103.6806042 1.3450551, 103.6805558 1.3450558, 103.6805549 1.3456048, 103.6805577 1.3458529, 103.680554 1.3459998, 103.6805599 1.3463297, 103.6805569 1.3465088, 103.6805569 1.3467171, 103.680557 1.3468513, 103.6805578 1.3474955, 103.6805588 1.3475275, 103.6805672 1.3476015, 103.680591 1.3476723, 103.6806285 1.34773, 103.6806853 1.3477785, 103.6807492 1.3478118, 103.6808126 1.3478281, 103.680882 1.3478332, 103.6809504 1.3478238, 103.6810165 1.3477946, 103.6810674 1.347757, 103.68111 1.3477152, 103.6811445 1.3476689, 103.6811762 1.3475983, 103.6811865 1.3475477, 103.6811914 1.3472139, 103.6811921 1.347167, 103.6811923 1.347154, 103.6811926 1.3469451, 103.6811912 1.346761, 103.6811881 1.346477, 103.6811916 1.3462662, 103.6811915 1.3462022, 103.6811913 1.3461201, 103.6811969 1.3454572, 103.6811031 1.345457, 103.6811053 1.3453465, 103.6810559 1.3453466, 103.6810543 1.3454568, 103.6809227 1.3454561, 103.6809212 1.3453464, 103.6809216 1.345118, 103.6809226 1.3450526, 103.6808193 1.3450535, 103.6807108 1.3450545, 103.6806042 1.3450551))",,,,,university,North Spine,,,"[4965046850, 634841730, 634854517, 634854523, 3922463606, 3922463603, 634858947, 634858951, 1305543705, 634841736, 5177700377, 634841741, 5177700375, 5177700373, 634841744, 5177700371, 634841746, 5177700369, 5177700370, 634841747, 634841749, 5177700372, 5177700374, 5177700376, 634841759, 10143439144, 10143439148, 634849311, 634849313, 976471348, 976471349, 5191172668, 9882332359, 5191172667, 634841718, 4965046862, 4965046864, 4965046865, 4965046863, 634841722, 4965046869, 4965046868, 634841727, 1306487399, 4965046849, 4965046850]",5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967706,"POLYGON ((103.6807048 1.3437107, 103.6808593 1.3435568, 103.6813227 1.343092, 103.6814935 1.3429252, 103.6819937 1.3424628, 103.6821516 1.3423244, 103.6823075 1.3423213, 103.6824406 1.342378, 103.6825435 1.3425794, 103.6825084 1.34276, 103.6824288 1.3428687, 103.6822545 1.3430403, 103.6820998 1.3431909, 103.6816201 1.3436617, 103.6816015 1.343681, 103.6814793 1.3438011, 103.6813422 1.3439351, 103.6812641 1.3438572, 103.6811219 1.3440006, 103.6810605 1.3440625, 103.6808834 1.3438847, 103.6806178 1.3441536, 103.6805505 1.3442301, 103.6804074 1.3440908, 103.680742 1.3437472, 103.6807048 1.3437107))",,,,,university,South Spine,,,"[634841779, 634845868, 634845871, 634845874, 634841783, 634841784, 634841785, 634841791, 634841794, 634841797, 634841801, 634844868, 634844872, 634844874, 8410541284, 634844877, 634841811, 634841815, 5244309203, 634841818, 4965046859, 5244309204, 4965046860, 4965046861, 5266262798, 634841779]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967805,"POLYGON ((103.6833219 1.3444462, 103.6834767 1.3442956, 103.6827918 1.3435921, 103.6823123 1.3430996, 103.6822613 1.3430481, 103.6822545 1.3430403, 103.6820998 1.3431909, 103.6821145 1.3432023, 103.6821589 1.3432516, 103.6825896 1.343694, 103.6826441 1.34375, 103.6830089 1.3441247, 103.6833219 1.3444462))",,,,,university,Nanyang Business School (S3),,,"[5266206401, 634844886, 4909930850, 4909930851, 8410541285, 634844868, 634844872, 8410541286, 4909930852, 4909930848, 5266206398, 4909930847, 5266206401]",,1,Nanyang Business School (S3),Sekolah Perniagaan Nanyang (S3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967806,"POLYGON ((103.6828231 1.3448758, 103.681687 1.3437336, 103.6816729 1.3437188, 103.6816201 1.3436617, 103.6816015 1.343681, 103.6814793 1.3438011, 103.6814976 1.3438204, 103.68153 1.3438523, 103.6815495 1.343872, 103.6826824 1.3450152, 103.6827447 1.3449535, 103.6828231 1.3448758))",,Singapore,639798,Nanyang Avenue,university,S. Rajaratnam School of International Studies (S4),,https://www.rsis.edu.sg/,"[5266206400, 8410541282, 5266206397, 634844874, 8410541284, 634844877, 8410541283, 5244309208, 8407812783, 634844894, 1303595762, 5266206400]",,1,S. Rajaratnam School of International Studies (S4),Sekolah Pengajian Antarabangsa S Rajaratnam (S4),50,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967807,"POLYGON ((103.6810631 1.3421193, 103.6815238 1.3416783, 103.6817866 1.3415321, 103.6822167 1.3414493, 103.6822559 1.3418321, 103.6823976 1.3418426, 103.682523 1.341871, 103.6826413 1.3419321, 103.6827674 1.3420212, 103.6828842 1.3421196, 103.6826425 1.3423502, 103.682521 1.3422077, 103.6823817 1.3421343, 103.6822148 1.3421185, 103.6820496 1.3421505, 103.6818993 1.3422445, 103.6817855 1.3423447, 103.681552 1.3425708, 103.6810631 1.3421193))",,,,,university,School of Physical and Mathematical Sciences,,,"[634844900, 634844901, 634844902, 634844904, 634844908, 634844911, 4905129643, 634844915, 4905129644, 634844918, 634844920, 4905129641, 634844922, 4905129642, 634844924, 4905129650, 634844927, 634844928, 634844900]",,,School of Physical and Mathematical Sciences,Sekolah Sains Fizikal dan Matematik,,,-,物理与数学科学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967820,"POLYGON ((103.6800372 1.3417755, 103.6802081 1.3416087, 103.6808249 1.3422405, 103.6809312 1.342349, 103.6814935 1.3429252, 103.6813227 1.343092, 103.6807439 1.3424987, 103.6806487 1.3424017, 103.6800372 1.3417755))",,,,,university,School of Electrical and Electronic Engineering (S2),,,"[634845885, 634845888, 5204511578, 6557659240, 634845874, 634845871, 6557659241, 5204511575, 634845885]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967822,"POLYGON ((103.6794801 1.3424817, 103.6796346 1.3423278, 103.6808593 1.3435568, 103.6807048 1.3437107, 103.6794801 1.3424817))",,,,,university,School of Electrical and Electronic Engineering (S1),,,"[634845900, 634845910, 634845868, 634841779, 634845900]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
