element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,addr:unit,amenity,brand,brand:wikidata,brand:wikipedia,cuisine,level,name,official_name,takeaway,geometry,air_conditioning,opening_hours
node,3922461042,Singapore,76,637331,Nanyang Drive,#01-06,cafe,Starbucks,Q37158,en:Starbucks,coffee_shop,1,Starbucks,Starbucks Coffee,yes,POINT (103.6801219 1.3469027),,
node,3922463563,,,,,,cafe,,,,,,Art Pastry @ ADM,,,POINT (103.6838395 1.3496947),,
node,4638215531,,,,,,cafe,,,,,,Co-op@NTU Cafe,,,POINT (103.6825786 1.3432489),,
node,4751149020,Singapore,50,639798,Nanyang Avenue,,cafe,,,,bubble_tea,,Each-A-Cup,,,POINT (103.6808489 1.3468483),,
node,4755243794,Singapore,59,636921,Nanyang Drive,,cafe,,,,sandwich;salad;regional,3,June's Breathe Cafe,,,POINT (103.6783322 1.344709),yes,Mo-Fr 08:00-17:00
node,4913953581,,,,,,cafe,,,,bubble_tea,,LiHO,,,POINT (103.6833192 1.3436331),,
node,10687611434,Singapore,50,639798,Nanyang Avenue,,cafe,,,,coffee_shop,,Venture Drive Coffee,,,POINT (103.6805214 1.3469781),,Mo-Fr 08:00-18:00; Sa 09:00-15:00
node,10687611436,Singapore,71,638075,Nanyang Drive,#03-23,cafe,,,,,,Connect 71 Cafe,,,POINT (103.6816276 1.3482745),,Mo-Fr 09:00-21:00
node,10687611437,Singapore,63,636922,Nanyang Drive,#B1-01,cafe,,,,,,The Tea Party,,,POINT (103.6816406 1.3477155),,Mo-Sa 09:00-21:00
node,10837019613,Singapore,76,637331,Nanyang Drive,,cafe,,,,bubble_tea,2,CHICHA San Chen,,,POINT (103.6802064 1.3470082),yes,
node,10837019614,Singapore,50,639798,Nanyang Avenue,,cafe,,,,bubble_tea,,Yilin Likes Tea,,,POINT (103.6807038 1.3472263),,Mo-Sa 10:00-20:00
node,11536248548,Singapore,91,639798,Nanyang Avenue,,cafe,,,,coffee_shop,,Venture Drive Coffee,,,POINT (103.6832488 1.341901),,
