u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,service,tunnel,access,width,bridge,area
246167342,8413529324,0,646975782,2,Lorong Danau,unclassified,50,False,False,8.757,"LINESTRING (103.6900407 1.3565328, 103.6900124 1.3566063)",,,,,,,
246167342,6518141189,0,713421970,2,Nanyang Avenue,unclassified,40,False,False,46.49,"LINESTRING (103.6900407 1.3565328, 103.6899076 1.3565094, 103.6897292 1.3564391, 103.6896521 1.3563902)",,,,,,,
246167354,1989618684,0,369912564,,Nanyang Avenue,residential,40,True,False,16.387999999999998,"LINESTRING (103.687871 1.3551843, 103.6878541 1.355217, 103.68785 1.3552536, 103.6878594 1.3552893, 103.6878809 1.3553192)",roundabout,,,,,,
246167354,8411292364,0,"[699878672, 190535811, 699878670, 699878671]",2,Nanyang Avenue,residential,40,False,False,119.645,"LINESTRING (103.687871 1.3551843, 103.6876366 1.354989, 103.6874739 1.3548468, 103.6873128 1.3547059, 103.6871956 1.3545693, 103.6871007 1.3544393)",,,,,,,
246167357,8411292364,0,190535811,2,Nanyang Avenue,residential,40,False,True,17.179,"LINESTRING (103.6870096 1.3543145, 103.6871007 1.3544393)",,,,,,,
246167357,4084447575,0,115344688,,,footway,,False,False,11.164,"LINESTRING (103.6870096 1.3543145, 103.6869682 1.3543481, 103.6869294 1.3543748)",,,,,,,
246167357,1303595788,0,"[699878669, 700123341]",2,Nanyang Avenue,residential,40,False,False,78.892,"LINESTRING (103.6870096 1.3543145, 103.6867932 1.3539861, 103.6866192 1.353722)",,,,,,,
246167375,4314553292,0,645210209,2,Nanyang Avenue,residential,40,False,True,2.634,"LINESTRING (103.6857021 1.3504478, 103.6857098 1.3504702)",,,,,,,
246167375,976464381,0,644038141,2,Nanyang View,residential,40,False,False,51.294,"LINESTRING (103.6857021 1.3504478, 103.6857408 1.3504353, 103.6858589 1.350397, 103.6859917 1.3503935, 103.6861526 1.3504239)",,,,,,,
246167375,1300782334,0,"[699889838, 645114943]",2,Nanyang Avenue,residential,40,False,False,39.748999999999995,"LINESTRING (103.6857021 1.3504478, 103.6856332 1.3502723, 103.6856 1.3502141, 103.6855494 1.3501256)",,,,,,,
246167379,1300782334,0,645114943,2,Nanyang Avenue,residential,40,False,True,34.833,"LINESTRING (103.6853537 1.3498811, 103.6854298 1.3499696, 103.6854709 1.3500226, 103.6855494 1.3501256)",,,,,,,
246167379,1300545157,0,"[699889835, 699889837]","['1', '2']",Nanyang Avenue,residential,40,True,False,39.161,"LINESTRING (103.6853537 1.3498811, 103.6853375 1.349855, 103.685255 1.3497605, 103.6851829 1.3496737, 103.6851296 1.3496098)",,,,,,,
246167386,4314522140,0,83888880,2,,service,40,False,False,2.746,"LINESTRING (103.6870784 1.3509594, 103.6870952 1.3509413)",,,,,,,
246167386,4280535662,0,384644174,2,,service,,False,False,2.652,"LINESTRING (103.6870784 1.3509594, 103.6870608 1.3509755)",,,,,,,
246167386,3879800728,0,"[754818321, 644038140]",2,Nanyang View,residential,40,False,True,55.25,"LINESTRING (103.6870784 1.3509594, 103.6870207 1.3508939, 103.6869626 1.3508462, 103.6869105 1.3508156, 103.6866692 1.3506856)",,,,,,,
246167386,309303760,0,"[701283120, 22886834]",2,Nanyang View,residential,40,False,False,151.618,"LINESTRING (103.6870784 1.3509594, 103.6871747 1.3510938, 103.6872857 1.3512518, 103.6873346 1.3513491, 103.6873676 1.3514617, 103.6873757 1.3515738, 103.6873883 1.3522402)",,,,,,,
246167401,3922463621,0,644273435,2,Lien Ying Chow Drive,residential,40,False,False,11.815,"LINESTRING (103.6854159 1.3490579, 103.6854963 1.3489884)",,,,,,,
246167401,4226152920,0,905259023,,,footway,,False,False,9.315,"LINESTRING (103.6854159 1.3490579, 103.6854647 1.349126)",,,,,,,
246167401,8406927495,0,905259023,,,footway,,False,True,10.917,"LINESTRING (103.6854159 1.3490579, 103.6853625 1.3489755)",,,,,,,
246167401,6769450834,0,644273435,2,Lien Ying Chow Drive,residential,40,False,True,36.661,"LINESTRING (103.6854159 1.3490579, 103.685278 1.3492057, 103.685225 1.3492836, 103.6852058 1.3493109)",,,,,,,
246167404,5204561467,0,646688991,2,Lien Ying Chow Drive,residential,40,False,True,9.371,"LINESTRING (103.6859711 1.3488107, 103.6858937 1.3488441)",,,,,,,
246167404,4095104987,0,701842375,2,Nanyang Hill,residential,40,False,False,11.94,"LINESTRING (103.6859711 1.3488107, 103.686015 1.3489087)",,,,,,,
246167404,8406841603,0,754817534,2,Student Walk,residential,40,False,True,6.816,"LINESTRING (103.6859711 1.3488107, 103.6859641 1.3487498)",,,,,,,
246167404,246167412,0,643372581,2,Lien Ying Chow Drive,residential,40,False,False,71.851,"LINESTRING (103.6859711 1.3488107, 103.6862396 1.3487411, 103.6863972 1.348635, 103.6865012 1.3484894)",,,,,,,
246167412,4287920489,0,646982404,2,Lien Ying Chow Drive,residential,40,False,False,20.18,"LINESTRING (103.6865012 1.3484894, 103.6865666 1.3483201)",,,,,,,
246167412,4287920497,0,701841496,2,Nanyang Green,residential,40,False,False,8.178,"LINESTRING (103.6865012 1.3484894, 103.686563 1.3485293)",,,,,,,
246167412,246167404,0,643372581,2,Lien Ying Chow Drive,residential,40,False,True,71.851,"LINESTRING (103.6865012 1.3484894, 103.6863972 1.348635, 103.6862396 1.3487411, 103.6859711 1.3488107)",,,,,,,
246167426,4317772028,0,432824404,1,,service,,True,False,7.661,"LINESTRING (103.6865851 1.3481088, 103.686653 1.348097)",,parking_aisle,,,,,
246167426,4317760696,0,"[676700632, 643372580]",2,Lien Ying Chow Drive,residential,40,False,False,65.173,"LINESTRING (103.6865851 1.3481088, 103.6865723 1.3479083, 103.6865547 1.3475235)",,,,,,,
246167426,4287920489,0,646982404,2,Lien Ying Chow Drive,residential,40,False,True,23.588,"LINESTRING (103.6865851 1.3481088, 103.6865729 1.3482656, 103.6865666 1.3483201)",,,,,,,
246167454,3922463612,0,644270865,2,Lien Ying Chow Drive,residential,40,False,True,25.457,"LINESTRING (103.6884146 1.3448305, 103.6882822 1.3450173)",,,,,,,
246167454,3922463615,0,644271929,3,Nanyang Crescent,residential,40,False,False,35.215,"LINESTRING (103.6884146 1.3448305, 103.6886503 1.3450421)",,,,,,,
246167454,3922463616,0,644272743,2,Nanyang Drive,residential,40,False,True,19.2,"LINESTRING (103.6884146 1.3448305, 103.6882818 1.3447201)",,,,,,,
246167544,4316717940,0,432725809,,,service,,False,True,9.689,"LINESTRING (103.6891683 1.3455375, 103.6891175 1.3456083)",,emergency_access,,,,,
246167544,4316717947,0,644417755,3,Nanyang Crescent,residential,40,False,False,39.717,"LINESTRING (103.6891683 1.3455375, 103.6894356 1.3457745)",,,,,,,
