element_type,osmid,amenity,name,opening_hours,geometry,check_date:currency:XBT,contact:facebook,currency:XBT,diet:vegetarian,name:en,addr:city,addr:housenumber,addr:postcode,addr:street,air_conditioning,level
node,2207661023,food_court,Canteen 2,Mo-Su 07:00-21:00,POINT (103.6854467 1.3483769),,,,,,,,,,,
node,2668136108,food_court,Canteen 1,,POINT (103.6860133 1.3464473),2014-02-12,https://www.facebook.com/pages/Food-Canopy-NTU-Canteen-1/360427838035893,yes,only,Canteen 1,,,,,,
node,3421785682,food_court,Canteen 13,,POINT (103.6810558 1.3517135),,,,,,,,,,,
node,3421844749,food_court,Canteen 9,,POINT (103.6854664 1.3524651),,,,,,,,,,,
node,3922461048,food_court,North Spine Food Court,,POINT (103.6800715 1.3470031),,,,,,Singapore,76,637331,Nanyang Drive,yes,2
node,3922463590,food_court,NIE Canteen,,POINT (103.6776455 1.34849),,,,,,,,,,,
node,3922463591,food_court,Canteen 11,,POINT (103.6863135 1.3547697),,,,,,,,,,,
node,3922463592,food_court,Canteen 14,,POINT (103.6821887 1.3527791),,,,,,,,,,,
node,3922463593,food_court,Canteen 16,,POINT (103.681074 1.3501936),,,,,,,,,,,
node,5233718610,food_court,Foodgle Food Court,,POINT (103.6850323 1.3551694),,,,,,,,,,,
node,7321337674,food_court,The Quad,,POINT (103.6798638 1.3449084),,,,,,,,,,,
