osmid,y,x,street_count,highway,geometry
246167342,1.3565328,103.6900407,3,,POINT (103.6900407 1.3565328)
246167354,1.3551843,103.687871,3,,POINT (103.687871 1.3551843)
246167357,1.3543145,103.6870096,3,,POINT (103.6870096 1.3543145)
246167375,1.3504478,103.6857021,3,,POINT (103.6857021 1.3504478)
246167379,1.3498811,103.6853537,3,,POINT (103.6853537 1.3498811)
246167386,1.3509594,103.6870784,4,,POINT (103.6870784 1.3509594)
246167401,1.3490579,103.6854159,4,crossing,POINT (103.6854159 1.3490579)
246167404,1.3488107,103.6859711,4,,POINT (103.6859711 1.3488107)
246167412,1.3484894,103.6865012,3,,POINT (103.6865012 1.3484894)
246167426,1.3481088,103.6865851,3,,POINT (103.6865851 1.3481088)
246167454,1.3448305,103.6884146,3,,POINT (103.6884146 1.3448305)
246167544,1.3455375,103.6891683,3,,POINT (103.6891683 1.3455375)
246167558,1.3436841,103.6860706,4,crossing,POINT (103.6860706 1.3436841)
246167601,1.3418261,103.6838561,3,,POINT (103.6838561 1.3418261)
246167610,1.3440791,103.6852922,3,,POINT (103.6852922 1.3440791)
246167672,1.3456951,103.6861075,4,,POINT (103.6861075 1.3456951)
246167691,1.347936,103.6858361,3,,POINT (103.6858361 1.347936)
246167715,1.3413475,103.6791219,3,,POINT (103.6791219 1.3413475)
246167728,1.3421661,103.6809171,4,,POINT (103.6809171 1.3421661)
246167788,1.3430272,103.6790509,3,,POINT (103.6790509 1.3430272)
246167794,1.3439063,103.678917,3,,POINT (103.678917 1.3439063)
246167801,1.3453552,103.6784456,3,,POINT (103.6784456 1.3453552)
246167809,1.3471155,103.6783832,3,,POINT (103.6783832 1.3471155)
246167867,1.3462098,103.6833773,3,,POINT (103.6833773 1.3462098)
246167899,1.3490845,103.6823284,3,,POINT (103.6823284 1.3490845)
246167953,1.3536637,103.6824523,3,,POINT (103.6824523 1.3536637)
246167966,1.351032,103.6797603,3,,POINT (103.6797603 1.351032)
246167982,1.3507808,103.6788967,4,,POINT (103.6788967 1.3507808)
246167992,1.3502924,103.676756,3,,POINT (103.676756 1.3502924)
246168055,1.3505856,103.6804248,3,,POINT (103.6804248 1.3505856)
309303756,1.3524248,103.68841,3,mini_roundabout,POINT (103.68841 1.3524248)
309303757,1.352426,103.6875798,4,,POINT (103.6875798 1.352426)
309303758,1.3526181,103.6873969,4,,POINT (103.6873969 1.3526181)
309303759,1.3524303,103.6871985,3,,POINT (103.6871985 1.3524303)
309303760,1.3522402,103.6873883,4,,POINT (103.6873883 1.3522402)
309303770,1.3530358,103.6873918,1,mini_roundabout,POINT (103.6873918 1.3530358)
567939437,1.347715,103.6896927,3,,POINT (103.6896927 1.347715)
634828888,1.3439564,103.6814271,3,,POINT (103.6814271 1.3439564)
634828891,1.3428967,103.682507,3,,POINT (103.682507 1.3428967)
634828896,1.343137,103.683507,3,,POINT (103.683507 1.343137)
634829205,1.3407991,103.683428,3,,POINT (103.683428 1.3407991)
634829207,1.3423166,103.6818696,1,,POINT (103.6818696 1.3423166)
634829216,1.3403166,103.6826766,3,,POINT (103.6826766 1.3403166)
634829224,1.341393,103.6818797,3,,POINT (103.6818797 1.341393)
634829629,1.3461813,103.6874436,3,,POINT (103.6874436 1.3461813)
634830184,1.3444178,103.6844798,4,crossing,POINT (103.6844798 1.3444178)
634831113,1.3471134,103.683637,3,,POINT (103.683637 1.3471134)
634831124,1.3462954,103.6832544,3,,POINT (103.6832544 1.3462954)
634833508,1.3521996,103.6841142,1,,POINT (103.6841142 1.3521996)
634833517,1.3509273,103.6837939,3,,POINT (103.6837939 1.3509273)
634844904,1.3414493,103.6822167,1,,POINT (103.6822167 1.3414493)
634847355,1.3439933,103.6839212,3,,POINT (103.6839212 1.3439933)
634981715,1.3448657,103.6818641,3,,POINT (103.6818641 1.3448657)
634981717,1.3447494,103.6817728,3,,POINT (103.6817728 1.3447494)
976460174,1.3517934,103.6857821,3,,POINT (103.6857821 1.3517934)
976460179,1.3512503,103.6852285,3,,POINT (103.6852285 1.3512503)
976460182,1.3511544,103.685178,3,,POINT (103.685178 1.3511544)
976461130,1.3508284,103.6874479,3,,POINT (103.6874479 1.3508284)
976461131,1.3507686,103.6877379,3,,POINT (103.6877379 1.3507686)
976461133,1.3509286,103.6878114,3,,POINT (103.6878114 1.3509286)
976461134,1.3509255,103.6879564,3,,POINT (103.6879564 1.3509255)
976461135,1.3509344,103.6885026,3,,POINT (103.6885026 1.3509344)
976461136,1.3512539,103.6885303,4,,POINT (103.6885303 1.3512539)
976461137,1.3512579,103.688237,1,,POINT (103.688237 1.3512579)
976464381,1.3504239,103.6861526,4,crossing,POINT (103.6861526 1.3504239)
976468536,1.3465947,103.6834537,3,,POINT (103.6834537 1.3465947)
976468537,1.3467753,103.6835876,3,,POINT (103.6835876 1.3467753)
976468538,1.3469416,103.6836494,3,,POINT (103.6836494 1.3469416)
976468540,1.3469496,103.6831693,3,,POINT (103.6831693 1.3469496)
976468541,1.346778,103.6831669,3,,POINT (103.6831669 1.346778)
976468542,1.3465937,103.6831645,3,,POINT (103.6831645 1.3465937)
976472445,1.3479905,103.6819818,4,,POINT (103.6819818 1.3479905)
976472450,1.3468717,103.6821302,3,,POINT (103.6821302 1.3468717)
976472451,1.3479905,103.682141,4,,POINT (103.682141 1.3479905)
1257599737,1.3567566,103.689936,3,,POINT (103.689936 1.3567566)
1278631573,1.3512491,103.68862,3,,POINT (103.68862 1.3512491)
1278631576,1.3509309,103.6886225,3,,POINT (103.6886225 1.3509309)
1300545156,1.3497026,103.6850114,3,,POINT (103.6850114 1.3497026)
1300545157,1.3496098,103.6851296,3,,POINT (103.6851296 1.3496098)
1300545159,1.3496583,103.6849437,3,,POINT (103.6849437 1.3496583)
1300545163,1.3495561,103.6851185,3,,POINT (103.6851185 1.3495561)
1300545165,1.3495034,103.6850491,3,,POINT (103.6850491 1.3495034)
1300545167,1.3496905,103.6850791,3,,POINT (103.6850791 1.3496905)
1300545169,1.3495126,103.684982,3,,POINT (103.684982 1.3495126)
1300545181,1.3495643,103.6849346,3,,POINT (103.6849346 1.3495643)
1300782334,1.3501256,103.6855494,4,crossing,POINT (103.6855494 1.3501256)
1301738692,1.3517202,103.6792209,1,,POINT (103.6792209 1.3517202)
1301738709,1.3531659,103.6818081,3,,POINT (103.6818081 1.3531659)
1301738715,1.3455242,103.6824111,3,,POINT (103.6824111 1.3455242)
1301738725,1.3467931,103.6784001,4,crossing,POINT (103.6784001 1.3467931)
1301738733,1.3425385,103.6836887,3,,POINT (103.6836887 1.3425385)
1301747322,1.341559,103.6791248,3,,POINT (103.6791248 1.341559)
1301852854,1.3498021,103.6871538,1,,POINT (103.6871538 1.3498021)
1301852919,1.3520026,103.6891762,3,,POINT (103.6891762 1.3520026)
1301852923,1.3522166,103.6852396,3,,POINT (103.6852396 1.3522166)
1301852990,1.3424126,103.6826144,4,crossing,POINT (103.6826144 1.3424126)
1301853106,1.3494905,103.6871229,1,,POINT (103.6871229 1.3494905)
1301853124,1.3415914,103.6803449,4,,POINT (103.6803449 1.3415914)
1301853136,1.3527915,103.6854725,1,,POINT (103.6854725 1.3527915)
1301853148,1.3517913,103.6897614,3,,POINT (103.6897614 1.3517913)
1301853214,1.3452574,103.6859964,1,,POINT (103.6859964 1.3452574)
1301853216,1.3520473,103.6852947,1,,POINT (103.6852947 1.3520473)
1301853234,1.3530474,103.6889297,3,,POINT (103.6889297 1.3530474)
1301853256,1.3495387,103.686625,1,,POINT (103.686625 1.3495387)
1301853296,1.3471731,103.6858081,4,,POINT (103.6858081 1.3471731)
1301853403,1.3522467,103.6850456,1,,POINT (103.6850456 1.3522467)
1301853419,1.3522767,103.6851717,3,,POINT (103.6851717 1.3522767)
1301853430,1.3409352,103.6800709,1,,POINT (103.6800709 1.3409352)
1301853446,1.3497413,103.6870315,3,,POINT (103.6870315 1.3497413)
1301853505,1.3497704,103.6872605,4,,POINT (103.6872605 1.3497704)
