element_type,osmid,amenity,geometry,parking,nodes,fee,name,name:en,building,access,surface
node,5204486743,parking,POINT (103.6892929 1.3466849),underground,,,,,,,
way,83888688,parking,"POLYGON ((103.6848974 1.3506863, 103.6849588 1.3506525, 103.6848187 1.3505469, 103.6848974 1.3506863))",,"[5125992877, 976460186, 5125992876, 5125992877]",,,,,,
way,83888823,parking,"POLYGON ((103.6850628 1.3522658, 103.6849989 1.3521891, 103.6852707 1.351963, 103.6853346 1.3520398, 103.6850628 1.3522658))",,"[976460175, 976460885, 976460886, 976460884, 976460175]",,,,,,
way,83888884,parking,"POLYGON ((103.6877392 1.3508199, 103.6878012 1.3509981, 103.6875743 1.3510696, 103.6875427 1.3510796, 103.6874635 1.3509607, 103.6875769 1.3509269, 103.6875553 1.3508781, 103.6877392 1.3508199))",,"[3726069367, 3726069373, 4288309656, 3726069374, 3726069372, 3726069371, 3726069369, 3726069367]",,,,,,
way,83890523,parking,"POLYGON ((103.6831838 1.3465264, 103.6831852 1.3472017, 103.6834837 1.3472017, 103.6835884 1.3471535, 103.6836978 1.3471662, 103.6837185 1.3470542, 103.6837169 1.3469496, 103.683705 1.3468599, 103.6836586 1.3467656, 103.6835166 1.3465493, 103.6833798 1.346526, 103.6831838 1.3465264))",,"[4174045245, 4174045257, 8906730726, 8906730725, 4174045256, 4174045253, 4174045249, 8906730724, 4174045248, 4174045246, 8906730723, 4174045245]",yes,Car Park F,,,,
way,115344685,parking,"POLYGON ((103.6830228 1.345646, 103.683124 1.3456994, 103.6833578 1.3457454, 103.683413 1.3455172, 103.6830725 1.3454381, 103.6830545 1.3455132, 103.6830228 1.345646))",surface,"[1303595661, 1303595767, 1303595639, 1303595682, 1303595738, 5244311921, 1303595661]",,Car Park G,Car Park G,,,
way,115591942,parking,"POLYGON ((103.6788426 1.3467733, 103.6788435 1.3469121, 103.6789475 1.347075, 103.6789796 1.3471025, 103.6791875 1.3471441, 103.6792351 1.3471441, 103.6792915 1.3471226, 103.679329 1.3470737, 103.6793391 1.3470395, 103.6793464 1.3468283, 103.6793156 1.346776, 103.6791182 1.3467749, 103.6790501 1.3467745, 103.6788426 1.3467733))",multi-storey,"[1305546369, 1305546367, 5266358183, 5266358182, 5266358181, 5266358180, 5266358179, 1305546364, 5266358178, 1305546368, 5266358177, 1305546363, 5244298976, 1305546369]",,Car Park N2.1,,yes,,
way,115707224,parking,"POLYGON ((103.6806581 1.3465872, 103.6810812 1.3465878, 103.6810826 1.345503, 103.6808446 1.3455027, 103.6808451 1.345136, 103.6806603 1.3451358, 103.6806581 1.3465872))",multi-storey,"[1306486154, 1306486161, 1306486158, 1306486155, 1306486157, 1306486153, 1306486154]",,Car Park A,,,,
way,368763786,parking,"POLYGON ((103.6871966 1.3509039, 103.6875234 1.3508145, 103.6875111 1.3507696, 103.6871843 1.3508591, 103.6871966 1.3509039))",,"[3726069370, 3726069366, 3726069365, 3726069368, 3726069370]",,,,,,
way,368769214,parking,"POLYGON ((103.6853663 1.3510888, 103.6852393 1.3511619, 103.6852649 1.3512064, 103.6853919 1.3511333, 103.6853663 1.3510888))",,"[3726123147, 3726123156, 3726123160, 3726123152, 3726123147]",,,,,,
