element_type,osmid,amenity,name,name:en,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,cuisine,takeaway,opening_hours,air_conditioning,smoking,drive_through,level,addr:unit,diet:vegetarian,diet:halal,nodes,building,phone
node,3199837388,restaurant,Canteen 4,Canteen 4,POINT (103.6853982 1.3442156),,,,,,,,,,,,,,,,,
node,3405194137,restaurant,Koufu @ the South Spine,,POINT (103.6823317 1.3424541),,,,,,,,,,,,,,,,,
node,3922461044,restaurant,Encik Tan,,POINT (103.680161 1.3473438),Singapore,76,637331,Nanyang Drive,asian,yes,,,,,,,,,,,
node,3922461047,restaurant,,,POINT (103.6800107 1.3474477),Singapore,76,637331,Nanyang Drive,chinese,,,,,,,,,,,,
node,3922463557,restaurant,Paik's Bibim,,POINT (103.6806775 1.3468692),Singapore,50,639798,Nanyang Avenue,korean,,Mo-Fr 10:00-21:00; Sa 10:00-15:00,,,,,,,,,,
node,3922463558,restaurant,Mixed Greens,,POINT (103.6822847 1.3425699),,,,,salad,,,yes,,,,,,,,,
node,3922463559,restaurant,umisushi,,POINT (103.680847 1.3469695),Singapore,50,639798,Nanyang Avenue,sushi,,Mo-Fr 10:00-18:00,,,,,,,,,,
node,3922463562,restaurant,Zitimama's,,POINT (103.6804846 1.3441917),Singapore,SS1-01-05/SS1-01-05A (Opposite Nanyang Auditorium,639798,"50 Nanyang Avenue, Nanyang Technological University",italian,,Mo-Fr 08:00-16:00,,,,,,,,,,
node,3922463565,restaurant,Spruce Bistro Bar @ NTU,,POINT (103.6799757 1.3445744),,,,,,,,,,,,,,,,,
node,3922463594,restaurant,Pioneer Canteen,Pioneer Canteen,POINT (103.6884075 1.3460763),,,,,,,,,,,,,,,,,
node,4208133206,restaurant,The Soup Spoon Union,,POINT (103.6806 1.3469626),Singapore,50,639798,Nanyang Avenue,,,Mo-Fr 11:00-20:00,,,,,,,,,,
node,4275263720,restaurant,Fusion Spoon,,POINT (103.6879758 1.3504441),Singapore,50,639667,Nanyang View,,,,,no,,,,,,,,
node,4751158428,restaurant,Pen & Inc,,POINT (103.6799473 1.3472826),Singapore,76,637331,Nanyang Drive,,,,,,,,,,,,,
node,4965046619,restaurant,Blue Ocean Kopi & Toast,,POINT (103.6800377 1.3469031),Singapore,76,637331,Nanyang Drive,asian,,,,,no,1,,,,,,
node,5057668231,restaurant,Ribs Wings Burgers,,POINT (103.6881311 1.3541199),,,636959,Nanyang Crescent,,,Mo-Su 11:00-21:00,,,,,,,,,,
node,5057668232,restaurant,Top Pot- Steamboat & Mookata,,POINT (103.6881309 1.3540192),,,,Nanyang Crescent,,,,,,,,,,,,,
node,5177435126,restaurant,Ananda Kitchen,,POINT (103.6877749 1.3541209),Singapore,Blk 19A,636957,60 Nanyang Crescent,indian,,Mo-Su 12:00-22:30,,,,,#01-02,,,,,
node,10687611430,restaurant,Pasta Express,,POINT (103.6807925 1.3469341),Singapore,50,639798,Nanyang Avenue,italian,,Mo-Fr 10:30-19:30; Sa 10:30-13:30,,,,,,,,,,
node,10687611431,restaurant,The Crowded Bowl,,POINT (103.68079 1.3468252),Singapore,50,639798,Nanyang Avenue,salad,,Mo-Fr 09:00-19:00,,,,,,yes,,,,
node,10687611432,restaurant,Wok Express,,POINT (103.6808173 1.3467359),Singapore,50,639798,Nanyang Avenue,asian,,Mo-Fr 10:30-19:30,,,,,,,yes,,,
node,10687611433,restaurant,The House Steam Boat Restaurant,,POINT (103.6808183 1.3466786),Singapore,50,639798,Nanyang Avenue,chinese,,,,,,,,,,,,
node,11536248547,restaurant,The Crowded Bowl,,POINT (103.6832632 1.3418383),Singapore,91,639798,Nanyang Avenue,salad,,,,,,,,yes,,,,
way,83888985,restaurant,Campus Club House,,"POLYGON ((103.6877911 1.350617, 103.6878575 1.3505971, 103.6878135 1.3504532, 103.6881175 1.3503596, 103.6881513 1.3505095, 103.688306 1.3504612, 103.6883489 1.3506327, 103.6881222 1.3506971, 103.6881127 1.3506659, 103.6880108 1.3506963, 103.6880537 1.3508481, 103.6878918 1.3508954, 103.6878256 1.3507148, 103.6877911 1.350617))",,,,,,,07:00-22:00,,,,,,,,"[976461707, 976461708, 976461709, 976461710, 976461711, 976461712, 976461713, 5058367000, 5058366999, 976461714, 976461715, 976461716, 3736547006, 976461707]",yes,+65 6794 6138
way,518497755,restaurant,North Hill Food Court,,"POLYGON ((103.6880785 1.3545423, 103.6882022 1.3546043, 103.6883664 1.3542771, 103.6882428 1.354215, 103.6881334 1.3544329, 103.6880785 1.3545423))",,,636959,64 Nanyang Crescent,,,Mo-Su 07:00-20:00,,,,,,,,"[5057666415, 5057666416, 5057666417, 5057666418, 5057666419, 5057666415]",yes,
