element_type,osmid,geometry,nodes,natural,name,name:zh,water,intermittent,ways,type
way,115096968,"POLYGON ((103.6872307 1.3468728, 103.6872302 1.346921, 103.6872474 1.3469433, 103.6872586 1.3469715, 103.6873014 1.3469984, 103.6873601 1.3469836, 103.6873954 1.3469586, 103.687439 1.3469034, 103.6874869 1.3468386, 103.6875199 1.3467858, 103.68754 1.3467238, 103.6875195 1.3466508, 103.6874591 1.3466159, 103.6873856 1.3466226, 103.6873187 1.346642, 103.6872627 1.3467292, 103.6872375 1.3468164, 103.6872307 1.3468728))","[1301853249, 4316718000, 1301853600, 1301853383, 1301853191, 1301852992, 1301853714, 1301853469, 1301853286, 1301853630, 1301853407, 1301853219, 1301853016, 1301852820, 1301853498, 1301853310, 1301853102, 1301853249]",water,,,,,,
way,115102803,"POLYGON ((103.6795358 1.3506207, 103.6795447 1.3506884, 103.6795859 1.3507414, 103.6796389 1.3507591, 103.6797007 1.3507326, 103.6797272 1.3506884, 103.6797802 1.350656, 103.679848 1.3506443, 103.6798862 1.3506443, 103.6798804 1.3505913, 103.6798244 1.3505559, 103.6797596 1.3505589, 103.6796831 1.3505883, 103.6795918 1.3505795, 103.6795564 1.3505795, 103.6795358 1.3506207))","[1301909023, 1301909279, 1301909055, 1301909189, 1301909327, 1301909117, 1301909179, 1301909322, 1301909102, 1301909244, 1301909003, 1301909150, 1301909301, 1301909074, 1301909133, 1301909023]",water,Eco Pond,生态池,,,,
way,830628791,"POLYGON ((103.6847731 1.3443022, 103.6847833 1.3443062, 103.6848118 1.3442948, 103.6848425 1.3442865, 103.6848757 1.344283, 103.6849142 1.344286, 103.6849392 1.3442722, 103.6849736 1.3442636, 103.684989 1.3442474, 103.6849987 1.3442062, 103.6850107 1.3441804, 103.6850388 1.344159, 103.6850668 1.3441544, 103.6851022 1.3441403, 103.6851267 1.3441178, 103.6851369 1.3440838, 103.6851357 1.3440475, 103.6851154 1.3440204, 103.6850908 1.3439909, 103.685082 1.3439714, 103.6850757 1.3439428, 103.685076 1.3439149, 103.6850921 1.3438871, 103.6851256 1.3438627, 103.6851394 1.343843, 103.6851354 1.3438176, 103.6851229 1.343793, 103.6851008 1.343781, 103.6850438 1.3437616, 103.6850212 1.3437613, 103.6849942 1.3437693, 103.6849676 1.3437775, 103.6849483 1.3438058, 103.6849442 1.343828, 103.6849388 1.3438444, 103.6849127 1.3438632, 103.6848904 1.343878, 103.6848787 1.3438961, 103.6848755 1.3439158, 103.684921 1.3439531, 103.6849066 1.3439707, 103.6849352 1.3439941, 103.6848265 1.3441267, 103.6848254 1.3441384, 103.6848101 1.3441632, 103.6848066 1.3441765, 103.6848136 1.3441903, 103.6848169 1.3442061, 103.684811 1.344221, 103.6847731 1.3443022))","[9176391683, 9176391684, 9176391685, 7755569169, 7755578349, 9161991389, 9161991388, 7755578348, 9161991387, 9161991386, 7755578347, 9161991385, 9161991384, 7755578346, 9161991383, 9161991382, 7755578345, 9161991381, 9161991380, 7755578344, 9161991379, 7755578343, 9161991378, 7755578342, 9161991377, 9161991376, 7755578341, 9161991375, 9161991374, 7755578340, 7755569167, 9161991373, 7755578339, 9176312187, 9161991372, 7755578338, 9161991371, 9176312186, 7755578337, 9161991370, 9161991368, 9161991369, 9161991367, 9176312191, 9161991364, 9161991363, 9158078186, 7755578335, 7755578334, 9176391683]",water,,,lake,,,
way,830628792,"POLYGON ((103.6851732 1.3461651, 103.6852044 1.3462106, 103.6852225 1.3462637, 103.68524 1.346308, 103.6852562 1.3463433, 103.6852873 1.3463759, 103.6853309 1.3463889, 103.6853832 1.3464024, 103.6854318 1.3464234, 103.6854699 1.3464488, 103.6855008 1.3464521, 103.6855534 1.3464342, 103.685596 1.3464275, 103.6856282 1.3464449, 103.6856544 1.346464, 103.6856758 1.346467, 103.685713 1.3464576, 103.6857288 1.3464389, 103.6857293 1.3464066, 103.6857204 1.3463668, 103.6857046 1.346352, 103.6856829 1.3463381, 103.6856439 1.3463172, 103.685628 1.3462952, 103.6856164 1.3462491, 103.6856078 1.346193, 103.6855873 1.3461684, 103.6855527 1.3461536, 103.6855142 1.3461436, 103.6854934 1.3461573, 103.6854703 1.3461657, 103.685431 1.3461529, 103.6853728 1.3460978, 103.6853324 1.3460851, 103.6852954 1.3460974, 103.6852609 1.3461155, 103.6852432 1.3461099, 103.6852019 1.3461388, 103.6851732 1.3461651))","[7755578366, 9195166566, 9195166565, 7755578365, 9195166561, 7755578364, 9195166560, 7755578363, 9195166559, 7755578362, 9195166558, 7755578361, 9195254021, 9195254020, 7755578360, 9195254019, 9195243216, 9195243215, 7755578359, 9195254017, 9195254018, 7755578358, 9195243214, 7755578357, 9195243213, 7755578356, 9195243212, 9195243211, 7755578355, 9195243210, 9195243209, 7755578354, 9195243207, 7755578353, 9195243208, 7755578352, 7755578351, 7755569182, 7755578366]",water,,,lake,,,
way,830628793,"POLYGON ((103.68494 1.3460185, 103.6849584 1.3460481, 103.6849789 1.3460643, 103.6850139 1.3460701, 103.6850486 1.3460674, 103.6850809 1.346072, 103.685111 1.3460905, 103.6851483 1.3461248, 103.6851779 1.3461063, 103.6852141 1.3460813, 103.6852042 1.3460581, 103.685203 1.3460377, 103.6851991 1.3460089, 103.6851884 1.3459881, 103.6851695 1.3459692, 103.6851452 1.3459538, 103.6851109 1.3459557, 103.685084 1.3459684, 103.6850655 1.3459827, 103.6850501 1.345985, 103.6850274 1.3459692, 103.6849969 1.3459669, 103.6849644 1.3459932, 103.68494 1.3460185))","[7755578375, 9195166585, 7755578374, 9195166584, 9195166583, 7755578373, 9195166582, 7755578372, 7755569181, 7755578371, 9195166581, 9195166580, 9195166579, 9195166578, 7755578370, 9195166577, 7755578369, 9195166576, 9195166575, 9195166574, 7755578368, 7755578367, 7755569179, 7755578375]",water,,,lake,,,
way,830628794,"POLYGON ((103.6846696 1.3456706, 103.6846547 1.3456889, 103.6846529 1.3457155, 103.6846547 1.3457566, 103.6846523 1.3457735, 103.6846349 1.3457897, 103.6846021 1.3458062, 103.6845775 1.3458296, 103.6845641 1.345852, 103.6845603 1.3458701, 103.6845637 1.3458961, 103.6845851 1.3459311, 103.6846129 1.3459526, 103.6846421 1.3459579, 103.6846719 1.3459511, 103.6847012 1.3459364, 103.6847358 1.3459357, 103.6847643 1.3459538, 103.6847879 1.345975, 103.6848171 1.3459796, 103.6848633 1.3459761, 103.6849103 1.3459842, 103.6849291 1.3459611, 103.6849442 1.3459415, 103.6849507 1.3459245, 103.684913 1.3458964, 103.6849034 1.345888, 103.6849149 1.3457844, 103.6848841 1.3457609, 103.684839 1.3457559, 103.684814 1.3457436, 103.6847773 1.3457006, 103.684751 1.3456973, 103.6847305 1.345689, 103.6847122 1.3456763, 103.6846953 1.3456617, 103.6846696 1.3456706))","[7755588389, 9195181265, 7755588388, 9195181264, 9195181263, 7755588387, 9195181262, 7755588386, 7755588385, 9195181261, 7755578384, 9195181260, 7755578383, 9195181259, 9195181257, 7755578382, 9195181258, 9195181256, 7755578381, 9195181255, 7755578380, 9195181254, 7755569178, 7755578379, 9195181253, 9195181252, 9195181251, 7755578378, 9195181250, 9195181249, 7755578377, 9195181267, 7755578376, 7755569176, 9195181268, 9195181269, 7755588389]",water,,,lake,,,
way,993264853,"POLYGON ((103.6849665 1.3437708, 103.6849935 1.3437629, 103.6850203 1.343755, 103.6850186 1.3437423, 103.6849923 1.3437504, 103.6849645 1.343759, 103.6849665 1.3437708))","[9176436462, 9176436460, 9176436461, 9176436463, 9176436459, 9176436464, 9176436462]",water,,,pond,,,
way,993441032,"POLYGON ((103.6841187 1.3435186, 103.6842702 1.343645, 103.6843572 1.3435408, 103.6842057 1.3434144, 103.6841187 1.3435186))","[9178077881, 9178077880, 9178077879, 9178077878, 9178077881]",water,,,pond,,,
way,1152689932,"POLYGON ((103.6827824 1.3542582, 103.682828 1.3542209, 103.6836053 1.3548151, 103.6849744 1.355797, 103.6850298 1.3558568, 103.6850843 1.3560469, 103.6851133 1.3562384, 103.6850734 1.356244, 103.6850475 1.3560514, 103.6849865 1.355885, 103.6848916 1.3557925, 103.683829 1.3550401, 103.6830113 1.3544518, 103.6828815 1.3543744, 103.6827824 1.3542582))","[10721501175, 10721501176, 10721501177, 10721501178, 10721501179, 10721501180, 10721501181, 10721501182, 10721501183, 10721501184, 10721501185, 10721501186, 10721501187, 10721501188, 10721501175]",water,,,canal,yes,,
way,1152689933,"POLYGON ((103.6810079 1.3528825, 103.6810472 1.3528361, 103.6807482 1.3525741, 103.6794378 1.3511851, 103.6792517 1.351084, 103.6790907 1.3510342, 103.6789304 1.3510308, 103.6789371 1.3510879, 103.6789907 1.3510845, 103.6791798 1.3511094, 103.6792932 1.3511543, 103.6793903 1.3512193, 103.6806147 1.3525072, 103.6807816 1.3526777, 103.6810079 1.3528825))","[10721501189, 10721501190, 10721501191, 10721501192, 6326855827, 6326855826, 6326855824, 4094859405, 4094859404, 4094859406, 4094859407, 1503594981, 10721501193, 10721501194, 10721501189]",water,,,canal,yes,,
