element_type,osmid,amenity,name,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,cuisine,internet_access,level,name:zh,smoking,takeaway,opening_hours,outdoor_seating,wheelchair,addr:country,contact:facebook,email,phone,website,internet_access:fee,shop,level:ref,name:en,name:nan,official_name,brand:zh,int_name,nodes,building
node,687602963,cafe,The Tea Party,POINT (103.7752657 1.2994266),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2494611923,cafe,,POINT (103.7718 1.3019245),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3029151994,cafe,The Coffee Bean & Tea Leaf,POINT (103.7839807 1.2944378),Singapore,5,119074,"Lower Kent Ridge Road, National University Hospital",The Coffee Bean & Tea Leaf,Q1141384,en:The Coffee Bean & Tea Leaf,coffee_shop,wlan,0,香啡缤,no,yes,,,,,,,,,,,,,,,,,,
node,4018093552,cafe,Spinelli,POINT (103.7776255 1.2971068),,,,,,,,coffee_shop,,,Spinelli,,,,,,,,,,,,,,,,,,,,
node,4120577899,cafe,the coffee hut,POINT (103.7711803 1.2950868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4379291981,cafe,Dily's Creation,POINT (103.7817253 1.2954094),,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
node,5088429578,cafe,Arise & Shine,POINT (103.7806649 1.2968168),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5128589589,cafe,The Coffee Roaster,POINT (103.7722287 1.2961072),,,,,,,,,,,,no,,Mo-Fr 07:30-18:30; Sa 09:00-17:00; PH off,yes,yes,,,,,,,,,,,,,,,
node,5393400835,cafe,Jewel Coffee,POINT (103.7817053 1.2958221),Singapore,10,117597,Medical Drive,,,,,,,,no,,Mo-Fr 07:30-20:00; Sa-Su 08:00-17:00,,,SG,https://www.facebook.com/Jewelcoffee,jewelmedi@gmail.com,+65 6264 7893,https://jewelcoffee.com/,,,,,,,,,,
node,5936541047,cafe,Platypus Foodbar (E2A),POINT (103.7714113 1.2987428),Singapore,3,117579,Engineering Drive 2,,,,,,,,,,Mo-Sa 08:30-20:00,yes,,,,,,,,,,,,,,,,
node,6132175903,cafe,Spinelli,POINT (103.770681 1.3002456),Singapore,9,117575,Engineering Drive 1,,,,,,,Spinelli,no,yes,Mo-Fr 08:30-17:30,no,,,,,62524736,https://www.spinellicoffee.com/,no,,,,,,,,,
node,6294904053,cafe,Delifrance,POINT (103.7846964 1.2934154),,,,,,Q5320229,en:Délifrance,,,3,,,,,,,,,,,,,,,,,,,,,
node,6405687987,cafe,Swee Heng 1989 Bakery Cafe,POINT (103.7832568 1.2956693),,,,,,,,,,,瑞兴1989面包店,,,,,,,,,,,,bakery,,,,,,,,
node,6938838857,cafe,LiHO,POINT (103.771437 1.298126),,,,,,,,bubble_tea,,1,里喝茶,,,,,,,,,,,,,2,LiHO,汝好茶,,,,,
node,7121522400,cafe,Mk Levure Naturelle,POINT (103.7845921 1.2940969),,,,,,,,,,-1,,,,,,,,,,,,,bakery,,,,,,,,
node,7886527608,cafe,Humble Origins,POINT (103.7713584 1.2987584),Singapore,3,117579,Engineering Drive 2,,,,coffee_shop,,,,,,,yes,,,,,,,,,,,,,,,,
node,8415404623,cafe,Maxx Coffee,POINT (103.7733894 1.2965587),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8666521241,cafe,Starbucks,POINT (103.7715256 1.2978334),,,,,Starbucks,Q37158,en:Starbucks,coffee_shop,,,星巴克,,yes,,,,,,,,,,,3,,,Starbucks Coffee,,,,
node,8666521694,cafe,Gong Cha,POINT (103.7807725 1.2965441),,,,,Gong Cha,Q5581670,en:Gong Cha,bubble_tea,,,貢茶,,yes,,,,,,,,,,,,,,,貢茶,Gong Cha,,
node,9166775235,cafe,Starbucks,POINT (103.7799816 1.2960529),,,,,Starbucks,Q37158,en:Starbucks,coffee_shop,,,星巴克,,yes,,,,,,,,,,,,,,Starbucks Coffee,,,,
node,9781243796,cafe,Nami Café,POINT (103.775718 1.2943392),Singapore,3,117602,Research Link,,,,japanese;coffee_shop,,,,,,Mo-Fr 08:30-17:00,no,,,,,,https://nami.sg/,,,,,,,,,,
node,9956523136,cafe,Nine Fresh Desserts Taiwan,POINT (103.7809593 1.2965347),Singapore,27,117541,Science Drive 1,,,,dessert,,,九鲜台湾甜品店,,,"Mo-Fr 11:00-18:30, Sa 11:00-15:00",yes,,,,hello@ninefresh.com,,https://ninefresh.com/,,,,,,,,,,
node,11025729419,cafe,Li Ji Coffee,POINT (103.7800389 1.2963034),,,,,,,,coffee_shop,,,,,,,,,,,,,,,,,,,,,,,
node,11252774986,cafe,The Coffee Bean & Tea Leaf,POINT (103.7746761 1.2946824),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
way,439134475,cafe,Mr. Bean,"POLYGON ((103.7841363 1.2942134, 103.7841522 1.2942084, 103.7842342 1.2941825, 103.7842584 1.2941262, 103.7841524 1.2940806, 103.7841175 1.2941436, 103.7841363 1.2942134))",,,,,,,,,,,豆先生,,,,no,,,,,,,,,,,,,,,"[4367653395, 10686208825, 4367653394, 4367653392, 4367653391, 4367653393, 4367653395]",yes
way,439895275,cafe,Huggs,"POLYGON ((103.7846292 1.2939299, 103.7846395 1.2938526, 103.7847149 1.2938613, 103.7847002 1.2939397, 103.7846292 1.2939299))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4375723299, 4375723283, 4375723285, 4375723304, 4375723299]",
way,439895306,cafe,KOI Express,"POLYGON ((103.7846694 1.293589, 103.7846733 1.2936493, 103.7847244 1.2936464, 103.7847276 1.2936186, 103.7847246 1.2935849, 103.7846694 1.293589))",,,,,Sharetea,Q64827032,,bubble_tea,,-1,,,yes,,,,,,,,,,,,,,,,,"[4375723242, 4375723250, 4375723249, 4375723243, 4375723240, 4375723242]",
way,439895307,cafe,Starbucks,"POLYGON ((103.7846979 1.2940953, 103.7846325 1.2940721, 103.7846165 1.2941279, 103.7846784 1.2941537, 103.7846979 1.2940953))",,,,,Starbucks,Q37158,en:Starbucks,coffee_shop,,1,星巴克,,yes,,,,,,,,,,,,,,Starbucks Coffee,,,"[4375723332, 4375723329, 6934144756, 4375723335, 4375723332]",
