u,v,key,osmid,lanes,highway,service,oneway,reversed,length,geometry,name,maxspeed,junction,bridge,access,tunnel,width,est_width
239623420,595963312,0,46648192,2,service,parking_aisle,False,False,16.595,"LINESTRING (103.7821912 1.2973343, 103.7823224 1.2972631)",,,,,,,,
239623420,1855321078,0,174886261,,footway,,False,True,19.507,"LINESTRING (103.7821912 1.2973343, 103.7822609 1.2974953)",,,,,,,,
239623420,595963313,0,"[46648192, 744684052, 744684053]",2,service,parking_aisle,False,True,72.267,"LINESTRING (103.7821912 1.2973343, 103.7819302 1.2975076, 103.7818574 1.297556, 103.7816497 1.2976939)",,,,,,,,
239624382,1358272552,0,"[740961041, 22278628]",2,residential,,True,False,31.487000000000002,"LINESTRING (103.7744188 1.299354, 103.7744389 1.2994726, 103.7744759 1.2995692, 103.7745152 1.2996138)",Kent Ridge Crescent,40,roundabout,,,,,
239698353,7911485200,0,1086101784,,pedestrian,,False,False,9.468,"LINESTRING (103.7803351 1.2958579, 103.7804167 1.2958335)",,,,,,,,
239698353,9951762731,0,22278422,2,pedestrian,,False,True,18.026,"LINESTRING (103.7803351 1.2958579, 103.7803417 1.2959202, 103.7803448 1.2959731, 103.7803397 1.2960193)",Science Drive 2,,,,,,,
239698353,6969206326,0,647098889,2,pedestrian,,False,False,13.155000000000001,"LINESTRING (103.7803351 1.2958579, 103.7803178 1.2957931, 103.7802981 1.2957458)",Science Drive 2,,,,,,,
239699023,4780782036,0,652569819,2,residential,,False,False,10.818,"LINESTRING (103.7784064 1.2973614, 103.7784972 1.2973264)",Lower Kent Ridge Road,40,,,,,,
239699023,9346041195,0,22278427,2,service,,False,True,27.906999999999996,"LINESTRING (103.7784064 1.2973614, 103.7783858 1.2973047, 103.7783448 1.2972005, 103.7783195 1.297126)",Science Drive 4,,,,,,,
239699023,5120976553,0,"[744611505, 652569820]",2,residential,,False,True,55.760000000000005,"LINESTRING (103.7784064 1.2973614, 103.7782688 1.2974073, 103.7779337 1.297529)",Lower Kent Ridge Road,40,,,,,,
239699026,5229188372,0,645164447,2,service,,False,False,34.731,"LINESTRING (103.7784023 1.296341, 103.7786836 1.2962051)",Science Drive 4,,,,,,,
239699026,5122575790,0,526855207,2,service,parking_aisle,False,False,41.542,"LINESTRING (103.7784023 1.296341, 103.7782026 1.2962473, 103.778153 1.2961025)",Science Drive 4,,,,,,,
239699026,1534840149,0,644393263,2,service,,False,True,18.779,"LINESTRING (103.7784023 1.296341, 103.7783763 1.296378, 103.7783535 1.2964249, 103.7783336 1.2964936)",Science Drive 4,,,,,,,
239712244,7919548637,0,75044401,3,primary,,True,False,5.147,"LINESTRING (103.7705072 1.3015042, 103.7704839 1.3014642)",Clementi Road,60,,,,,,
239712244,243990702,0,389214434,,residential,,True,False,15.187,"LINESTRING (103.7705072 1.3015042, 103.7703826 1.3015602)",Kent Ridge Crescent,40,,,,,,
239712247,1358272751,0,738322172,,service,driveway,True,False,11.857,"LINESTRING (103.7713565 1.3011931, 103.7713938 1.301293)",,,,,,,,
239712247,1553453134,0,742063248,3,residential,,True,False,65.135,"LINESTRING (103.7713565 1.3011931, 103.7708063 1.3013945)",Kent Ridge Crescent,40,,,,,,
239712262,6912796541,0,667718877,2,residential,,True,False,27.544,"LINESTRING (103.7722844 1.2966245, 103.7723171 1.2966731, 103.7723501 1.2967224, 103.772429 1.2968255)",Kent Ridge Crescent,40,,,,,,
239712264,1534827400,0,119805560,,residential,,False,False,14.426,"LINESTRING (103.7709395 1.2964003, 103.7709125 1.2962734)",Kent Ridge Drive,40,,,,,,
