osmid,y,x,street_count,highway,ref,geometry
239623420,1.2973343,103.7821912,3,,,POINT (103.7821912 1.2973343)
239624382,1.299354,103.7744188,3,,,POINT (103.7744188 1.299354)
239698353,1.2958579,103.7803351,3,,,POINT (103.7803351 1.2958579)
239699023,1.2973614,103.7784064,3,,,POINT (103.7784064 1.2973614)
239699026,1.296341,103.7784023,3,,,POINT (103.7784023 1.296341)
239712244,1.3015042,103.7705072,4,traffic_signals,,POINT (103.7705072 1.3015042)
239712247,1.3011931,103.7713565,3,,,POINT (103.7713565 1.3011931)
239712262,1.2966245,103.7722844,3,,,POINT (103.7722844 1.2966245)
239712264,1.2964003,103.7709395,4,traffic_signals,,POINT (103.7709395 1.2964003)
239713810,1.2950564,103.7705745,3,,,POINT (103.7705745 1.2950564)
243990702,1.3015602,103.7703826,4,traffic_signals,,POINT (103.7703826 1.3015602)
361030521,1.2965349,103.7738818,3,,,POINT (103.7738818 1.2965349)
361030526,1.2937145,103.7754989,3,,,POINT (103.7754989 1.2937145)
409322778,1.2996874,103.7787587,3,,,POINT (103.7787587 1.2996874)
410462660,1.2954449,103.7844633,3,bus_stop,18071,POINT (103.7844633 1.2954449)
496801413,1.2934273,103.7721131,3,,,POINT (103.7721131 1.2934273)
496801419,1.2945609,103.772847,3,,,POINT (103.772847 1.2945609)
496801435,1.294385,103.7727545,3,,,POINT (103.7727545 1.294385)
496803225,1.297378,103.773597,3,,,POINT (103.773597 1.297378)
496803240,1.295154,103.7774532,3,,,POINT (103.7774532 1.295154)
496803241,1.2950065,103.7777133,4,crossing,,POINT (103.7777133 1.2950065)
496803243,1.294815,103.7780657,3,,,POINT (103.7780657 1.294815)
496803252,1.2936545,103.7809262,3,,,POINT (103.7809262 1.2936545)
496810076,1.2919561,103.7831786,4,,,POINT (103.7831786 1.2919561)
496810106,1.2920039,103.7739086,5,,,POINT (103.7739086 1.2920039)
496810111,1.293736,103.776023,3,,,POINT (103.776023 1.293736)
496810113,1.2935056,103.777251,3,,,POINT (103.777251 1.2935056)
496810228,1.2914599,103.7821095,5,crossing,,POINT (103.7821095 1.2914599)
595962253,1.2968502,103.7813302,3,,,POINT (103.7813302 1.2968502)
595962255,1.2967866,103.7828898,3,,,POINT (103.7828898 1.2967866)
595962256,1.296768,103.7829052,3,,,POINT (103.7829052 1.296768)
595962258,1.2968317,103.7830548,3,,,POINT (103.7830548 1.2968317)
595962261,1.2969238,103.7829297,3,,,POINT (103.7829297 1.2969238)
595963312,1.2972631,103.7823224,3,,,POINT (103.7823224 1.2972631)
595963313,1.2976939,103.7816497,3,,,POINT (103.7816497 1.2976939)
610183473,1.2983279,103.7736808,3,,,POINT (103.7736808 1.2983279)
610183475,1.2981904,103.7734574,3,,,POINT (103.7734574 1.2981904)
687603003,1.2937568,103.7768723,3,,,POINT (103.7768723 1.2937568)
687603022,1.2929578,103.775477,1,,,POINT (103.775477 1.2929578)
687603324,1.2967484,103.7708363,3,,,POINT (103.7708363 1.2967484)
687603472,1.2969833,103.7710393,1,,,POINT (103.7710393 1.2969833)
976478159,1.2940386,103.7757873,3,,,POINT (103.7757873 1.2940386)
976478163,1.2940067,103.7758279,3,,,POINT (103.7758279 1.2940067)
976478167,1.2948291,103.7752105,4,,,POINT (103.7752105 1.2948291)
976478176,1.2950484,103.7756428,1,,,POINT (103.7756428 1.2950484)
