element_type,osmid,access,amenity,fee,layer,name,name:zh,parking,geometry,source,nodes,capacity:disabled,lit,parking:orientation,ways,type
node,1736137758,yes,parking,yes,-1,Carpark 10B,10B号停车场,underground,POINT (103.7806428 1.2910919),,,,,,,
node,1736137774,yes,parking,yes,-1,Carpark 10C,10C号停场,underground,POINT (103.7811591 1.2943499),,,,,,,
node,1736137784,yes,parking,yes,-1,Carpark 12A,12A号停场,underground,POINT (103.7765051 1.2917853),,,,,,,
node,1736137812,yes,parking,yes,,Carpark 3,3号停车场,surface,POINT (103.7729639 1.3023641),,,,,,,
node,1736137835,yes,parking,yes,,Carpark 6B,6B号停车场,surface,POINT (103.7773365 1.2970268),,,,,,,
node,1736137856,yes,parking,yes,-1,Carpark 9A,9A号停车场,underground,POINT (103.7819814 1.2961448),,,,,,,
node,2491328389,,parking,,,,,surface,POINT (103.7702463 1.2980994),,,,,,,
node,10701624937,,parking,,-1,,,underground,POINT (103.7741352 1.2924628),,,,,,,
way,54619734,yes,parking,yes,,Carpark 4,4号停车场,surface,"POLYGON ((103.7734739 1.3008453, 103.7739661 1.3005052, 103.7742309 1.300243, 103.7744082 1.2997464, 103.774228 1.2997189, 103.774119 1.3000341, 103.7740784 1.3001514, 103.7738825 1.3003708, 103.7734005 1.3007055, 103.7731364 1.3008101, 103.7727671 1.3007277, 103.772722 1.3008924, 103.7731125 1.3009747, 103.7734739 1.3008453))",,"[687603526, 687603530, 687603538, 687603542, 687603547, 5243861876, 687603551, 687603554, 687603558, 1736138510, 1736138508, 1736138512, 1736138514, 687603526]",,,,,
way,83890932,yes,parking,yes,,Carpark 11,11号停车场,surface,"POLYGON ((103.7751458 1.2947071, 103.7750304 1.2946559, 103.7753806 1.2938665, 103.7754962 1.2939177, 103.7751458 1.2947071))",,"[976478225, 976478226, 496810100, 496810103, 976478225]",,,,,
way,140086799,,parking,yes,,Carpark 2A,2A号停车场,surface,"POLYGON ((103.7711928 1.3008751, 103.771248 1.3009255, 103.7713257 1.3009498, 103.7713861 1.3009377, 103.7719064 1.3007487, 103.7719294 1.3007091, 103.77194 1.300691, 103.7719654 1.3006146, 103.771948 1.3005234, 103.7719078 1.3004054, 103.7711316 1.3006968, 103.7711928 1.3008751))",,"[1534829070, 1534829066, 1534829071, 1534829065, 1534829067, 6869688992, 1534829072, 1534829074, 1534829073, 1534829068, 1534829069, 1534829070]",,,,,
way,140086970,yes,parking,yes,,Carpark 2,2号停车场,surface,"POLYGON ((103.7725056 1.3000131, 103.7726736 1.2999587, 103.7728957 1.2994836, 103.7727448 1.2994154, 103.7729623 1.2989326, 103.7729145 1.2989127, 103.7725415 1.2997467, 103.7723933 1.2996828, 103.7721545 1.3001869, 103.7723854 1.3002747, 103.7725056 1.3000131))",,"[1736138495, 1534829845, 1534829842, 1534829840, 1736138453, 1736138449, 1736138488, 1534829869, 1534829870, 1534829868, 1736138495]",,,,,
way,140087189,yes,parking,yes,,Carpark 12,12号停车场,surface,"POLYGON ((103.7744974 1.2927805, 103.7749212 1.2929857, 103.7749869 1.2929468, 103.7746369 1.2924896, 103.7744974 1.2927805))",,"[1534833457, 1534833459, 1534833458, 1534833456, 1534833457]",,,,,
way,161640784,yes,parking,yes,-1,Carpark 10 (Season),10号停车场(季票),surface,"POLYGON ((103.780235 1.2985171, 103.7813361 1.2980252, 103.7817552 1.2977614, 103.7816414 1.2975808, 103.7822379 1.297204, 103.7822537 1.2970548, 103.7816144 1.2974284, 103.7810941 1.2975575, 103.7810981 1.2979284, 103.7807432 1.297997, 103.7802995 1.2978155, 103.780235 1.2985171))",,"[1736138444, 1736138429, 2062631319, 1736138356, 2062631312, 1736138348, 1736138383, 1736138402, 1736138422, 1736138427, 1736138415, 1736138444]",,,,,
way,161640786,yes,parking,yes,,Carpark 11A,11A号停车场,surface,"POLYGON ((103.7755446 1.293514, 103.7754751 1.2933224, 103.7755508 1.293295, 103.7756202 1.2934866, 103.7755446 1.293514))",,"[1736137980, 1736137968, 1736137964, 1736137974, 1736137980]",,,,,
