element_type,osmid,access,amenity,male,toilets:disposal,geometry,level,fee,female,note,unisex,changing_table,wheelchair,max_level:ref,min_level:ref,level:ref,nodes,indoor
node,4132111948,permissive,toilets,yes,flush,POINT (103.7718363 1.2951355),,,,,,,,,,,,
node,4375159018,,toilets,,,POINT (103.7845724 1.2933923),-1,,,,,,,,,,,
node,4379291987,,toilets,,,POINT (103.7847137 1.2941175),0,,,,,,,,,,,
node,5128589587,permissive,toilets,yes,,POINT (103.7731806 1.2958199),,no,yes,on most levels ithink,,,,,,,,
node,5128589588,permissive,toilets,yes,,POINT (103.7740445 1.2940129),,no,yes,,,,,,,,,
node,5889956923,,toilets,,,POINT (103.7819391 1.2969474),,,,,,,,,,,,
node,5936483039,yes,toilets,,flush,POINT (103.780656 1.2977721),,no,,,,,,,,,,
node,5936483041,yes,toilets,,flush,POINT (103.775528 1.2926209),,no,,,yes,,,,,,,
node,5936483042,yes,toilets,,flush,POINT (103.7757432 1.2924599),,no,,,yes,,,,,,,
node,5936483043,yes,toilets,,flush,POINT (103.7753593 1.2932931),,no,,,yes,,,,,,,
node,5936483044,yes,toilets,,flush,POINT (103.7744336 1.2944518),,no,,,yes,,,,,,,
node,5936531501,yes,toilets,,flush,POINT (103.7737665 1.2952968),2,no,,,yes,,,,,,,
node,5936531506,yes,toilets,,flush,POINT (103.774305 1.2935816),,,,,yes,no,,,,,,
node,5971138868,,toilets,,,POINT (103.7723672 1.295151),,,,"female on level=0, alternates",,,,,,,,
node,9345938586,yes,toilets,no,,POINT (103.7809622 1.2970638),,,yes,,,,,,,,,
node,9956528935,,toilets,yes,,POINT (103.7810281 1.2963574),,,,,,,,,,,,
node,9956528936,,toilets,,,POINT (103.7810479 1.2963511),,,yes,,,,,,,,,
node,10686208840,,toilets,,,POINT (103.7803221 1.2964046),,,,,yes,,yes,,,,,
node,10773610191,,toilets,,,POINT (103.7798624 1.2964296),0,,,,,,,,,,,
node,10901301127,,toilets,,,POINT (103.7758386 1.3003504),,,,,,,,,,,,
node,10901301144,,toilets,,,POINT (103.7752816 1.299698),,,,,,,,,,,,
node,11018992693,,toilets,,,POINT (103.7802378 1.2965978),,,,,,,,,,,,
node,11020038656,,toilets,,,POINT (103.7823681 1.2951867),,,,,,,,,,,,
node,11137500580,,toilets,,,POINT (103.7738868 1.2925974),,,,on most levels,,,,,,,,
node,11137500581,,toilets,,,POINT (103.774448 1.2923562),,,,on most levels,,,,,,,,
node,11224856637,,toilets,,,POINT (103.7730577 1.2966789),,,,alternate levels. in between levels on staircases,yes,,limited,6.5,1.5,,,
node,11224856638,,toilets,,,POINT (103.7735249 1.2976764),,,,,,,,,,,,
node,11252774941,,toilets,,,POINT (103.7756185 1.294349),,,,,,,,,,,,
node,11252779752,,toilets,,,POINT (103.7734593 1.296618),0,,,,,,,,,,,
node,11274534148,,toilets,,,POINT (103.7725364 1.2955346),,,,alternate genders,,,,,,,,
node,11518340609,,toilets,,,POINT (103.7742474 1.2948219),,,,,,,,,,"B2,1",,
way,1134219989,yes,toilets,,flush,"POLYGON ((103.7738648 1.294688, 103.7738199 1.2946529, 103.7739002 1.2945541, 103.7739463 1.2945961, 103.7738648 1.294688))",1,no,,,yes,,yes,,,,"[10574193140, 10574193141, 1345143373, 10574193142, 10574193140]",room
