element_type,osmid,nodes,building,name,geometry,addr:city,addr:postcode,building:levels,note,addr:housenumber,addr:street,amenity,name:en,operator,addr:district,addr:province,ways,type
way,177231508,"[1876844121, 1876844152, 1876844131, 1876844149, 1876844121]",yes,毅字楼,"POLYGON ((108.9117036 34.2438481, 108.9104703 34.2438458, 108.9104707 34.2436935, 108.9117041 34.2436959, 108.9117036 34.2438481))",,,,,,,,,,,,,
way,359583116,"[3642584043, 3642584044, 3642584045, 3642584046, 3642584047, 3642584048, 3642584049, 3642584050, 3642584051, 3642584052, 3642584053, 3642584054, 3642584055, 3642584056, 3642584057, 3642584058, 3642584059, 3642584060, 3642584061, 3642584062, 3642584063, 3642584064, 3642584065, 3642584066, 3642584067, 3642584068, 3642584069, 3642584070, 3642584071, 3642584072, 3642584043]",residential,西湖1#楼,"POLYGON ((108.9062836 34.2476395, 108.9063835 34.2475964, 108.9064923 34.2475964, 108.9065817 34.2476371, 108.9066308 34.2475903, 108.9065548 34.2475656, 108.9065638 34.2475385, 108.9065861 34.2475558, 108.9066487 34.2474769, 108.906607 34.2474572, 108.9065876 34.2474646, 108.906528 34.2474277, 108.9065235 34.2474141, 108.9065444 34.2474154, 108.9066085 34.2473353, 108.9065206 34.2472909, 108.9064699 34.2473451, 108.906382 34.2473439, 108.9063447 34.247286, 108.9062568 34.2473304, 108.9063194 34.2474141, 108.9063567 34.2474129, 108.9063373 34.247456, 108.9062687 34.2474745, 108.9062568 34.2474535, 108.9062196 34.2474745, 108.9062747 34.2475496, 108.9062985 34.2475373, 108.906312 34.2475545, 108.9062345 34.2475829, 108.9062836 34.2476395))",西安,710072,28,西村11#楼,,,,,,,,,
way,359583118,"[3642584073, 3642584074, 3642584075, 3642584076, 3642584077, 3642584078, 3642584079, 3642584080, 3642584081, 3642584082, 3642584083, 3642584084, 3642584085, 3642584086, 3642584087, 3642584088, 3642584089, 3642584090, 3642584091, 3642584092, 3642584293, 3642584294, 3642584295, 3642584296, 3642584297, 3642584298, 3642584299, 3642584300, 3642584301, 3642584302, 3642584073]",residential,西湖2#楼,"POLYGON ((108.9067413 34.248101, 108.9068412 34.2480579, 108.9069499 34.2480579, 108.9070393 34.2480985, 108.9070885 34.2480517, 108.9070125 34.2480271, 108.9070215 34.248, 108.9070438 34.2480172, 108.9071064 34.2479384, 108.9070647 34.2479187, 108.9070453 34.2479261, 108.9069857 34.2478891, 108.9069812 34.2478756, 108.9070021 34.2478768, 108.9070662 34.2477967, 108.9069783 34.2477524, 108.9069276 34.2478066, 108.9068397 34.2478054, 108.9068024 34.2477475, 108.9067145 34.2477918, 108.9067771 34.2478756, 108.9068143 34.2478743, 108.906795 34.2479175, 108.9067264 34.2479359, 108.9067145 34.247915, 108.9066772 34.2479359, 108.9067324 34.2480111, 108.9067562 34.2479988, 108.9067696 34.248016, 108.9066921 34.2480443, 108.9067413 34.248101))",,,28,西村12#楼,,,,,,,,,
way,359583121,"[3642584329, 3642584308, 3642584309, 3642584310, 3642584311, 3642584312, 3642584313, 3642584314, 3642584315, 3642584316, 3642584317, 3642584318, 3642584319, 3642584320, 3642584321, 3642584322, 3642584323, 3642584324, 3642584325, 3642584326, 3642584327, 3642584328, 3642584329]",school,,"POLYGON ((108.9101394 34.2479072, 108.9107084 34.2479121, 108.910712 34.247837, 108.9107371 34.2478064, 108.9107275 34.247754, 108.9107072 34.2477422, 108.9107108 34.2476809, 108.9105566 34.247675, 108.9105542 34.2477422, 108.9105315 34.2477412, 108.9105291 34.2477194, 108.9104705 34.2477254, 108.9104263 34.2476977, 108.9103641 34.2477234, 108.9103127 34.2477194, 108.910302 34.2477323, 108.9102864 34.2477333, 108.9102888 34.247676, 108.9101298 34.2476779, 108.9101286 34.2477431, 108.9100988 34.2477925, 108.9101346 34.247836, 108.9101394 34.2479072))",,,,,,,,,,,,,
way,359677856,"[3643535052, 3643535053, 3643535054, 3643535055, 3643535056, 3643535057, 3643535058, 3643535052]",apartments,学生公寓3号楼,"POLYGON ((108.9124529 34.2460207, 108.9124599 34.2452489, 108.9126007 34.2452498, 108.9125938 34.2459849, 108.9133998 34.24599, 108.9133986 34.2461166, 108.912533 34.246111, 108.9124529 34.2460207))",,,,,,,,,,,,,
way,359677859,"[3643535069, 3643535070, 3643535071, 3643535072, 3643535073, 3643535074, 3643535075, 3643535076, 3643535077, 3643535078, 3643535079, 3643535080, 3643535081, 3643535082, 3643535083, 3643535084, 3643535085, 3643535086, 3643535087, 3643535088, 3643535089, 3643535090, 3643535091, 3643535092, 3643535193, 3643535194, 3643535195, 3643535196, 3643535197, 3643535198, 3643535199, 3643535200, 3643535201, 3643535202, 3643535203, 3643535069]",yes,西北工业大学 图书馆,"POLYGON ((108.910836 34.2445928, 108.9108458 34.2446897, 108.9109565 34.2447732, 108.9110216 34.2447947, 108.9110835 34.2448001, 108.9110835 34.2448378, 108.9113408 34.2448405, 108.9113603 34.2448216, 108.9115329 34.2448243, 108.9115981 34.244792, 108.9115948 34.2447463, 108.9115492 34.2447436, 108.9115492 34.2447167, 108.9114743 34.2447113, 108.9114906 34.2446574, 108.9114222 34.2446144, 108.9113896 34.2445444, 108.9114027 34.2444824, 108.9114483 34.2444286, 108.9114776 34.2444097, 108.9114776 34.2443586, 108.9115199 34.2443155, 108.9115948 34.2443101, 108.9115883 34.2442617, 108.9115134 34.244259, 108.9115134 34.2442267, 108.9112496 34.244224, 108.9112235 34.2442536, 108.9110542 34.2442401, 108.9110542 34.2442671, 108.9110151 34.2442671, 108.9110216 34.2443021, 108.9109435 34.2443667, 108.9108555 34.2444178, 108.9108327 34.2445013, 108.910836 34.2445928))",,,,,127,友谊西路,library,International Conference Center of Northwestern Polytechnical University,西北工业大学,,,,
way,362794777,"[3670482080, 3670482081, 3670482082, 3670482083, 3670482084, 3670482085, 3670482086, 3670482087, 3670482088, 3670482089, 3670482090, 3670482091, 3670482092, 3670482093, 3670482094, 3670482095, 3670482096, 3670482097, 3670482098, 3670482099, 3670482080]",yes,西北工业大学老图书馆,"POLYGON ((108.9098078 34.2447992, 108.9098672 34.2447992, 108.9098672 34.2449331, 108.9101818 34.2449332, 108.9101818 34.2449562, 108.9102904 34.2449562, 108.9102905 34.2448251, 108.9099659 34.2448241, 108.9099674 34.2445836, 108.9100829 34.2445842, 108.9100821 34.2447017, 108.9102876 34.2447026, 108.9102893 34.2444493, 108.9100654 34.2444483, 108.9100647 34.2445442, 108.9100002 34.2445439, 108.9100016 34.2443344, 108.9103147 34.2443359, 108.9103159 34.2441641, 108.9098091 34.2441616, 108.9098078 34.2447992))",,,,,,,library,,西北工业大学,,,,
way,362794778,"[3670482105, 3670482106, 3670482107, 3670482108, 3670482109, 3670482110, 3670482111, 3670482112, 3670482113, 3670482114, 3670482115, 3670482116, 3670482105]",university,研究生东馆,"POLYGON ((108.9095427 34.2437557, 108.9097573 34.2437535, 108.9099236 34.2436138, 108.9100389 34.2435628, 108.9101569 34.2435849, 108.9102857 34.243647, 108.9103527 34.2437557, 108.9102749 34.2439308, 108.9101596 34.2439996, 108.9096795 34.2439907, 108.9096795 34.2438976, 108.9095481 34.2438954, 108.9095427 34.2437557))",,,,,,,,,,,,,
way,362794781,"[3670482120, 3670482121, 3670482122, 3670482123, 3670482124, 3670483425, 3670482120]",university,综合服务大楼,"POLYGON ((108.9114017 34.2475693, 108.9115706 34.2475685, 108.9115682 34.2472122, 108.9114913 34.2472125, 108.911491 34.2471737, 108.9113991 34.2471741, 108.9114017 34.2475693))",,,6,,,,,,,,,,
way,367533761,"[3714456496, 3714456497, 3714456498, 3714456499, 3714456496]",university,勇字楼,"POLYGON ((108.9087355 34.243978, 108.9094006 34.2439752, 108.9093979 34.2435323, 108.9087328 34.2435351, 108.9087355 34.243978))",,,,,,,,,,,,,
