u,v,key,osmid,oneway,highway,reversed,length,name,geometry
1803356710,2016793125,0,169172415,False,residential,False,48.287,,"LINESTRING (108.9122316 34.2462807, 108.9117063 34.2462755)"
1803356710,3686355821,0,169172415,False,residential,True,48.528,,"LINESTRING (108.9122316 34.2462807, 108.9127595 34.2462872)"
1803356710,2016793105,0,362794780,False,residential,True,120.318,三航路,"LINESTRING (108.9122316 34.2462807, 108.9122596 34.2451989)"
1876844124,3686355805,0,191095200,False,residential,True,34.645,英才路,"LINESTRING (108.9122522 34.2440638, 108.9126291 34.2440621)"
1876844124,3686355797,0,362794779,False,service,False,46.18,教学南路,"LINESTRING (108.9122522 34.2440638, 108.9117498 34.2440642)"
1876844124,2016793126,0,362794780,False,residential,False,111.43,三航路,"LINESTRING (108.9122522 34.2440638, 108.9122587 34.2450659)"
2016793104,2016793110,0,191095192,False,service,False,110.674,,"LINESTRING (108.9096464 34.2440662, 108.9096411 34.2450615)"
2016793104,3653244388,0,362794779,False,service,False,17.422,教学南路,"LINESTRING (108.9096464 34.2440662, 108.9094569 34.2440692)"
2016793104,2689341046,0,362794779,False,service,True,65.926,教学南路,"LINESTRING (108.9096464 34.2440662, 108.9103636 34.2440628)"
2016793105,3686355804,0,191095193,False,residential,True,33.55,,"LINESTRING (108.9122596 34.2451989, 108.9126246 34.2451984)"
2016793105,1803356710,0,362794780,False,residential,False,120.318,三航路,"LINESTRING (108.9122596 34.2451989, 108.9122316 34.2462807)"
2016793105,2016793126,0,362794780,False,residential,True,14.789,三航路,"LINESTRING (108.9122596 34.2451989, 108.9122587 34.2450659)"
2016793107,2016793126,0,191095190,False,service,False,52.743,,"LINESTRING (108.9116849 34.245065, 108.9122587 34.2450659)"
2016793107,8984902024,0,191095190,False,service,True,86.799,,"LINESTRING (108.9116849 34.245065, 108.9107406 34.2450672)"
2016793107,2016793127,0,191095197,False,service,False,110.546,,"LINESTRING (108.9116849 34.245065, 108.9116983 34.2440709)"
2016793108,2016793130,0,191095188,False,service,False,173.694,,"LINESTRING (108.9081265 34.2456168, 108.910016 34.2455959)"
2016793108,3653244385,0,191095199,False,service,False,54.492,,"LINESTRING (108.9081265 34.2456168, 108.9081171 34.2461068)"
2016793108,3686355802,0,191095199,False,service,True,6.904,,"LINESTRING (108.9081265 34.2456168, 108.9081305 34.2455548)"
2016793109,2016793128,0,191095190,False,service,False,12.244,,"LINESTRING (108.9081238 34.2450581, 108.908257 34.2450592)"
2016793109,2016793112,0,191095190,False,service,True,104.414,,"LINESTRING (108.9081238 34.2450581, 108.9069879 34.2450492)"
2016793109,3686355802,0,191095199,False,service,False,55.234,,"LINESTRING (108.9081238 34.2450581, 108.9081305 34.2455548)"
2016793110,2016793111,0,191095190,False,service,False,34.029,,"LINESTRING (108.9096411 34.2450615, 108.9100112 34.2450689)"
2016793110,2016793128,0,191095190,False,service,True,127.224,,"LINESTRING (108.9096411 34.2450615, 108.908257 34.2450592)"
2016793110,2016793104,0,191095192,False,service,True,110.674,,"LINESTRING (108.9096411 34.2450615, 108.9096464 34.2440662)"
2016793111,2016793130,0,191095187,False,service,False,58.601,,"LINESTRING (108.9100112 34.2450689, 108.910016 34.2455959)"
2016793111,8984902024,0,191095190,False,service,False,67.045,,"LINESTRING (108.9100112 34.2450689, 108.9107406 34.2450672)"
2016793111,2016793110,0,191095190,False,service,True,34.029,,"LINESTRING (108.9100112 34.2450689, 108.9096411 34.2450615)"
2016793112,2016793109,0,191095190,False,service,False,104.414,,"LINESTRING (108.9069879 34.2450492, 108.9081238 34.2450581)"
2016793112,3643535064,0,359677858,False,service,False,80.313,,"LINESTRING (108.9069879 34.2450492, 108.9070256 34.2443276)"
2016793112,3653244385,0,359677858,False,service,True,221.933,,"LINESTRING (108.9069879 34.2450492, 108.9069664 34.2460692, 108.9069825 34.2460991, 108.907008 34.2461146, 108.9081171 34.2461068)"
2016793114,3642584026,0,169172415,False,residential,False,44.111,,"LINESTRING (108.9081176 34.2462642, 108.9076377 34.2462629)"
2016793114,2016793122,0,169172415,False,residential,True,84.307,,"LINESTRING (108.9081176 34.2462642, 108.9090348 34.2462606)"
2016793114,3653244385,0,191095199,False,service,True,17.538,,"LINESTRING (108.9081176 34.2462642, 108.9081234 34.2461952, 108.9081171 34.2461068)"
2016793115,3686355827,0,191095193,False,residential,False,77.441,,"LINESTRING (108.9134981 34.2451971, 108.9126556 34.2451983)"
2016793115,2016793118,0,191095193,False,residential,True,83.333,,"LINESTRING (108.9134981 34.2451971, 108.9144047 34.2452)"
2016793115,2016793136,0,191095194,False,residential,True,126.79100000000001,,"LINESTRING (108.9134981 34.2451971, 108.9135034 34.2441347, 108.9135195 34.244058)"
2016793117,2016793122,0,169172415,False,residential,False,87.533,,"LINESTRING (108.9099871 34.2462591, 108.9090348 34.2462606)"
2016793117,2016793125,0,169172415,False,residential,True,158.034,,"LINESTRING (108.9099871 34.2462591, 108.9117063 34.2462755)"
2016793117,2016793130,0,191095187,False,service,True,73.843,,"LINESTRING (108.9099871 34.2462591, 108.91 34.2461823, 108.910016 34.2455959)"
2016793118,3686355826,0,191095189,False,residential,False,81.804,,"LINESTRING (108.9144047 34.2452, 108.9143916 34.2459356)"
2016793118,2016793115,0,191095193,False,residential,False,83.333,,"LINESTRING (108.9144047 34.2452, 108.9134981 34.2451971)"
2016793118,3410665711,0,191095193,False,residential,True,97.696,,"LINESTRING (108.9144047 34.2452, 108.9154675 34.245191)"
2016793118,2016793123,0,191095189,False,residential,True,127.214,,"LINESTRING (108.9144047 34.2452, 108.9144208 34.2441347, 108.9144288 34.2440563)"
2016793119,2016793128,0,191095196,False,service,False,110.283,,"LINESTRING (108.908257 34.2440674, 108.908257 34.2450592)"
