osmid,y,x,street_count,geometry
1803356710,34.2462807,108.9122316,3,POINT (108.9122316 34.2462807)
1876844124,34.2440638,108.9122522,4,POINT (108.9122522 34.2440638)
2016793104,34.2440662,108.9096464,3,POINT (108.9096464 34.2440662)
2016793105,34.2451989,108.9122596,3,POINT (108.9122596 34.2451989)
2016793107,34.245065,108.9116849,3,POINT (108.9116849 34.245065)
2016793108,34.2456168,108.9081265,3,POINT (108.9081265 34.2456168)
2016793109,34.2450581,108.9081238,3,POINT (108.9081238 34.2450581)
2016793110,34.2450615,108.9096411,3,POINT (108.9096411 34.2450615)
2016793111,34.2450689,108.9100112,3,POINT (108.9100112 34.2450689)
2016793112,34.2450492,108.9069879,3,POINT (108.9069879 34.2450492)
2016793114,34.2462642,108.9081176,3,POINT (108.9081176 34.2462642)
2016793115,34.2451971,108.9134981,3,POINT (108.9134981 34.2451971)
2016793117,34.2462591,108.9099871,3,POINT (108.9099871 34.2462591)
2016793118,34.2452,108.9144047,4,POINT (108.9144047 34.2452)
2016793119,34.2440674,108.908257,3,POINT (108.908257 34.2440674)
2016793121,34.2483098,108.9116858,3,POINT (108.9116858 34.2483098)
2016793122,34.2462606,108.9090348,3,POINT (108.9090348 34.2462606)
2016793123,34.2440563,108.9144288,3,POINT (108.9144288 34.2440563)
2016793124,34.2493938,108.9116742,3,POINT (108.9116742 34.2493938)
2016793125,34.2462755,108.9117063,3,POINT (108.9117063 34.2462755)
2016793126,34.2450659,108.9122587,3,POINT (108.9122587 34.2450659)
2016793127,34.2440709,108.9116983,3,POINT (108.9116983 34.2440709)
2016793128,34.2450592,108.908257,3,POINT (108.908257 34.2450592)
2016793130,34.2455959,108.910016,3,POINT (108.910016 34.2455959)
2016793131,34.2440781,108.9074117,3,POINT (108.9074117 34.2440781)
2016793134,34.2482808,108.9090349,3,POINT (108.9090349 34.2482808)
2016793136,34.244058,108.9135195,4,POINT (108.9135195 34.244058)
2689341046,34.2440628,108.9103636,3,POINT (108.9103636 34.2440628)
3410665711,34.245191,108.9154675,3,POINT (108.9154675 34.245191)
3410665712,34.2462933,108.915399,3,POINT (108.915399 34.2462933)
3642584025,34.2479629,108.9076383,3,POINT (108.9076383 34.2479629)
3642584026,34.2462629,108.9076377,3,POINT (108.9076377 34.2462629)
3643535044,34.2487972,108.9148661,1,POINT (108.9148661 34.2487972)
3643535047,34.2462975,108.9149484,3,POINT (108.9149484 34.2462975)
3643535064,34.2443276,108.9070256,3,POINT (108.9070256 34.2443276)
3643535065,34.2443098,108.9068243,3,POINT (108.9068243 34.2443098)
3653244377,34.2440671,108.9086261,3,POINT (108.9086261 34.2440671)
3653244381,34.2462881,108.9134685,3,POINT (108.9134685 34.2462881)
3653244385,34.2461068,108.9081171,3,POINT (108.9081171 34.2461068)
3653244388,34.2440692,108.9094569,3,POINT (108.9094569 34.2440692)
3653254411,34.2462908,108.9143777,3,POINT (108.9143777 34.2462908)
3670483435,34.2477254,108.9066406,3,POINT (108.9066406 34.2477254)
3670483436,34.2476802,108.9076382,3,POINT (108.9076382 34.2476802)
3670483437,34.2477187,108.9067425,3,POINT (108.9067425 34.2477187)
3670483439,34.247313,108.9076316,3,POINT (108.9076316 34.247313)
3686355754,34.2441076,108.9070345,3,POINT (108.9070345 34.2441076)
3686355758,34.244044,108.9071898,3,POINT (108.9071898 34.244044)
3686355768,34.2441418,108.9071559,3,POINT (108.9071559 34.2441418)
3686355770,34.2442998,108.9071971,3,POINT (108.9071971 34.2442998)
3686355771,34.2439417,108.9072843,3,POINT (108.9072843 34.2439417)
3686355772,34.2441302,108.906839,3,POINT (108.906839 34.2441302)
3686355797,34.2440642,108.9117498,3,POINT (108.9117498 34.2440642)
3686355798,34.243362,108.9103662,3,POINT (108.9103662 34.243362)
3686355802,34.2455548,108.9081305,3,POINT (108.9081305 34.2455548)
3686355803,34.2455661,108.9076129,1,POINT (108.9076129 34.2455661)
3686355804,34.2451984,108.9126246,3,POINT (108.9126246 34.2451984)
3686355805,34.2440621,108.9126291,3,POINT (108.9126291 34.2440621)
3686355806,34.2468739,108.9117,3,POINT (108.9117 34.2468739)
3686355807,34.2468861,108.9090348,4,POINT (108.9090348 34.2468861)
3686355808,34.2471016,108.9090321,3,POINT (108.9090321 34.2471016)
3686355809,34.2471099,108.9116981,3,POINT (108.9116981 34.2471099)
3686355810,34.247708,108.9070099,3,POINT (108.9070099 34.247708)
3686355812,34.2475381,108.9071175,1,POINT (108.9071175 34.2475381)
3686355813,34.2475652,108.9071175,3,POINT (108.9071175 34.2475652)
3686355817,34.2476216,108.9076382,3,POINT (108.9076382 34.2476216)
3686355818,34.2476272,108.9090349,4,POINT (108.9090349 34.2476272)
3686355819,34.2469922,108.9134781,3,POINT (108.9134781 34.2469922)
3686355821,34.2462872,108.9127595,3,POINT (108.9127595 34.2462872)
3686355822,34.2468302,108.9117004,3,POINT (108.9117004 34.2468302)
3686355823,34.2468179,108.9127576,3,POINT (108.9127576 34.2468179)
3686355824,34.2479624,108.9090349,4,POINT (108.9090349 34.2479624)
3686355826,34.2459356,108.9143916,3,POINT (108.9143916 34.2459356)
3686355827,34.2451983,108.9126556,3,POINT (108.9126556 34.2451983)
3686355833,34.2470575,108.9134786,3,POINT (108.9134786 34.2470575)
3686355834,34.2470654,108.9148531,4,POINT (108.9148531 34.2470654)
3686355836,34.2479661,108.9072066,3,POINT (108.9072066 34.2479661)
3686355837,34.247556,108.9072142,3,POINT (108.9072142 34.247556)
3686355838,34.2475507,108.9076382,3,POINT (108.9076382 34.2475507)
3686355839,34.2476974,108.9072058,4,POINT (108.9072058 34.2476974)
3686363789,34.2430269,108.9103703,1,POINT (108.9103703 34.2430269)
7137329299,34.2462676,108.9060215,3,POINT (108.9060215 34.2462676)
8984902023,34.2440631,108.9107229,3,POINT (108.9107229 34.2440631)
8984902024,34.2450672,108.9107406,3,POINT (108.9107406 34.2450672)
8984902032,34.2481998,108.9067183,1,POINT (108.9067183 34.2481998)
8984902041,34.2472764,108.9059338,1,POINT (108.9059338 34.2472764)
8984902042,34.2468248,108.9059298,3,POINT (108.9059298 34.2468248)
8984902043,34.2468228,108.9060183,3,POINT (108.9060183 34.2468228)
8984902044,34.2462652,108.906139,3,POINT (108.906139 34.2462652)
8984902050,34.246823,108.9061202,3,POINT (108.9061202 34.246823)
8984902087,34.247242,108.9090329,3,POINT (108.9090329 34.247242)
8984902091,34.2471556,108.907638,3,POINT (108.907638 34.2471556)
8984902092,34.2468629,108.9076379,3,POINT (108.9076379 34.2468629)
8984902093,34.2465991,108.9117028,3,POINT (108.9117028 34.2465991)
8984902094,34.2465968,108.9090348,3,POINT (108.9090348 34.2465968)
8984902095,34.2471046,108.9100027,3,POINT (108.9100027 34.2471046)
8984902096,34.2482937,108.9100159,3,POINT (108.9100159 34.2482937)
8984902097,34.2473927,108.9100059,3,POINT (108.9100059 34.2473927)
8984902098,34.2473839,108.9090336,3,POINT (108.9090336 34.2473839)
8984902117,34.2476545,108.9100088,3,POINT (108.9100088 34.2476545)
8984902118,34.2479848,108.9100124,3,POINT (108.9100124 34.2479848)
8984902119,34.2490757,108.9116775,3,POINT (108.9116775 34.2490757)
8984902121,34.2490501,108.9092034,3,POINT (108.9092034 34.2490501)
