element_type,osmid,amenity,capacity,geometry,bicycle_parking,covered,nodes
node,2156446924,bicycle_parking,45,POINT (-87.6757057 42.0514801),,,
node,2214757728,bicycle_parking,9,POINT (-87.6742522 42.0509692),stands,no,
node,2239483335,bicycle_parking,,POINT (-87.675732 42.0512483),,,
node,2239483506,bicycle_parking,,POINT (-87.6768838 42.0581981),,no,
node,2239483508,bicycle_parking,,POINT (-87.6768818 42.0583553),,no,
node,4774714366,bicycle_parking,,POINT (-87.6750176 42.0527432),,,
node,4774765331,bicycle_parking,,POINT (-87.6760469 42.0511542),,,
node,9134482285,bicycle_parking,,POINT (-87.6765478 42.060323),rack,,
way,480321734,bicycle_parking,,"POLYGON ((-87.6744704 42.0558354, -87.6742853 42.0558327, -87.6742867 42.0557819, -87.6743766 42.0557832, -87.6743759 42.0558103, -87.674471 42.0558117, -87.6744704 42.0558354))",,,"[4733228936, 4733228937, 4733222595, 4733222594, 4733222593, 4733222591, 4733228936]"
way,485700583,bicycle_parking,,"POLYGON ((-87.6732989 42.0532511, -87.6732824 42.0532509, -87.673288 42.0529661, -87.6733046 42.0529663, -87.6732989 42.0532511))",stands,no,"[4784740697, 4784740698, 4784740699, 4784740700, 4784740697]"
way,485700584,bicycle_parking,,"POLYGON ((-87.6732932 42.0536324, -87.6732763 42.0536322, -87.6732814 42.053345, -87.6732985 42.0533454, -87.6732932 42.0536324))",,,"[4784740701, 4784740702, 4784740703, 4784740704, 4784740701]"
way,486261144,bicycle_parking,,"POLYGON ((-87.6767592 42.0537355, -87.6767604 42.0536723, -87.6764709 42.0536688, -87.6764709 42.0536871, -87.6764709 42.0537313, -87.6767592 42.0537355))",stands,no,"[2240103928, 2240103923, 4789246482, 2240103925, 4789246483, 2240103928]"
way,490324813,bicycle_parking,,"POLYGON ((-87.675036 42.0536018, -87.6750378 42.0535094, -87.67495 42.0535078, -87.6749505 42.0534605, -87.6748599 42.0534592, -87.6748236 42.0534585, -87.6748227 42.0535164, -87.6749192 42.0536005, -87.675036 42.0536018))",stands,no,"[4825181530, 4825181531, 4789246467, 4825181532, 4825181529, 4825181533, 4825181534, 4825181535, 4825181530]"
way,491692697,bicycle_parking,,"POLYGON ((-87.6736004 42.0592053, -87.6736004 42.0591355, -87.6737142 42.0591324, -87.6737129 42.0591613, -87.6736925 42.0591614, -87.6736923 42.0591703, -87.6736913 42.059206, -87.6736004 42.0592053))",,,"[4837678116, 4837678117, 4837678118, 4837678120, 4837678221, 9119057992, 4837678119, 4837678116]"
way,491774154,bicycle_parking,,"POLYGON ((-87.6751552 42.0495395, -87.6750933 42.0495233, -87.6749962 42.0495182, -87.6750033 42.0495013, -87.675023 42.0494949, -87.6750813 42.0494903, -87.6751488 42.0495105, -87.6751587 42.0495242, -87.6751552 42.0495395))",,,"[4838584721, 4838584727, 4838584515, 4838584726, 4838584725, 4838584722, 4838584723, 4838584724, 4838584721]"
way,491775401,bicycle_parking,,"POLYGON ((-87.6728932 42.0515979, -87.6728677 42.0516046, -87.6728182 42.0515009, -87.6728437 42.0514942, -87.6728932 42.0515979))",,,"[4838551778, 4838597911, 4838597908, 4838597909, 4838551778]"
way,491778112,bicycle_parking,,"POLYGON ((-87.6759743 42.0587538, -87.6758899 42.0587526, -87.6758904 42.0587345, -87.675895 42.0587138, -87.6759082 42.0586915, -87.6759341 42.0586644, -87.6760027 42.058701, -87.6759855 42.0587123, -87.6759743 42.0587308, -87.6759743 42.0587538))",,,"[4838625910, 4838625911, 4838625912, 4838625913, 4838625914, 4838625915, 4838625916, 4838625917, 4838625918, 4838625910]"
way,491794456,bicycle_parking,,"POLYGON ((-87.6746935 42.0563353, -87.6746661 42.0563351, -87.674667 42.0562729, -87.6746938 42.0562731, -87.6746935 42.0563353))",,,"[672751426, 4838825509, 4838825510, 4838825511, 672751426]"
way,491942315,bicycle_parking,,"POLYGON ((-87.6747264 42.0509891, -87.6747513 42.0510121, -87.6747362 42.0510181, -87.6747182 42.0510219, -87.6746996 42.0510229, -87.6746815 42.0510195, -87.6746669 42.0510157, -87.6746538 42.0510091, -87.6746426 42.0509981, -87.6746362 42.0509857, -87.6746354 42.0509712, -87.6746402 42.0509578, -87.674651 42.0509433, -87.6746669 42.0509301, -87.6746923 42.0509559, -87.6746839 42.0509616, -87.6746796 42.0509704, -87.6746788 42.0509784, -87.6746832 42.0509861, -87.6746921 42.0509917, -87.6747022 42.050993, -87.6747151 42.0509926, -87.6747264 42.0509891))",,,"[4840225998, 4840225996, 4840225995, 4840225978, 4840225994, 4840225979, 4840225993, 4840225980, 4840225992, 4840225981, 4840225991, 4840225982, 4840225990, 4840226000, 4840225999, 4840225986, 4840225985, 4840225987, 4840225983, 4840225988, 4840225984, 4840225989, 4840225998]"
