u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,service,access,tunnel,width,bridge
249749850,4701551516,0,313384099,2,Chicago Avenue,secondary,30 mph,False,True,13.067,"LINESTRING (-87.6772906 42.0511062, -87.6773494 42.0509971)",,,,,
249749850,9341288652,0,435384819,3,Sheridan Road,secondary,,False,True,11.237,"LINESTRING (-87.6772906 42.0511062, -87.677176 42.0510517)",,,,,
249749850,4773287955,0,328840324,4,Sheridan Road,secondary,,False,True,17.777,"LINESTRING (-87.6772906 42.0511062, -87.6772738 42.0511734, -87.6772711 42.0512649)",,,,,
249749852,4773288009,0,435384813,,Sheridan Road,secondary,,False,False,13.047,"LINESTRING (-87.6756262 42.0505862, -87.6757749 42.0506259)",,,,,
249749852,9826982555,0,491673168,,Hinman Avenue,residential,,False,False,13.908,"LINESTRING (-87.6756262 42.0505862, -87.6756793 42.0504675)",,,,,
249749852,2233363813,0,"[435384816, 435384814]",3,Sheridan Road,secondary,,False,True,68.039,"LINESTRING (-87.6756262 42.0505862, -87.6751958 42.0504708, -87.6748507 42.0503793)",,,,,
252162794,4838831971,0,435384817,4,Sheridan Road,secondary,,False,False,84.81,"LINESTRING (-87.677251 42.0520661, -87.677233 42.0528287)",,,,,
252162794,4773287955,0,328840324,4,Sheridan Road,secondary,,False,False,89.105,"LINESTRING (-87.677251 42.0520661, -87.6772523 42.0519983, -87.6772711 42.0512649)",,,,,
252162806,4957697417,0,23295997,,Colfax Street,residential,,False,False,15.06,"LINESTRING (-87.6770944 42.0605033, -87.6772768 42.0605056)",,,,,
252162806,9341288737,0,311727605,4,Sheridan Road,secondary,,False,False,9.308,"LINESTRING (-87.6770944 42.0605033, -87.677093 42.060587)",,,,,
252162806,2240260233,0,311727605,4,Sheridan Road,secondary,,False,True,80.701,"LINESTRING (-87.6770944 42.0605033, -87.6771069 42.0597776)",,,,,
252162817,4838625888,0,311727605,4,Sheridan Road,secondary,,False,False,8.663,"LINESTRING (-87.6771311 42.058374, -87.6771298 42.0584519)",,,,,
252162817,4838625882,0,311727605,4,Sheridan Road,secondary,,False,True,8.585,"LINESTRING (-87.6771311 42.058374, -87.6771325 42.0582968)",,,,,
