osmid,y,x,highway,street_count,geometry
249749850,42.0511062,-87.6772906,traffic_signals,3,POINT (-87.6772906 42.0511062)
249749852,42.0505862,-87.6756262,,3,POINT (-87.6756262 42.0505862)
252162794,42.0520661,-87.677251,,3,POINT (-87.677251 42.0520661)
252162806,42.0605033,-87.6770944,,3,POINT (-87.6770944 42.0605033)
252162817,42.058374,-87.6771311,traffic_signals,3,POINT (-87.6771311 42.058374)
252162818,42.059371,-87.6771139,,3,POINT (-87.6771139 42.059371)
252162850,42.0538412,-87.6772092,traffic_signals,3,POINT (-87.6772092 42.0538412)
252162872,42.0512538,-87.6799504,crossing,4,POINT (-87.6799504 42.0512538)
261134731,42.055012,-87.677189,,3,POINT (-87.677189 42.055012)
287472219,42.0562249,-87.6771681,,4,POINT (-87.6771681 42.0562249)
375477598,42.0537591,-87.6731438,,3,POINT (-87.6731438 42.0537591)
375477605,42.0548802,-87.6739359,,3,POINT (-87.6739359 42.0548802)
375477617,42.0566657,-87.6723805,,3,POINT (-87.6723805 42.0566657)
375479404,42.0573731,-87.6731172,,3,POINT (-87.6731172 42.0573731)
375479408,42.0583168,-87.6730046,,3,POINT (-87.6730046 42.0583168)
375479411,42.059018,-87.6730115,,3,POINT (-87.6730115 42.059018)
375479811,42.0590414,-87.670169,,3,POINT (-87.670169 42.0590414)
375479821,42.0567685,-87.6703937,,3,POINT (-87.6703937 42.0567685)
375479822,42.0567058,-87.670413,,3,POINT (-87.670413 42.0567058)
375479876,42.0567383,-87.6705135,,3,POINT (-87.6705135 42.0567383)
375479878,42.0567429,-87.6709543,,3,POINT (-87.6709543 42.0567429)
375479916,42.0562488,-87.6704985,,3,POINT (-87.6704985 42.0562488)
375481147,42.0560532,-87.6705103,,3,POINT (-87.6705103 42.0560532)
375481171,42.0547272,-87.6709488,,3,POINT (-87.6709488 42.0547272)
375481172,42.0550545,-87.6714179,,3,POINT (-87.6714179 42.0550545)
375481352,42.0525405,-87.670295,,4,POINT (-87.670295 42.0525405)
375481353,42.0526873,-87.6698795,,3,POINT (-87.6698795 42.0526873)
388499457,42.0541575,-87.6758767,,1,POINT (-87.6758767 42.0541575)
388499502,42.056671,-87.6727073,,1,POINT (-87.6727073 42.056671)
497375717,42.0572952,-87.6771497,,3,POINT (-87.6771497 42.0572952)
498649474,42.0501114,-87.6743843,,3,POINT (-87.6743843 42.0501114)
533996674,42.0581215,-87.673841,,3,POINT (-87.673841 42.0581215)
672865175,42.0509263,-87.673612,,3,POINT (-87.673612 42.0509263)
672865176,42.0511917,-87.6735523,,4,POINT (-87.6735523 42.0511917)
672865183,42.0585459,-87.6747189,,3,POINT (-87.6747189 42.0585459)
672865187,42.057108,-87.674794,,4,POINT (-87.674794 42.057108)
672865189,42.0570912,-87.6771532,,3,POINT (-87.6771532 42.0570912)
672865233,42.0538182,-87.6734569,,4,POINT (-87.6734569 42.0538182)
672865236,42.0541956,-87.6740809,,3,POINT (-87.6740809 42.0541956)
672865237,42.055546,-87.6741888,,3,POINT (-87.6741888 42.055546)
1258392376,42.0586364,-87.677123,,3,POINT (-87.677123 42.0586364)
1258472312,42.0511952,-87.6783906,turning_circle,1,POINT (-87.6783906 42.0511952)
1641389842,42.0533001,-87.6734015,,4,POINT (-87.6734015 42.0533001)
1641389853,42.0524891,-87.6734068,turning_circle,3,POINT (-87.6734068 42.0524891)
1641389858,42.0532983,-87.6731007,,1,POINT (-87.6731007 42.0532983)
1641389909,42.0517312,-87.6735744,,3,POINT (-87.6735744 42.0517312)
1641389952,42.0516436,-87.6735798,,3,POINT (-87.6735798 42.0516436)
1703679322,42.0556326,-87.6771783,traffic_signals,3,POINT (-87.6771783 42.0556326)
1765697222,42.0532987,-87.6731362,,4,POINT (-87.6731362 42.0532987)
1765697265,42.0572695,-87.6728941,,3,POINT (-87.6728941 42.0572695)
1765697284,42.0529514,-87.6717292,,3,POINT (-87.6717292 42.0529514)
1765697320,42.0590777,-87.6728608,,3,POINT (-87.6728608 42.0590777)
1765697325,42.0526237,-87.6715825,,3,POINT (-87.6715825 42.0526237)
1765697327,42.0517768,-87.6743894,,3,POINT (-87.6743894 42.0517768)
1765697340,42.0524532,-87.6725381,,4,POINT (-87.6725381 42.0524532)
1765697390,42.0524506,-87.6722492,,3,POINT (-87.6722492 42.0524506)
1765697456,42.0570853,-87.6730534,,1,POINT (-87.6730534 42.0570853)
1765697482,42.0516762,-87.6737877,,3,POINT (-87.6737877 42.0516762)
1765697490,42.053252,-87.6724244,,1,POINT (-87.6724244 42.053252)
1765697504,42.0527016,-87.6740494,,4,POINT (-87.6740494 42.0527016)
1765697515,42.0512337,-87.6737573,,3,POINT (-87.6737573 42.0512337)
1765697518,42.0566113,-87.6724464,,3,POINT (-87.6724464 42.0566113)
1765697524,42.05291,-87.6718176,,3,POINT (-87.6718176 42.05291)
1765697528,42.052767,-87.673419,,4,POINT (-87.673419 42.052767)
1765697530,42.0526983,-87.6736071,,3,POINT (-87.6736071 42.0526983)
1765697553,42.0537725,-87.6732956,,3,POINT (-87.6732956 42.0537725)
1765697557,42.0536979,-87.6732488,,3,POINT (-87.6732488 42.0536979)
1765697568,42.0527539,-87.6730068,,1,POINT (-87.6730068 42.0527539)
1765697609,42.0530221,-87.6721912,,3,POINT (-87.6721912 42.0530221)
1765697641,42.0536548,-87.673228,,3,POINT (-87.673228 42.0536548)
1765698673,42.051037,-87.677145,crossing,4,POINT (-87.677145 42.051037)
1765700635,42.0510891,-87.6745865,,5,POINT (-87.6745865 42.0510891)
1765982464,42.0530321,-87.6740442,,1,POINT (-87.6740442 42.0530321)
1765982814,42.0537347,-87.6741115,,1,POINT (-87.6741115 42.0537347)
1766764330,42.0526508,-87.6756483,,4,POINT (-87.6756483 42.0526508)
1766764357,42.0556153,-87.6758535,,4,POINT (-87.6758535 42.0556153)
1766764383,42.055795,-87.6768494,,1,POINT (-87.6768494 42.055795)
1766764386,42.0520123,-87.6748259,,3,POINT (-87.6748259 42.0520123)
1766764390,42.0524699,-87.6742981,,5,POINT (-87.6742981 42.0524699)
1766764403,42.0528542,-87.6748369,,3,POINT (-87.6748369 42.0528542)
1766764405,42.0519852,-87.6746843,,3,POINT (-87.6746843 42.0519852)
1766764410,42.0524502,-87.6747989,,3,POINT (-87.6747989 42.0524502)
1766764415,42.0522692,-87.6758679,,4,POINT (-87.6758679 42.0522692)
1766764417,42.051966,-87.6746026,,4,POINT (-87.6746026 42.051966)
1766764418,42.0519271,-87.6743368,,4,POINT (-87.6743368 42.0519271)
1766764427,42.0518752,-87.6746493,,1,POINT (-87.6746493 42.0518752)
1766764429,42.0543889,-87.675466,,4,POINT (-87.675466 42.0543889)
1766764460,42.0536673,-87.675689,,4,POINT (-87.675689 42.0536673)
1766764481,42.0520108,-87.6756946,,5,POINT (-87.6756946 42.0520108)
1766764484,42.0520054,-87.6766196,,3,POINT (-87.6766196 42.0520054)
1766764521,42.051914,-87.6760803,,1,POINT (-87.6760803 42.051914)
1766764536,42.0525373,-87.6740021,,4,POINT (-87.6740021 42.0525373)
1766764543,42.0546345,-87.6755335,,3,POINT (-87.6755335 42.0546345)
1766764546,42.0520509,-87.6735812,,1,POINT (-87.6735812 42.0520509)
1766764556,42.0528386,-87.67572,,4,POINT (-87.67572 42.0528386)
1766764558,42.051983,-87.6754226,,4,POINT (-87.6754226 42.051983)
1766764561,42.052994,-87.6748176,,1,POINT (-87.6748176 42.052994)
1766764570,42.0521137,-87.676073,,5,POINT (-87.676073 42.0521137)
1766764574,42.0554664,-87.676857,,1,POINT (-87.676857 42.0554664)
1766764582,42.0524541,-87.6759745,,4,POINT (-87.6759745 42.0524541)
1766764584,42.0525615,-87.6747803,,3,POINT (-87.6747803 42.0525615)
1766764585,42.0524619,-87.6744751,,3,POINT (-87.6744751 42.0524619)
1766764603,42.0555761,-87.674796,,3,POINT (-87.674796 42.0555761)
1766764608,42.0540855,-87.6754121,,4,POINT (-87.6754121 42.0540855)
1766764624,42.0523659,-87.6738945,,3,POINT (-87.6738945 42.0523659)
1766764651,42.0519875,-87.6755885,,4,POINT (-87.6755885 42.0519875)
1766764657,42.0521202,-87.6770968,,4,POINT (-87.6770968 42.0521202)
1766764660,42.052262,-87.6748725,,4,POINT (-87.6748725 42.052262)
1766764673,42.0547522,-87.6755783,,4,POINT (-87.6755783 42.0547522)
1766764677,42.0519434,-87.6739222,,3,POINT (-87.6739222 42.0519434)
1766764728,42.0525796,-87.675904,,4,POINT (-87.675904 42.0525796)
1766764735,42.0519233,-87.6761356,,4,POINT (-87.6761356 42.0519233)
1766764769,42.0522247,-87.67555,,3,POINT (-87.67555 42.0522247)
1766764798,42.0514307,-87.6758988,,5,POINT (-87.6758988 42.0514307)
1766823611,42.0543774,-87.6747528,,3,POINT (-87.6747528 42.0543774)
1766823640,42.0555748,-87.6747402,,3,POINT (-87.6747402 42.0555748)
1766823665,42.0513034,-87.6753521,,3,POINT (-87.6753521 42.0513034)
1766823717,42.0540402,-87.6746755,,3,POINT (-87.6746755 42.0540402)
1766823732,42.0553323,-87.6765263,,3,POINT (-87.6765263 42.0553323)
1766823759,42.050725,-87.674644,,3,POINT (-87.674644 42.050725)
1766823763,42.0508222,-87.6755086,,3,POINT (-87.6755086 42.0508222)
1766823786,42.0545978,-87.6766899,,5,POINT (-87.6766899 42.0545978)
1766823798,42.0548265,-87.6767484,,3,POINT (-87.6767484 42.0548265)
1766823821,42.050838,-87.6746065,,3,POINT (-87.6746065 42.050838)
1766823846,42.0555822,-87.6752515,,3,POINT (-87.6752515 42.0555822)
1766823870,42.0503339,-87.6746818,,3,POINT (-87.6746818 42.0503339)
1766823888,42.0550191,-87.6752414,,4,POINT (-87.6752414 42.0550191)
1766823935,42.05498,-87.6767888,,3,POINT (-87.6767888 42.05498)
1766823943,42.0547769,-87.6754646,,3,POINT (-87.6754646 42.0547769)
1766823965,42.051048,-87.6754023,,3,POINT (-87.6754023 42.051048)
1766824023,42.0553566,-87.6758529,crossing,4,POINT (-87.6758529 42.0553566)
1766824052,42.0545614,-87.6764214,,3,POINT (-87.6764214 42.0545614)
1766824060,42.0544663,-87.6752322,,3,POINT (-87.6752322 42.0544663)
1766824084,42.0536138,-87.6749039,,3,POINT (-87.6749039 42.0536138)
1766824113,42.0547621,-87.6757944,,3,POINT (-87.6757944 42.0547621)
1766824120,42.0544649,-87.6749459,,3,POINT (-87.6749459 42.0544649)
1766961034,42.0562185,-87.6759909,,3,POINT (-87.6759909 42.0562185)
1767033423,42.0588027,-87.6771226,,3,POINT (-87.6771226 42.0588027)
1767033431,42.0515055,-87.6745172,,3,POINT (-87.6745172 42.0515055)
1767033435,42.0575265,-87.6780368,,3,POINT (-87.6780368 42.0575265)
1767033437,42.0515495,-87.674695,,1,POINT (-87.674695 42.0515495)
1767033444,42.0580152,-87.6780215,,3,POINT (-87.6780215 42.0580152)
1767033447,42.0576908,-87.6780297,,3,POINT (-87.6780297 42.0576908)
1767033452,42.0587426,-87.6767795,,2,POINT (-87.6767795 42.0587426)
1767033456,42.058378,-87.6780166,,4,POINT (-87.6780166 42.058378)
1767033479,42.0581792,-87.6780187,,3,POINT (-87.6780187 42.0581792)
1767033480,42.0538509,-87.678047,,3,POINT (-87.678047 42.0538509)
1767033481,42.058712,-87.6766879,,3,POINT (-87.6766879 42.058712)
1767033491,42.0591274,-87.6747215,,3,POINT (-87.6747215 42.0591274)
1767033508,42.0578519,-87.6780223,,3,POINT (-87.6780223 42.0578519)
1842860648,42.0508281,-87.6765262,,3,POINT (-87.6765262 42.0508281)
1842860665,42.0520101,-87.6816456,,4,POINT (-87.6816456 42.0520101)
1930281153,42.0605148,-87.6779977,,4,POINT (-87.6779977 42.0605148)
1930281159,42.0599492,-87.6780013,,3,POINT (-87.6780013 42.0599492)
1930281177,42.0616367,-87.6779719,,3,POINT (-87.6779719 42.0616367)
1930281183,42.0593828,-87.678004,,4,POINT (-87.678004 42.0593828)
1930281187,42.0588858,-87.6780077,,3,POINT (-87.6780077 42.0588858)
1930281189,42.0573071,-87.6780415,,4,POINT (-87.6780415 42.0573071)
1930281199,42.0616494,-87.6786971,,3,POINT (-87.6786971 42.0616494)
1935895426,42.0510515,-87.6735592,,3,POINT (-87.6735592 42.0510515)
1936662518,42.0500519,-87.6788565,,3,POINT (-87.6788565 42.0500519)
1936662522,42.0499517,-87.6784734,,1,POINT (-87.6784734 42.0499517)
1936662526,42.049792,-87.6785499,,1,POINT (-87.6785499 42.049792)
1936662528,42.0498939,-87.6789319,,3,POINT (-87.6789319 42.0498939)
1936662529,42.0501078,-87.6783985,,1,POINT (-87.6783985 42.0501078)
2233363813,42.0503793,-87.6748507,,3,POINT (-87.6748507 42.0503793)
2239483296,42.0505058,-87.6746246,,3,POINT (-87.6746246 42.0505058)
2239483298,42.0505709,-87.6743644,,3,POINT (-87.6743644 42.0505709)
