element_type,osmid,amenity,geometry,nodes,name,parking,building,access,fee,operator,operator:type,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,source,bldgdescl,building:levels,capacity,maxstay,supervised
way,23609361,parking,"POLYGON ((-87.6940162 42.0645266, -87.6940834 42.0645261, -87.6940836 42.0644639, -87.6944808 42.064465, -87.6944798 42.0645178, -87.6946774 42.0645332, -87.6945834 42.0685862, -87.6945265 42.0685853, -87.694521 42.0686499, -87.6939875 42.068643, -87.6939912 42.0685775, -87.6939213 42.0685751, -87.6940162 42.0645266))","[10291773116, 10291773118, 10291773117, 10291773115, 10291773114, 10291773113, 10291773106, 10291773107, 10291773108, 10291773109, 10291773110, 10291773104, 10291773116]",Ryan Field West Parking,paved,,,,,,,,,,,,,,,,
way,123307471,parking,"POLYGON ((-87.6719613 42.0509248, -87.6719478 42.0514475, -87.6720205 42.0514484, -87.6720186 42.051486, -87.6721004 42.0514872, -87.6721012 42.051469, -87.6721016 42.0514494, -87.6721902 42.0514504, -87.6722119 42.0514507, -87.6722843 42.0514516, -87.673387 42.0511553, -87.6733963 42.0511532, -87.673378 42.051115, -87.6733709 42.0510991, -87.6733591 42.0510731, -87.6733413 42.0510336, -87.6733019 42.0509474, -87.6732829 42.050907, -87.6732653 42.050866, -87.673238 42.0508025, -87.6729391 42.050722, -87.6721703 42.0509274, -87.6721197 42.0509268, -87.6720434 42.0509258, -87.6719613 42.0509248))","[4838552044, 4838552041, 4838552042, 4838584473, 4838584475, 4838584474, 4838551977, 4838551816, 4838551788, 3083567300, 4774678182, 1375547874, 4774678183, 4774678201, 5701212388, 4773319879, 1766823659, 4774678160, 1766961082, 1641390012, 2805145934, 1375547892, 4838552054, 4838552049, 4838552044]",Lakeside Parking Structure,multi-storey,garage,,,,,,,,,,,,,,,
way,123307479,parking,"POLYGON ((-87.6738946 42.0516321, -87.6738683 42.0512905, -87.67381 42.0512925, -87.6737926 42.0512931, -87.6737134 42.0512885, -87.6736454 42.0512907, -87.6736727 42.0516185, -87.6737388 42.0516176, -87.673823 42.0516348, -87.6738465 42.0516339, -87.6738946 42.0516321))","[1375547917, 4775462769, 4775462770, 4775462780, 4773319854, 1375547877, 1375547885, 4773319856, 4773319855, 4775462767, 1375547917]",Locy Lot,surface,,,,,,,,,,,,,,,,
way,151311276,parking,"POLYGON ((-87.6729756 42.0589579, -87.6729212 42.0589585, -87.6729074 42.058976, -87.6728166 42.0589763, -87.6728161 42.0589388, -87.6728127 42.0589324, -87.6728032 42.0589292, -87.6727948 42.0589322, -87.6727912 42.0589399, -87.672792 42.0589753, -87.6725027 42.0589745, -87.6725019 42.0589333, -87.6724969 42.0589278, -87.672485 42.0589244, -87.6724757 42.0589269, -87.6724694 42.0589328, -87.6724693 42.0589668, -87.6723706 42.0589658, -87.6723189 42.0589647, -87.6723368 42.0581319, -87.6724091 42.058133, -87.6724124 42.0580816, -87.6727182 42.0580865, -87.6727211 42.0581301, -87.6728212 42.0581306, -87.6728241 42.058091, -87.6729216 42.0580942, -87.6729912 42.0580944, -87.6729756 42.0589579))","[1641389787, 4837668895, 4837668896, 4837668889, 4837668891, 4837668893, 4837668892, 4837668894, 4837668890, 4837668881, 4837668880, 4837668882, 4837668887, 4837668886, 4837668888, 4837668885, 4837668884, 4837668883, 1641389767, 1842860877, 9119071446, 9119071447, 9119071448, 9119071449, 9119071450, 9119071452, 9119071451, 4804966839, 1641389787]",,surface,,,,,,,,,,,,,,,,
way,157429712,parking,"POLYGON ((-87.6779933 42.057429, -87.6779785 42.0582547, -87.6773824 42.0582482, -87.6773825 42.0582097, -87.6773827 42.0581712, -87.6773829 42.058009, -87.6773833 42.0578433, -87.6773849 42.0577003, -87.6773852 42.0576813, -87.6773882 42.0575442, -87.677389 42.0575141, -87.6773905 42.057423, -87.6779933 42.057429))","[1696523550, 1696523555, 1696523519, 4840273025, 1767033482, 1767033442, 1767033439, 4840273031, 1767033478, 4840273029, 1767033489, 1696523539, 1696523550]",Noyes/Haven/Sheridan Lot,surface,,private,no,Northwestern University,university,,,,,,,,,,,
way,165094329,parking,"POLYGON ((-87.6768776 42.0558728, -87.6760653 42.0558614, -87.6760472 42.0558611, -87.6758 42.0558576, -87.6758061 42.0555319, -87.6755577 42.0555288, -87.6755614 42.0554211, -87.675812 42.0554229, -87.675905 42.0554236, -87.6759066 42.0553752, -87.6768922 42.0553824, -87.6768888 42.0555507, -87.6765608 42.0555473, -87.6765589 42.0555897, -87.6765556 42.0556636, -87.6765538 42.0557035, -87.6768811 42.0557075, -87.6768776 42.0558728))","[4840241565, 4840241576, 2240259871, 1766764545, 4838610219, 2241226986, 1766764490, 9432221331, 4838610213, 4838610214, 1766764398, 4838610216, 4838610217, 4838611920, 4840241572, 4840241570, 4840241566, 4840241565]",Garrett Parking Lot,surface,,,,,,,,,,,,,,,,
way,165129316,parking,"POLYGON ((-87.6767118 42.0588997, -87.6761294 42.058894, -87.6760999 42.0588456, -87.6760932 42.0586468, -87.6762376 42.0586482, -87.6762377 42.0586266, -87.6766713 42.0586268, -87.6767164 42.0587022, -87.6767118 42.0588997))","[1767033507, 4838625877, 2240260128, 2240260111, 2240260112, 2240260109, 1767033446, 4838625878, 1767033507]",Sargent Lot,surface,,,,,,,,,,,,,,,,
way,167692015,parking,"POLYGON ((-87.6842873 42.0522935, -87.6842843 42.052588, -87.684088 42.0525869, -87.6840863 42.0527477, -87.6842794 42.0527488, -87.684275 42.0531719, -87.6845428 42.0531734, -87.6845362 42.053806, -87.6844133 42.0538053, -87.6842014 42.0538041, -87.6839922 42.0538029, -87.6838666 42.0538021, -87.6838823 42.0522912, -87.6842873 42.0522935))","[1790664807, 2466948918, 2466948925, 2466948926, 2466948931, 2466948924, 1790664795, 1790664784, 2466948922, 2466948934, 2466948921, 1790664793, 1790664809, 1790664807]",,surface,,private,,,,,,,,,,,,,,
way,183290708,parking,"POLYGON ((-87.6787842 42.0502906, -87.6783641 42.0501796, -87.6783985 42.0501078, -87.6784734 42.0499517, -87.6785499 42.049792, -87.6785837 42.0497215, -87.6790054 42.0498351, -87.6787842 42.0502906))","[1936662527, 1936662507, 1936662529, 1936662522, 1936662526, 1936662525, 533991105, 1936662527]",,surface,,,,,,,,,,,Bing,,,,,
way,214398567,parking,"POLYGON ((-87.6768716 42.055932, -87.6768712 42.0560201, -87.6768708 42.0561063, -87.6765477 42.0561055, -87.6764873 42.0561053, -87.6761472 42.0561044, -87.6761476 42.056015, -87.6761476 42.0560057, -87.676148 42.0559301, -87.6768716 42.055932))","[4840241564, 4840241563, 2239483456, 4840241559, 4838625876, 2239483454, 2240259885, 4840241577, 4840241575, 4840241564]",,surface,,,,,,,,,,,,,,,,
