element_type,osmid,amenity,operator,operator:type,wheelchair,geometry,nodes,building,leisure,name,name:zh,name:zh-Hans,name:zh-Hant,smoking,fast_food,shop,air_conditioning,internet_access,internet_access:fee,building:levels,layer,start_date,ways,type
way,552274399,,中国海洋大学,,,"POLYGON ((120.4979957 36.1636852, 120.4978836 36.16369, 120.4978109 36.1635425, 120.4977686 36.1633266, 120.4977509 36.1631409, 120.4977327 36.1629494, 120.4977445 36.1628171, 120.4977634 36.1626697, 120.4978885 36.162661, 120.4979957 36.1636852))","[5332451913, 5332451914, 5331503024, 5331503025, 5331502203, 5331502204, 5332451916, 5331502205, 5332451915, 5332451913]",yes,stadium,,,,,,,,,,,,,,,
way,552274402,,中国海洋大学,,,"POLYGON ((120.4982134 36.1639856, 120.4982838 36.1639031, 120.4983793 36.1639504, 120.4985056 36.1639902, 120.4986319 36.1640001, 120.4987706 36.1639877, 120.4988784 36.1639603, 120.4989739 36.1639106, 120.499054 36.1638409, 120.4991433 36.1639057, 120.4989855 36.1640268, 120.4988462 36.1640724, 120.4986854 36.1641005, 120.4985136 36.1640845, 120.4983448 36.1640535, 120.4982134 36.1639856))","[5332451917, 5332451918, 5332451919, 5332451920, 5332459821, 5332459822, 5332459823, 5332459824, 5332459825, 5332459826, 5331502217, 5332459828, 5331502218, 5332459827, 5331502219, 5332451917]",yes,stadium,,,,,,,,,,,,,,,
way,552274405,,中国海洋大学,,,"POLYGON ((120.4993496 36.1635752, 120.4992354 36.1635833, 120.4991471 36.162574, 120.4992458 36.1625649, 120.4992973 36.1626832, 120.4993392 36.1628255, 120.49938 36.1630186, 120.4993986 36.1632354, 120.4993868 36.1634578, 120.4993496 36.1635752))","[5332459829, 5332459830, 5332459831, 5331503022, 5331503021, 5331502220, 5331502212, 5331502213, 5331502214, 5332459829]",yes,stadium,,,,,,,,,,,,,,,
way,552274407,,中国海洋大学,,,"POLYGON ((120.4980186 36.1623629, 120.4980854 36.1624361, 120.4981928 36.1623607, 120.4983305 36.1623098, 120.4984333 36.1622928, 120.4985897 36.1622834, 120.4987158 36.1622966, 120.4988419 36.1623286, 120.4989236 36.162372, 120.4989905 36.1622986, 120.4988853 36.1622405, 120.4987499 36.1621998, 120.4985615 36.1621819, 120.4984095 36.1621998, 120.4982611 36.1622435, 120.4981416 36.1622818, 120.4980186 36.1623629))","[5332459832, 5332459833, 5332459834, 5332459835, 5332459836, 5332459837, 5332459838, 5332459839, 5332459840, 5332459841, 5331502210, 5332459844, 5331502209, 5332459843, 5331502208, 5332459842, 5332459832]",yes,stadium,,,,,,,,,,,,,,,
way,552274447,,中国海洋大学,,yes,"POLYGON ((120.4888072 36.15984, 120.4890504 36.1598664, 120.4892703 36.1598475, 120.4895036 36.1597776, 120.4896802 36.1596996, 120.4898435 36.1595839, 120.4899868 36.1594413, 120.4900901 36.1592933, 120.4901667 36.1591077, 120.489916 36.1590529, 120.489866 36.1592069, 120.4897998 36.1593202, 120.4896802 36.1594467, 120.4895202 36.1595489, 120.489327 36.1596269, 120.489127 36.1596646, 120.4888356 36.1596322, 120.4888072 36.15984))","[5332459908, 5332459909, 5332459910, 5332459911, 5332459912, 5332459913, 5332459914, 5332459915, 5332459916, 5332459917, 5332459918, 5332459919, 5332459920, 5332459921, 5332459922, 5332459923, 5332459924, 5332459908]",university,,行远楼,行远楼,行远楼,行遠樓,no,,,,,,,,,,
way,552274450,,中国海洋大学,,yes,"POLYGON ((120.4885805 36.1595005, 120.4884672 36.1593686, 120.4883572 36.1592045, 120.4883039 36.1590216, 120.4883006 36.1588521, 120.4883173 36.1586906, 120.488064 36.1586799, 120.4880507 36.1588225, 120.4880507 36.1589758, 120.488074 36.159105, 120.488114 36.1592529, 120.4881906 36.1593902, 120.4883039 36.1595193, 120.4883972 36.1596242, 120.4885805 36.1595005))","[5332459925, 5332459926, 5332459927, 5332459928, 5332459929, 5332459930, 5332459931, 5332459932, 5332459933, 5332459934, 5332459935, 5332459936, 5332459937, 5332459938, 5332459925]",university,,行知楼,行知楼,行知楼,行知樓,no,,,,,,,,,,
way,552274460,,中国海洋大学,government,,"POLYGON ((120.492501 36.1652325, 120.4922477 36.1651707, 120.4921211 36.165098, 120.4920378 36.1649877, 120.4920112 36.1648236, 120.4920378 36.1646945, 120.4921178 36.1646111, 120.4922444 36.164525, 120.492401 36.1644793, 120.4925643 36.1644524, 120.492561 36.1643743, 120.4927043 36.1643824, 120.4928442 36.1644281, 120.4929642 36.1645089, 120.4930708 36.1646245, 120.4930799 36.1646519, 120.4931208 36.1647752, 120.4931142 36.1649205, 120.4930408 36.1650577, 120.4929309 36.1651707, 120.4927543 36.1652648, 120.492591 36.1653132, 120.4924943 36.1653052, 120.492501 36.1652325))","[5332459976, 5332459977, 5332459978, 5332459979, 5332459980, 5332459981, 5332459982, 5332459983, 5332459984, 5332459985, 5332459986, 5332459987, 5332459988, 5332459989, 5332459990, 5334637308, 5332459991, 5332459992, 5332459993, 5332459994, 5332459995, 5332459996, 5332459997, 5332459976]",yes,sports_centre,综合体育馆,综合体育馆,综合体育馆,綜合體育館,,,,,,,,,,,
way,552537864,,中国海洋大学,,yes,"POLYGON ((120.495936 36.166293, 120.4964067 36.166033, 120.4963077 36.1659102, 120.4958405 36.1661787, 120.4957237 36.1660416, 120.4963077 36.1657102, 120.4966428 36.1661069, 120.4960665 36.16644, 120.495936 36.166293))","[5334609583, 5334609584, 5334609585, 5334609586, 5334609587, 5334609588, 5334609589, 5334609590, 5334609583]",apartments,,北海苑4号学生公寓,北海苑4号学生公寓,北海苑4号学生公寓,北海苑4號學生公寓,no,,,,,,,,,,
way,552537865,,中国海洋大学,,yes,"POLYGON ((120.4958405 36.1663502, 120.4953591 36.1666073, 120.4952636 36.1664959, 120.495752 36.166233, 120.4956352 36.1660987, 120.4950229 36.1664387, 120.4953627 36.1668359, 120.4959644 36.1664959, 120.4958405 36.1663502))","[5334609591, 5334609592, 5334609593, 5334609594, 5334609595, 5334609596, 5334609597, 5334609598, 5334609591]",apartments,,北海苑2号学生公寓,北海苑2号学生公寓,北海苑2号学生公寓,北海苑2號學生公寓,no,,,,,,,,,,
way,552537866,,中国海洋大学,,yes,"POLYGON ((120.4954404 36.165637, 120.4955852 36.1657991, 120.4950715 36.1661007, 120.4946885 36.1656483, 120.4952256 36.165358, 120.4953283 36.1654899, 120.494908 36.1657199, 120.4950341 36.1658594, 120.4954404 36.165637))","[5334609599, 5334609600, 5334609601, 5334609602, 5334609603, 5334609604, 5334609605, 5334609606, 5334609599]",apartments,,北海苑1号学生公寓,北海苑1号学生公寓,北海苑1号学生公寓,北海苑1號學生公寓,no,,,,,,,,,,
