osmid,y,x,street_count,geometry
1820236009,36.1641828,120.4927792,3,POINT (120.4927792 36.1641828)
1820236012,36.1655966,120.4990338,1,POINT (120.4990338 36.1655966)
1820236022,36.1647538,120.4912944,4,POINT (120.4912944 36.1647538)
1820236034,36.1643342,120.4936748,4,POINT (120.4936748 36.1643342)
1820236037,36.1624762,120.4942247,3,POINT (120.4942247 36.1624762)
1820236040,36.1656009,120.4974406,3,POINT (120.4974406 36.1656009)
1820236043,36.1647722,120.4960839,4,POINT (120.4960839 36.1647722)
1820236052,36.1652409,120.4952322,3,POINT (120.4952322 36.1652409)
1820236058,36.1668462,120.4968615,3,POINT (120.4968615 36.1668462)
1820236075,36.1661328,120.4969043,3,POINT (120.4969043 36.1661328)
1820236077,36.1658639,120.4966368,3,POINT (120.4966368 36.1658639)
1820236080,36.1658783,120.4985132,3,POINT (120.4985132 36.1658783)
1820236096,36.1620431,120.498138,3,POINT (120.498138 36.1620431)
1820236101,36.163442,120.4955228,4,POINT (120.4955228 36.163442)
1820236103,36.16429,120.4981817,3,POINT (120.4981817 36.16429)
1820236106,36.1639682,120.4923284,3,POINT (120.4923284 36.1639682)
1820236114,36.1643561,120.497299,3,POINT (120.497299 36.1643561)
1820236122,36.1666362,120.4981973,3,POINT (120.4981973 36.1666362)
1820236126,36.1648422,120.4940769,3,POINT (120.4940769 36.1648422)
1820236136,36.160155,120.4929965,3,POINT (120.4929965 36.160155)
1820236176,36.16551,120.4947048,3,POINT (120.4947048 36.16551)
1820236192,36.1578918,120.4936158,3,POINT (120.4936158 36.1578918)
1820263959,36.1658759,120.4957133,3,POINT (120.4957133 36.1658759)
1820263961,36.1573296,120.4920377,3,POINT (120.4920377 36.1573296)
1820263965,36.160404,120.4917707,3,POINT (120.4917707 36.160404)
1820263967,36.1610624,120.4919424,3,POINT (120.4919424 36.1610624)
1820263969,36.1625013,120.4917035,3,POINT (120.4917035 36.1625013)
1820263982,36.1622361,120.4918136,3,POINT (120.4918136 36.1622361)
1820263990,36.165453,120.4964492,3,POINT (120.4964492 36.165453)
1820263998,36.1581302,120.4896249,3,POINT (120.4896249 36.1581302)
1820264000,36.1645207,120.4910251,4,POINT (120.4910251 36.1645207)
1820272589,36.1637278,120.4920173,3,POINT (120.4920173 36.1637278)
1820272594,36.1631539,120.4896516,3,POINT (120.4896516 36.1631539)
1820272598,36.1616143,120.4892075,3,POINT (120.4892075 36.1616143)
1820272618,36.1585304,120.488685,3,POINT (120.488685 36.1585304)
1820272626,36.1594773,120.4888776,3,POINT (120.4888776 36.1594773)
1820272633,36.1583859,120.489079,3,POINT (120.489079 36.1583859)
1820272636,36.1607113,120.4891796,3,POINT (120.4891796 36.1607113)
1820272640,36.1595057,120.4891263,3,POINT (120.4891263 36.1595057)
1820277676,36.16195,120.4905475,4,POINT (120.4905475 36.16195)
1820300102,36.1599539,120.4885628,3,POINT (120.4885628 36.1599539)
