osmid,y,x,street_count,geometry
7925077320,40.1735318,116.1586716,3,POINT (116.1586716 40.1735318)
7925077321,40.1737647,116.1586026,1,POINT (116.1586026 40.1737647)
7925077323,40.1734538,116.1584439,4,POINT (116.1584439 40.1734538)
7925077324,40.1737412,116.1583902,1,POINT (116.1583902 40.1737412)
7925077325,40.1742692,116.1591898,3,POINT (116.1591898 40.1742692)
7925077328,40.1738738,116.1589699,3,POINT (116.1589699 40.1738738)
7925077330,40.1736588,116.1586456,4,POINT (116.1586456 40.1736588)
7925077355,40.1755596,116.1546357,3,POINT (116.1546357 40.1755596)
7925077364,40.1763695,116.1536778,4,POINT (116.1536778 40.1763695)
7925077365,40.1764115,116.1527356,3,POINT (116.1527356 40.1764115)
7925077366,40.1764415,116.1513066,3,POINT (116.1513066 40.1764415)
7925077367,40.176376,116.1500763,3,POINT (116.1500763 40.176376)
7925077368,40.1776428,116.1513173,4,POINT (116.1513173 40.1776428)
7925077369,40.1792285,116.1513248,3,POINT (116.1513248 40.1792285)
7925084188,40.1776515,116.1526852,4,POINT (116.1526852 40.1776515)
7925084189,40.1770549,116.1526966,3,POINT (116.1526966 40.1770549)
7925084193,40.1770288,116.1513118,3,POINT (116.1513118 40.1770288)
7925084194,40.1776776,116.1499882,3,POINT (116.1499882 40.1776776)
7925084195,40.1777255,116.1536713,3,POINT (116.1536713 40.1777255)
7925084198,40.1777603,116.1569998,4,POINT (116.1569998 40.1777603)
7925084199,40.1777516,116.1594963,4,POINT (116.1594963 40.1777516)
7925084200,40.1779171,116.1612176,3,POINT (116.1612176 40.1779171)
7925084203,40.1778791,116.1608484,3,POINT (116.1608484 40.1778791)
7925084205,40.1791001,116.1608223,3,POINT (116.1608223 40.1791001)
7925084209,40.178849,116.1594792,3,POINT (116.1594792 40.178849)
7925084210,40.178849,116.1569998,3,POINT (116.1569998 40.178849)
7925084212,40.1777505,116.1555636,3,POINT (116.1555636 40.1777505)
7925084213,40.1793324,116.1569771,1,POINT (116.1569771 40.1793324)
7925084214,40.1792801,116.1569885,3,POINT (116.1569885 40.1792801)
7925084225,40.1792279,116.1586584,4,POINT (116.1586584 40.1792279)
7925084227,40.1791582,116.1588465,1,POINT (116.1588465 40.1791582)
7925084228,40.178984,116.1555816,3,POINT (116.1555816 40.178984)
7925084229,40.1789837,116.1569963,3,POINT (116.1569963 40.1789837)
7925084230,40.178579,116.1555757,3,POINT (116.1555757 40.178579)
7925084231,40.178579,116.1569998,3,POINT (116.1569998 40.178579)
7925084232,40.1781653,116.1555696,3,POINT (116.1555696 40.1781653)
7925084233,40.1781653,116.1569998,4,POINT (116.1569998 40.1781653)
7925084235,40.178148,116.1594901,3,POINT (116.1594901 40.178148)
7925084236,40.178849,116.1587154,4,POINT (116.1587154 40.178849)
7925084253,40.1792972,116.1607887,3,POINT (116.1607887 40.1792972)
7925084258,40.1797625,116.1607975,1,POINT (116.1607975 40.1797625)
7925084262,40.1781533,116.1587213,3,POINT (116.1587213 40.1781533)
7925084263,40.1781571,116.1581856,3,POINT (116.1581856 40.1781571)
7925084264,40.1777562,116.1581911,3,POINT (116.1581911 40.1777562)
7925084265,40.178283,116.1594878,3,POINT (116.1594878 40.178283)
7925084266,40.1782695,116.1608281,3,POINT (116.1608281 40.1782695)
7925084267,40.1787011,116.1594814,3,POINT (116.1594814 40.1787011)
7925084268,40.1786828,116.1608244,3,POINT (116.1608244 40.1786828)
7925084269,40.1780105,116.1621485,3,POINT (116.1621485 40.1780105)
7925084271,40.1791626,116.1619528,3,POINT (116.1619528 40.1791626)
7925084272,40.1795022,116.1618787,1,POINT (116.1618787 40.1795022)
7925084273,40.1792497,116.1628077,1,POINT (116.1628077 40.1792497)
7925084274,40.1788026,116.1620066,3,POINT (116.1620066 40.1788026)
7925084275,40.1788882,116.1628989,1,POINT (116.1628989 40.1788882)
7925084277,40.1767239,116.1589377,3,POINT (116.1589377 40.1767239)
7925084279,40.1767805,116.1576154,3,POINT (116.1576154 40.1767805)
7925084280,40.176007,116.1572961,1,POINT (116.1572961 40.176007)
7925084298,40.1761186,116.1591942,3,POINT (116.1591942 40.1761186)
7925084301,40.1742808,116.1604937,3,POINT (116.1604937 40.1742808)
7925084302,40.1742852,116.1615538,3,POINT (116.1615538 40.1742852)
7925084309,40.1730004,116.1601745,4,POINT (116.1601745 40.1730004)
7925084313,40.1728741,116.1589491,3,POINT (116.1589491 40.1728741)
7925084314,40.1724909,116.1608642,3,POINT (116.1608642 40.1724909)
7925084320,40.1728044,116.1589548,1,POINT (116.1589548 40.1728044)
7925084324,40.1714282,116.1609554,1,POINT (116.1609554 40.1714282)
7925084325,40.1726912,116.1616621,4,POINT (116.1616621 40.1726912)
7925084326,40.1713411,116.1621865,1,POINT (116.1621865 40.1713411)
7925084335,40.1760925,116.1613999,3,POINT (116.1613999 40.1760925)
7925084336,40.1769634,116.1612803,3,POINT (116.1612803 40.1769634)
7925084337,40.1778284,116.1602945,3,POINT (116.1602945 40.1778284)
