element_type,osmid,nodes,building,operator,smoking,wheelchair,geometry,amenity,fast_food,name,layer
way,1009036629,"[9310041418, 9310041419, 9310041420, 9310041421, 9310041422, 9310041423, 9310041424, 9310041425, 9310041426, 9310041427, 9310041418]",dormitory,北京大学,no,yes,"POLYGON ((116.1595615 40.1781914, 116.1595626 40.1780481, 116.1601191 40.1780506, 116.1601188 40.1780914, 116.1607311 40.1780942, 116.1607301 40.1782307, 116.1601736 40.1782281, 116.160174 40.1781757, 116.1601237 40.1781755, 116.1601235 40.1781939, 116.1595615 40.1781914))",,,,
way,1013065578,"[9346424078, 9346424079, 9346424080, 9346424081, 9346424082, 9346424083, 9346424084, 9346424085, 9346424078]",yes,北京大学,no,yes,"POLYGON ((116.150095 40.1789999, 116.1500947 40.1791414, 116.1506445 40.1791421, 116.1506444 40.1791897, 116.1512594 40.1791904, 116.1512597 40.1790396, 116.1506566 40.1790389, 116.1506567 40.1790006, 116.150095 40.1789999))",,,,
way,1013065579,"[9346424086, 9346424087, 9346424088, 9346424089, 9346424090, 9346424091, 9346424092, 9346424093, 9346424086]",yes,北京大学,no,yes,"POLYGON ((116.1500767 40.1786172, 116.150077 40.1787644, 116.1506284 40.1787637, 116.1506285 40.1788111, 116.1512398 40.1788103, 116.1512395 40.178655, 116.1506345 40.1786558, 116.1506344 40.1786166, 116.1500767 40.1786172))",,,,
way,1013065580,"[9346424094, 9346424095, 9346424096, 9346424097, 9346424098, 9346424099, 9346424100, 9346424101, 9346424094]",yes,北京大学,no,yes,"POLYGON ((116.1500953 40.1782042, 116.1500956 40.1783514, 116.150647 40.1783507, 116.1506471 40.1783981, 116.1512584 40.1783973, 116.151258 40.178242, 116.1506531 40.1782428, 116.150653 40.1782036, 116.1500953 40.1782042))",,,,
way,1013065581,"[9346424102, 9346424103, 9346424104, 9346424105, 9346424106, 9346424107, 9346424108, 9346424109, 9346424102]",yes,北京大学,no,yes,"POLYGON ((116.1500854 40.1777956, 116.1500857 40.1779427, 116.1506371 40.1779421, 116.1506372 40.1779895, 116.1512485 40.1779887, 116.1512482 40.1778334, 116.1506432 40.1778342, 116.1506432 40.1777949, 116.1500854 40.1777956))",,,,
way,1013065582,"[9346424110, 9346424111, 9346424112, 9346424113, 9346424114, 9346424115, 9346424116, 9346427417, 9346424110]",yes,北京大学,no,yes,"POLYGON ((116.1515037 40.1778319, 116.1515053 40.1779707, 116.1520824 40.1779668, 116.152082 40.1779329, 116.1526369 40.1779291, 116.1526351 40.1777775, 116.1520748 40.1777814, 116.1520753 40.177828, 116.1515037 40.1778319))",,,,
way,1013065583,"[9346427418, 9346427419, 9346427420, 9346427421, 9346427422, 9346427423, 9346427424, 9346427425, 9346427418]",yes,北京大学,no,yes,"POLYGON ((116.1514669 40.1782261, 116.1514685 40.1783649, 116.1520456 40.178361, 116.1520452 40.1783271, 116.1526001 40.1783232, 116.1525983 40.1781716, 116.152038 40.1781755, 116.1520385 40.1782222, 116.1514669 40.1782261))",,,,
way,1013065584,"[9346427426, 9346427427, 9346427428, 9346427429, 9346427430, 9346427431, 9346427432, 9346427433, 9346427426]",yes,北京大学,no,yes,"POLYGON ((116.1514783 40.1786234, 116.1514799 40.1787622, 116.152057 40.1787583, 116.1520566 40.1787244, 116.1526115 40.1787206, 116.1526097 40.178569, 116.1520494 40.1785729, 116.1520499 40.1786195, 116.1514783 40.1786234))",,,,
way,1013065585,"[9346427434, 9346427435, 9346427436, 9346427437, 9346427438, 9346427439, 9346427440, 9346427441, 9346427434]",yes,北京大学,no,yes,"POLYGON ((116.1514714 40.1790416, 116.151473 40.1791804, 116.1520502 40.1791765, 116.1520498 40.1791426, 116.1526047 40.1791388, 116.1526029 40.1789872, 116.1520425 40.1789911, 116.1520431 40.1790377, 116.1514714 40.1790416))",,,,
way,1013065586,"[9346427442, 9346427443, 9346427444, 9346427445, 9346427446, 9346427447, 9346427448, 9346427449, 9346427442]",yes,北京大学,no,yes,"POLYGON ((116.150098 40.1773444, 116.1500983 40.1774916, 116.1506497 40.1774909, 116.1506498 40.1775383, 116.1512612 40.1775375, 116.1512608 40.1773822, 116.1506559 40.177383, 116.1506558 40.1773438, 116.150098 40.1773444))",,,,
way,1013065587,"[9346427450, 9346427451, 9346427452, 9346427453, 9346427454, 9346427455, 9346427456, 9346427457, 9346427450]",yes,北京大学,no,yes,"POLYGON ((116.150098 40.1769295, 116.1500983 40.1770766, 116.1506497 40.1770759, 116.1506498 40.1771234, 116.1512612 40.1771225, 116.1512608 40.1769672, 116.1506559 40.1769681, 116.1506558 40.1769288, 116.150098 40.1769295))",,,,
way,1013065588,"[9346427458, 9346427459, 9346427460, 9346427461, 9346427462, 9346427463, 9346427464, 9346427465, 9346427458]",yes,北京大学,no,yes,"POLYGON ((116.1500917 40.17652, 116.150092 40.1766672, 116.1506434 40.1766665, 116.1506435 40.1767139, 116.1512548 40.1767131, 116.1512545 40.1765578, 116.1506496 40.1765586, 116.1506495 40.1765194, 116.1500917 40.17652))",,,,
way,1013065589,"[9346427468, 9346427469, 9346427470, 9346427471, 9346427472, 9346427473, 9346427474, 9346427475, 9346427468]",yes,北京大学,no,yes,"POLYGON ((116.1514517 40.1771764, 116.151452 40.1773235, 116.1520035 40.1773228, 116.1520036 40.1773703, 116.1526149 40.1773694, 116.1526145 40.1772141, 116.1520096 40.177215, 116.1520095 40.1771757, 116.1514517 40.1771764))",,,,
way,1013065590,"[9346427476, 9346427477, 9346427478, 9346427479, 9346427476]",yes,北京大学,no,yes,"POLYGON ((116.1528686 40.1765153, 116.1528797 40.1772285, 116.1535876 40.1772221, 116.1535767 40.1765089, 116.1528686 40.1765153))",,,,
way,1013065591,"[9346427480, 9346427481, 9346427482, 9346427483, 9346427480]",yes,北京大学,no,yes,"POLYGON ((116.1528939 40.1773484, 116.1528964 40.1776071, 116.1531835 40.1776055, 116.1531811 40.1773468, 116.1528939 40.1773484))",,,,
way,1013065592,"[9346427484, 9346427485, 9346427486, 9346427487, 9346427488, 9346427484]",yes,北京大学,no,yes,"POLYGON ((116.1529537 40.1778198, 116.1527735 40.1784772, 116.1527906 40.1788215, 116.1530825 40.1788543, 116.1533764 40.1778935, 116.1529537 40.1778198))",,,,
way,1013065593,"[9346427489, 9346427490, 9346427491, 9346427492, 9346427489]",yes,北京大学,no,yes,"POLYGON ((116.1528157 40.1789097, 116.1528246 40.1791744, 116.1530219 40.1791705, 116.1530131 40.1789059, 116.1528157 40.1789097))",,,,
way,1013065595,"[9346427497, 9346427498, 9346427499, 9346427500, 9346427501, 9346427502, 9346427503, 9346427504, 9346427497]",yes,北京大学,no,yes,"POLYGON ((116.1557257 40.1786993, 116.155726 40.1788465, 116.1562774 40.1788458, 116.1562775 40.1788932, 116.1568888 40.1788924, 116.1568885 40.1787371, 116.1562835 40.1787379, 116.1562834 40.1786987, 116.1557257 40.1786993))",,,,
way,1013065596,"[9346427505, 9346427506, 9346427507, 9346427508, 9346427509, 9346427510, 9346427511, 9346427512, 9346427505]",yes,北京大学,no,yes,"POLYGON ((116.1557073 40.1790998, 116.1557076 40.1792469, 116.156259 40.1792463, 116.1562591 40.1792937, 116.1568705 40.1792929, 116.1568701 40.1791376, 116.1562652 40.1791384, 116.1562651 40.1790992, 116.1557073 40.1790998))",,,,
way,1013065597,"[9346427513, 9346427514, 9346427515, 9346427516, 9346427517, 9346427518, 9346427519, 9346427520, 9346427513]",yes,北京大学,no,yes,"POLYGON ((116.1557362 40.1782702, 116.1557365 40.1784174, 116.1562879 40.1784167, 116.156288 40.1784641, 116.1568993 40.1784633, 116.156899 40.178308, 116.156294 40.1783088, 116.156294 40.1782696, 116.1557362 40.1782702))",,,,
way,1013065598,"[9346427521, 9346427522, 9346427523, 9346427524, 9346427525, 9346427526, 9346427527, 9346427528, 9346427521]",yes,北京大学,no,yes,"POLYGON ((116.1557452 40.1778315, 116.1557455 40.1779786, 116.1562969 40.177978, 116.156297 40.1780254, 116.1569084 40.1780246, 116.156908 40.1778693, 116.1563031 40.1778701, 116.156303 40.1778308, 116.1557452 40.1778315))",,,,
way,1013065599,"[9346427529, 9346427530, 9346427531, 9346427532, 9346427533, 9346427534, 9346427535, 9346427536, 9346427529]",yes,北京大学,no,yes,"POLYGON ((116.1571211 40.1782547, 116.1571214 40.1787615, 116.1572976 40.1787615, 116.1572976 40.1787974, 116.1575839 40.1787972, 116.1575839 40.1787621, 116.1577611 40.1787621, 116.1577608 40.1782545, 116.1571211 40.1782547))",fast_food,cafeteria,馨园食堂 (Xinyuan Dining Hall),
way,1013065600,"[9346427537, 9346427538, 9346427539, 9346427540, 9346427541, 9346427542, 9346427543, 9346427544, 9346427537]",dormitory,北京大学,no,yes,"POLYGON ((116.1571163 40.177867, 116.157115 40.178005, 116.1578001 40.1780089, 116.1577996 40.1780561, 116.1580877 40.1780577, 116.1580892 40.177901, 116.1578054 40.1778994, 116.1578057 40.1778709, 116.1571163 40.177867))",,,,
way,1013065601,"[9346427545, 9346427546, 9346427547, 9346427548, 9346427549, 9346427550, 9346427551, 9346427552, 9346427553, 9346427554, 9346427545]",dormitory,北京大学,no,yes,"POLYGON ((116.1583396 40.1779278, 116.1583387 40.178057, 116.1585921 40.178058, 116.1585924 40.1780114, 116.1592918 40.178014, 116.1592926 40.1778822, 116.1586819 40.1778799, 116.1586722 40.1779062, 116.158544 40.1779057, 116.1585438 40.1779286, 116.1583396 40.1779278))",,,,
way,1013065602,"[9346427555, 9346427556, 9346427557, 9346427558, 9346427559, 9346427560, 9346427561, 9346427562, 9346427555]",construction,北京大学,no,yes,"POLYGON ((116.1593444 40.1782493, 116.1588914 40.1782565, 116.1588951 40.1783902, 116.1588325 40.1783912, 116.1588386 40.17862, 116.158892 40.1786192, 116.1588954 40.178748, 116.1593577 40.1787407, 116.1593444 40.1782493))",,,,
way,1013065603,"[9346427563, 9346427564, 9346427565, 9346427566, 9346427567, 9346427568, 9346427569, 9346427570, 9346427571, 9346427572, 9346427563]",dormitory,北京大学,no,yes,"POLYGON ((116.1596268 40.1785351, 116.1596279 40.1783918, 116.1601844 40.1783943, 116.1601841 40.1784351, 116.1607964 40.1784379, 116.1607954 40.1785744, 116.1602389 40.1785718, 116.1602393 40.1785194, 116.160189 40.1785192, 116.1601888 40.1785376, 116.1596268 40.1785351))",,,,
way,1013065604,"[9346427573, 9346427574, 9346427575, 9346427576, 9346427577, 9346427578, 9346427579, 9346427580, 9346427581, 9346427582, 9346427573]",dormitory,北京大学,no,yes,"POLYGON ((116.1596173 40.1789423, 116.1596184 40.178799, 116.1601749 40.1788015, 116.1601746 40.1788423, 116.1607869 40.1788451, 116.1607859 40.1789816, 116.1602294 40.178979, 116.1602298 40.1789266, 116.1601795 40.1789264, 116.1601793 40.1789448, 116.1596173 40.1789423))",,,,
way,1013065605,"[9346427584, 9346427585, 9346427586, 9346427587, 9346427588, 9346427589, 9346427590, 9346427591, 9346427592, 9346427593, 9346427594, 9346427595, 9346427596, 9346427597, 9346427598, 9346427599, 9346427600, 9346427601, 9346427602, 9346427603, 9346427604, 9346428027, 9346427584]",yes,北京大学,no,yes,"POLYGON ((116.1570317 40.1762502, 116.1566068 40.1762525, 116.1566296 40.1764913, 116.1566038 40.1765215, 116.1566948 40.1767336, 116.1568238 40.1768971, 116.1568511 40.1769168, 116.1570559 40.1771058, 116.1573655 40.1768623, 116.1572562 40.1767557, 116.1571819 40.1767997, 116.1571409 40.1767626, 116.1572244 40.176707, 116.1571394 40.1766026, 116.157059 40.1766316, 116.1570301 40.1765806, 116.1570802 40.1765655, 116.1570438 40.1764542, 116.1569649 40.1764589, 116.1569603 40.1764044, 116.1570453 40.1763951, 116.1570349 40.1762848, 116.1570317 40.1762502))",,,,
way,1013065606,"[9346427605, 9346427606, 9346427607, 9346427608, 9346427609, 9346427610, 9346427611, 9346427612, 9346427613, 9346427614, 9346427615, 9346427616, 9346427617, 9346427618, 9346427619, 9346427620, 9346427621, 9346427622, 9346427623, 9346427624, 9346427625, 9346427626, 9346427627, 9346427628, 9346427629, 9346427630, 9346427631, 9346427632, 9346427633, 9346427634, 9346427635, 9346427636, 9346427637, 9346427638, 9346427639, 9346427640, 9346427641, 9346427642, 9346427605]",yes,北京大学,no,yes,"POLYGON ((116.1576771 40.1769872, 116.1575612 40.177152, 116.1577672 40.1772438, 116.1579668 40.1772955, 116.1580033 40.177302, 116.1580118 40.1772914, 116.1581363 40.1773028, 116.1581642 40.1773028, 116.1582093 40.1773299, 116.1582522 40.1773438, 116.1582886 40.1773487, 116.1583541 40.177343, 116.1584024 40.1773127, 116.1584142 40.1773004, 116.1585011 40.1772971, 116.1585633 40.1772873, 116.1585708 40.1773028, 116.1587725 40.1772594, 116.1589807 40.177184, 116.159044 40.1771586, 116.1589034 40.176984, 116.1588251 40.1770225, 116.1587028 40.1770635, 116.1587092 40.1770758, 116.1585622 40.1771127, 116.1584989 40.1771241, 116.1584882 40.1771168, 116.1584313 40.1771217, 116.1584067 40.1771143, 116.158382 40.1771168, 116.1583841 40.1769028, 116.1581073 40.1769044, 116.1581159 40.1771258, 116.158088 40.1771282, 116.1579754 40.1771077, 116.1578799 40.1770782, 116.1578852 40.1770651, 116.1577737 40.1770315, 116.1576771 40.1769872))",,,,1
way,1013065607,"[9346427643, 9346427644, 9346427645, 9346427646, 9346427643]",yes,北京大学,no,yes,"POLYGON ((116.1579003 40.1773881, 116.1579003 40.1775619, 116.1586652 40.1775676, 116.1586706 40.177393, 116.1579003 40.1773881))",,,,
