u,v,key,osmid,oneway,highway,reversed,length,geometry,bridge
7925077320,7925077330,0,849445634,True,residential,False,14.294,"LINESTRING (116.1586716 40.1735318, 116.1586456 40.1736588)",
7925077320,7925084313,0,849445664,False,residential,False,92.541,"LINESTRING (116.1586716 40.1735318, 116.1587724 40.1735579, 116.1588807 40.1735274, 116.1589149 40.1734403, 116.1588978 40.173314, 116.1588807 40.1732008, 116.1589491 40.1728741)",
7925077323,7925077355,0,"[849445705, 849445706, 849445636]",False,residential,False,523.698,"LINESTRING (116.1584439 40.1734538, 116.158279 40.1733698, 116.1580905 40.1732978, 116.1578314 40.1732318, 116.1577783 40.1732212, 116.1573211 40.1731299, 116.1570462 40.1730759, 116.1568028 40.1730339, 116.1566144 40.1730159, 116.1564417 40.1730159, 116.1562689 40.1730279, 116.1561197 40.1730579, 116.1560098 40.1730939, 116.1559156 40.1731718, 116.1558685 40.1732618, 116.1558449 40.1733998, 116.1558135 40.1735858, 116.1557585 40.1738438, 116.1557114 40.1740418, 116.1556408 40.1742818, 116.155523 40.1745457, 116.1553895 40.1748217, 116.1552403 40.1750017, 116.1547692 40.1755056, 116.1546357 40.1755596)",yes
7925077323,7925077330,0,849445636,False,residential,True,29.732,"LINESTRING (116.1584439 40.1734538, 116.1585302 40.1734898, 116.1585773 40.1735858, 116.1586456 40.1736588)",
7925077324,7925077323,0,849445635,True,residential,False,32.282,"LINESTRING (116.1583902 40.1737412, 116.1584439 40.1734538)",
7925077325,7925077328,0,849445636,False,residential,False,48.86,"LINESTRING (116.1591898 40.1742692, 116.1591505 40.1740958, 116.1590877 40.1739878, 116.1589699 40.1738738)",
7925077325,7925084360,0,849445660,False,residential,True,106.371,"LINESTRING (116.1591898 40.1742692, 116.1591885 40.1743244, 116.1591914 40.1752258)",
7925077325,7925084369,0,849445661,False,residential,False,93.997,"LINESTRING (116.1591898 40.1742692, 116.1592968 40.1742852, 116.1602941 40.1742815)",
7925077328,7925084309,0,849445663,False,unclassified,False,141.091,"LINESTRING (116.1589699 40.1738738, 116.1601745 40.1730004)",
7925077328,7925077330,0,849445636,False,residential,False,36.480999999999995,"LINESTRING (116.1589699 40.1738738, 116.1587736 40.1737418, 116.1586456 40.1736588)",
7925077328,7925077325,0,849445636,False,residential,True,48.86,"LINESTRING (116.1589699 40.1738738, 116.1590877 40.1739878, 116.1591505 40.1740958, 116.1591898 40.1742692)",
7925077330,7925077321,0,849445634,True,residential,False,12.329,"LINESTRING (116.1586456 40.1736588, 116.1586026 40.1737647)",
