element_type,osmid,geometry,nodes,building,building:colour,building:levels,building:material,name,name:zh,name:zh-Hans,name:zh-Hant,roof:colour,roof:material,addr:city,addr:district,addr:postcode,addr:province,addr:street,roof:shape,roof:height,amenity,tourism,leisure,addr:housenumber,name:en,sport,height,roof:orientation,office,access,bicycle_parking,layer,ways,type
way,182855514,"POLYGON ((116.3010031 39.9706058, 116.3010213 39.9704377, 116.3010309 39.9704383, 116.3012454 39.9704519, 116.3016854 39.97048, 116.3022597 39.9705165, 116.3025946 39.9705379, 116.3028164 39.970552, 116.3028856 39.9705564, 116.3028674 39.9707246, 116.302785 39.9707193, 116.3025597 39.970705, 116.3010031 39.9706058))","[1932205369, 1932205378, 5031781270, 5031781273, 5031781245, 5031781246, 5031781259, 5031781256, 1932205388, 2368036631, 5031781244, 5031781241, 1932205369]",university,#b60b2d,12,brick,明德主楼,明德主楼,明德主楼,明德主樓,gray,concrete,,,,,,,,,,,,,,,,,,,,,
way,182855872,"POLYGON ((116.3024945 39.9679232, 116.30251 39.9677679, 116.3033346 39.967816, 116.3033008 39.9681566, 116.3031374 39.9681471, 116.3031558 39.9679618, 116.3024945 39.9679232))","[1932208196, 1932208202, 1932208200, 1932208199, 1932208198, 1932208197, 1932208196]",yes,white,10,,品园3楼,品园3楼,品园3楼,品園3樓,gray,,Beijing,Haidian,100872,Beijing,谨勤路,,,,,,,,,,,,,,,,
way,182855930,"POLYGON ((116.3024419 39.968478, 116.3024596 39.9683287, 116.3030745 39.9683714, 116.3030916 39.9682273, 116.30327 39.9682397, 116.3032353 39.9685331, 116.3024419 39.968478))","[1932208384, 1932208383, 1932208382, 1932208386, 1932208385, 1932208381, 1932208384]",yes,white,10,,品园4楼,品园4楼,品园4楼,品園4樓,gray,,,,,,,gabled,,,,,,,,,,,,,,,
way,182856022,"POLYGON ((116.3023817 39.968904, 116.3023998 39.9687553, 116.3030246 39.9687998, 116.3030403 39.9686699, 116.303212 39.9686822, 116.3031782 39.9689609, 116.3023817 39.968904))","[1932208864, 1932208863, 1932208867, 1932208866, 1932208860, 1932208865, 1932208864]",dormitory,white,10,,品园5楼,,,,gray,,,,,,,gabled,0.29,,,,,,,,,,,,,,
way,182856307,"POLYGON ((116.3025614 39.9674463, 116.3025781 39.9672987, 116.3033817 39.967352, 116.3033463 39.9676658, 116.3031759 39.9676545, 116.3031947 39.9674881, 116.3025614 39.9674463))","[1932211572, 1932211574, 1932211578, 1932211580, 1932211577, 1932211575, 1932211572]",yes,white,10,,品园2楼,品园2楼,品园2楼,品園2樓,gray,,,,,,,,,,,,,,,,,,,,,,
way,182856687,"POLYGON ((116.3013522 39.9675474, 116.3013904 39.9672504, 116.3024509 39.9673304, 116.3024354 39.967451, 116.3014959 39.9673802, 116.3014732 39.9675565, 116.3013522 39.9675474))","[1932215901, 1932215906, 1932215908, 1932215902, 1932215903, 1932215904, 1932215901]",dormitory,white,6,,品园1楼,品园1楼,品园1楼,品園1樓,gray,,,,,,,,,,,,,,,,,,,,,,
way,182856688,"POLYGON ((116.3035556 39.9678249, 116.3035979 39.9673798, 116.3044657 39.9674283, 116.3044478 39.9676165, 116.303772 39.9675787, 116.3037475 39.9678356, 116.3035556 39.9678249))","[1932215899, 1932215909, 1932215905, 1932215900, 1932215898, 1932215907, 1932215899]",yes,,10,,品园6楼,品园6楼,品园6楼,品園6樓,,,,,,,,,,,,,,,,,,,,,,,
way,258855717,"POLYGON ((116.3012648 39.9681125, 116.301577 39.9681322, 116.3015682 39.9682143, 116.3017504 39.9682258, 116.3018207 39.9675721, 116.3015954 39.9675578, 116.3015863 39.9676426, 116.3013172 39.9676256, 116.301315 39.967646, 116.3012648 39.9681125))","[2641707755, 2641707764, 2641707763, 2641707765, 2641707761, 2641707762, 5018578065, 2641707758, 2641707759, 2641707755]",yes,,2,,西区食堂,西区食堂,西区食堂,西區食堂,,,,,,,,,,food_court,,,,,,,,,,,,,
way,280166015,"POLYGON ((116.3067294 39.9681884, 116.3068632 39.9681992, 116.3069357 39.9676705, 116.3068018 39.9676597, 116.3067294 39.9681884))","[2843205549, 2843205550, 2843205551, 2843205552, 2843205549]",yes,,,,体育部,,,,,,,,,,,,,,,,,,,,,,,,,,
way,280166016,"POLYGON ((116.3070228 39.9679433, 116.3075939 39.9679911, 116.3076742 39.9682507, 116.3078244 39.9682298, 116.3077786 39.9680177, 116.3077717 39.9679682, 116.3077821 39.9678996, 116.3079092 39.9676685, 116.3077434 39.9676268, 116.3076324 39.967852, 116.3070376 39.967812, 116.3070228 39.9679433))","[2843205553, 2843205554, 2843205555, 2843205556, 5100835834, 2843205557, 5100835833, 2843205559, 2843205560, 2843205561, 2843205562, 2843205553]",yes,,,,人文楼,人文楼,人文楼,人文樓,,,,,,,,,,,,,,,,,,,,,,,
