u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,maxspeed
528924148,1362305683,0,1157190940,steps,False,False,24.197,"LINESTRING (116.3138899 39.967855, 116.3139667 39.9676455)",,,
528924148,1779334553,0,"[166490610, 121781876]","['footway', 'steps']",False,"[False, True]",61.37,"LINESTRING (116.3138899 39.967855, 116.3138022 39.9680867, 116.3137369 39.9683933)",,,
1362305683,528924148,0,1157190940,steps,False,True,24.197,"LINESTRING (116.3139667 39.9676455, 116.3138899 39.967855)",,,
1779334550,5169254621,0,532742889,path,False,False,24.851,"LINESTRING (116.3130591 39.9683425, 116.3127684 39.9683248)",,,
1779334550,1779334553,0,166490608,service,False,True,58.047,"LINESTRING (116.3130591 39.9683425, 116.3134094 39.9683641, 116.3137369 39.9683933)",,,
1779334550,2843205539,0,524104534,service,True,False,40.929,"LINESTRING (116.3130591 39.9683425, 116.3130589 39.9682415, 116.3130069 39.9681407, 116.3129202 39.9679966)",,,
1779334553,1923806155,0,166490610,footway,False,False,47.124,"LINESTRING (116.3137369 39.9683933, 116.3135832 39.9688004)",,,
1779334553,1779334550,0,166490608,service,False,False,58.047,"LINESTRING (116.3137369 39.9683933, 116.3134094 39.9683641, 116.3130591 39.9683425)",,,
1779334553,528924148,0,"[166490610, 121781876]","['footway', 'steps']",False,"[False, True]",61.37,"LINESTRING (116.3137369 39.9683933, 116.3138022 39.9680867, 116.3138899 39.967855)",,,
1923806155,1779334553,0,166490610,footway,False,True,47.124,"LINESTRING (116.3135832 39.9688004, 116.3137369 39.9683933)",,,
1932225260,1932225264,0,182857677,residential,False,True,76.785,"LINESTRING (116.3044164 39.9689623, 116.3043227 39.9696491)",知行路,,
1932225260,3419716190,0,182857678,residential,False,False,87.468,"LINESTRING (116.3044164 39.9689623, 116.3051763 39.969021, 116.3054385 39.9690327)",明志路,,
1932225260,5018578074,0,182857678,residential,False,True,113.937,"LINESTRING (116.3044164 39.9689623, 116.3035058 39.9688884, 116.3035226 39.9686946, 116.3033561 39.9686782)",明志路,,
1932225263,5169253686,0,182857675,residential,False,True,43.346,"LINESTRING (116.3111804 39.9678234, 116.3111355 39.9682117)",林园路,,
1932225263,2641708703,0,182857676,residential,False,True,37.484,"LINESTRING (116.3111804 39.9678234, 116.3107427 39.9677901)",春华路,,
1932225263,10238296587,0,1119418888,service,False,False,32.45,"LINESTRING (116.3111804 39.9678234, 116.311558 39.967861)",春华路,,
1932225264,2368045561,0,182857673,residential,False,True,93.046,"LINESTRING (116.3043227 39.9696491, 116.3032382 39.9695521)",汇贤路,2,15
1932225264,1932225260,0,182857677,residential,False,False,76.785,"LINESTRING (116.3043227 39.9696491, 116.3044164 39.9689623)",知行路,,
1932225264,5017699842,0,182857677,residential,False,True,21.377,"LINESTRING (116.3043227 39.9696491, 116.3042966 39.9698403)",知行路,,
1932225274,5101650545,0,182857677,residential,False,False,44.842,"LINESTRING (116.3040913 39.9713463, 116.3041459 39.9709452)",知行路,,
1932225274,5032716103,0,524200081,service,False,False,42.589,"LINESTRING (116.3040913 39.9713463, 116.3045893 39.9713786)",,,
1932225274,5017699837,0,"[524200081, 524200106]",service,False,True,145.555,"LINESTRING (116.3040913 39.9713463, 116.3035127 39.9713088, 116.3035577 39.9708416, 116.3033871 39.9708287, 116.3030441 39.9708027)",,,
1932225275,2843205531,0,182857675,residential,False,False,95.895,"LINESTRING (116.3109964 39.9694109, 116.3110948 39.9685518)",林园路,,
1932225275,5017699844,0,182857678,residential,False,True,115.1,"LINESTRING (116.3109964 39.9694109, 116.3096514 39.9693164)",明志路,,
1932225275,5100835680,0,182857675,residential,False,True,79.372,"LINESTRING (116.3109964 39.9694109, 116.3109309 39.9699467, 116.3109095 39.9701216)",林园路,,
2368045561,1932225264,0,182857673,residential,False,False,93.046,"LINESTRING (116.3032382 39.9695521, 116.3043227 39.9696491)",汇贤路,2,15
2368045561,5018578074,0,182857674,residential,False,False,97.691,"LINESTRING (116.3032382 39.9695521, 116.3033561 39.9686782)",谨勤路,,
2368045561,5101650539,0,182857674,residential,False,True,20.493,"LINESTRING (116.3032382 39.9695521, 116.3032097 39.9697351)",谨勤路,,
2368045561,3250028221,0,182857673,residential,False,True,88.68100000000001,"LINESTRING (116.3032382 39.9695521, 116.3023565 39.9694947, 116.3023487 39.9694941, 116.3022015 39.969483)",汇贤路,2,15
2641708696,10238296586,0,513378601,service,False,True,84.454,"LINESTRING (116.3126113 39.967444, 116.3116377 39.9673023)",友谊路,,
2641708696,10238296585,0,1119418890,service,False,True,57.67,"LINESTRING (116.3126113 39.967444, 116.3124801 39.9679528)",,,
2641708696,10238296583,0,513378601,service,False,False,105.428,"LINESTRING (116.3126113 39.967444, 116.3132097 39.9675374, 116.3130965 39.9680096)",友谊路,,
2641708701,2641708703,0,258855826,service,False,False,67.798,"LINESTRING (116.3108205 39.9671833, 116.3107427 39.9677901)",,,
2641708701,10238296586,0,513378601,service,False,False,70.889,"LINESTRING (116.3108205 39.9671833, 116.3116377 39.9673023)",友谊路,,
2641708701,5018578042,0,513378601,service,False,True,95.08099999999999,"LINESTRING (116.3108205 39.9671833, 116.3101506 39.9671528, 116.309706 39.9671496)",友谊路,,
2641708703,1932225263,0,182857676,residential,False,False,37.484,"LINESTRING (116.3107427 39.9677901, 116.3111804 39.9678234)",春华路,,
2641708703,2843205544,0,182857676,residential,False,True,82.081,"LINESTRING (116.3107427 39.9677901, 116.3097844 39.967716)",春华路,,
2641708703,2641708701,0,258855826,service,False,True,67.798,"LINESTRING (116.3107427 39.9677901, 116.3108205 39.9671833)",,,
