osmid,y,x,street_count,highway,geometry
528924148,39.967855,116.3138899,3,,POINT (116.3138899 39.967855)
1362305683,39.9676455,116.3139667,1,,POINT (116.3139667 39.9676455)
1779334550,39.9683425,116.3130591,4,,POINT (116.3130591 39.9683425)
1779334553,39.9683933,116.3137369,4,crossing,POINT (116.3137369 39.9683933)
1923806155,39.9688004,116.3135832,3,,POINT (116.3135832 39.9688004)
1932225260,39.9689623,116.3044164,4,,POINT (116.3044164 39.9689623)
1932225263,39.9678234,116.3111804,3,,POINT (116.3111804 39.9678234)
1932225264,39.9696491,116.3043227,3,,POINT (116.3043227 39.9696491)
1932225274,39.9713463,116.3040913,3,,POINT (116.3040913 39.9713463)
1932225275,39.9694109,116.3109964,3,,POINT (116.3109964 39.9694109)
2368045561,39.9695521,116.3032382,4,,POINT (116.3032382 39.9695521)
2641708696,39.967444,116.3126113,3,,POINT (116.3126113 39.967444)
2641708701,39.9671833,116.3108205,3,,POINT (116.3108205 39.9671833)
2641708703,39.9677901,116.3107427,3,,POINT (116.3107427 39.9677901)
2843205531,39.9685518,116.3110948,4,,POINT (116.3110948 39.9685518)
2843205539,39.9679966,116.3129202,3,,POINT (116.3129202 39.9679966)
2843205540,39.9682362,116.3066727,3,,POINT (116.3066727 39.9682362)
2843205541,39.9683258,116.3079687,3,,POINT (116.3079687 39.9683258)
2843205542,39.9675858,116.3080546,4,,POINT (116.3080546 39.9675858)
2843205543,39.968447,116.3096742,3,,POINT (116.3096742 39.968447)
2843205544,39.967716,116.3097844,3,,POINT (116.3097844 39.967716)
2843205545,39.9691183,116.3065546,3,,POINT (116.3065546 39.9691183)
2843205546,39.9674857,116.3067376,4,,POINT (116.3067376 39.9674857)
2843205547,39.9682495,116.3069323,3,,POINT (116.3069323 39.9682495)
2843205548,39.9675097,116.3069946,3,,POINT (116.3069946 39.9675097)
3250028221,39.969483,116.3022015,3,,POINT (116.3022015 39.969483)
3419716190,39.9690327,116.3054385,3,,POINT (116.3054385 39.9690327)
5017699837,39.9708027,116.3030441,3,,POINT (116.3030441 39.9708027)
5017699840,39.9714117,116.3050777,4,,POINT (116.3050777 39.9714117)
5017699842,39.9698403,116.3042966,4,,POINT (116.3042966 39.9698403)
5017699843,39.970217,116.3095482,3,,POINT (116.3095482 39.970217)
5017699844,39.9693164,116.3096514,3,,POINT (116.3096514 39.9693164)
5017699851,39.972106,116.3106648,3,,POINT (116.3106648 39.972106)
5017699853,39.9718298,116.3060057,3,,POINT (116.3060057 39.9718298)
5017699854,39.9717362,116.30502,3,,POINT (116.30502 39.9717362)
5017699855,39.971901,116.3068904,3,,POINT (116.3068904 39.971901)
5017699856,39.9700405,116.3071014,3,,POINT (116.3071014 39.9700405)
5017699857,39.9699126,116.3053217,4,,POINT (116.3053217 39.9699126)
5017699858,39.96861,116.3023269,3,,POINT (116.3023269 39.96861)
5017723564,39.9701064,116.3080145,3,,POINT (116.3080145 39.9701064)
5017723565,39.9719331,116.3077454,3,,POINT (116.3077454 39.9719331)
5018576920,39.9673997,116.3056065,3,,POINT (116.3056065 39.9673997)
5018578021,39.9662397,116.3057803,3,,POINT (116.3057803 39.9662397)
5018578022,39.9666393,116.3057107,3,,POINT (116.3057107 39.9666393)
5018578040,39.9670441,116.3080695,3,,POINT (116.3080695 39.9670441)
5018578041,39.9669552,116.3067887,3,,POINT (116.3067887 39.9669552)
5018578042,39.9671496,116.309706,3,,POINT (116.309706 39.9671496)
5018578044,39.967699,116.3096173,3,,POINT (116.3096173 39.967699)
5018578045,39.9682975,116.3023682,4,,POINT (116.3023682 39.9682975)
5018578046,39.9682253,116.3013796,1,,POINT (116.3013796 39.9682253)
5018578067,39.9682574,116.3018133,3,,POINT (116.3018133 39.9682574)
5018578069,39.9675868,116.3024622,3,,POINT (116.3024622 39.9675868)
5018578070,39.967903,116.3018596,3,,POINT (116.3018596 39.967903)
5018578071,39.9679409,116.3024154,3,,POINT (116.3024154 39.9679409)
5018578074,39.9686782,116.3033561,3,,POINT (116.3033561 39.9686782)
5032716101,39.9718101,116.3050069,3,,POINT (116.3050069 39.9718101)
5032716102,39.9717276,116.3045418,3,,POINT (116.3045418 39.9717276)
5032716103,39.9713786,116.3045893,3,,POINT (116.3045893 39.9713786)
