element_type,osmid,amenity,name,name:zh,name:zh-Hans,name:zh-Hant,opening_hours,geometry,diet:halal,toilets:wheelchair,wheelchair,cuisine,nodes,building
node,5018578062,restaurant,天使食府,天使食府,天使食府,天使食府,"Mo-Su 11:30-14:00, 17:30-22:00",POINT (116.3013563 39.969054),,,,,,
node,5018578063,restaurant,汇贤·迦南美地,汇贤·迦南美地,汇贤·迦南美地,匯賢·迦南美地,,POINT (116.3021707 39.968773),,,,,,
node,5018578064,restaurant,京港连线餐厅,京港连线餐厅,京港连线餐厅,京港連線餐廳,,POINT (116.3017292 39.9683945),,,,,,
node,5018578066,restaurant,峰尚圣宴,峰尚圣宴,峰尚圣宴,峰尚聖宴,,POINT (116.3017228 39.9676174),,,,,,
node,5018595023,restaurant,清真食堂,清真食堂,清真食堂,清真食堂,,POINT (116.308944 39.9697478),yes,,,,,
node,5018595024,restaurant,汇贤食府,汇贤食府,汇贤食府,匯賢食府,,POINT (116.3091654 39.9697678),,no,yes,,,
node,5018595025,restaurant,1958俄式西餐厅,1958俄式西餐厅,1958俄式西餐厅,1958俄式西餐廳,,POINT (116.310246 39.969449),,,,,,
node,5100834407,restaurant,北区食堂,北区食堂,北区食堂,北區食堂,,POINT (116.3032758 39.9709927),,,,,,
node,5100835852,restaurant,集天餐厅,集天餐厅,集天餐厅,集天餐廳,,POINT (116.3077873 39.9669514),,,,asian,,
way,298031484,restaurant,东区食堂,东区食堂,东区食堂,東區食堂,,"POLYGON ((116.3108264 39.9676897, 116.3108728 39.9673718, 116.3115359 39.9674285, 116.3114896 39.9677464, 116.3108264 39.9676897))",,,,,"[3019482157, 3019482158, 3019482159, 3019482160, 3019482157]",yes
