element_type,osmid,nodes,building,name,geometry,building:levels,roof:levels,leisure,name:en,amenity,opening_hours,shop,addr:housenumber,ways,type
way,173576606,"[1843656637, 1843656627, 1843656635, 1843656603, 1843656616, 1843656630, 1843656619, 1843656608, 1843656592, 1843656633, 1843656637]",university,安泰经济与管理学院,"POLYGON ((121.4290639 31.2015988, 121.4281377 31.2015811, 121.4281391 31.2015278, 121.4277334 31.2015201, 121.427725 31.2018422, 121.4281337 31.20185, 121.4281348 31.2018086, 121.4288127 31.2018216, 121.4288113 31.201874, 121.4290565 31.2018787, 121.4290639 31.2015988))",,,,,,,,,,
way,173576607,"[1843656629, 1843656606, 1843656614, 1843656617, 1843656634, 1843656632, 1843656629]",university,海洋工程实验楼,"POLYGON ((121.4314692 31.2017013, 121.4309756 31.2016469, 121.4309024 31.2021336, 121.4313277 31.2021804, 121.4313593 31.2019701, 121.4314276 31.2019776, 121.4314692 31.2017013))",2,1,,,,,,,,
way,173576608,"[1843656587, 1843656598, 1843656585, 1843656631, 1843656622, 1843656641, 1843656609, 1843656640, 1843656601, 1843656586, 1843656604, 1843656615, 1843656587]",yes,执信西斋,"POLYGON ((121.4274952 31.2013841, 121.4276288 31.2016933, 121.4275083 31.2018938, 121.42701 31.2020303, 121.4267755 31.2019356, 121.4266526 31.2016373, 121.4268113 31.201593, 121.42691 31.2018254, 121.427036 31.2018883, 121.4273943 31.2017908, 121.4274529 31.2016766, 121.4273487 31.201437, 121.4274952 31.2013841))",,,,,,,,,,
way,173576609,"[1843656636, 1843656642, 1843656610, 1843656596, 1843656595, 1843656638, 1843656628, 1843656591, 1843656607, 1843656588, 1843656643, 1843656590, 1843656636]",yes,教一楼,"POLYGON ((121.4266625 31.1994497, 121.4266571 31.1995947, 121.4265741 31.1995924, 121.4265675 31.1997688, 121.427227 31.1997868, 121.4272217 31.1999262, 121.4262182 31.1998987, 121.4262242 31.1997381, 121.4263693 31.1997421, 121.4263755 31.199575, 121.4261107 31.1995678, 121.4261157 31.1994347, 121.4266625 31.1994497))",,,,,,,,,,
way,173576610,"[1843656605, 1843656623, 1843656584, 1843656618, 1843656605]",university,凯原法学院,"POLYGON ((121.428411 31.2010071, 121.4274356 31.2009798, 121.4274276 31.2011881, 121.428403 31.2012154, 121.428411 31.2010071))",4,0,,,,,,,,
way,173581794,"[1843701068, 1843700846, 1843700971, 1843700885, 1843700919, 1843701002, 1843700962, 1843701068]",yes,教师活动中心,"POLYGON ((121.431048 31.201566, 121.4315649 31.2016437, 121.431584 31.2015511, 121.4316525 31.2012472, 121.4315666 31.20116, 121.4311408 31.2011025, 121.4311193 31.2012187, 121.431048 31.201566))",,,,,,,,,,
way,173581795,"[1843701081, 1843700964, 1843701075, 1843701020, 1843701081]",dormitory,,"POLYGON ((121.4249038 31.2005456, 121.4253782 31.200575, 121.4253669 31.2007082, 121.4248925 31.2006788, 121.4249038 31.2005456))",,,,,,,,,,
way,173581796,"[1843700968, 1843700874, 1843700947, 1843700823, 1843700836, 1843700878, 1843700968]",yes,校医院,"POLYGON ((121.4314257 31.2003366, 121.4307197 31.2002236, 121.4307907 31.1998994, 121.4308839 31.1999143, 121.4308602 31.2000229, 121.4314729 31.200121, 121.4314257 31.2003366))",,,,,,,,,,
way,173581797,"[1843701022, 1843700865, 1843700839, 1843700914, 1843700998, 1843700835, 1843700989, 1843701021, 1843701022]",yes,总办公厅,"POLYGON ((121.4291235 31.2013296, 121.4288368 31.2013293, 121.428837 31.201225, 121.4290034 31.2012252, 121.4290035 31.2011454, 121.4288371 31.2011452, 121.4288372 31.2010466, 121.4291239 31.201047, 121.4291235 31.2013296))",,,,,,,,,,
way,173581799,"[1843700917, 1843700918, 1843701092, 1843701070, 1843700873, 1843701094, 1843701079, 1843701064, 1843700917]",yes,新建楼,"POLYGON ((121.4291414 31.2005503, 121.428742 31.2005427, 121.4287458 31.2003974, 121.4285455 31.2003936, 121.4285527 31.2001148, 121.4287502 31.2001185, 121.4287488 31.2001701, 121.4291511 31.2001777, 121.4291414 31.2005503))",,,,,,,,,,
