u,v,key,osmid,highway,oneway,reversed,length,access,geometry
1843656624,2379339322,0,229320440,footway,False,True,49.749,,"LINESTRING (121.4301282 31.200946, 121.4301278 31.2004986)"
1843656624,1844422476,0,229320441,footway,False,False,85.367,,"LINESTRING (121.4301282 31.200946, 121.4292308 31.2009319)"
1843656624,2379339335,0,229320441,footway,False,True,78.775,,"LINESTRING (121.4301282 31.200946, 121.4309563 31.200959)"
1844349296,1844349574,0,173665607,service,False,False,89.228,,"LINESTRING (121.4286579 31.2027642, 121.4286758 31.2019619)"
1844349296,1844349320,0,173665607,service,False,True,19.407,,"LINESTRING (121.4286579 31.2027642, 121.428654 31.2029387)"
1844349296,1844357594,0,173665659,service,False,False,55.882,,"LINESTRING (121.4286579 31.2027642, 121.4292454 31.2027712)"
1844349320,1844349296,0,173665607,service,False,False,19.407,,"LINESTRING (121.428654 31.2029387, 121.4286579 31.2027642)"
1844349338,1844349587,0,173665638,service,False,False,64.172,,"LINESTRING (121.4287362 31.1994835, 121.4287078 31.2000601)"
1844349338,1844357464,0,173665638,service,False,True,4.331,,"LINESTRING (121.4287362 31.1994835, 121.4287385 31.1994446)"
1844349338,8982847027,0,173665653,service,False,True,212.20000000000005,private,"LINESTRING (121.4287362 31.1994835, 121.4284126 31.1994836, 121.4282678 31.1993781, 121.4280908 31.1992817, 121.4277528 31.1992725, 121.4275543 31.1993735, 121.4273934 31.1995111, 121.4272968 31.1996947, 121.4272945 31.2001013)"
1844349364,1844349412,0,173665649,service,False,True,91.834,private,"LINESTRING (121.4286971 31.2013887, 121.4287417 31.2005637)"
1844349364,1844349439,0,173665665,service,False,False,48.529,private,"LINESTRING (121.4286971 31.2013887, 121.4292068 31.2014087)"
1844349364,4391736217,0,173665665,service,False,True,98.562,private,"LINESTRING (121.4286971 31.2013887, 121.4276619 31.2013482)"
1844349412,1844349364,0,173665649,service,False,False,91.834,private,"LINESTRING (121.4287417 31.2005637, 121.4286971 31.2013887)"
1844349412,1844349541,0,173665649,service,False,True,23.616,private,"LINESTRING (121.4287417 31.2005637, 121.4284934 31.200564)"
1844349412,4391736200,0,441429327,service,False,False,47.878,,"LINESTRING (121.4287417 31.2005637, 121.429245 31.2005715)"
1844349436,1844349575,0,173665649,service,False,False,22.189,private,"LINESTRING (121.4272915 31.2006487, 121.4273053 31.2008479)"
1844349436,8982847027,0,173665653,service,False,False,60.869,private,"LINESTRING (121.4272915 31.2006487, 121.4272945 31.2001013)"
1844349436,1844349582,0,173665653,service,False,True,93.739,private,"LINESTRING (121.4272915 31.2006487, 121.4263062 31.2006291)"
1844349439,1844349519,0,173665618,service,False,False,168.355,,"LINESTRING (121.4292068 31.2014087, 121.4309768 31.2014245)"
1844349439,1844422476,0,173665618,service,False,True,53.067,,"LINESTRING (121.4292068 31.2014087, 121.4292308 31.2009319)"
1844349439,1844349603,0,173665664,service,False,True,62.69,private,"LINESTRING (121.4292068 31.2014087, 121.4291529 31.2019706)"
1844349439,1844349364,0,173665665,service,False,True,48.529,private,"LINESTRING (121.4292068 31.2014087, 121.4286971 31.2013887)"
1844349471,1844357485,0,173665617,service,False,True,66.545,,"LINESTRING (121.4306496 31.2004426, 121.42995 31.2004495)"
1844349471,1844349586,0,173665646,service,False,True,38.245,private,"LINESTRING (121.4306496 31.2004426, 121.4310474 31.2004928)"
1844349471,1844357589,0,173665646,service,False,False,118.86,private,"LINESTRING (121.4306496 31.2004426, 121.4306292 31.1994492, 121.4306795 31.1993873)"
1844349519,1844349586,0,173665618,service,False,False,103.818,,"LINESTRING (121.4309768 31.2014245, 121.4310474 31.2004928)"
1844349519,1844349439,0,173665618,service,False,True,168.355,,"LINESTRING (121.4309768 31.2014245, 121.4292068 31.2014087)"
1844349519,1844349528,0,173665668,service,False,True,84.641,,"LINESTRING (121.4309768 31.2014245, 121.4308427 31.202177)"
1844349528,1844349519,0,173665668,service,False,False,84.641,,"LINESTRING (121.4308427 31.202177, 121.4309768 31.2014245)"
1844349541,1844349412,0,173665649,service,False,False,23.616,private,"LINESTRING (121.4284934 31.200564, 121.4287417 31.2005637)"
1844349541,1844349587,0,173665628,service,False,True,76.68,,"LINESTRING (121.4284934 31.200564, 121.4284987 31.2000534, 121.4287078 31.2000601)"
1844349541,1844349575,0,173665649,service,False,True,146.994,private,"LINESTRING (121.4284934 31.200564, 121.4284824 31.2008785, 121.4273053 31.2008479)"
1844349564,1844357485,0,173665617,service,False,False,66.588,,"LINESTRING (121.4292499 31.2004478, 121.42995 31.2004495)"
1844349564,4391736200,0,173665618,service,False,False,13.763,,"LINESTRING (121.4292499 31.2004478, 121.429245 31.2005715)"
1844349564,1844349587,0,"[173665618, 173665613]",service,False,True,93.46199999999999,,"LINESTRING (121.4292499 31.2004478, 121.4292629 31.2000828, 121.4287078 31.2000601)"
1844349570,4391736217,0,173665665,service,False,False,18.404,private,"LINESTRING (121.4274686 31.2013406, 121.4276619 31.2013482)"
1844349570,4391736201,0,173665665,service,False,True,12.634,private,"LINESTRING (121.4274686 31.2013406, 121.4273359 31.2013354)"
1844349570,8339246250,0,173665635,service,False,True,114.374,private,"LINESTRING (121.4274686 31.2013406, 121.4266585 31.2015851, 121.4265552 31.2013049)"
1844349574,1844349296,0,173665607,service,False,True,89.228,,"LINESTRING (121.4286758 31.2019619, 121.4286579 31.2027642)"
1844349574,1844349603,0,173665664,service,False,False,45.387,private,"LINESTRING (121.4286758 31.2019619, 121.4291529 31.2019706)"
1844349574,1844349608,0,173665664,service,False,True,60.247,private,"LINESTRING (121.4286758 31.2019619, 121.4280425 31.2019505)"
1844349575,1844349436,0,173665649,service,False,True,22.189,private,"LINESTRING (121.4273053 31.2008479, 121.4272915 31.2006487)"
1844349575,4391736201,0,441429328,service,False,False,54.286,private,"LINESTRING (121.4273053 31.2008479, 121.4273359 31.2013354)"
1844349575,1844349541,0,173665649,service,False,False,146.994,private,"LINESTRING (121.4273053 31.2008479, 121.4284824 31.2008785, 121.4284934 31.200564)"
1844349582,8339246250,0,173665635,service,False,False,78.789,private,"LINESTRING (121.4263062 31.2006291, 121.4265552 31.2013049)"
1844349582,8982847028,0,173665635,service,False,True,64.845,private,"LINESTRING (121.4263062 31.2006291, 121.4261013 31.2000729)"
1844349582,1844349436,0,173665653,service,False,False,93.739,private,"LINESTRING (121.4263062 31.2006291, 121.4272915 31.2006487)"
1844349586,1844349519,0,173665618,service,False,True,103.818,,"LINESTRING (121.4310474 31.2004928, 121.4309768 31.2014245)"
1844349586,1844349471,0,173665646,service,False,False,38.245,private,"LINESTRING (121.4310474 31.2004928, 121.4306496 31.2004426)"
1844349587,1844349338,0,173665638,service,False,True,64.172,,"LINESTRING (121.4287078 31.2000601, 121.4287362 31.1994835)"
1844349587,1844349564,0,"[173665618, 173665613]",service,False,False,93.46199999999999,,"LINESTRING (121.4287078 31.2000601, 121.4292629 31.2000828, 121.4292499 31.2004478)"
1844349587,1844349541,0,173665628,service,False,False,76.68,,"LINESTRING (121.4287078 31.2000601, 121.4284987 31.2000534, 121.4284934 31.200564)"
1844349603,1844349439,0,173665664,service,False,False,62.69,private,"LINESTRING (121.4291529 31.2019706, 121.4292068 31.2014087)"
1844349603,1844349574,0,173665664,service,False,True,45.387,private,"LINESTRING (121.4291529 31.2019706, 121.4286758 31.2019619)"
1844349603,1844357571,0,"[173665627, 173665659]",service,False,True,53.496,,"LINESTRING (121.4291529 31.2019706, 121.4296692 31.2019864, 121.4296687 31.2020256)"
1844349608,1844349574,0,173665664,service,False,False,60.247,private,"LINESTRING (121.4280425 31.2019505, 121.4286758 31.2019619)"
1844349608,4391736217,0,"[173665664, 441429332]",service,False,"[False, True]",103.785,private,"LINESTRING (121.4280425 31.2019505, 121.4276436 31.20194, 121.4276619 31.2013482)"
1844357333,1844357356,0,173666392,service,False,False,14.257,,"LINESTRING (121.4253334 31.2002636, 121.4252621 31.2002556, 121.4251921 31.2002262)"
1844357333,1844357588,0,173666402,service,False,False,114.737,,"LINESTRING (121.4253334 31.2002636, 121.4253334 31.2004151, 121.4254139 31.2005114, 121.4254032 31.2007776, 121.4254622 31.2009014, 121.4254034 31.2012598)"
1844357333,1844357561,0,173666402,service,False,True,91.08099999999999,,"LINESTRING (121.4253334 31.2002636, 121.4254515 31.1999562, 121.4259955 31.1997858)"
1844357349,1844357453,0,173666416,service,False,True,29.956,,"LINESTRING (121.4247998 31.1995462, 121.4249348 31.1997896)"
1844357356,1844357570,0,173666416,service,False,False,28.592,,"LINESTRING (121.4251921 31.2002262, 121.4250615 31.1999946)"
1844357356,1844357333,0,173666392,service,False,True,14.257,,"LINESTRING (121.4251921 31.2002262, 121.4252621 31.2002556, 121.4253334 31.2002636)"
1844357358,1844357571,0,173666395,service,False,False,77.992,,"LINESTRING (121.4304887 31.2020302, 121.4296687 31.2020256)"
1844357453,1844357349,0,173666416,service,False,False,29.956,,"LINESTRING (121.4249348 31.1997896, 121.4247998 31.1995462)"
1844357453,1844357570,0,173666416,service,False,True,25.784,,"LINESTRING (121.4249348 31.1997896, 121.4250615 31.1999946)"
1844357464,1844349338,0,173665638,service,False,False,4.331,,"LINESTRING (121.4287385 31.1994446, 121.4287362 31.1994835)"
1844357464,1844357485,0,"[173666409, 173666414]",service,False,False,222.822,,"LINESTRING (121.4287385 31.1994446, 121.4299399 31.1994737, 121.42995 31.2004495)"
1844357485,1844349471,0,173665617,service,False,False,66.545,,"LINESTRING (121.42995 31.2004495, 121.4306496 31.2004426)"
1844357485,1844349564,0,173665617,service,False,True,66.588,,"LINESTRING (121.42995 31.2004495, 121.4292499 31.2004478)"
1844357485,1844357464,0,"[173666409, 173666414]",service,False,True,222.822,,"LINESTRING (121.42995 31.2004495, 121.4299399 31.1994737, 121.4287385 31.1994446)"
1844357561,8982847028,0,173665635,service,False,False,33.473,private,"LINESTRING (121.4259955 31.1997858, 121.4261013 31.2000729)"
1844357561,1844357333,0,173666402,service,False,False,91.08099999999999,,"LINESTRING (121.4259955 31.1997858, 121.4254515 31.1999562, 121.4253334 31.2002636)"
1844357570,1844357453,0,173666416,service,False,False,25.784,,"LINESTRING (121.4250615 31.1999946, 121.4249348 31.1997896)"
1844357570,1844357356,0,173666416,service,False,True,28.592,,"LINESTRING (121.4250615 31.1999946, 121.4251921 31.2002262)"
1844357571,1844357358,0,173666395,service,False,True,77.992,,"LINESTRING (121.4296687 31.2020256, 121.4304887 31.2020302)"
1844357571,1844349603,0,"[173665627, 173665659]",service,False,False,53.496,,"LINESTRING (121.4296687 31.2020256, 121.4296692 31.2019864, 121.4291529 31.2019706)"
1844357571,1844357594,0,173665659,service,False,True,122.638,,"LINESTRING (121.4296687 31.2020256, 121.4296585 31.2027751, 121.4292454 31.2027712)"
1844357588,8339246250,0,173665665,service,False,False,109.664,private,"LINESTRING (121.4254034 31.2012598, 121.4265552 31.2013049)"
1844357588,1844357333,0,173666402,service,False,True,114.73700000000001,,"LINESTRING (121.4254034 31.2012598, 121.4254622 31.2009014, 121.4254032 31.2007776, 121.4254139 31.2005114, 121.4253334 31.2004151, 121.4253334 31.2002636)"
1844357589,1844349471,0,173665646,service,False,True,118.86,private,"LINESTRING (121.4306795 31.1993873, 121.4306292 31.1994492, 121.4306496 31.2004426)"
1844357589,1844357590,0,173666406,service,False,True,86.752,,"LINESTRING (121.4306795 31.1993873, 121.4305222 31.199303, 121.4297966 31.1992725)"
1844357590,1844357589,0,173666406,service,False,False,86.752,,"LINESTRING (121.4297966 31.1992725, 121.4305222 31.199303, 121.4306795 31.1993873)"
1844357594,1844349296,0,173665659,service,False,True,55.882,,"LINESTRING (121.4292454 31.2027712, 121.4286579 31.2027642)"
1844357594,1844357571,0,173665659,service,False,False,122.638,,"LINESTRING (121.4292454 31.2027712, 121.4296585 31.2027751, 121.4296687 31.2020256)"
1844422476,1844349439,0,173665618,service,False,False,53.067,,"LINESTRING (121.4292308 31.2009319, 121.4292068 31.2014087)"
1844422476,4391736200,0,173665618,service,False,True,40.097,,"LINESTRING (121.4292308 31.2009319, 121.429245 31.2005715)"
