osmid,y,x,street_count,geometry
1843656624,31.200946,121.4301282,3,POINT (121.4301282 31.200946)
1844349296,31.2027642,121.4286579,3,POINT (121.4286579 31.2027642)
1844349320,31.2029387,121.428654,1,POINT (121.428654 31.2029387)
1844349338,31.1994835,121.4287362,3,POINT (121.4287362 31.1994835)
1844349364,31.2013887,121.4286971,3,POINT (121.4286971 31.2013887)
1844349412,31.2005637,121.4287417,3,POINT (121.4287417 31.2005637)
1844349436,31.2006487,121.4272915,3,POINT (121.4272915 31.2006487)
1844349439,31.2014087,121.4292068,4,POINT (121.4292068 31.2014087)
1844349471,31.2004426,121.4306496,3,POINT (121.4306496 31.2004426)
1844349519,31.2014245,121.4309768,3,POINT (121.4309768 31.2014245)
1844349528,31.202177,121.4308427,1,POINT (121.4308427 31.202177)
1844349541,31.200564,121.4284934,3,POINT (121.4284934 31.200564)
1844349564,31.2004478,121.4292499,3,POINT (121.4292499 31.2004478)
1844349570,31.2013406,121.4274686,3,POINT (121.4274686 31.2013406)
1844349574,31.2019619,121.4286758,3,POINT (121.4286758 31.2019619)
1844349575,31.2008479,121.4273053,3,POINT (121.4273053 31.2008479)
1844349582,31.2006291,121.4263062,3,POINT (121.4263062 31.2006291)
1844349586,31.2004928,121.4310474,3,POINT (121.4310474 31.2004928)
1844349587,31.2000601,121.4287078,3,POINT (121.4287078 31.2000601)
1844349603,31.2019706,121.4291529,3,POINT (121.4291529 31.2019706)
1844349608,31.2019505,121.4280425,3,POINT (121.4280425 31.2019505)
1844357333,31.2002636,121.4253334,3,POINT (121.4253334 31.2002636)
1844357349,31.1995462,121.4247998,1,POINT (121.4247998 31.1995462)
1844357356,31.2002262,121.4251921,3,POINT (121.4251921 31.2002262)
1844357358,31.2020302,121.4304887,1,POINT (121.4304887 31.2020302)
1844357453,31.1997896,121.4249348,3,POINT (121.4249348 31.1997896)
1844357464,31.1994446,121.4287385,3,POINT (121.4287385 31.1994446)
1844357485,31.2004495,121.42995,3,POINT (121.42995 31.2004495)
1844357561,31.1997858,121.4259955,3,POINT (121.4259955 31.1997858)
1844357570,31.1999946,121.4250615,3,POINT (121.4250615 31.1999946)
1844357571,31.2020256,121.4296687,3,POINT (121.4296687 31.2020256)
1844357588,31.2012598,121.4254034,3,POINT (121.4254034 31.2012598)
1844357589,31.1993873,121.4306795,3,POINT (121.4306795 31.1993873)
1844357590,31.1992725,121.4297966,1,POINT (121.4297966 31.1992725)
1844357594,31.2027712,121.4292454,3,POINT (121.4292454 31.2027712)
1844422476,31.2009319,121.4292308,3,POINT (121.4292308 31.2009319)
2379339322,31.2004986,121.4301278,1,POINT (121.4301278 31.2004986)
2379339335,31.200959,121.4309563,1,POINT (121.4309563 31.200959)
4391736200,31.2005715,121.429245,3,POINT (121.429245 31.2005715)
4391736201,31.2013354,121.4273359,3,POINT (121.4273359 31.2013354)
4391736217,31.2013482,121.4276619,3,POINT (121.4276619 31.2013482)
8339246250,31.2013049,121.4265552,4,POINT (121.4265552 31.2013049)
8982847027,31.2001013,121.4272945,3,POINT (121.4272945 31.2001013)
8982847028,31.2000729,121.4261013,3,POINT (121.4261013 31.2000729)
