osmid,y,x,street_count,highway,geometry
622397772,31.3214119,121.3850096,3,,POINT (121.3850096 31.3214119)
622397825,31.321523,121.3857421,3,,POINT (121.3857421 31.321523)
622397826,31.3215719,121.3862519,3,,POINT (121.3862519 31.3215719)
622397837,31.3200953,121.3879716,3,,POINT (121.3879716 31.3200953)
622397840,31.3198937,121.3884678,3,,POINT (121.3884678 31.3198937)
622397864,31.3197908,121.3878255,3,,POINT (121.3878255 31.3197908)
622397917,31.3199655,121.3898742,3,,POINT (121.3898742 31.3199655)
622398269,31.3157642,121.3872372,4,,POINT (121.3872372 31.3157642)
622398317,31.3192713,121.3865283,3,,POINT (121.3865283 31.3192713)
622398679,31.3199383,121.3893771,3,,POINT (121.3893771 31.3199383)
622398713,31.3195487,121.3896647,3,,POINT (121.3896647 31.3195487)
622398761,31.3143696,121.3846383,3,,POINT (121.3846383 31.3143696)
622398790,31.3144028,121.3854698,3,,POINT (121.3854698 31.3144028)
622398792,31.3146612,121.385614,3,,POINT (121.385614 31.3146612)
622399355,31.317484,121.383752,3,,POINT (121.383752 31.317484)
622399669,31.3188236,121.384811,3,,POINT (121.384811 31.3188236)
622400437,31.3139949,121.3911015,3,,POINT (121.3911015 31.3139949)
2603059273,31.3199313,121.3892348,3,,POINT (121.3892348 31.3199313)
2603059279,31.3213563,121.3869654,3,,POINT (121.3869654 31.3213563)
6536367323,31.3214509,121.3868454,3,,POINT (121.3868454 31.3214509)
6536522472,31.3174123,121.3884549,4,,POINT (121.3884549 31.3174123)
6541390206,31.3165371,121.3850074,3,,POINT (121.3850074 31.3165371)
6541390208,31.3165455,121.3851768,3,,POINT (121.3851768 31.3165455)
6541390210,31.3175074,121.3851289,3,,POINT (121.3851289 31.3175074)
6541390213,31.3169218,121.3849864,3,,POINT (121.3849864 31.3169218)
6541390215,31.3168224,121.3841934,3,,POINT (121.3841934 31.3168224)
6541390218,31.3170592,121.3849834,3,,POINT (121.3849834 31.3170592)
6541390220,31.3167082,121.3840068,3,,POINT (121.3840068 31.3167082)
6541390221,31.3166628,121.3850025,3,,POINT (121.3850025 31.3166628)
6541390231,31.3166774,121.3851733,3,,POINT (121.3851733 31.3166774)
6541390232,31.3167182,121.3859897,3,,POINT (121.3859897 31.3167182)
6541390233,31.3165863,121.3859936,3,,POINT (121.3859936 31.3165863)
6541390235,31.3165519,121.385304,3,,POINT (121.385304 31.3165519)
6541390236,31.3162128,121.3853177,3,,POINT (121.3853177 31.3162128)
6541410486,31.3186815,121.3848533,3,,POINT (121.3848533 31.3186815)
6541410488,31.3184734,121.3836432,3,,POINT (121.3836432 31.3184734)
6541410489,31.3180766,121.3859298,3,,POINT (121.3859298 31.3180766)
6541410490,31.3180174,121.3849114,3,,POINT (121.3849114 31.3180174)
6541410491,31.3183976,121.3859757,3,,POINT (121.3859757 31.3183976)
6541410492,31.3183158,121.3848853,3,,POINT (121.3848853 31.3183158)
6541410512,31.3187505,121.3836116,3,,POINT (121.3836116 31.3187505)
6541410513,31.3191255,121.3849186,4,,POINT (121.3849186 31.3191255)
6541410515,31.3190996,121.3835717,3,,POINT (121.3835717 31.3190996)
6541410516,31.3191957,121.384837,3,,POINT (121.384837 31.3191957)
6541410517,31.3193022,121.3847274,3,,POINT (121.3847274 31.3193022)
6541410518,31.3199303,121.3846309,4,,POINT (121.3846309 31.3199303)
6541410527,31.3197252,121.3835098,3,,POINT (121.3835098 31.3197252)
6541410528,31.3197149,121.3843909,3,,POINT (121.3843909 31.3197149)
6541410529,31.3196685,121.3836681,3,,POINT (121.3836681 31.3196685)
6541410531,31.319398,121.3835376,3,,POINT (121.3835376 31.319398)
6541410532,31.3205343,121.3841337,3,,POINT (121.3841337 31.3205343)
6541410543,31.3203661,121.3845914,3,,POINT (121.3845914 31.3203661)
6541410566,31.3161403,121.3844494,3,,POINT (121.3844494 31.3161403)
6541410575,31.3154288,121.3864616,3,,POINT (121.3864616 31.3154288)
6541410580,31.3154141,121.3854535,1,,POINT (121.3854535 31.3154141)
6541410581,31.3150297,121.3853069,3,,POINT (121.3853069 31.3150297)
6541410586,31.3150705,121.3863356,3,,POINT (121.3863356 31.3150705)
6541410590,31.3144836,121.386361,3,,POINT (121.386361 31.3144836)
6541410593,31.3176556,121.3866914,3,,POINT (121.3866914 31.3176556)
6541410596,31.3149366,121.3903722,3,,POINT (121.3903722 31.3149366)
6541410601,31.314526,121.3921988,3,,POINT (121.3921988 31.314526)
6541410602,31.3157686,121.3925891,3,,POINT (121.3925891 31.3157686)
6541410603,31.3151587,121.3914828,3,,POINT (121.3914828 31.3151587)
6541410605,31.3170557,121.3928238,1,,POINT (121.3928238 31.3170557)
6541410606,31.3166014,121.3919264,3,,POINT (121.3919264 31.3166014)
6541410607,31.3159946,121.3924118,4,,POINT (121.3924118 31.3159946)
6541410611,31.316079,121.3919567,3,,POINT (121.3919567 31.316079)
6541410612,31.3162336,121.3922206,3,,POINT (121.3922206 31.3162336)
6541410616,31.3153899,121.3900211,3,,POINT (121.3900211 31.3153899)
6541410617,31.3153967,121.391907,3,,POINT (121.391907 31.3153967)
6541410621,31.3170109,121.3907373,3,,POINT (121.3907373 31.3170109)
6541410622,31.3166633,121.3918768,3,,POINT (121.3918768 31.3166633)
6541410626,31.3158152,121.3896917,3,,POINT (121.3896917 31.3158152)
6541410627,31.3169605,121.3912765,3,,POINT (121.3912765 31.3169605)
6541410631,31.3162494,121.3893555,3,,POINT (121.3893555 31.3162494)
6541410632,31.3165155,121.3916198,3,,POINT (121.3916198 31.3165155)
6541410635,31.316429,121.3920643,3,,POINT (121.3920643 31.316429)
6541410638,31.3168495,121.3917279,3,,POINT (121.3917279 31.3168495)
6541410641,31.3172071,121.3914334,3,,POINT (121.3914334 31.3172071)
6541410642,31.3171449,121.3913311,3,,POINT (121.3913311 31.3171449)
6541410652,31.3164588,121.3891933,3,,POINT (121.3891933 31.3164588)
6541410663,31.3173846,121.3893864,3,,POINT (121.3893864 31.3173846)
