element_type,osmid,nodes,building,building:levels,name,geometry,amenity,operator,shop,leisure,tourism
way,1054157979,"[9687592460, 9687592461, 9687592462, 9687592463, 9687592464, 9687592465, 9687592466, 9687592467, 9687592460]",university,4,上外3号楼,"POLYGON ((121.4773437 31.2785631, 121.4774641 31.2788004, 121.4783722 31.278464, 121.4782542 31.2782315, 121.4780965 31.2782899, 121.4781449 31.2783855, 121.4775638 31.278601, 121.4775128 31.2785004, 121.4773437 31.2785631))",,,,,
way,1054157980,"[9687592470, 9687592471, 9687592472, 9687592473, 9687592474, 9687592475, 9687592476, 9687592477, 9687592478, 9687592479, 9687592480, 9687592481, 9687592482, 9687592483, 9687592484, 9687592485, 9687592470]",yes,7,逸夫图书馆,"POLYGON ((121.4781184 31.2795094, 121.4781847 31.2796351, 121.4783059 31.2795885, 121.4783409 31.2796551, 121.4784623 31.2796085, 121.4784738 31.2796305, 121.4785155 31.2796145, 121.4785041 31.2795928, 121.4787763 31.2794886, 121.478682 31.2793086, 121.4786997 31.2793019, 121.4786552 31.2792167, 121.4784189 31.2793069, 121.4784312 31.2793201, 121.4783645 31.2793458, 121.4783947 31.2794031, 121.4781184 31.2795094))",library,,,,
way,1054157981,"[9687592493, 9687592494, 9687592495, 9687592496, 9687592497, 9687592498, 9687592499, 9687592500, 9687592501, 9687592502, 9687592503, 9687592504, 9687592505, 9687592506, 9687592507, 9687592508, 9687592493]",university,6,上外2号楼,"POLYGON ((121.4777741 31.2781322, 121.4781323 31.2780019, 121.4781217 31.2779807, 121.4782869 31.277921, 121.4782383 31.2778226, 121.4780608 31.2778867, 121.4780187 31.2778727, 121.4777927 31.2779582, 121.4777101 31.2777985, 121.4782336 31.2776007, 121.4781613 31.2774608, 121.4775445 31.2776936, 121.4775693 31.2777416, 121.4775522 31.277748, 121.4777294 31.2780984, 121.4777529 31.2780898, 121.4777741 31.2781322))",,,,,
way,1054157982,"[9687592509, 9687592510, 9687592511, 9687592512, 9687592509]",university,,上外行政楼,"POLYGON ((121.4781813 31.2791171, 121.4784696 31.279011, 121.478369 31.2788113, 121.4780807 31.2789174, 121.4781813 31.2791171))",,,,,
way,1054157983,"[9687592513, 9687592514, 9687592515, 9687592536, 9687592516, 9687592517, 9687592518, 9687592519, 9687592520, 9687592521, 9687592522, 9687592523, 9687592524, 9687592525, 9687592526, 9687592527, 9687592528, 9687592529, 9687592530, 9687592531, 9687592532, 9687592533, 9687592534, 9687592535, 9687592513]",university,12,上外1号楼,"POLYGON ((121.478641 31.2789944, 121.478967 31.2788751, 121.4790342 31.2788501, 121.4791026 31.2788209, 121.4791772 31.2787769, 121.4792669 31.2787165, 121.4792474 31.2787055, 121.4793003 31.2786477, 121.4793369 31.2785634, 121.47935 31.2784416, 121.4793464 31.2783823, 121.4793318 31.2783463, 121.4793851 31.2783253, 121.4793191 31.2781976, 121.478967 31.2783262, 121.4789121 31.2783534, 121.4788489 31.2784186, 121.4788036 31.278489, 121.4787847 31.2785529, 121.4787852 31.2786115, 121.4787949 31.2786509, 121.478836 31.2787421, 121.4787266 31.2787951, 121.4785654 31.2788629, 121.478641 31.2789944))",,,,,
way,1054157984,"[9687592537, 9687592538, 9687592539, 9687592540, 9687592541, 9687592542, 9687592543, 9687592544, 9687592545, 9687592546, 9687592547, 9687592548, 9687592549, 9687592550, 9687592551, 9687592552, 9687592553, 9687592537]",yes,4,逸夫会堂,"POLYGON ((121.4788516 31.2779622, 121.47892 31.2780218, 121.4789723 31.278094, 121.4789562 31.2781032, 121.478983 31.2781433, 121.47927 31.2780447, 121.4793331 31.2780023, 121.4793505 31.2778189, 121.4793666 31.2778189, 121.4793746 31.2777593, 121.4790032 31.2777249, 121.4789897 31.277718, 121.4789428 31.2777203, 121.4788838 31.2777628, 121.4788422 31.2778281, 121.4788315 31.2778888, 121.4788382 31.2779324, 121.4788516 31.2779622))",conference_centre,SISU,,,
way,1054157985,"[9687592554, 9687592555, 9687592556, 9687592557, 9687592558, 9687592559, 9687592560, 9687592561, 9687592562, 9687592563, 9687592564, 9687592565, 9687592566, 9687592567, 9687592568, 9687592554]",office,12,上海外语教育出版社,"POLYGON ((121.4774616 31.2775274, 121.4773888 31.2773794, 121.4774284 31.2773652, 121.4773338 31.2771728, 121.4774409 31.2771344, 121.4774497 31.2771523, 121.4775606 31.2771124, 121.4778718 31.2771055, 121.477934 31.277233, 121.4779677 31.277221, 121.4780151 31.277318, 121.4776313 31.277455, 121.4776428 31.2774787, 121.4775136 31.2775249, 121.4775069 31.2775112, 121.4774616 31.2775274))",,,,,
way,1054157998,"[9687592764, 9687592765, 9687592766, 9687592767, 9687592768, 9687592769, 9687592770, 9687592771, 9687592772, 9687592773, 9687592774, 9687592775, 9687592776, 9687592764]",school,,贤达学院行政楼,"POLYGON ((121.4786439 31.2803666, 121.4786331 31.2803429, 121.4786254 31.2803153, 121.4786316 31.2802837, 121.4786501 31.2802389, 121.4786763 31.2802086, 121.4787209 31.2802402, 121.4787964 31.2802784, 121.4788688 31.2802916, 121.4792078 31.2802955, 121.4792078 31.2805338, 121.478684 31.2805365, 121.4785684 31.2804153, 121.4786439 31.2803666))",,,,,
way,1054157999,"[9687592777, 9687592778, 9687592779, 9687592780, 9687592781, 9687592782, 9687592783, 9687592784, 9687592785, 9687592786, 9687592787, 9687592788, 9687592789, 9687592790, 9687592791, 9687592792, 9687592793, 9687592794, 9687592795, 9687592796, 9687592797, 9687592798, 9687592799, 9687592800, 9687592801, 9687592802, 9687592803, 9687592804, 9687592777]",school,,贤达学院教学楼,"POLYGON ((121.4796231 31.28045, 121.4797544 31.2804503, 121.479796 31.2804925, 121.4799347 31.2804964, 121.479984 31.2804517, 121.4799562 31.2803687, 121.4799532 31.2803042, 121.4799564 31.2800397, 121.4799327 31.2800402, 121.4799338 31.2800167, 121.4798484 31.2800159, 121.4798484 31.2800422, 121.4798299 31.2800435, 121.4797553 31.2803375, 121.4795665 31.2803437, 121.4793786 31.2803411, 121.4793798 31.2804957, 121.4795399 31.2804921, 121.4795389 31.2809438, 121.4796049 31.2809439, 121.479605 31.2809006, 121.4796849 31.2809008, 121.4796851 31.2808332, 121.4798946 31.2808335, 121.4799901 31.2807992, 121.479984 31.2806518, 121.4798748 31.2806586, 121.4796152 31.2806627, 121.4796231 31.28045))",,,,,
way,1068498202,"[9808677103, 9808677104, 9808677105, 9808677106, 9808677103]",apartments,,,"POLYGON ((121.4807475 31.280832, 121.4809882 31.2807653, 121.4809391 31.280636, 121.4806984 31.2807027, 121.4807475 31.280832))",,,,,
