u,v,key,osmid,highway,oneway,reversed,length,geometry,bridge
829477007,9809241581,0,69152352,service,False,False,57.213,"LINESTRING (121.4785987 31.2781017, 121.4784538 31.2776023)",
829477007,9687592415,0,69152264,service,True,False,60.259,"LINESTRING (121.4785987 31.2781017, 121.4786564 31.278101, 121.4787109 31.2781171, 121.4787558 31.2781479, 121.4787859 31.2781899, 121.4787976 31.2782382, 121.4787895 31.2782869, 121.4787626 31.2783305, 121.47872 31.2783637, 121.4786668 31.2783827, 121.4786093 31.2783851, 121.4785541 31.2783708)",
8982494049,8982494064,0,970575569,service,False,True,49.927,"LINESTRING (121.479264 31.2805108, 121.4792614 31.2800618)",
8982494064,8982494049,0,970575569,service,False,False,49.927,"LINESTRING (121.4792614 31.2800618, 121.479264 31.2805108)",
8982494064,9808677176,0,970575570,service,False,False,70.09499999999998,"LINESTRING (121.4792614 31.2800618, 121.4791852 31.2801125, 121.4791194 31.2801401, 121.4790432 31.2801534, 121.4789503 31.2801545, 121.4788806 31.2801335, 121.4788263 31.2801103, 121.4787553 31.280075, 121.478665 31.2800099, 121.4786194 31.2799738)",
8982494075,9687592430,0,970575571,service,False,True,64.338,"LINESTRING (121.4771433 31.2796438, 121.4777708 31.2794266)",
8982494078,9809241581,0,69152352,service,False,True,32.95,"LINESTRING (121.4783703 31.2773147, 121.4784538 31.2776023)",
8982494078,9687592420,0,"[970575572, 1054157974]",service,False,False,187.86,"LINESTRING (121.4783703 31.2773147, 121.4774566 31.2776444, 121.4777067 31.278208, 121.4777612 31.2782433, 121.4778211 31.2782558, 121.4779651 31.278221)",
9687592415,9687592442,0,1054157973,service,False,False,21.459,"LINESTRING (121.4785541 31.2783708, 121.4784983 31.2785578)",
9687592415,9687592422,0,69152264,service,True,False,24.820999999999998,"LINESTRING (121.4785541 31.2783708, 121.4785117 31.2783448, 121.4784807 31.2783088, 121.4784642 31.2782665, 121.4784636 31.2782218, 121.4784792 31.2781792)",
9687592418,9809241594,0,970575571,service,False,False,48.607,"LINESTRING (121.4786218 31.2791084, 121.4781532 31.2792836)",
9687592418,9808677181,0,970575571,service,False,True,6.983,"LINESTRING (121.4786218 31.2791084, 121.4786891 31.2790832)",
9687592418,9687592442,0,1054157973,service,False,True,64.122,"LINESTRING (121.4786218 31.2791084, 121.4784769 31.2787975, 121.4784738 31.2786527, 121.4784983 31.2785578)",
9687592420,9687592422,0,1054157974,service,False,False,51.94799999999999,"LINESTRING (121.4779651 31.278221, 121.4783014 31.2781208, 121.4784792 31.2781792)",
9687592420,8982494078,0,"[970575572, 1054157974]",service,False,True,187.86,"LINESTRING (121.4779651 31.278221, 121.4778211 31.2782558, 121.4777612 31.2782433, 121.4777067 31.278208, 121.4774566 31.2776444, 121.4783703 31.2773147)",
9687592420,9687592440,0,1054157975,service,False,False,143.141,"LINESTRING (121.4779651 31.278221, 121.4780014 31.2783254, 121.4780027 31.2783564, 121.4779792 31.2783791, 121.4776909 31.2784819, 121.4776459 31.2784838, 121.4776106 31.2784622, 121.4775655 31.2783833, 121.4775421 31.2783692, 121.4775116 31.2783679, 121.4773084 31.2784417, 121.4772851 31.2784609, 121.477283 31.2784936, 121.4773235 31.2785721, 121.4774431 31.2788034, 121.4774659 31.2788476)",
9687592422,829477007,0,69152264,service,True,False,14.719999999999999,"LINESTRING (121.4784792 31.2781792, 121.4785089 31.2781431, 121.4785501 31.2781164, 121.4785987 31.2781017)",
9687592422,9687592420,0,1054157974,service,False,True,51.94799999999999,"LINESTRING (121.4784792 31.2781792, 121.4783014 31.2781208, 121.4779651 31.278221)",
9687592430,8982494075,0,970575571,service,False,False,64.338,"LINESTRING (121.4777708 31.2794266, 121.4771433 31.2796438)",
9687592430,9809241594,0,970575571,service,False,True,39.667,"LINESTRING (121.4777708 31.2794266, 121.4781532 31.2792836)",
9687592430,9687592440,0,1054157975,service,False,True,70.60199999999999,"LINESTRING (121.4777708 31.2794266, 121.4774897 31.2788937, 121.4774659 31.2788476)",
9687592440,9687592430,0,1054157975,service,False,False,70.60199999999999,"LINESTRING (121.4774659 31.2788476, 121.4774897 31.2788937, 121.4777708 31.2794266)",
9687592440,9687592420,0,1054157975,service,False,True,143.14100000000002,"LINESTRING (121.4774659 31.2788476, 121.4774431 31.2788034, 121.4773235 31.2785721, 121.477283 31.2784936, 121.4772851 31.2784609, 121.4773084 31.2784417, 121.4775116 31.2783679, 121.4775421 31.2783692, 121.4775655 31.2783833, 121.4776106 31.2784622, 121.4776459 31.2784838, 121.4776909 31.2784819, 121.4779792 31.2783791, 121.4780027 31.2783564, 121.4780014 31.2783254, 121.4779651 31.278221)",
9687592440,9687592442,0,1054157976,service,False,False,104.368,"LINESTRING (121.4774659 31.2788476, 121.4784129 31.2785442, 121.4784983 31.2785578)",
9687592442,9687592415,0,1054157973,service,False,True,21.459,"LINESTRING (121.4784983 31.2785578, 121.4785541 31.2783708)",
9687592442,9687592418,0,1054157973,service,False,False,64.122,"LINESTRING (121.4784983 31.2785578, 121.4784738 31.2786527, 121.4784769 31.2787975, 121.4786218 31.2791084)",
9687592442,9687592440,0,1054157976,service,False,True,104.368,"LINESTRING (121.4784983 31.2785578, 121.4784129 31.2785442, 121.4774659 31.2788476)",
9808677176,11200049804,0,970575570,service,False,False,139.437,"LINESTRING (121.4786194 31.2799738, 121.4785849 31.2799548, 121.4785023 31.2799239, 121.4783926 31.2799007, 121.4782971 31.2798952, 121.4782002 31.2799029, 121.4781305 31.2799261, 121.4781204 31.2799656, 121.4781128 31.2800576, 121.478093 31.280164, 121.4780566 31.2803066, 121.4780399 31.2804453, 121.4780642 31.2805283, 121.4781492 31.2806087, 121.4782357 31.280671)",
9808677176,8982494064,0,970575570,service,False,True,70.095,"LINESTRING (121.4786194 31.2799738, 121.478665 31.2800099, 121.4787553 31.280075, 121.4788263 31.2801103, 121.4788806 31.2801335, 121.4789503 31.2801545, 121.4790432 31.2801534, 121.4791194 31.2801401, 121.4791852 31.2801125, 121.4792614 31.2800618)",
9808677176,9808677181,0,"[1068498280, 1068498209, 1068498279]",service,False,False,111.24799999999999,"LINESTRING (121.4786194 31.2799738, 121.4786548 31.2798684, 121.478717 31.2796655, 121.4787673 31.2796019, 121.4788444 31.2795612, 121.47889 31.2795062, 121.478886 31.2794546, 121.4786891 31.2790832)",yes
9808677181,9687592418,0,970575571,service,False,False,6.983,"LINESTRING (121.4786891 31.2790832, 121.4786218 31.2791084)",
9808677181,9808677176,0,"[1068498280, 1068498209, 1068498279]",service,False,True,111.248,"LINESTRING (121.4786891 31.2790832, 121.478886 31.2794546, 121.47889 31.2795062, 121.4788444 31.2795612, 121.4787673 31.2796019, 121.478717 31.2796655, 121.4786548 31.2798684, 121.4786194 31.2799738)",yes
9809241581,8982494078,0,69152352,service,False,False,32.95,"LINESTRING (121.4784538 31.2776023, 121.4783703 31.2773147)",
9809241581,829477007,0,69152352,service,False,True,57.213,"LINESTRING (121.4784538 31.2776023, 121.4785987 31.2781017)",
9809241581,9809241583,0,1068582522,service,False,False,33.532,"LINESTRING (121.4784538 31.2776023, 121.4788044 31.2776362)",
9809241582,9809241583,0,1068582522,service,False,True,50.926,"LINESTRING (121.4793369 31.2776875, 121.4788044 31.2776362)",
9809241583,9809241582,0,1068582522,service,False,False,50.926,"LINESTRING (121.4788044 31.2776362, 121.4793369 31.2776875)",
9809241583,9809241581,0,1068582522,service,False,True,33.532,"LINESTRING (121.4788044 31.2776362, 121.4784538 31.2776023)",
9809241583,9809241585,0,1068582523,service,False,False,67.487,"LINESTRING (121.4788044 31.2776362, 121.4788395 31.2773792, 121.4792446 31.2774161)",
9809241585,9809241583,0,1068582523,service,False,True,67.487,"LINESTRING (121.4792446 31.2774161, 121.4788395 31.2773792, 121.4788044 31.2776362)",
9809241594,9687592430,0,970575571,service,False,False,39.667,"LINESTRING (121.4781532 31.2792836, 121.4777708 31.2794266)",
9809241594,9687592418,0,970575571,service,False,True,48.607,"LINESTRING (121.4781532 31.2792836, 121.4786218 31.2791084)",
9809241594,9809241595,0,1068582525,service,False,False,43.535,"LINESTRING (121.4781532 31.2792836, 121.4779952 31.2789161)",
9809241595,9809241596,0,1068582525,service,False,False,33.4,"LINESTRING (121.4779952 31.2789161, 121.4783184 31.2787981)",
9809241595,9809241594,0,1068582525,service,False,True,43.535,"LINESTRING (121.4779952 31.2789161, 121.4781532 31.2792836)",
9809241595,9809241597,0,1068582526,service,False,False,34.61,"LINESTRING (121.4779952 31.2789161, 121.4776599 31.2790376)",
9809241596,9809241595,0,1068582525,service,False,True,33.4,"LINESTRING (121.4783184 31.2787981, 121.4779952 31.2789161)",
9809241597,9809241595,0,1068582526,service,False,True,34.61,"LINESTRING (121.4776599 31.2790376, 121.4779952 31.2789161)",
11200049804,9808677176,0,970575570,service,False,True,139.437,"LINESTRING (121.4782357 31.280671, 121.4781492 31.2806087, 121.4780642 31.2805283, 121.4780399 31.2804453, 121.4780566 31.2803066, 121.478093 31.280164, 121.4781128 31.2800576, 121.4781204 31.2799656, 121.4781305 31.2799261, 121.4782002 31.2799029, 121.4782971 31.2798952, 121.4783926 31.2799007, 121.4785023 31.2799239, 121.4785849 31.2799548, 121.4786194 31.2799738)",
