u,v,key,osmid,name,highway,oneway,reversed,length,geometry
1159926354,1159926498,0,100323293,学思西路,living_street,False,True,229.806,"LINESTRING (121.4113832 31.1629421, 121.4137678 31.1632701)"
1159926354,1159926386,0,100323298,学勤路,living_street,False,False,183.113,"LINESTRING (121.4113832 31.1629421, 121.4117358 31.1613232)"
1159926354,1159926393,0,100323298,学勤路,living_street,False,True,76.412,"LINESTRING (121.4113832 31.1629421, 121.4112502 31.1636198)"
1159926386,1159926354,0,100323298,学勤路,living_street,False,True,183.113,"LINESTRING (121.4117358 31.1613232, 121.4113832 31.1629421)"
1159926393,1159926354,0,100323298,学勤路,living_street,False,False,76.412,"LINESTRING (121.4112502 31.1636198, 121.4113832 31.1629421)"
1159926393,1159926412,0,100323311,学府路,living_street,False,False,86.242,"LINESTRING (121.4112502 31.1636198, 121.4103584 31.1634812)"
1159926393,1159926407,0,100323311,学府路,living_street,False,True,239.051,"LINESTRING (121.4112502 31.1636198, 121.4119062 31.1637237, 121.4120707 31.1636473, 121.4128611 31.1637589, 121.4129551 31.1638676, 121.4136502 31.1639304)"
1159926407,1159926498,0,100323282,,service,False,True,74.27,"LINESTRING (121.4136502 31.1639304, 121.4137678 31.1632701)"
1159926407,1159926492,0,100323311,学府路,living_street,False,True,84.852,"LINESTRING (121.4136502 31.1639304, 121.4145304 31.164053)"
1159926407,1159926393,0,100323311,学府路,living_street,False,False,239.05100000000002,"LINESTRING (121.4136502 31.1639304, 121.4129551 31.1638676, 121.4128611 31.1637589, 121.4120707 31.1636473, 121.4119062 31.1637237, 121.4112502 31.1636198)"
1159926412,1159926393,0,100323311,学府路,living_street,False,True,86.242,"LINESTRING (121.4103584 31.1634812, 121.4112502 31.1636198)"
1159926465,1159926498,0,100323282,,service,False,False,162.505,"LINESTRING (121.414004 31.1618227, 121.4137678 31.1632701)"
1159926492,1159926407,0,100323311,学府路,living_street,False,False,84.852,"LINESTRING (121.4145304 31.164053, 121.4136502 31.1639304)"
1159926498,1159926407,0,100323282,,service,False,False,74.27,"LINESTRING (121.4137678 31.1632701, 121.4136502 31.1639304)"
1159926498,1159926465,0,100323282,,service,False,True,162.505,"LINESTRING (121.4137678 31.1632701, 121.414004 31.1618227)"
1159926498,1159926354,0,100323293,学思西路,living_street,False,False,229.806,"LINESTRING (121.4137678 31.1632701, 121.4113832 31.1629421)"
