element_type,osmid,geometry,nodes,building,name,ref,building:levels,alt_name,leisure,sport,roof:shape,location,power,substation,amenity,bath:open_air,bath:sand_bath,opening_hours,department,faculty,height,layer,min_height,frequency,voltage,ways,type,short_name
way,484137971,"POLYGON ((121.3924158 31.3182946, 121.3924484 31.3178881, 121.3920555 31.3178651, 121.3920228 31.3182716, 121.3924158 31.3182946))","[4768728768, 4768728769, 4768728770, 4768728771, 4768728768]",university,HB楼,HB,,,,,,,,,,,,,,,,,,,,,,
way,696557580,"POLYGON ((121.3859157 31.3169165, 121.3859189 31.3168763, 121.3859808 31.3168798, 121.385983 31.3168518, 121.3859576 31.3168503, 121.3859629 31.3167839, 121.385932 31.3167822, 121.3859331 31.3167685, 121.38526 31.3167296, 121.3852483 31.316878, 121.3859157 31.3169165))","[6541390245, 6541390246, 6541390247, 6541390248, 6541390249, 9110301323, 6541390250, 9110301322, 6541390251, 6541390252, 6541390245]",dormitory,4号楼,4,6,,,,,,,,,,,,,,,,,,,,,
way,696557583,"POLYGON ((121.3847752 31.3172483, 121.3847833 31.3171021, 121.3842335 31.3170799, 121.3841044 31.3170209, 121.3840987 31.3170301, 121.3840649 31.3170147, 121.3840292 31.3170717, 121.3840046 31.3170605, 121.3839873 31.3170882, 121.3840396 31.3171121, 121.3840171 31.317148, 121.3841836 31.317224, 121.3847752 31.3172483))","[6541390274, 6541390275, 6541390276, 9110294411, 9110294410, 6541390277, 6541390284, 6541390278, 6541390279, 6541390280, 6541390281, 6541390282, 6541390274]",dormitory,1号楼,1,6,,,,,,,,,,,,,,,,,,,,,
way,696557638,"POLYGON ((121.3923349 31.3157442, 121.392245 31.3158597, 121.3920312 31.3158897, 121.3917465 31.315726, 121.3917932 31.3156542, 121.3917322 31.315622, 121.3917171 31.315614, 121.3917494 31.315569, 121.3917666 31.3155775, 121.3918208 31.3156043, 121.3918822 31.3155345, 121.3921219 31.3156697, 121.3921585 31.315644, 121.3923349 31.3157442))","[6541410755, 6541410756, 6541410757, 6541410758, 6541410759, 8983186673, 6541410760, 6541410761, 8983186672, 6541410762, 6541410763, 6541410764, 6541410765, 6541410755]",university,AJ楼,,,,,,,,,,,,,,,,,,,,,,,
way,696557639,"POLYGON ((121.3918123 31.3154813, 121.3915109 31.3153235, 121.3913938 31.3152852, 121.3907897 31.315257, 121.3904631 31.315069, 121.390199 31.314917, 121.3900656 31.3148402, 121.3899344 31.3150093, 121.3900686 31.3150842, 121.3903329 31.3152318, 121.3903718 31.3152535, 121.3905834 31.3153716, 121.3906107 31.3153868, 121.390639 31.3154027, 121.3907204 31.3154481, 121.3912867 31.3154811, 121.3916689 31.3156812, 121.3917171 31.315614, 121.3917494 31.315569, 121.3918123 31.3154813))","[6541410766, 6541410767, 6541410768, 6541410769, 9295012291, 9295012288, 6536540628, 6541410770, 9295012289, 9295012292, 9295012290, 6541410846, 6541410849, 6541410847, 6541410771, 6541410772, 6541410773, 6541410760, 6541410761, 6541410766]",university,A楼,,,,,,,,,,,,,,,,,,,,,,,
way,696557640,"POLYGON ((121.3914349 31.3159052, 121.3911335 31.3157474, 121.3910164 31.3157091, 121.3904123 31.3156809, 121.3901571 31.3155362, 121.3900329 31.3156961, 121.3903431 31.315872, 121.3909093 31.315905, 121.3912915 31.3161051, 121.3913397 31.3160379, 121.391372 31.3159929, 121.3914349 31.3159052))","[6541410774, 6541410775, 6541410776, 6541410777, 6541410778, 6541410779, 6541410780, 6541410781, 6541410782, 6541410783, 6541410784, 6541410774]",university,B楼,,,,,,,,,,,,,,,,,,,,,,,
way,696557641,"POLYGON ((121.3919575 31.3161681, 121.3918677 31.3162836, 121.3916538 31.3163136, 121.3913691 31.3161499, 121.3914158 31.3160781, 121.3913905 31.3160647, 121.3913397 31.3160379, 121.391372 31.3159929, 121.3914242 31.3160187, 121.3914434 31.3160282, 121.3915048 31.3159583, 121.3917445 31.3160936, 121.3917811 31.3160679, 121.3919575 31.3161681))","[6541410785, 6541410786, 6541410787, 6541410788, 6541410789, 8983186675, 6541410783, 6541410784, 8983186674, 6541410790, 6541410791, 6541410792, 6541410793, 6541410785]",university,BJ楼,,,,,,,,,,,,,,,,,,,,,,,
way,696557642,"POLYGON ((121.3911683 31.3163552, 121.3908668 31.3161974, 121.3907497 31.3161591, 121.3901456 31.3161309, 121.3898904 31.3159862, 121.3897662 31.3161462, 121.3900764 31.316322, 121.3906426 31.316355, 121.3910249 31.3165551, 121.3910731 31.3164879, 121.3911053 31.3164429, 121.3911683 31.3163552))","[6541410794, 6541410795, 6541410796, 6541410797, 6541410798, 6541410799, 6541410800, 6541410801, 6541410802, 6541410803, 6541410804, 6541410794]",university,C楼,,,,,,,,,,,,,,,,,,,,,,,
way,696557643,"POLYGON ((121.3916909 31.3166181, 121.391601 31.3167336, 121.3913871 31.3167636, 121.3911025 31.3166, 121.3911491 31.3165281, 121.391114 31.3165096, 121.3910731 31.3164879, 121.3911053 31.3164429, 121.3911419 31.316461, 121.3911768 31.3164782, 121.3912381 31.3164084, 121.3914778 31.3165437, 121.3915144 31.3165179, 121.3916909 31.3166181))","[6541410805, 6541410806, 6541410807, 6541410808, 6541410809, 8983186677, 6541410803, 6541410804, 8983186676, 6541410810, 6541410811, 6541410812, 6541410813, 6541410805]",university,CJ楼,,,,,,,,,,,,,,,,,,,,,,,
way,696557644,"POLYGON ((121.3908419 31.3167673, 121.3905279 31.3166345, 121.3904066 31.3166022, 121.3897872 31.3165561, 121.3895641 31.3163983, 121.3894398 31.3165582, 121.38975 31.3167341, 121.3903163 31.3167671, 121.3906985 31.3169672, 121.3907467 31.3169, 121.390779 31.316855, 121.3908419 31.3167673))","[6541410816, 6541410817, 6541410818, 6541410819, 6541410820, 6541410821, 6541410822, 6541410823, 6541410824, 6541410825, 6541410826, 6541410816]",university,D楼,D,,,,,,,,,,,,,,,,,,,,,,
