u,v,key,osmid,name,highway,oneway,reversed,length,lanes,bridge,geometry,tunnel
622397772,9671407482,0,49051529,北外环路,unclassified,False,False,44.928,,,"LINESTRING (121.3850096 31.3214119, 121.3854753 31.3214825)",
622397772,9671407618,0,993986764,西外环路,unclassified,False,False,11.898,2,,"LINESTRING (121.3850096 31.3214119, 121.3849283 31.3213305)",
622397772,9183275310,0,"[697065824, 49051521, 993986762]",,unclassified,False,True,49.364,,yes,"LINESTRING (121.3850096 31.3214119, 121.3849187 31.3215328, 121.3847686 31.3217324, 121.384728 31.321785)",
622397825,622397826,0,49051529,北外环路,unclassified,False,False,48.73,,,"LINESTRING (121.3857421 31.321523, 121.3862519 31.3215719)",
622397825,9671407482,0,49051529,北外环路,unclassified,False,True,25.74,,,"LINESTRING (121.3857421 31.321523, 121.3854753 31.3214825)",
622397825,9183275311,0,"[697065789, 993986742, 697065791]",,footway,False,"[False, True]",49.373,,yes,"LINESTRING (121.3857421 31.321523, 121.3857046 31.3216628, 121.385658 31.3218368, 121.385626 31.3219558)",
622397826,622397825,0,49051529,北外环路,unclassified,False,True,48.73,,,"LINESTRING (121.3862519 31.3215719, 121.3857421 31.321523)",
622397826,9671407472,0,1052366119,,service,False,False,32.646,,,"LINESTRING (121.3862519 31.3215719, 121.3862801 31.3212793)",
622397826,6536367323,0,49051529,北外环路,unclassified,False,False,59.287,,,"LINESTRING (121.3862519 31.3215719, 121.3864038 31.3215734, 121.3865311 31.3215687, 121.3867048 31.321519, 121.3868454 31.3214509)",
622397837,9671382285,0,49051529,北外环路,unclassified,False,True,19.021,,,"LINESTRING (121.3879716 31.3200953, 121.3878747 31.320245)",
622397837,622397840,0,49051529,北外环路,unclassified,False,False,53.064,,,"LINESTRING (121.3879716 31.3200953, 121.3880749 31.3200185, 121.3881634 31.319975, 121.3882744 31.3199366, 121.3884678 31.3198937)",
622397837,622397864,0,49051535,,unclassified,False,False,37.209,,,"LINESTRING (121.3879716 31.3200953, 121.3879488 31.3199899, 121.3879287 31.3199292, 121.3878898 31.3198684, 121.3878255 31.3197908)",
622397840,2603059273,0,993986767,泮池北路,unclassified,False,True,72.978,2,,"LINESTRING (121.3884678 31.3198937, 121.3892348 31.3199313)",
622397840,622397837,0,49051529,北外环路,unclassified,False,True,53.06399999999999,,,"LINESTRING (121.3884678 31.3198937, 121.3882744 31.3199366, 121.3881634 31.319975, 121.3880749 31.3200185, 121.3879716 31.3200953)",
622397840,622397864,0,993986767,泮池北路,unclassified,False,False,62.108000000000004,2,,"LINESTRING (121.3884678 31.3198937, 121.3882522 31.3198665, 121.388038 31.3198323, 121.3878255 31.3197908)",
622397864,622397837,0,49051535,,unclassified,False,True,37.209,,,"LINESTRING (121.3878255 31.3197908, 121.3878898 31.3198684, 121.3879287 31.3199292, 121.3879488 31.3199899, 121.3879716 31.3200953)",
622397864,6541410703,0,993986767,泮池北路,unclassified,False,False,41.406,2,,"LINESTRING (121.3878255 31.3197908, 121.3876151 31.3197423, 121.387407 31.3196869)",
622397864,622397840,0,993986767,泮池北路,unclassified,False,True,62.108000000000004,2,,"LINESTRING (121.3878255 31.3197908, 121.388038 31.3198323, 121.3882522 31.3198665, 121.3884678 31.3198937)",
622397917,622398679,0,696557569,体育馆路,unclassified,False,True,47.317,,,"LINESTRING (121.3898742 31.3199655, 121.3893771 31.3199383)",
622397917,622398713,0,49051662,,service,False,True,52.114999999999995,,,"LINESTRING (121.3898742 31.3199655, 121.3898262 31.3199287, 121.389784 31.3198825, 121.3897476 31.3198328, 121.3897173 31.3197803, 121.389693 31.3197243, 121.3896757 31.3196664, 121.3896656 31.3196073, 121.3896647 31.3195487)",
622397917,6542708021,0,696557569,体育馆路,unclassified,False,False,136.612,,,"LINESTRING (121.3898742 31.3199655, 121.3908889 31.3200211, 121.3913094 31.3200441)",
622398269,9183287817,0,"[696088021, 696088022, 49051687]",,footway,False,"[False, True]",39.14,,yes,"LINESTRING (121.3872372 31.3157642, 121.3872924 31.3158311, 121.3874501 31.3160327, 121.3874672 31.3160562)",
622398269,9183275251,0,"[696557568, 993986737]",泮池南路,"['path', 'unclassified']",False,False,260.067,2,,"LINESTRING (121.3872372 31.3157642, 121.3873059 31.3157206, 121.3874228 31.3156549, 121.3875438 31.315595, 121.3876702 31.3155404, 121.3878 31.3154922, 121.3879328 31.3154503, 121.3880682 31.3154151, 121.3882059 31.3153899, 121.3883452 31.3153724, 121.3884855 31.3153627, 121.3886263 31.3153609, 121.3887669 31.315367, 121.3889183 31.3153824, 121.3890681 31.3154069, 121.3892155 31.3154404, 121.3893597 31.3154827, 121.3894348 31.3155165, 121.3896442 31.3156317, 121.3897771 31.3157049)",
622398269,7010443142,0,696557568,泮池南路,unclassified,False,True,91.688,2,,"LINESTRING (121.3872372 31.3157642, 121.3871935 31.3157919, 121.3870861 31.3158685, 121.3869839 31.3159501, 121.3868655 31.3160392, 121.386753 31.3161336, 121.3866467 31.3162332, 121.386547 31.3163376)",
