u,v,key,osmid,highway,oneway,reversed,length,geometry
4899165960,4899165973,0,498522014,living_street,False,False,150.5,"LINESTRING (121.4919585 31.3067209, 121.4934074 31.3072681)"
4899165960,4899165981,0,498522014,living_street,False,True,42.296,"LINESTRING (121.4919585 31.3067209, 121.4921385 31.306373)"
4899165960,4899165989,0,498522026,living_street,False,True,38.399,"LINESTRING (121.4919585 31.3067209, 121.4918667 31.3066906, 121.4915717 31.3067593)"
4899165961,4899165975,0,498522014,living_street,False,False,96.639,"LINESTRING (121.493526 31.3073138, 121.4939635 31.3065292)"
4899165961,4899165973,0,498522014,living_street,False,True,12.36,"LINESTRING (121.493526 31.3073138, 121.4934074 31.3072681)"
4899165961,8985649194,0,970888971,service,False,False,94.759,"LINESTRING (121.493526 31.3073138, 121.4931089 31.3080879)"
4899165961,8985649216,0,970888971,service,False,True,66.975,"LINESTRING (121.493526 31.3073138, 121.4941737 31.3075516)"
4899165964,4899165981,0,498522014,living_street,False,False,31.889,"LINESTRING (121.4922742 31.3061107, 121.4921385 31.306373)"
4899165964,4899165984,0,498522014,living_street,False,True,5.946,"LINESTRING (121.4922742 31.3061107, 121.4922998 31.3060619)"
4899165964,4899165965,0,498522015,living_street,False,False,27.461,"LINESTRING (121.4922742 31.3061107, 121.4920107 31.3060092)"
4899165965,4899165968,0,498522015,living_street,False,False,43.183,"LINESTRING (121.4920107 31.3060092, 121.4922012 31.3056566)"
4899165965,4899165964,0,498522015,living_street,False,True,27.461,"LINESTRING (121.4920107 31.3060092, 121.4922742 31.3061107)"
4899165965,8985650138,0,498522017,living_street,False,True,131.18200000000002,"LINESTRING (121.4920107 31.3060092, 121.4919679 31.3060938, 121.4913241 31.3058509, 121.4915331 31.3053986)"
4899165967,4899165984,0,498522014,living_street,False,False,86.422,"LINESTRING (121.4926817 31.3053565, 121.4922998 31.3060619)"
4899165967,4899165988,0,498522014,living_street,False,True,163.709,"LINESTRING (121.4926817 31.3053565, 121.4929901 31.3047364, 121.4938449 31.3050592)"
4899165967,4899165968,0,498522015,living_street,False,True,77.164,"LINESTRING (121.4926817 31.3053565, 121.4924204 31.3052508, 121.4922012 31.3056566)"
4899165968,4899165965,0,498522015,living_street,False,True,43.183,"LINESTRING (121.4922012 31.3056566, 121.4920107 31.3060092)"
4899165968,8985650138,0,498522016,living_street,False,False,69.656,"LINESTRING (121.4922012 31.3056566, 121.4915331 31.3053986)"
4899165968,4899165967,0,498522015,living_street,False,False,77.164,"LINESTRING (121.4922012 31.3056566, 121.4924204 31.3052508, 121.4926817 31.3053565)"
