osmid,y,x,street_count,geometry
4899165960,31.3067209,121.4919585,3,POINT (121.4919585 31.3067209)
4899165961,31.3073138,121.493526,4,POINT (121.493526 31.3073138)
4899165964,31.3061107,121.4922742,3,POINT (121.4922742 31.3061107)
4899165965,31.3060092,121.4920107,3,POINT (121.4920107 31.3060092)
4899165967,31.3053565,121.4926817,3,POINT (121.4926817 31.3053565)
4899165968,31.3056566,121.4922012,3,POINT (121.4922012 31.3056566)
4899165969,31.3051267,121.4908306,1,POINT (121.4908306 31.3051267)
4899165970,31.3049617,121.4917747,1,POINT (121.4917747 31.3049617)
4899165973,31.3072681,121.4934074,3,POINT (121.4934074 31.3072681)
4899165974,31.3069463,121.4935879,1,POINT (121.4935879 31.3069463)
4899165975,31.3065292,121.4939635,3,POINT (121.4939635 31.3065292)
4899165976,31.3064055,121.4936416,1,POINT (121.4936416 31.3064055)
4899165977,31.3061406,121.4941645,3,POINT (121.4941645 31.3061406)
4899165978,31.3060159,121.4938239,1,POINT (121.4938239 31.3060159)
4899165979,31.3058307,121.4943248,3,POINT (121.4943248 31.3058307)
4899165980,31.3056996,121.4939849,1,POINT (121.4939849 31.3056996)
4899165981,31.306373,121.4921385,3,POINT (121.4921385 31.306373)
4899165982,31.30641,121.4922468,1,POINT (121.4922468 31.30641)
4899165983,31.3061854,121.4925901,1,POINT (121.4925901 31.3061854)
4899165984,31.3060619,121.4922998,3,POINT (121.4922998 31.3060619)
4899165985,31.3053009,121.4937757,1,POINT (121.4937757 31.3053009)
4899165986,31.305077,121.4938921,3,POINT (121.4938921 31.305077)
4899165987,31.3048037,121.4939841,1,POINT (121.4939841 31.3048037)
4899165988,31.3050592,121.4938449,3,POINT (121.4938449 31.3050592)
4899165989,31.3067593,121.4915717,1,POINT (121.4915717 31.3067593)
8985649152,31.3083835,121.496636,1,POINT (121.496636 31.3083835)
8985649153,31.3083835,121.4972529,3,POINT (121.4972529 31.3083835)
8985649154,31.3085737,121.4972582,1,POINT (121.4972582 31.3085737)
8985649158,31.3079813,121.4945934,3,POINT (121.4945934 31.3079813)
8985649163,31.3094032,121.4947549,3,POINT (121.4947549 31.3094032)
8985649164,31.3093918,121.4931732,1,POINT (121.4931732 31.3093918)
8985649165,31.308238,121.4947571,1,POINT (121.4947571 31.308238)
8985649166,31.3097358,121.4947543,3,POINT (121.4947543 31.3097358)
8985649167,31.309731,121.4944312,1,POINT (121.4944312 31.309731)
8985649172,31.3086906,121.4988059,1,POINT (121.4988059 31.3086906)
8985649174,31.3093723,121.4977006,3,POINT (121.4977006 31.3093723)
8985649183,31.3078914,121.4992595,3,POINT (121.4992595 31.3078914)
8985649184,31.3080214,121.4979959,1,POINT (121.4979959 31.3080214)
8985649185,31.3080409,121.4992578,3,POINT (121.4992578 31.3080409)
8985649193,31.3078224,121.4948492,3,POINT (121.4948492 31.3078224)
8985649194,31.3080879,121.4931089,1,POINT (121.4931089 31.3080879)
8985649195,31.3070234,121.4957602,1,POINT (121.4957602 31.3070234)
8985649196,31.3072399,121.4955483,3,POINT (121.4955483 31.3072399)
8985649197,31.3071541,121.4953994,3,POINT (121.4953994 31.3071541)
8985649198,31.3071735,121.4989963,1,POINT (121.4989963 31.3071735)
8985649203,31.3073958,121.4979154,3,POINT (121.4979154 31.3073958)
8985649204,31.307421,121.4972985,3,POINT (121.4972985 31.307421)
8985649205,31.3074462,121.4965796,3,POINT (121.4965796 31.3074462)
8985649206,31.3075104,121.4959614,3,POINT (121.4959614 31.3075104)
8985649207,31.3072164,121.4953556,3,POINT (121.4953556 31.3072164)
8985649208,31.3070864,121.4950508,1,POINT (121.4950508 31.3070864)
8985649209,31.308906,121.4923847,1,POINT (121.4923847 31.308906)
8985649213,31.3075539,121.495209,3,POINT (121.495209 31.3075539)
8985649215,31.3064258,121.4947908,3,POINT (121.4947908 31.3064258)
8985649216,31.3075516,121.4941737,3,POINT (121.4941737 31.3075516)
8985650138,31.3053986,121.4915331,4,POINT (121.4915331 31.3053986)
