element_type,osmid,nodes,amenity,geometry,capacity:disabled,capacity:parent,capacity:women,lit,opening_hours,park_ride,parking,smoothness,supervised,surface
way,231530785,"[2399009566, 2399009565, 2398268311, 2399009554, 2399009559, 2457650293, 2398268323, 2399009564, 2399009566]",parking,"POLYGON ((113.929486 22.5327596, 113.9295241 22.5325823, 113.9293747 22.5325558, 113.9291621 22.5325174, 113.9292077 22.5322654, 113.9295025 22.5323623, 113.9298266 22.5324643, 113.9297378 22.5328099, 113.929486 22.5327596))",,,,,,,,,,
way,231664408,"[2400041520, 2400041521, 2400041524, 2400041523, 2400041522, 2400041520]",parking,"POLYGON ((113.9316681 22.5325868, 113.9318919 22.532497, 113.9322889 22.5329701, 113.9320555 22.5330073, 113.9317739 22.5327918, 113.9316681 22.5325868))",,,,,,,,,,
way,231782437,"[2401131174, 2401131085, 2506785132, 2506785126, 2506785134, 2506785131, 2401131174]",parking,"POLYGON ((113.9290682 22.5357455, 113.9290683 22.5355488, 113.9282625 22.5355489, 113.9282173 22.535433, 113.9279711 22.5354353, 113.9281132 22.535763, 113.9290682 22.5357455))",,,,,,,,,,
way,231899909,"[2402250687, 2402103337, 2402103338, 2402103336, 2402250688, 2402250687]",parking,"POLYGON ((113.9247925 22.5302511, 113.9248914 22.5302499, 113.9250024 22.5302535, 113.9249943 22.5306118, 113.9248646 22.5306116, 113.9247925 22.5302511))",,,,,,,,,,
way,232307907,"[2406688755, 2406688762, 2392840864, 2392840885, 2392840892, 2392840895, 2406688753, 2406688755]",parking,"POLYGON ((113.9275832 22.532671, 113.9276254 22.5326714, 113.9277587 22.5326757, 113.9277592 22.5325408, 113.9276917 22.5325394, 113.9276917 22.532371, 113.9275656 22.5323658, 113.9275832 22.532671))",,,,,,,,,,
way,232307909,"[2406688757, 2397089627, 2397089626, 2397089642, 2397089638, 2397089632, 2397089633, 2397089636, 2397089621, 2397089617, 2397089620, 2397089629, 2406688754, 2406688760, 2406688757]",parking,"POLYGON ((113.9277019 22.5350316, 113.9279235 22.5350675, 113.927952 22.5349264, 113.9279355 22.5349009, 113.9279252 22.5348743, 113.9279194 22.5348479, 113.9279201 22.5348166, 113.9279284 22.5347878, 113.9279451 22.5347603, 113.9279643 22.534739, 113.927992 22.5347227, 113.9280173 22.534595, 113.9278795 22.5345757, 113.9277737 22.534649, 113.9277019 22.5350316))",,,,,,,,,,
way,234530354,"[2427761489, 2427761468, 2392834669, 2392834681, 2427761492, 2427761489]",parking,"POLYGON ((113.9291836 22.5371597, 113.929143 22.5372488, 113.9291296 22.5372784, 113.929443 22.5374, 113.929497 22.5372814, 113.9291836 22.5371597))",,,,,,,,,,
way,237892846,"[2457644653, 2457644657, 2457644658, 2457644661, 2457644655, 2457644653]",parking,"POLYGON ((113.931209 22.5406664, 113.9313853 22.5408901, 113.9306467 22.5413864, 113.9305963 22.5413224, 113.9304705 22.5411627, 113.931209 22.5406664))",,,,,,,,,,
way,237893505,"[2457650297, 2299600542, 2457650365, 2400176567, 2400176683, 2457650297]",parking,"POLYGON ((113.9303184 22.5418698, 113.9300295 22.5417574, 113.9295192 22.5414898, 113.9297089 22.5414894, 113.9303227 22.5414972, 113.9303184 22.5418698))",,,,,,,,,,
way,237893519,"[2401126313, 2457650386, 2403047932, 2457650388, 2401126273, 2401126313]",parking,"POLYGON ((113.9301958 22.5346728, 113.9301502 22.5349148, 113.9296702 22.5348466, 113.9297144 22.5346073, 113.9300604 22.534652, 113.9301958 22.5346728))",,,,,,,,,,
