element_type,osmid,name,name:en,name:zh,geometry,name:ms,nodes,building,name:zh-Hans,name:zh-Hant,building:levels,layer,building:material,official_name,start_date,amenity,fast_food,leisure,sport,branch,cuisine,height,power,tourism,healthcare,internet_access,internet_access:fee,smoking,toilets:wheelchair,wheelchair,level,operator,operator:type,building:colour,building:min_level,natural,ways,type
way,220880938,冬筑,,冬筑,"POLYGON ((113.9378226 22.532814, 113.9379336 22.5328466, 113.9379891 22.5327045, 113.9375083 22.5324666, 113.9371139 22.5322141, 113.9366121 22.5325071, 113.936736 22.5326538, 113.9367599 22.5326453, 113.9370583 22.5325123, 113.9371582 22.5324526, 113.9372312 22.5325094, 113.9372531 22.5325265, 113.9374471 22.5326555, 113.9376101 22.532726, 113.9377215 22.5327721, 113.9378226 22.532814))",,"[2299600511, 2496216161, 2299600486, 2299600494, 2299600550, 2299600429, 2299600555, 3255168862, 11397149530, 2299600556, 11397149531, 11399357211, 2299600517, 11397156476, 11404766522, 2299600511]",dormitory,冬筑,冬築,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,230847098,C座,,C座,"POLYGON ((113.9311119 22.5362826, 113.9311261 22.5362103, 113.9311304 22.5361888, 113.9311656 22.5360104, 113.9311998 22.5358377, 113.9313863 22.535869, 113.9315067 22.5358894, 113.9317467 22.5359299, 113.9317141 22.5360934, 113.9316739 22.5362969, 113.9316585 22.5363749, 113.9315395 22.5363548, 113.9315547 22.536278, 113.9315947 22.5360752, 113.9312588 22.5360186, 113.9312221 22.5362046, 113.9312036 22.5362982, 113.9311119 22.5362826))",,"[2392834666, 2401128831, 2425035043, 2401128832, 2392834683, 2392834661, 2392834632, 2392834641, 2392834650, 2425035039, 2392834685, 2392834687, 2425035027, 2392834670, 2392834657, 2425035016, 2392834647, 2392834666]",university,C座,C座,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,230847099,D座,,D座,"POLYGON ((113.9316274 22.5365317, 113.9310809 22.5364395, 113.9310956 22.5363647, 113.9311119 22.5362826, 113.9312036 22.5362982, 113.9315395 22.5363548, 113.9316585 22.5363749, 113.9316274 22.5365317))",,"[2392834679, 2392834656, 2401131187, 2392834666, 2392834647, 2392834687, 2392834685, 2392834679]",university,D座,D座,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,230847100,B座,,B座,"POLYGON ((113.9313863 22.535869, 113.9314066 22.5357668, 113.9314612 22.5354915, 113.9315924 22.535514, 113.9316931 22.535531, 113.931954 22.5355748, 113.9319214 22.5357418, 113.9318998 22.5358489, 113.9318468 22.5361159, 113.9317141 22.5360934, 113.9317467 22.5359299, 113.9317671 22.5358272, 113.9317866 22.5357284, 113.9315467 22.5356878, 113.9315272 22.5357858, 113.9315067 22.5358894, 113.9313863 22.535869))",,"[2392834661, 2425035015, 2392834636, 2392834648, 2392834658, 2392834664, 2392834684, 2425035044, 2392834660, 2392834650, 2392834641, 2425035034, 2392834663, 2392834653, 2425035028, 2392834632, 2392834661]",university,B座,B座,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,230847102,A座,,A座,"POLYGON ((113.9315924 22.535514, 113.9316094 22.5354275, 113.9316683 22.5351269, 113.9321464 22.5352069, 113.9320899 22.5354953, 113.9320377 22.5357613, 113.9319214 22.5357418, 113.931954 22.5355748, 113.9319732 22.5354774, 113.9319947 22.5353679, 113.9317337 22.5353242, 113.9317104 22.5354427, 113.9316931 22.535531, 113.9315924 22.535514))",,"[2392834648, 2425035035, 2392834686, 2392834652, 2425035040, 2392834692, 2392834684, 2392834664, 2425035023, 2392834638, 2392834649, 2425035037, 2392834658, 2392834648]",university,A座,A座,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,230847103,科技楼,Science and Technology Building,科技楼,"POLYGON ((113.9322007 22.5379225, 113.9321948 22.5384824, 113.9316567 22.5384775, 113.9311594 22.538473, 113.9311654 22.5379132, 113.931299 22.5379144, 113.9320285 22.5379209, 113.9322007 22.5379225))",,"[2392834651, 2392834667, 2457639926, 2392834662, 2392834689, 2401128838, 2401128835, 2392834651]",university,科技楼,科技樓,2,,concrete,深圳大学科技楼,2004,,,,,,,,,,,,,,,,,,,,,,,
way,230847104,办公楼,,办公楼,"POLYGON ((113.9298696 22.5349723, 113.9297945 22.5354281, 113.929872 22.5355216, 113.929985 22.5356676, 113.9301376 22.5358781, 113.9301861 22.5359335, 113.930135 22.5361908, 113.9300679 22.5365245, 113.929875 22.5364884, 113.9299662 22.535993, 113.9299207 22.5359324, 113.92979 22.535911, 113.9296746 22.5357519, 113.9297029 22.5356421, 113.9295907 22.5354925, 113.9296024 22.5354205, 113.92968 22.5349438, 113.9298696 22.5349723))",,"[2392834645, 2392834682, 2401126355, 2403047896, 2401126356, 2392834646, 2401131137, 2392834677, 2392834671, 2392834642, 2402250682, 2402250685, 2402250680, 2402250689, 2392834675, 2401131132, 2392834668, 2392834645]",university,办公楼,辦公樓,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,230847105,图书馆北馆,,图书馆北馆,"POLYGON ((113.9309178 22.5362146, 113.9308936 22.5363289, 113.9308069 22.5367391, 113.9302215 22.5366335, 113.9303087 22.5362209, 113.9303324 22.5361089, 113.9306406 22.5361646, 113.9309178 22.5362146))",,"[2392834634, 2401131077, 2392834676, 2392834672, 2401131152, 2392834631, 2409473262, 2392834634]",university,图书馆北馆,圖書館北館,6,,,,,library,,,,,,,,,,,,,,,,,,,,,,
way,230847106,金工坊,,金工坊,"POLYGON ((113.9269098 22.5338461, 113.9272989 22.534538, 113.9273143 22.5345653, 113.9271663 22.5346364, 113.9267618 22.5339172, 113.9269098 22.5338461))",,"[2392834633, 2469789319, 2392834637, 2392834659, 2392834640, 2392834633]",yes,金工坊,金工坊,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,230847107,学生创业园,,学生创业园,"POLYGON ((113.9268752 22.5337866, 113.9266119 22.5333302, 113.9264931 22.5333836, 113.9267479 22.5338483, 113.9268752 22.5337866))",,"[2392834635, 3217279771, 3217279770, 2392834643, 2392834635]",yes,学生创业园,學生創業園,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,230847108,教工餐厅,,教工餐厅,"POLYGON ((113.929443 22.5374, 113.9291296 22.5372784, 113.9290163 22.5375291, 113.9292477 22.5376185, 113.9293288 22.5376499, 113.929443 22.5374))",,"[2392834681, 2392834669, 2392834673, 2393798406, 2392834680, 2392834681]",yes,教工餐厅,教工餐廳,,,,,,restaurant,cafeteria,,,,,,,,,,,,,,,,,,,,,
way,230847536,留学生楼,,留学生楼,"POLYGON ((113.9280854 22.5325325, 113.9280859 22.5326807, 113.9277587 22.5326757, 113.9277592 22.5325408, 113.9276917 22.5325394, 113.9276917 22.532371, 113.9277291 22.532371, 113.9277306 22.5323563, 113.9277399 22.5323418, 113.9277515 22.5323324, 113.9277667 22.5323266, 113.9277812 22.5323251, 113.9277974 22.5323247, 113.9277987 22.5322608, 113.9281074 22.5322595, 113.928108 22.5324063, 113.9278707 22.5324057, 113.9278701 22.5325286, 113.9280854 22.5325325))",,"[2392840875, 2392840901, 2392840864, 2392840885, 2392840892, 2392840895, 2392840880, 2392840878, 2392840884, 2392840898, 2392840869, 2392840890, 2392840872, 2392840887, 2392840903, 2392840882, 2392840867, 2392840906, 2392840875]",yes,留学生楼,留學生樓,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
