u,v,key,osmid,oneway,highway,reversed,length,geometry,bridge,name,access,junction,service,width,tunnel
2291907885,2291907935,0,220071397,True,unclassified,False,32.024,"LINESTRING (113.9295586 22.5357021, 113.9296123 22.5357315, 113.9296569 22.5357717, 113.9296899 22.5358206, 113.9297094 22.5358753, 113.9297143 22.5359327)",,,,,,,
2291907885,2403047896,0,"[231983454, 237893526]",False,footway,True,46.535,"LINESTRING (113.9295586 22.5357021, 113.9298522 22.5357434, 113.929985 22.5356676)",,,,,,,
2291907890,2425035041,0,220071398,True,unclassified,False,53.015,"LINESTRING (113.9292309 22.5360486, 113.9287149 22.5360615)",,,,,,,
2291907890,2291907893,0,220071397,True,unclassified,False,20.333000000000002,"LINESTRING (113.9292309 22.5360486, 113.9292038 22.535993, 113.9291927 22.5359329, 113.9291983 22.5358722)",,,,,,,
2291907893,2291907885,0,220071397,True,unclassified,False,47.437999999999995,"LINESTRING (113.9291983 22.5358722, 113.9292167 22.5358215, 113.9292479 22.5357743, 113.9292864 22.5357376, 113.9293368 22.5357072, 113.9293714 22.535694, 113.9294423 22.535682, 113.9294998 22.5356856, 113.9295586 22.5357021)",,,,,,,
2291907907,2398019415,0,220071398,True,unclassified,False,10.427,"LINESTRING (113.9282206 22.5360197, 113.9281191 22.5360219)",,,,,,,
2291907907,2291907936,0,234216372,False,service,False,9.622,"LINESTRING (113.9282206 22.5360197, 113.9282182 22.5359332)",,,,,,,
2291907935,2291907890,0,220071397,True,unclassified,False,68.26400000000001,"LINESTRING (113.9297143 22.5359327, 113.929707 22.5359801, 113.9296888 22.5360272, 113.9296622 22.5360676, 113.9296259 22.5361038, 113.9295862 22.5361304, 113.9295278 22.5361539, 113.9294677 22.5361635, 113.9294119 22.5361608, 113.9293498 22.536144, 113.9292994 22.5361174, 113.9292615 22.5360861, 113.9292309 22.5360486)",,,,,,,
2291907935,2457650314,0,237893524,False,service,True,50.846000000000004,"LINESTRING (113.9297143 22.5359327, 113.9298144 22.5359508, 113.9298809 22.5359628, 113.9299159 22.5360129, 113.9298726 22.5362504)",,,,,,,
2291907936,2291907907,0,234216372,False,service,True,9.622,"LINESTRING (113.9282182 22.5359332, 113.9282206 22.5360197)",,,,,,,
2291907936,2425035036,0,220071403,True,unclassified,False,51.208,"LINESTRING (113.9282182 22.5359332, 113.9282498 22.5359191, 113.9283497 22.5358902, 113.9287084 22.5358817)",,,,,,,
2291908204,7243667784,0,"[776358617, 237757618]",False,"['steps', 'footway']",False,64.527,"LINESTRING (113.9339176 22.5321216, 113.9340665 22.5322311, 113.9341088 22.532189, 113.9339665 22.532077, 113.9339256 22.5320358, 113.9340533 22.5320247)",yes,,,,,,
2291908204,11397135809,0,776358616,False,footway,False,88.01199999999999,"LINESTRING (113.9339176 22.5321216, 113.9340739 22.5320693, 113.9343204 22.5318261, 113.9344651 22.5316834, 113.9345372 22.5317458, 113.9345525 22.531757)",yes,召南天桥,yes,,,,
2291908204,2400339471,0,"[776358616, 220071437]",False,footway,True,194.35399999999998,"LINESTRING (113.9339176 22.5321216, 113.9335888 22.5324838, 113.9335267 22.5325397, 113.9334781 22.5325696, 113.933432 22.5325888, 113.9333677 22.5326136, 113.9333093 22.5326312, 113.9332409 22.5326485, 113.9331758 22.5326723, 113.9331078 22.5327057, 113.9330434 22.5327608, 113.9325842 22.533231, 113.932551 22.5332799)",yes,召南天桥,yes,,,,
2299600517,11404766519,0,1229199159,False,footway,True,2.167,"LINESTRING (113.9374471 22.5326555, 113.9374349 22.5326714)",,,,,,,
2299624535,2299624605,0,220883469,True,unclassified,False,20.929,"LINESTRING (113.9320289 22.5299254, 113.9320401 22.5299615, 113.9320376 22.5299991, 113.9320216 22.5300337, 113.9319939 22.5300614, 113.9319578 22.5300789)",,,,roundabout,,,
2299624535,6855960589,0,732182003,False,unclassified,True,51.956,"LINESTRING (113.9320289 22.5299254, 113.9321296 22.5298569, 113.9322047 22.5298188, 113.9322685 22.5297995, 113.9323532 22.5297806, 113.932494 22.5297772)",,,,,,,
2299624560,6855960590,0,220883468,False,unclassified,False,289.134,"LINESTRING (113.9318294 22.5299023, 113.9315197 22.5293223, 113.9313399 22.5289857, 113.9313133 22.5289147, 113.9312907 22.5288286, 113.9312892 22.5287373, 113.9313101 22.528637, 113.9313462 22.5285718, 113.9314092 22.5284987, 113.9314806 22.5284483, 113.9315723 22.5284117, 113.9316905 22.5283893, 113.9325215 22.5283818)",,,,,,,
2299624560,2299624535,0,220883469,True,unclassified,False,24.424,"LINESTRING (113.9318294 22.5299023, 113.9318547 22.5298814, 113.9318854 22.5298679, 113.9319189 22.5298629, 113.9319526 22.5298668, 113.9319838 22.5298793, 113.9320099 22.5298993, 113.9320289 22.5299254)",,,,roundabout,,,
2299624568,11397135836,0,220883468,False,unclassified,False,24.372,"LINESTRING (113.9364851 22.5324691, 113.9366 22.5326066, 113.9366288 22.5326435)",,,,,,,
2299624568,9128533673,0,220883468,False,unclassified,True,251.866,"LINESTRING (113.9364851 22.5324691, 113.9358508 22.5318926, 113.9358217 22.5317997, 113.9358394 22.5317073, 113.9359167 22.5314539, 113.9359567 22.5312749, 113.9358738 22.5311913, 113.9353198 22.5307237)",,,,,,,
2299624568,9102966573,0,976046142,False,unclassified,False,338.769,"LINESTRING (113.9364851 22.5324691, 113.9366069 22.5324126, 113.9371195 22.532077, 113.9374939 22.5322329, 113.9376495 22.5324028, 113.9379741 22.5325259, 113.9382123 22.5325907, 113.9381371 22.532758, 113.9376864 22.5336715)",,,,,,,
2299624578,9032560220,0,220883468,False,unclassified,True,17.502,"LINESTRING (113.9344547 22.5298103, 113.9343803 22.5296687)",,,,,,,
2299624578,7243667769,0,220883468,False,unclassified,False,63.015,"LINESTRING (113.9344547 22.5298103, 113.93451 22.5299049, 113.934654 22.5300914, 113.9348119 22.5302694)",,,,,,,
2299624578,2536316971,0,379505703,True,unclassified,False,107.01599999999999,"LINESTRING (113.9344547 22.5298103, 113.9343363 22.5298096, 113.9335702 22.5298032, 113.933543 22.5297975, 113.9334261 22.529746)",,,,,,,
2299624602,6855960590,0,220883468,False,unclassified,True,87.994,"LINESTRING (113.9333782 22.5283764, 113.9325215 22.5283818)",,,,,,,
2299624602,11399372623,0,220883470,False,service,True,82.895,"LINESTRING (113.9333782 22.5283764, 113.9333599 22.5291217)",,,,,,,
2299624602,9032560220,0,220883468,False,unclassified,False,203.878,"LINESTRING (113.9333782 22.5283764, 113.9337429 22.5283731, 113.9338212 22.5283866, 113.9338998 22.5284165, 113.933963 22.5284631, 113.934013 22.5285339, 113.9340445 22.528606, 113.9341669 22.5290072, 113.9342304 22.5291776, 113.9342774 22.529361, 113.9343803 22.5296687)",,,,,,,
2299624605,2299624560,0,220883469,True,unclassified,False,31.635999999999996,"LINESTRING (113.9319578 22.5300789, 113.9319226 22.5300842, 113.9318872 22.5300797, 113.9318549 22.5300658, 113.9318284 22.5300437, 113.9318081 22.5300105, 113.9318012 22.5299729, 113.9318086 22.5299353, 113.9318294 22.5299023)",,,,roundabout,,,
2299624605,2394958857,0,231086120,False,unclassified,False,87.19,"LINESTRING (113.9319578 22.5300789, 113.9320532 22.5302095, 113.9321375 22.5302924, 113.9324984 22.5306821)",,,,,,,
