osmid,y,x,street_count,highway,geometry
2291907885,22.5357021,113.9295586,3,,POINT (113.9295586 22.5357021)
2291907890,22.5360486,113.9292309,3,,POINT (113.9292309 22.5360486)
2291907893,22.5358722,113.9291983,3,,POINT (113.9291983 22.5358722)
2291907907,22.5360197,113.9282206,3,,POINT (113.9282206 22.5360197)
2291907935,22.5359327,113.9297143,3,,POINT (113.9297143 22.5359327)
2291907936,22.5359332,113.9282182,3,,POINT (113.9282182 22.5359332)
2291908204,22.5321216,113.9339176,3,,POINT (113.9339176 22.5321216)
2299600517,22.5326555,113.9374471,1,,POINT (113.9374471 22.5326555)
2299624535,22.5299254,113.9320289,3,,POINT (113.9320289 22.5299254)
2299624560,22.5299023,113.9318294,3,,POINT (113.9318294 22.5299023)
2299624568,22.5324691,113.9364851,3,,POINT (113.9364851 22.5324691)
2299624578,22.5298103,113.9344547,4,,POINT (113.9344547 22.5298103)
2299624602,22.5283764,113.9333782,4,,POINT (113.9333782 22.5283764)
2299624605,22.5300789,113.9319578,3,,POINT (113.9319578 22.5300789)
2310684965,22.5382889,113.9346535,3,,POINT (113.9346535 22.5382889)
2310684974,22.5390629,113.9345019,3,,POINT (113.9345019 22.5390629)
2310684975,22.5391097,113.9348133,3,,POINT (113.9348133 22.5391097)
2392840898,22.5323324,113.9277515,1,,POINT (113.9277515 22.5323324)
2394958848,22.5334461,113.9355604,3,,POINT (113.9355604 22.5334461)
2394958857,22.5306821,113.9324984,3,,POINT (113.9324984 22.5306821)
2397000728,22.5331746,113.928972,3,,POINT (113.928972 22.5331746)
2397047423,22.5339611,113.9305218,3,,POINT (113.9305218 22.5339611)
2397047425,22.5339216,113.930639,3,,POINT (113.930639 22.5339216)
2397047442,22.5339328,113.9312125,4,,POINT (113.9312125 22.5339328)
2398019406,22.5308852,113.9276535,4,,POINT (113.9276535 22.5308852)
2398019415,22.5360219,113.9281191,4,,POINT (113.9281191 22.5360219)
2398019417,22.5375747,113.9316099,3,,POINT (113.9316099 22.5375747)
2398019424,22.5309266,113.9269778,3,,POINT (113.9269778 22.5309266)
2398019430,22.531246,113.9274871,3,,POINT (113.9274871 22.531246)
2398019435,22.5315882,113.9274478,3,,POINT (113.9274478 22.5315882)
2398019442,22.530759,113.9280718,3,,POINT (113.9280718 22.530759)
2398019449,22.5346932,113.9275003,3,,POINT (113.9275003 22.5346932)
2398019462,22.5376077,113.9323364,3,,POINT (113.9323364 22.5376077)
2398019468,22.5321171,113.9275398,3,,POINT (113.9275398 22.5321171)
2398019471,22.5323503,113.9318742,3,,POINT (113.9318742 22.5323503)
2398019478,22.5377793,113.9325628,3,,POINT (113.9325628 22.5377793)
2398019485,22.5311459,113.9302762,3,,POINT (113.9302762 22.5311459)
2398019487,22.5375637,113.9356473,4,,POINT (113.9356473 22.5375637)
2398019495,22.5312587,113.9305967,3,,POINT (113.9305967 22.5312587)
2398019496,22.5359341,113.9280717,4,,POINT (113.9280717 22.5359341)
2398019504,22.53392,113.927223,3,,POINT (113.927223 22.53392)
2398019506,22.5329434,113.9323268,4,,POINT (113.9323268 22.5329434)
2398019511,22.5330007,113.9275219,3,,POINT (113.9275219 22.5330007)
2398019513,22.5309273,113.9267388,4,,POINT (113.9267388 22.5309273)
2398019514,22.5377124,113.9309588,4,,POINT (113.9309588 22.5377124)
2398019532,22.5308533,113.9288577,3,,POINT (113.9288577 22.5308533)
2398019540,22.5307921,113.9255529,3,,POINT (113.9255529 22.5307921)
2398019553,22.5376929,113.930866,3,,POINT (113.930866 22.5376929)
2398268290,22.5321914,113.9288381,3,,POINT (113.9288381 22.5321914)
2398268323,22.5324643,113.9298266,5,,POINT (113.9298266 22.5324643)
2398268365,22.5321172,113.9283919,4,,POINT (113.9283919 22.5321172)
2399009529,22.5363147,113.9331499,4,,POINT (113.9331499 22.5363147)
2399009531,22.5310061,113.9296509,3,,POINT (113.9296509 22.5310061)
2399009537,22.5338447,113.9302343,3,,POINT (113.9302343 22.5338447)
2399009539,22.5372901,113.9329934,3,,POINT (113.9329934 22.5372901)
2399009540,22.5314814,113.9309619,4,,POINT (113.9309619 22.5314814)
2399009543,22.5319659,113.9302031,3,,POINT (113.9302031 22.5319659)
2399009545,22.5340404,113.9303765,3,,POINT (113.9303765 22.5340404)
2399009548,22.5316027,113.929437,3,,POINT (113.929437 22.5316027)
2399009551,22.5346957,113.9303986,3,,POINT (113.9303986 22.5346957)
2399009555,22.5317711,113.9297569,4,,POINT (113.9297569 22.5317711)
2399009557,22.5318026,113.9284645,3,,POINT (113.9284645 22.5318026)
2399009559,22.5322654,113.9292077,3,,POINT (113.9292077 22.5322654)
2399009562,22.5313114,113.9306832,3,,POINT (113.9306832 22.5313114)
2399009563,22.5316695,113.9285257,3,,POINT (113.9285257 22.5316695)
2399009570,22.531346,113.9289623,4,,POINT (113.9289623 22.531346)
2400039300,22.5336899,113.9295202,1,,POINT (113.9295202 22.5336899)
2400039302,22.5339827,113.9327642,3,,POINT (113.9327642 22.5339827)
2400039316,22.5345057,113.9278926,3,,POINT (113.9278926 22.5345057)
2400039318,22.5296974,113.9271525,1,,POINT (113.9271525 22.5296974)
2400039325,22.5344692,113.9281764,3,,POINT (113.9281764 22.5344692)
2400039329,22.5347923,113.9275461,3,,POINT (113.9275461 22.5347923)
2400039343,22.5352233,113.9324907,4,,POINT (113.9324907 22.5352233)
2400039345,22.5338018,113.9328629,3,,POINT (113.9328629 22.5338018)
2400039349,22.5297048,113.9276621,3,,POINT (113.9276621 22.5297048)
2400041525,22.5336647,113.9319384,3,,POINT (113.9319384 22.5336647)
2400051200,22.5341259,113.9328387,1,,POINT (113.9328387 22.5341259)
2400176550,22.5396711,113.9293361,3,,POINT (113.9293361 22.5396711)
2400176558,22.538671,113.9310161,3,,POINT (113.9310161 22.538671)
2400176562,22.5398837,113.9306808,3,,POINT (113.9306808 22.5398837)
2400176570,22.5413507,113.9304358,3,,POINT (113.9304358 22.5413507)
