element_type,osmid,building,name,geometry,nodes,name:zh,office,leisure,sport,amenity,building:levels,fast_food,name_1,ways,type
node,5735362973,yes,法学院,POINT (104.0016185 30.5619209),,,,,,,,,,,
node,5735362974,yes,历史文化（旅游）学院,POINT (104.0025954 30.5626767),,,,,,,,,,,
node,5735362975,yes,文学与新闻学院,POINT (104.0030586 30.5629267),,,,,,,,,,,
way,337931363,yes,制造工程实验楼,"POLYGON ((103.9960021 30.5628752, 103.9966117 30.563273, 103.9968115 30.5630459, 103.996202 30.5626481, 103.9960021 30.5628752))","[3450087259, 3450087267, 3450087264, 3450087253, 3450087259]",,,,,,,,,,
way,337931367,yes,基础力学实验室,"POLYGON ((103.993767 30.5627085, 103.9936465 30.5628469, 103.9940835 30.5631291, 103.9942041 30.5629907, 103.993767 30.5627085))","[3450087255, 3450087258, 3450087265, 3450087262, 3450087255]",,,,,,,,,,
way,337931369,yes,,"POLYGON ((103.9953999 30.5635596, 103.9960076 30.5639615, 103.9962136 30.5637306, 103.9961836 30.5637191, 103.9960614 30.5636383, 103.9956011 30.563334, 103.9953999 30.5635596))","[3450087270, 3450087273, 3450087272, 5704436562, 5704436565, 3450087269, 3450087270]",,,,,,,,,,
way,337931371,yes,,"POLYGON ((103.9943421 30.5631871, 103.9950513 30.5636543, 103.9953689 30.5632967, 103.9946597 30.5628296, 103.9943421 30.5631871))","[3450087266, 3450087271, 3450087268, 3450087257, 3450087266]",,,,,,,,,,
way,573621755,yes,体院馆,"POLYGON ((104.0035164 30.5615172, 104.0041702 30.5607452, 104.0032875 30.5601701, 104.0033296 30.5604798, 104.0031615 30.5605843, 104.0031071 30.5606354, 104.003054 30.5606964, 104.0030062 30.5607909, 104.0029779 30.560896, 104.0029785 30.5609916, 104.0030151 30.5611001, 104.0030695 30.5611596, 104.0031927 30.5612259, 104.0033237 30.5612471, 104.0034546 30.5612219, 104.0035164 30.5615172))","[5508550295, 5508550296, 5508550297, 5508550298, 5508550299, 5508550300, 5508550301, 5508550302, 5508550303, 5508550304, 5508550305, 5508550306, 5508550307, 5508550308, 5508550309, 5508550295]",体院馆,,,,,,,,,
way,573626705,yes,东园二舍,"POLYGON ((104.0005819 30.5635913, 104.0006754 30.5634851, 104.0001216 30.5631234, 104.0000281 30.5632296, 104.0005819 30.5635913))","[5508580167, 5508580168, 5508580169, 5508580170, 5508580167]",,,,,,,,,,
way,573626727,yes,东园一舍,"POLYGON ((104.0003078 30.5638582, 104.000352 30.5638076, 104.0003788 30.5638249, 104.0004604 30.5637315, 103.9999853 30.5634237, 103.9998595 30.5635677, 104.0003078 30.5638582))","[5508580438, 5508580439, 5508580440, 5508580441, 5508580442, 5508580443, 5508580438]",,,,,,,,,,
way,599534382,yes,,"POLYGON ((103.9898585 30.5643895, 103.990382 30.5644567, 103.9904314 30.5641706, 103.9899079 30.5641035, 103.9898585 30.5643895))","[5703840789, 5703840790, 5703840791, 5703840792, 5703840789]",,,,,,,,,,
way,599534383,yes,,"POLYGON ((103.9900873 30.5647198, 103.9901457 30.5644679, 103.9903156 30.5644922, 103.9902485 30.5647454, 103.9900873 30.5647198))","[5703840793, 5703840794, 5703840795, 5703840796, 5703840793]",,,,,,,,,,
way,599534384,yes,,"POLYGON ((103.9908891 30.5646239, 103.9912836 30.5646911, 103.9913532 30.5643882, 103.9909638 30.5643219, 103.9909471 30.5643948, 103.9907592 30.5643628, 103.9907249 30.5645122, 103.9909076 30.5645433, 103.9908891 30.5646239))","[5703840797, 5703840798, 5703840799, 5703840800, 5703840801, 5703840802, 5703840803, 5703840804, 5703840797]",,,,,,,,,,
way,599534385,yes,实验动物中心,"POLYGON ((103.9907572 30.5642801, 103.9909159 30.5643068, 103.9910276 30.5638149, 103.9908688 30.5637882, 103.9907572 30.5642801))","[4770839611, 5703840806, 5703840807, 5703840808, 4770839611]",,research,,,,,,,,
