u,v,key,osmid,highway,oneway,reversed,length,name,geometry,bridge
2506945195,4770839128,0,484339154,residential,False,False,84.744,,"LINESTRING (103.9977551 30.5583734, 103.9986109 30.5585677)",
2506945195,5735383245,0,604437740,footway,False,False,4.868,,"LINESTRING (103.9977551 30.5583734, 103.9977439 30.5584161)",
2506945195,5735383247,0,604437740,footway,False,True,11.457,,"LINESTRING (103.9977551 30.5583734, 103.9977815 30.5582729)",
2506945293,4770960558,0,484351225,pedestrian,False,False,47.197,,"LINESTRING (103.9934668 30.5574245, 103.9929878 30.5573244)",
2506945293,5735383244,0,487495695,tertiary,False,True,8.262,环形大道,"LINESTRING (103.9934668 30.5574245, 103.9934189 30.5574863)",
2506945293,5735383246,0,487495695,tertiary,False,False,10.363,环形大道,"LINESTRING (103.9934668 30.5574245, 103.9934806 30.5574068, 103.9935188 30.5573429)",
3450087246,4770839223,0,484339174,residential,False,True,117.468,,"LINESTRING (103.9962029 30.5624295, 103.9954711 30.5632774)",
3450087246,4770839225,0,337931382,tertiary,False,False,127.64599999999999,环形大道,"LINESTRING (103.9962029 30.5624295, 103.9955656 30.5623907, 103.9950097 30.5623709, 103.9948733 30.5623535)",
3450087246,4770839169,0,"[681334497, 487495731, 337931382]",tertiary,False,True,167.182,环形大道,"LINESTRING (103.9962029 30.5624295, 103.9967157 30.5625029, 103.9972142 30.5626383, 103.9974432 30.5627084, 103.9978728 30.5628512)",yes
4770839104,4770839175,0,484339151,residential,False,False,90.457,,"LINESTRING (104.0011393 30.5622559, 104.0016851 30.5615919)",
4770839104,8855606941,0,484339151,residential,False,True,86.323,,"LINESTRING (104.0011393 30.5622559, 104.0018383 30.5627462)",
4770839104,5508577656,0,573626553,residential,False,False,163.62199999999999,,"LINESTRING (104.0011393 30.5622559, 104.000665 30.56281, 104.0007071 30.5628995, 104.0013366 30.5633209)",
4770839104,5735414151,0,1054966236,living_street,False,False,88.88900000000001,,"LINESTRING (104.0011393 30.5622559, 104.0006086 30.5619342, 104.0003802 30.5617957)",
4770839105,4770839106,0,484339152,residential,False,False,38.428,,"LINESTRING (104.004764 30.5631363, 104.004524 30.5634133)",
4770839105,4770839148,0,484339161,residential,False,False,233.642,,"LINESTRING (104.004764 30.5631363, 104.0050102 30.5628486, 104.0034483 30.5617386)",
4770839106,4770839175,0,484339152,residential,False,False,338.974,,"LINESTRING (104.004524 30.5634133, 104.0016851 30.5615919)",
4770839106,4770839105,0,484339152,residential,False,True,38.428,,"LINESTRING (104.004524 30.5634133, 104.004764 30.5631363)",
4770839106,8855606940,0,956998271,residential,False,True,109.013,,"LINESTRING (104.004524 30.5634133, 104.00444 30.5635683, 104.00444 30.5637073, 104.0043458 30.5638231, 104.0039745 30.5642445)",
4770839107,5735414146,0,484339152,residential,False,False,259.858,,"LINESTRING (104.0011117 30.5611776, 103.9989557 30.5597582)",
4770839107,4770839175,0,484339152,residential,False,True,71.669,,"LINESTRING (104.0011117 30.5611776, 104.0016851 30.5615919)",
