osmid,y,x,street_count,geometry
2506945195,30.5583734,103.9977551,3,POINT (103.9977551 30.5583734)
2506945293,30.5574245,103.9934668,3,POINT (103.9934668 30.5574245)
3450087246,30.5624295,103.9962029,3,POINT (103.9962029 30.5624295)
4770839104,30.5622559,104.0011393,4,POINT (104.0011393 30.5622559)
4770839105,30.5631363,104.004764,3,POINT (104.004764 30.5631363)
4770839106,30.5634133,104.004524,3,POINT (104.004524 30.5634133)
4770839107,30.5611776,104.0011117,4,POINT (104.0011117 30.5611776)
4770839108,30.5594212,103.9985181,4,POINT (103.9985181 30.5594212)
4770839120,30.5587778,103.9988345,3,POINT (103.9988345 30.5587778)
4770839128,30.5585677,103.9986109,3,POINT (103.9986109 30.5585677)
4770839129,30.5571753,103.9990162,3,POINT (103.9990162 30.5571753)
4770839132,30.5560275,103.9993488,3,POINT (103.9993488 30.5560275)
4770839133,30.5567685,103.9989546,3,POINT (103.9989546 30.5567685)
4770839136,30.5561193,103.999778,3,POINT (103.999778 30.5561193)
4770839137,30.5568966,103.9995538,3,POINT (103.9995538 30.5568966)
4770839138,30.5572786,103.9991818,3,POINT (103.9991818 30.5572786)
4770839139,30.5568422,103.999299,3,POINT (103.999299 30.5568422)
4770839140,30.5572523,103.9997018,3,POINT (103.9997018 30.5572523)
4770839141,30.5596483,104.0033488,3,POINT (104.0033488 30.5596483)
4770839142,30.5588067,104.0040942,3,POINT (104.0040942 30.5588067)
4770839143,30.5571464,104.0015417,3,POINT (104.0015417 30.5571464)
4770839145,30.5566385,104.0020139,3,POINT (104.0020139 30.5566385)
4770839148,30.5617386,104.0034483,3,POINT (104.0034483 30.5617386)
4770839150,30.5607725,104.0019764,4,POINT (104.0019764 30.5607725)
4770839151,30.5589295,103.9992093,3,POINT (103.9992093 30.5589295)
4770839152,30.5589421,103.9991043,3,POINT (103.9991043 30.5589421)
4770839156,30.5580271,103.9996047,3,POINT (103.9996047 30.5580271)
4770839157,30.5575973,103.9988934,3,POINT (103.9988934 30.5575973)
4770839158,30.5601777,104.0028693,3,POINT (104.0028693 30.5601777)
4770839160,30.5601838,103.9980889,3,POINT (103.9980889 30.5601838)
4770839163,30.5609241,103.9976004,3,POINT (103.9976004 30.5609241)
4770839169,30.5628512,103.9978728,4,POINT (103.9978728 30.5628512)
4770839173,30.5638187,103.9973349,3,POINT (103.9973349 30.5638187)
4770839175,30.5615919,104.0016851,3,POINT (104.0016851 30.5615919)
4770839220,30.5640632,103.9940382,1,POINT (103.9940382 30.5640632)
4770839221,30.564322,103.994395,3,POINT (103.994395 30.564322)
4770839223,30.5632774,103.9954711,3,POINT (103.9954711 30.5632774)
4770839224,30.5627237,103.9946432,3,POINT (103.9946432 30.5627237)
4770839225,30.5623535,103.9948733,3,POINT (103.9948733 30.5623535)
4770839227,30.5631495,103.9942543,1,POINT (103.9942543 30.5631495)
4770839228,30.5630133,103.9943787,3,POINT (103.9943787 30.5630133)
4770839229,30.5625686,103.9937045,1,POINT (103.9937045 30.5625686)
4770839242,30.5632418,103.9907803,3,POINT (103.9907803 30.5632418)
4770839246,30.5616398,103.9892919,3,POINT (103.9892919 30.5616398)
4770839247,30.5611871,103.9893375,3,POINT (103.9893375 30.5611871)
4770839252,30.5598946,103.9924444,3,POINT (103.9924444 30.5598946)
4770839253,30.5643947,103.9905068,3,POINT (103.9905068 30.5643947)
4770960507,30.5567702,103.9898104,4,POINT (103.9898104 30.5567702)
4770960509,30.5575852,103.9914657,4,POINT (103.9914657 30.5575852)
4770960510,30.5577562,103.9922573,3,POINT (103.9922573 30.5577562)
4770960516,30.5556988,103.9928487,3,POINT (103.9928487 30.5556988)
4770960519,30.5551029,103.9917376,3,POINT (103.9917376 30.5551029)
4770960524,30.5549427,103.9891306,3,POINT (103.9891306 30.5549427)
4770960525,30.5551812,103.9900965,3,POINT (103.9900965 30.5551812)
4770960526,30.5544156,103.9903187,3,POINT (103.9903187 30.5544156)
4770960527,30.5555864,103.989974,3,POINT (103.989974 30.5555864)
4770960528,30.5557363,103.9897446,3,POINT (103.9897446 30.5557363)
4770960529,30.555575,103.9889807,3,POINT (103.9889807 30.555575)
4770960530,30.5546008,103.9911308,3,POINT (103.9911308 30.5546008)
4770960531,30.5556574,103.9908007,3,POINT (103.9908007 30.5556574)
4770960532,30.5553041,103.9900573,3,POINT (103.9900573 30.5553041)
4770960533,30.5554939,103.9908518,3,POINT (103.9908518 30.5554939)
4770960534,30.5558963,103.9915675,4,POINT (103.9915675 30.5558963)
4770960535,30.5553754,103.9920011,3,POINT (103.9920011 30.5553754)
4770960537,30.5564228,103.9926179,3,POINT (103.9926179 30.5564228)
4770960538,30.5542907,103.9920236,1,POINT (103.9920236 30.5542907)
4770960539,30.5546962,103.9918808,3,POINT (103.9918808 30.5546962)
4770960540,30.554959,103.992927,3,POINT (103.992927 30.554959)
4770960541,30.5545565,103.9909612,3,POINT (103.9909612 30.5545565)
4770960542,30.554077,103.9911001,1,POINT (103.9911001 30.554077)
4770960543,30.5556719,103.992738,3,POINT (103.992738 30.5556719)
4770960544,30.5544993,103.9930733,1,POINT (103.9930733 30.5544993)
4770960545,30.5543601,103.9900768,3,POINT (103.9900768 30.5543601)
4770960546,30.5537218,103.9902716,1,POINT (103.9902716 30.5537218)
4770960549,30.5568457,103.9925455,3,POINT (103.9925455 30.5568457)
4770960553,30.5571523,103.9905904,4,POINT (103.9905904 30.5571523)
4770960558,30.5573244,103.9929878,4,POINT (103.9929878 30.5573244)
5430897289,30.5633137,103.9916721,3,POINT (103.9916721 30.5633137)
5508577656,30.5633209,104.0013366,3,POINT (104.0013366 30.5633209)
5508577657,30.5640655,104.0007017,3,POINT (104.0007017 30.5640655)
5508585646,30.5597063,104.0032996,3,POINT (104.0032996 30.5597063)
5703864657,30.5581084,103.9893233,3,POINT (103.9893233 30.5581084)
5703864658,30.5580703,103.988942,3,POINT (103.988942 30.5580703)
5703864664,30.5606249,103.9883294,1,POINT (103.9883294 30.5606249)
5703950631,30.5605137,103.9873986,1,POINT (103.9873986 30.5605137)
5703950635,30.5578734,103.9879925,3,POINT (103.9879925 30.5578734)
5703950638,30.5581231,103.9900034,3,POINT (103.9900034 30.5581231)
5703950642,30.5583182,103.9912992,3,POINT (103.9912992 30.5583182)
5703950644,30.5584908,103.9921257,3,POINT (103.9921257 30.5584908)
5703950649,30.5583041,103.9912215,3,POINT (103.9912215 30.5583041)
5703950651,30.558124,103.9903145,3,POINT (103.9903145 30.558124)
5703974094,30.5592213,103.9897618,3,POINT (103.9897618 30.5592213)
5703974096,30.5590073,103.9887173,3,POINT (103.9887173 30.5590073)
5703974119,30.5600753,103.9911207,3,POINT (103.9911207 30.5600753)
5703974120,30.5601535,103.990664,3,POINT (103.990664 30.5601535)
5703989224,30.5600396,103.9906649,3,POINT (103.9906649 30.5600396)
5704032070,30.5561777,103.9912917,4,POINT (103.9912917 30.5561777)
5704032072,30.5565748,103.9909618,3,POINT (103.9909618 30.5565748)
5704044556,30.5558257,103.9901098,3,POINT (103.9901098 30.5558257)
5704044557,30.5558407,103.990171,3,POINT (103.990171 30.5558407)
5704044576,30.5561641,103.9900056,3,POINT (103.9900056 30.5561641)
5704044577,30.5559446,103.988893,3,POINT (103.988893 30.5559446)
5704428057,30.5624366,103.9999104,3,POINT (103.9999104 30.5624366)
5704428058,30.5623149,103.9978096,3,POINT (103.9978096 30.5623149)
5704428059,30.5615355,103.9985342,3,POINT (103.9985342 30.5615355)
5704436572,30.564714,103.9954204,1,POINT (103.9954204 30.564714)
5735383244,30.5574863,103.9934189,3,POINT (103.9934189 30.5574863)
5735383245,30.5584161,103.9977439,3,POINT (103.9977439 30.5584161)
5735383246,30.5573429,103.9935188,3,POINT (103.9935188 30.5573429)
5735383247,30.5582729,103.9977815,3,POINT (103.9977815 30.5582729)
5735383248,30.5580169,103.9978438,1,POINT (103.9978438 30.5580169)
5735414146,30.5597582,103.9989557,3,POINT (103.9989557 30.5597582)
5735414147,30.5600102,103.9986456,3,POINT (103.9986456 30.5600102)
5735414148,30.5598219,103.9983569,3,POINT (103.9983569 30.5598219)
5735414149,30.5604011,103.9982978,3,POINT (103.9982978 30.5604011)
5735414150,30.5602366,103.998014,3,POINT (103.998014 30.5602366)
5735414151,30.5617957,104.0003802,4,POINT (104.0003802 30.5617957)
5735530154,30.5548228,103.9945222,3,POINT (103.9945222 30.5548228)
5735530155,30.555338,103.9969527,3,POINT (103.9969527 30.555338)
5735530164,30.5559371,103.9965021,3,POINT (103.9965021 30.5559371)
5735530187,30.557428,103.993909,3,POINT (103.993909 30.557428)
5735530193,30.5575749,103.9988999,3,POINT (103.9988999 30.5575749)
5735552834,30.5579468,104.0007901,3,POINT (104.0007901 30.5579468)
5735552838,30.5561766,104.0004314,3,POINT (104.0004314 30.5561766)
5735552839,30.5570009,103.9998967,3,POINT (103.9998967 30.5570009)
5735552852,30.5563962,104.0003722,3,POINT (104.0003722 30.5563962)
5735552853,30.5567883,104.0018746,3,POINT (104.0018746 30.5567883)
5735557008,30.5604711,104.0045228,3,POINT (104.0045228 30.5604711)
5735557009,30.5616496,103.9891816,3,POINT (103.9891816 30.5616496)
5735558325,30.5559648,103.9941805,3,POINT (103.9941805 30.5559648)
5735558326,30.5572111,103.9924298,3,POINT (103.9924298 30.5572111)
5735559621,30.5614343,103.9879623,1,POINT (103.9879623 30.5614343)
5735559624,30.5613136,103.9889316,1,POINT (103.9889316 30.5613136)
5735565829,30.5586502,103.9925379,3,POINT (103.9925379 30.5586502)
7783790099,30.5630861,103.991477,1,POINT (103.991477 30.5630861)
8012043925,30.5565729,103.988744,3,POINT (103.988744 30.5565729)
8012043939,30.5564913,103.9883034,3,POINT (103.9883034 30.5564913)
8012043945,30.5557624,103.9907679,1,POINT (103.9907679 30.5557624)
8012043953,30.556934,103.9937607,3,POINT (103.9937607 30.556934)
8012043959,30.5577007,103.9922749,3,POINT (103.9922749 30.5577007)
8592593985,30.5575867,103.9938858,3,POINT (103.9938858 30.5575867)
8592593986,30.5574428,103.9939767,3,POINT (103.9939767 30.5574428)
8592593987,30.5577811,103.9947903,3,POINT (103.9947903 30.5577811)
