element_type,osmid,addr:city,addr:street,building,name,toilets:wheelchair,wheelchair,wheelchair:description,geometry,amenity,addr:country,addr:district,addr:housenumber,addr:postcode,nodes,building:levels,smoking,addr:full,alt_name,religion,historic,tourism,wikidata,wikipedia:en,source,toilets,name:en,name:zh,operator
node,5162279621,臺北市,臨溪路100巷,dormitory,松勁樓,yes,no,0,POINT (121.5475818 25.0932293),,,,,,,,,,,,,,,,,,,,
node,5963274636,,,university,,,,,POINT (121.5457326 25.0943733),,,,,,,,,,,,,,,,,,,,
node,5965805353,,,university,中正圖書館,limited,yes,,POINT (121.546454 25.0934594),,,,,,,,,,,,,,,,,,,,
way,172956182,臺北市,臨溪路,university,寵惠堂,,,,"POLYGON ((121.5459325 25.0942235, 121.5459607 25.0943096, 121.545982 25.0943039, 121.5460041 25.0943712, 121.5459772 25.0943784, 121.5459793 25.0943849, 121.5458465 25.0944205, 121.5458483 25.0944261, 121.5458115 25.0944359, 121.5458158 25.0944488, 121.545694 25.0944815, 121.5456896 25.094468, 121.5456606 25.0944758, 121.5456591 25.0944713, 121.545515 25.0945099, 121.5454625 25.0943496, 121.5459325 25.0942235))",,TW,士林區,70,111,"[3372151958, 4206641654, 4206641657, 4206641656, 4206641655, 3372151960, 4206641658, 4206641659, 4206641660, 4206641661, 4206641665, 4206641664, 4206641663, 4206641662, 3372151961, 3372151959, 3372151958]",3,,,,,,,,,,,,,
way,225008900,臺北市,臨溪路,dormitory,松勁樓,,,,"POLYGON ((121.5479728 25.0932882, 121.547696 25.0932772, 121.5476991 25.0932532, 121.5476105 25.0932438, 121.5476075 25.0932667, 121.5473548 25.0931706, 121.5473338 25.0934165, 121.5473755 25.0933567, 121.5473744 25.0933647, 121.5478918 25.0934197, 121.547928 25.0934133, 121.5479643 25.093363, 121.5479646 25.0933205, 121.5479728 25.0932882))",,TW,士林區,70,111,"[4071528062, 4206625230, 4206625231, 4206625232, 4206625233, 4071528063, 4071528061, 4206625224, 4206625225, 2338392218, 4206625227, 4206625228, 4206625229, 4071528062]",4,no,,,,,,,,,,,,
way,225008902,臺北市,臨溪路,university,第一教學研究大樓,,,,"POLYGON ((121.5459756 25.093048, 121.5460115 25.0931096, 121.5459891 25.0931197, 121.5460286 25.0931913, 121.5460515 25.093181, 121.5460944 25.0932548, 121.5461135 25.0932473, 121.5461105 25.093242, 121.5461597 25.0932207, 121.5461852 25.0932097, 121.5461885 25.0932143, 121.5462018 25.093208, 121.5461981 25.0932012, 121.5462692 25.0931689, 121.5462739 25.093179, 121.5463952 25.0931251, 121.5463908 25.0931163, 121.5464583 25.0930879, 121.5464597 25.0930918, 121.5464774 25.0930843, 121.5464748 25.0930807, 121.5465483 25.0930488, 121.5465493 25.0930519, 121.5465659 25.0930446, 121.5465294 25.0929702, 121.5465515 25.0929629, 121.5465148 25.0928875, 121.5464915 25.0928959, 121.5464616 25.0928382, 121.5463493 25.092885, 121.5463528 25.0928946, 121.5462877 25.0929231, 121.5462847 25.0929165, 121.5461615 25.0929703, 121.5461638 25.0929781, 121.5461015 25.0930069, 121.5460938 25.0929989, 121.5459756 25.093048))",,TW,士林區,70,111,"[2338392214, 4071579308, 4071579310, 4071579309, 4071579307, 2338392216, 4206641680, 4206642689, 7700263008, 4206641688, 4206641681, 4206641677, 4206641687, 4206641686, 4206641674, 4206641675, 4206641682, 4206641683, 4206641676, 4206641678, 4206641684, 4206641685, 4206641679, 2338392213, 4071579303, 4071579304, 4071579306, 4071579305, 2338392212, 4206641668, 4206641673, 4206641672, 4206641667, 4206641669, 4206641671, 4206641670, 4206641666, 2338392214]",11,,,,,,,,,,,,,
way,404899201,臺北市,臨溪路,university,綜合大樓,,,,"POLYGON ((121.5461804 25.0943234, 121.5461008 25.0940344, 121.5460733 25.0940398, 121.5460281 25.0938671, 121.5462436 25.0938086, 121.5462377 25.093791, 121.5462998 25.0937736, 121.5463076 25.0937839, 121.5465141 25.0937254, 121.546513 25.0937141, 121.5465509 25.0937025, 121.5465708 25.0937604, 121.5465807 25.0937588, 121.54659 25.0937797, 121.5467223 25.0937396, 121.5467547 25.0938361, 121.5468203 25.0938176, 121.5468303 25.0938456, 121.5468512 25.0938412, 121.54689 25.0938614, 121.5469191 25.0938836, 121.5469394 25.0939033, 121.5469566 25.0939304, 121.546971 25.0939657, 121.5469756 25.0939875, 121.5469757 25.0940256, 121.5469704 25.0940525, 121.5469611 25.0940805, 121.5469494 25.0940986, 121.5469453 25.0941116, 121.5469261 25.0941166, 121.5469322 25.094144, 121.5468545 25.0941666, 121.5466446 25.0942251, 121.546628 25.0941766, 121.5464959 25.0942132, 121.5465009 25.0942349, 121.5461804 25.0943234))",,TW,士林區,70,111,"[4071514016, 5956437207, 5956437208, 4071514021, 4071514022, 4071514023, 4071514024, 4071514025, 4071514026, 4071514027, 4071514028, 4071514029, 4206641642, 4206641643, 4071514030, 4071514031, 4071514032, 4206641644, 4206641645, 4206641646, 4206641647, 4071514033, 4071514034, 4206641648, 4071514035, 4206641649, 4071514036, 4206641650, 4206641651, 4206641652, 4071514037, 4071514038, 4071514039, 4071514040, 4071514041, 4071514042, 4071514043, 4071514016]",8,,,,,,,,,,,,,
way,404905849,台北市,臨溪路,university,第二教研大樓,yes,yes,,"POLYGON ((121.5466618 25.0943545, 121.5467911 25.0943235, 121.5469127 25.0942837, 121.5469372 25.0943557, 121.5469677 25.0943462, 121.5469886 25.0942963, 121.5470804 25.0943275, 121.5470185 25.0944968, 121.5470369 25.0944917, 121.5470346 25.0944864, 121.5470935 25.0944687, 121.5470953 25.0944731, 121.5471102 25.0944689, 121.5471092 25.0944652, 121.5471218 25.0944617, 121.5471237 25.0944658, 121.547139 25.0944614, 121.5471371 25.0944564, 121.5471955 25.0944397, 121.5471972 25.0944448, 121.5472149 25.0944401, 121.5472136 25.0944355, 121.5472262 25.0944317, 121.5472281 25.0944359, 121.547244 25.0944315, 121.5472427 25.0944268, 121.5473007 25.0944097, 121.5473025 25.0944147, 121.5473231 25.0944078, 121.5473424 25.0943562, 121.5474608 25.0943913, 121.5474599 25.0943956, 121.5474769 25.0944002, 121.5474785 25.0943945, 121.5475369 25.0944124, 121.5475357 25.0944174, 121.5475538 25.0944217, 121.5475548 25.0944176, 121.5475677 25.094422, 121.5475653 25.094427, 121.5475827 25.0944313, 121.5475843 25.0944266, 121.5476422 25.0944439, 121.5476406 25.094448, 121.5476553 25.0944528, 121.5476571 25.0944484, 121.54767 25.094452, 121.5476432 25.0945232, 121.5476555 25.0945557, 121.5476316 25.0945624, 121.547628 25.0945712, 121.5474507 25.0944832, 121.5474759 25.0945706, 121.5474284 25.0945842, 121.5474253 25.0945754, 121.5473929 25.0945847, 121.5473963 25.094594, 121.5473871 25.0945966, 121.5473865 25.094595, 121.5473673 25.0946004, 121.5473681 25.0946047, 121.5473115 25.0946203, 121.5473101 25.0946158, 121.5472927 25.0946206, 121.5472939 25.0946245, 121.5472799 25.0946283, 121.5472792 25.094625, 121.5472639 25.0946295, 121.5472649 25.0946339, 121.5472054 25.0946512, 121.5472042 25.0946469, 121.5471893 25.0946511, 121.5471905 25.0946549, 121.5471763 25.0946591, 121.547175 25.0946551, 121.547158 25.0946599, 121.5471592 25.0946654, 121.5471019 25.0946826, 121.5471006 25.0946785, 121.5470732 25.0946868, 121.5470703 25.0946785, 121.5470369 25.0946888, 121.5470397 25.0946974, 121.5470278 25.0947007, 121.5470337 25.0947163, 121.5469103 25.0947519, 121.5468755 25.0947698, 121.5468724 25.0947611, 121.5468136 25.0947811, 121.5467347 25.0945594, 121.5466618 25.0943545))",,TW,士林區,70,111,"[4071578885, 5151422022, 4071578886, 4206625243, 4206625244, 4206625245, 4206625246, 4206625247, 4071578887, 4206625248, 4206625249, 4206625250, 4206625251, 4206625252, 4206625253, 4206625254, 4206625255, 4206625256, 4206625257, 4206625258, 4206625259, 4206625260, 4206625261, 4206625262, 4206625263, 4206625264, 4206625265, 4206625266, 4071578888, 4071579289, 4206625267, 4206625268, 4206625269, 4206625270, 4206625271, 4206625272, 4206625273, 4206625274, 4206625275, 4206625276, 4206625277, 4206625278, 4206625279, 4206625280, 4206625281, 4206625282, 4071579290, 4206625283, 4206625284, 4206625285, 4071579291, 5174045821, 4071579293, 4206625320, 4206625319, 4206625318, 4206625317, 4206625316, 4206625315, 4206625314, 4206625313, 4206625312, 4206625311, 4206625310, 4206625309, 4206625308, 4206625307, 4206625306, 4206625305, 4206625304, 4206625303, 4206625302, 4206625301, 4206625300, 4206625299, 4206625298, 4206625297, 4206625296, 4206625295, 4206625294, 4206625293, 4206625292, 4206625291, 4206625290, 4206625289, 4206625288, 4206625287, 4206625286, 4071579294, 5174045822, 4071578885]",11,,台北士士林區臨溪路70號,東吳大學二研樓,,,,,,,,,,
way,404905850,臺北市,臨溪路,church,安素堂,no,no,,"POLYGON ((121.5472924 25.0942015, 121.5473461 25.0940624, 121.547378 25.0939874, 121.5473262 25.0939725, 121.5473765 25.0938451, 121.5475696 25.0939066, 121.5474353 25.0942619, 121.5473769 25.0942359, 121.5473106 25.0942238, 121.5473086 25.0942316, 121.5472847 25.0942237, 121.5472924 25.0942015))",place_of_worship,TW,士林區,70,111,"[4071579295, 4071579301, 4206625235, 4206625234, 4071579296, 4071579297, 4071579298, 5151425921, 4206625236, 4206625237, 4206625238, 4071579295]",,,,,christian,,,,,,,,,
way,404905851,臺北市,臨溪路,university,愛徒樓,,,,"POLYGON ((121.5472924 25.0942015, 121.5470538 25.0941271, 121.5471053 25.0939911, 121.54717 25.0940107, 121.547182 25.0939813, 121.5472271 25.0939942, 121.5472155 25.0940238, 121.5473461 25.0940624, 121.5472924 25.0942015))",,TW,士林區,70,111,"[4071579295, 4071579299, 4071579300, 4206625239, 4206625240, 4206625241, 4206625242, 4071579301, 4071579295]",3,,,,,,,,,,,,,
