u,v,key,osmid,highway,oneway,reversed,length,geometry,name,width
2338392227,5938919803,0,225008885,service,False,False,37.088,"LINESTRING (121.5474124 25.0935188, 121.5472962 25.0935129, 121.5470928 25.0933783)",,
2338392227,5224227244,0,225008885,service,False,True,147.269,"LINESTRING (121.5474124 25.0935188, 121.5473783 25.0936881, 121.5472138 25.0938542, 121.5471061 25.0938733, 121.5469672 25.0938426, 121.5467431 25.093682, 121.5465534 25.0936245, 121.5462844 25.0937164)",,
2338392231,4505933775,0,225008885,service,False,True,134.321,"LINESTRING (121.5449041 25.0938671, 121.5456906 25.0935678, 121.5461206 25.0933731)",,
2338392232,4505928269,0,453934325,steps,False,True,22.115,"LINESTRING (121.5454307 25.0941, 121.5452111 25.094098)",,
2338392232,4505940678,0,225008885,service,False,False,63.464,"LINESTRING (121.5454307 25.0941, 121.5458506 25.0938878, 121.5459848 25.0938284)",,
2338392232,2338392238,0,225008885,service,False,True,87.463,"LINESTRING (121.5454307 25.0941, 121.5453722 25.0942193, 121.5453692 25.0943598, 121.545542 25.0946899, 121.5456275 25.0948186)",,
2338392238,2338392232,0,225008885,service,False,False,87.46300000000001,"LINESTRING (121.5456275 25.0948186, 121.545542 25.0946899, 121.5453692 25.0943598, 121.5453722 25.0942193, 121.5454307 25.0941)",,
2338392238,5315951517,0,225008899,residential,False,False,233.093,"LINESTRING (121.5456275 25.0948186, 121.5460304 25.094588, 121.5464545 25.0943759, 121.5469318 25.0942049, 121.547728 25.0944083, 121.5477406 25.0944115)",臨溪路,
2338392238,2517659169,0,225008899,residential,False,True,276.519,"LINESTRING (121.5456275 25.0948186, 121.5451703 25.0950748, 121.544325 25.0955203, 121.5438819 25.0957779, 121.5434962 25.0960082, 121.5433171 25.0961553)",臨溪路,
2517659169,2338392238,0,225008899,residential,False,False,276.519,"LINESTRING (121.5433171 25.0961553, 121.5434962 25.0960082, 121.5438819 25.0957779, 121.544325 25.0955203, 121.5451703 25.0950748, 121.5456275 25.0948186)",臨溪路,
2517659169,7315892927,0,225008899,residential,False,True,123.866,"LINESTRING (121.5433171 25.0961553, 121.5427029 25.0967545, 121.5424969 25.0969848)",臨溪路,
4206625195,5224227252,0,768997607,footway,False,False,37.72,"LINESTRING (121.5466313 25.0928056, 121.5466889 25.0928506, 121.5466581 25.0928931, 121.5466885 25.0930044, 121.5466956 25.0930303, 121.5467104 25.0930655, 121.5467106 25.093106)",,
4206625220,5315951517,0,225008899,residential,False,True,30.603,"LINESTRING (121.5480335 25.0944849, 121.5477406 25.0944115)",臨溪路,
4505928269,2338392232,0,453934325,steps,False,False,22.115,"LINESTRING (121.5452111 25.094098, 121.5454307 25.0941)",,
4505933775,5224227252,0,225008885,service,False,True,66.423,"LINESTRING (121.5461206 25.0933731, 121.5467106 25.093106)",,
4505933775,5224227244,0,453935143,steps,False,True,41.585,"LINESTRING (121.5461206 25.0933731, 121.5462844 25.0937164)",,0
4505933775,2338392231,0,225008885,service,False,False,134.321,"LINESTRING (121.5461206 25.0933731, 121.5456906 25.0935678, 121.5449041 25.0938671)",,
4505940678,4505940682,0,453936346,steps,False,False,24.537,"LINESTRING (121.5459848 25.0938284, 121.5460468 25.0940418)",,
4505940678,5224227244,0,225008885,service,False,False,32.644,"LINESTRING (121.5459848 25.0938284, 121.5462061 25.0937432, 121.5462844 25.0937164)",,
4505940678,2338392232,0,225008885,service,False,True,63.464,"LINESTRING (121.5459848 25.0938284, 121.5458506 25.0938878, 121.5454307 25.0941)",,
4505940682,4505940678,0,453936346,steps,False,True,24.537,"LINESTRING (121.5460468 25.0940418, 121.5459848 25.0938284)",,
5224227244,4505933775,0,453935143,steps,False,False,41.585,"LINESTRING (121.5462844 25.0937164, 121.5461206 25.0933731)",,0
5224227244,2338392227,0,225008885,service,False,False,147.26899999999998,"LINESTRING (121.5462844 25.0937164, 121.5465534 25.0936245, 121.5467431 25.093682, 121.5469672 25.0938426, 121.5471061 25.0938733, 121.5472138 25.0938542, 121.5473783 25.0936881, 121.5474124 25.0935188)",,
5224227244,4505940678,0,225008885,service,False,True,32.644,"LINESTRING (121.5462844 25.0937164, 121.5462061 25.0937432, 121.5459848 25.0938284)",,
5224227252,4505933775,0,225008885,service,False,False,66.423,"LINESTRING (121.5467106 25.093106, 121.5461206 25.0933731)",,
5224227252,5938919803,0,225008885,service,False,True,48.97,"LINESTRING (121.5467106 25.093106, 121.5470928 25.0933783)",,
5224227252,4206625195,0,768997607,footway,False,True,37.72,"LINESTRING (121.5467106 25.093106, 121.5467104 25.0930655, 121.5466956 25.0930303, 121.5466885 25.0930044, 121.5466581 25.0928931, 121.5466889 25.0928506, 121.5466313 25.0928056)",,
5315951517,4206625220,0,225008899,residential,False,False,30.603,"LINESTRING (121.5477406 25.0944115, 121.5480335 25.0944849)",臨溪路,
5315951517,2338392238,0,225008899,residential,False,True,233.09300000000002,"LINESTRING (121.5477406 25.0944115, 121.547728 25.0944083, 121.5469318 25.0942049, 121.5464545 25.0943759, 121.5460304 25.094588, 121.5456275 25.0948186)",臨溪路,
5938919801,5938919803,0,629027483,steps,False,True,22.402,"LINESTRING (121.5472372 25.0932252, 121.5471661 25.0933053, 121.5471395 25.0933303, 121.5470928 25.0933783)",樓梯,
5938919803,5224227252,0,225008885,service,False,False,48.97,"LINESTRING (121.5470928 25.0933783, 121.5467106 25.093106)",,
5938919803,2338392227,0,225008885,service,False,True,37.088,"LINESTRING (121.5470928 25.0933783, 121.5472962 25.0935129, 121.5474124 25.0935188)",,
5938919803,5938919801,0,629027483,steps,False,False,22.402,"LINESTRING (121.5470928 25.0933783, 121.5471395 25.0933303, 121.5471661 25.0933053, 121.5472372 25.0932252)",樓梯,
7315892927,2517659169,0,225008899,residential,False,False,123.866,"LINESTRING (121.5424969 25.0969848, 121.5427029 25.0967545, 121.5433171 25.0961553)",臨溪路,
