osmid,y,x,street_count,highway,geometry
2338392227,25.0935188,121.5474124,3,,POINT (121.5474124 25.0935188)
2338392231,25.0938671,121.5449041,1,,POINT (121.5449041 25.0938671)
2338392232,25.0941,121.5454307,3,,POINT (121.5454307 25.0941)
2338392238,25.0948186,121.5456275,3,,POINT (121.5456275 25.0948186)
2517659169,25.0961553,121.5433171,3,,POINT (121.5433171 25.0961553)
4206625195,25.0928056,121.5466313,3,,POINT (121.5466313 25.0928056)
4206625220,25.0944849,121.5480335,3,,POINT (121.5480335 25.0944849)
4505928269,25.094098,121.5452111,1,,POINT (121.5452111 25.094098)
4505933775,25.0933731,121.5461206,3,,POINT (121.5461206 25.0933731)
4505940678,25.0938284,121.5459848,3,,POINT (121.5459848 25.0938284)
4505940682,25.0940418,121.5460468,1,,POINT (121.5460468 25.0940418)
5224227244,25.0937164,121.5462844,3,,POINT (121.5462844 25.0937164)
5224227252,25.093106,121.5467106,3,,POINT (121.5467106 25.093106)
5315951517,25.0944115,121.5477406,3,,POINT (121.5477406 25.0944115)
5938919801,25.0932252,121.5472372,1,,POINT (121.5472372 25.0932252)
5938919803,25.0933783,121.5470928,3,,POINT (121.5470928 25.0933783)
7315892927,25.0969848,121.5424969,4,crossing,POINT (121.5424969 25.0969848)
