element_type,osmid,geometry,nodes,building,building:use,description,name,name:zh,building:levels,name:en,amenity,fast_food,cuisine,shop,office,leisure,sport,ways,type
way,258363502,"POLYGON ((113.3440927 23.1548236, 113.3441005 23.1549248, 113.3441426 23.1550186, 113.3442148 23.1550954, 113.3443096 23.1551473, 113.3444174 23.1551691, 113.3445271 23.1551586, 113.3446277 23.1551167, 113.3447087 23.1550479, 113.344762 23.154959, 113.3447821 23.1548592, 113.3447647 23.1547524, 113.3447095 23.1546572, 113.3446227 23.1545845, 113.3445145 23.1545427, 113.3443972 23.1545366, 113.3442846 23.154567, 113.3441895 23.1546303, 113.344123 23.1547193, 113.3440927 23.1548236))","[2637295432, 2637295440, 2637295438, 2637295439, 2637295433, 2637295442, 2637295441, 2637295443, 2637301038, 2637301055, 2637295434, 2637295445, 2637295444, 2637295446, 2637295435, 2637295447, 2637295436, 2637295437, 2637295448, 2637295432]",yes,education,华南理工大学文体活动中心,华南理工大学海丽文体中心,华南理工大学海丽文体中心,,,,,,,,,,,
way,258363503,"POLYGON ((113.3415808 23.1554219, 113.3417134 23.1554252, 113.3417205 23.1553823, 113.3418746 23.1553988, 113.3418782 23.1554911, 113.3419069 23.1554911, 113.341909 23.1554779, 113.3425559 23.1555126, 113.3425586 23.1555275, 113.3425978 23.15553, 113.3426059 23.1554655, 113.3425883 23.1554655, 113.3425897 23.1554406, 113.3427706 23.1554481, 113.3427679 23.1554915, 113.3429057 23.155499, 113.3429121 23.1554565, 113.3429232 23.1553823, 113.342826 23.1553798, 113.3428341 23.1552991, 113.3427571 23.1552966, 113.3427517 23.1553537, 113.3425383 23.155345, 113.3425356 23.1553736, 113.3419604 23.1553413, 113.3419644 23.1553103, 113.341751 23.1552966, 113.3417564 23.1552333, 113.3416822 23.1552295, 113.3416727 23.1553053, 113.3415687 23.1553016, 113.341566 23.1553326, 113.3415863 23.1553351, 113.3415808 23.1554219))","[2637295449, 2637295450, 2637295451, 2637295452, 2637295453, 2637295454, 2637295455, 2637295456, 2637295457, 2637295458, 2637295459, 2637295460, 2637295461, 2637295462, 2637295463, 2637295464, 3646549742, 2637295465, 2637295466, 2637295467, 2637295468, 2637295469, 2637295470, 2637295471, 2637295472, 2637295473, 2637295474, 2637295475, 2637295476, 2637295477, 2637295478, 2637295479, 2637295480, 2637295449]",college,,,1号楼,1号楼,6,"No 1 Bldg, Admin. Offices",,,,,,,,,
way,258364035,"POLYGON ((113.3402385 23.1566618, 113.3408261 23.1567078, 113.3408371 23.1565887, 113.3407261 23.15658, 113.3406837 23.1565767, 113.3403991 23.1565545, 113.3404295 23.1562258, 113.3407182 23.1562484, 113.3407639 23.156252, 113.3408431 23.1562582, 113.3408523 23.1561588, 113.3402986 23.1561155, 113.3402911 23.1561971, 113.3403429 23.1562011, 113.3403086 23.1565722, 113.3402472 23.1565674, 113.3402385 23.1566618))","[2637301015, 2637301017, 2637301019, 3699771272, 3699771269, 2637301022, 2637301024, 3699771270, 3699771271, 2637301026, 2637301027, 2637301028, 2637301030, 2637301032, 2637301034, 2637301036, 2637301015]",college,education,华南理工大学建筑学院,27号楼（励吾建筑楼）,27号楼（励吾建筑楼）,7,"No 27 Bldg, School of Architecture",,,,,,,,,
way,258364036,"POLYGON ((113.3391628 23.1540166, 113.3391255 23.1538883, 113.3393516 23.1538326, 113.339368 23.1538891, 113.339537 23.1538475, 113.3395467 23.1538807, 113.3395819 23.1540017, 113.3394166 23.1540424, 113.3393947 23.1539669, 113.3393312 23.1539825, 113.3393143 23.1539246, 113.3392645 23.1539369, 113.3392793 23.153988, 113.3391628 23.1540166))","[2637301058, 2637301060, 2637301062, 2637301065, 2637301067, 3646557327, 2637301069, 2637301072, 2637301074, 2637301076, 2637301078, 2637301080, 2637301083, 2637301058]",dormitory,,,西21 宿舍,西21 宿舍,6,,,,,,,,,,
way,315240173,"POLYGON ((113.3396175 23.1553354, 113.3396353 23.1550516, 113.3397751 23.155059, 113.3397723 23.1551049, 113.3402288 23.1551292, 113.3402311 23.1550928, 113.3403672 23.1551, 113.3403494 23.1553818, 113.3401937 23.1553735, 113.3401985 23.1552977, 113.3400785 23.1552913, 113.3400721 23.1553925, 113.3398827 23.1553824, 113.3398888 23.1552851, 113.3397543 23.1552779, 113.3397502 23.1553425, 113.3396175 23.1553354))","[3213464602, 3213464603, 3646557298, 11054078549, 11054078545, 3646557299, 3213464605, 3213464604, 11054078540, 11054078543, 11054078562, 11054078558, 11054078571, 11054078566, 11054078544, 11054078529, 3213464602]",university,,,12号楼,12号楼,,,,,,,,,,,
way,315240414,"POLYGON ((113.3378792 23.1558407, 113.3374796 23.1555916, 113.3375628 23.1554831, 113.3379677 23.1557322, 113.3378792 23.1558407))","[3213467913, 3213467914, 3213467912, 3213467915, 3213467913]",yes,,,西一留学生宿舍,西一留学生宿舍,,,,,,,,,,,
way,315240591,"POLYGON ((113.3366642 23.1552267, 113.3367945 23.1550527, 113.3360768 23.1545905, 113.3359454 23.1547829, 113.3366642 23.1552267))","[3213470132, 3213470133, 3213470134, 3213470131, 3213470132]",yes,,,西区饭堂（学生第六饭堂）,西区饭堂（学生第六饭堂）,,,restaurant,cafeteria,,,,,,,
way,315241220,"POLYGON ((113.3416502 23.1588278, 113.3418055 23.158837, 113.3417952 23.1589839, 113.3421413 23.1590043, 113.3421506 23.1588716, 113.3421508 23.158868, 113.3422922 23.1588763, 113.342266 23.1592515, 113.3416233 23.1592136, 113.3416502 23.1588278))","[3213485620, 3213485617, 3213485619, 3213485618, 3646568819, 3213485622, 3213485621, 3213485623, 3213485616, 3213485620]",university,,,励吾科技大楼,励吾科技大楼,,"Bldg of Lee-woo, Admin. Offices",,,,,,,,,
way,315242231,"POLYGON ((113.3425853 23.1581571, 113.3425954 23.1580435, 113.3427039 23.1580517, 113.3427086 23.1579998, 113.3430433 23.1580251, 113.3430368 23.1580976, 113.3431407 23.1581054, 113.3431323 23.1581983, 113.342885 23.1581737, 113.3425853 23.1581571))","[3213487251, 3213487250, 3213487253, 3213487248, 3213487255, 3213487254, 3213487252, 3213487249, 6194037595, 3213487251]",university,,,建筑研究院,建筑研究院,,,,,,,,,,,
way,315242639,"POLYGON ((113.3432266 23.158874, 113.3432366 23.1587468, 113.343404 23.158758, 113.3434212 23.1585391, 113.3434333 23.1583859, 113.3432469 23.1583735, 113.3432564 23.1582527, 113.3436154 23.1582766, 113.3435665 23.1588966, 113.3432266 23.158874))","[3213489843, 3213489846, 3213489849, 6194037592, 3213489847, 3213489844, 3213489848, 3213489842, 3213489845, 3213489843]",university,,,6号楼（建筑红楼）,6号楼（建筑红楼）,,,,,,,,,,,
way,315242653,"POLYGON ((113.3424246 23.1589743, 113.3424388 23.1587847, 113.3431897 23.1588322, 113.3431755 23.1590217, 113.3424246 23.1589743))","[3213487257, 3213487259, 3213487260, 3213487258, 3213487257]",university,,,7号楼,7号楼,,,,,,,,,,,
way,331708003,"POLYGON ((113.3397673 23.153921, 113.3399711 23.1539457, 113.3404003 23.1539851, 113.3406202 23.1539555, 113.3406256 23.1538322, 113.3403005 23.1538017, 113.3400477 23.1537781, 113.3397834 23.1537533, 113.3397673 23.153921))","[3388040974, 3388040975, 3388040976, 3388040977, 3388040978, 3646557346, 3646557347, 3388040979, 3388040974]",school,,,18号楼（物理楼）,18号楼（物理楼）,,,,,,,,,,,
way,331708005,"POLYGON ((113.3394555 23.1576216, 113.3394856 23.1575439, 113.3395359 23.1574144, 113.3397625 23.1574164, 113.3397876 23.1571425, 113.3397501 23.1571411, 113.3394219 23.1571187, 113.3394326 23.1569313, 113.3397807 23.1569532, 113.339773 23.1570651, 113.3399109 23.1570741, 113.3399167 23.1570324, 113.3399948 23.1570382, 113.3399827 23.1572064, 113.3399715 23.1573208, 113.3399521 23.15756, 113.3398304 23.157557, 113.3398279 23.1576021, 113.3397506 23.1576012, 113.3396555 23.1575959, 113.3396537 23.1576383, 113.3394555 23.1576216))","[3388040980, 3646582833, 3388040981, 3388040982, 3388040983, 3646582832, 3388040984, 3388040985, 11054078555, 11054078527, 11054078556, 11054078532, 3388040986, 3646582837, 3646582836, 3388040987, 11054078548, 11054078547, 11054078542, 11054078568, 11054078528, 3388040980]",university,,,逸夫人文馆,逸夫人文馆,,Shaw Building of Humanities,,,,,,,,,
way,331709494,"POLYGON ((113.3347328 23.1676728, 113.3349796 23.1675643, 113.3351351 23.1674016, 113.3354141 23.167303, 113.3356662 23.1672438, 113.3358003 23.1674065, 113.3354248 23.1674706, 113.3351673 23.1676827, 113.3348776 23.1678504, 113.3347328 23.1676728))","[3388063509, 3388063510, 3388063511, 3388063512, 3388063513, 3388063514, 3388063515, 3388063516, 3388063517, 3388063509]",university,,,网络学院大楼,网络学院大楼,,Bldg of Remote Education,,,,,,,,,
way,334895535,"POLYGON ((113.3377364 23.1588555, 113.3377512 23.1586823, 113.337864 23.1586905, 113.3378712 23.1586062, 113.3379863 23.1586145, 113.3379931 23.1585348, 113.3384783 23.1585699, 113.3384928 23.1584001, 113.3386057 23.1584083, 113.3385777 23.158736, 113.3386139 23.1587386, 113.3385987 23.1589177, 113.3377364 23.1588555))","[3420177614, 3420177615, 11078149389, 11078149388, 11078149390, 3420177616, 3420177617, 3420177618, 3420177619, 3646582654, 11078149387, 3420177620, 3420177614]",university,,,31号楼（慎思楼）,31号楼（慎思楼）,,No 31 Bldg of Prudence,,,,,,,,,
way,334895536,"POLYGON ((113.3387909 23.1589102, 113.3400441 23.1589676, 113.3400798 23.1583887, 113.3400825 23.1583451, 113.3388197 23.1582789, 113.3388112 23.1584642, 113.3387909 23.1589102))","[3420177621, 3420177622, 3646582651, 3420177623, 3420177624, 3646582652, 3420177621]",university,,,30号楼（宏生科技楼）,30号楼（宏生科技楼）,,No 30 Bldg of Hom-Shem,,,,,,,,,
way,334895538,"POLYGON ((113.3393431 23.1582392, 113.3400873 23.1582701, 113.3400873 23.1580405, 113.3393863 23.157992, 113.3393431 23.1582392))","[3420177631, 3420177632, 3420177633, 3420177634, 3420177631]",university,,,10号楼,10号楼,,"No 10 Bldg, School of Auto Engineering",,,,,,,,,
way,334895539,"POLYGON ((113.338983 23.1582215, 113.3390022 23.1580494, 113.3392758 23.1580847, 113.3392854 23.1582215, 113.338983 23.1582215))","[3420177635, 3420177636, 3420177637, 3420177638, 3420177635]",university,,,19号楼,19号楼,,,,,,,,,,,
way,334895540,"POLYGON ((113.3370694 23.1573169, 113.3371297 23.1571611, 113.3373361 23.1572632, 113.3376087 23.1568797, 113.3377276 23.1569222, 113.3375979 23.157165, 113.3374011 23.1574475, 113.3370694 23.1573169))","[3420177639, 3420177640, 11052140954, 3420177641, 3420177642, 3420177643, 3420177644, 3420177639]",hotel,,,西湖苑宾馆,西湖苑宾馆,,West Lake Hotel,,,,,,,,,
