osmid,y,x,street_count,highway,geometry
1988660573,23.1515308,113.3465751,3,,POINT (113.3465751 23.1515308)
1988787237,23.1507753,113.3365917,3,,POINT (113.3365917 23.1507753)
1988787243,23.151001,113.3391869,3,,POINT (113.3391869 23.151001)
1988787276,23.154167,113.3411999,3,,POINT (113.3411999 23.154167)
1988787279,23.1543138,113.3361894,4,,POINT (113.3361894 23.1543138)
1988787285,23.1545004,113.3360588,3,,POINT (113.3360588 23.1545004)
1988787296,23.1547253,113.3355278,3,,POINT (113.3355278 23.1547253)
1988787310,23.1559403,113.3378831,4,,POINT (113.3378831 23.1559403)
1988787330,23.1564269,113.3374381,3,,POINT (113.3374381 23.1564269)
1988787337,23.1570074,113.3410087,3,,POINT (113.3410087 23.1570074)
1988787369,23.1579721,113.3437808,3,,POINT (113.3437808 23.1579721)
2153604663,23.1528754,113.3437895,1,bus_stop,POINT (113.3437895 23.1528754)
2805230020,23.1569614,113.3403188,3,,POINT (113.3403188 23.1569614)
2805230021,23.1571656,113.3438393,3,,POINT (113.3438393 23.1571656)
2805230022,23.1576963,113.3402718,4,,POINT (113.3402718 23.1576963)
2805230023,23.1590397,113.3401376,3,,POINT (113.3401376 23.1590397)
2805236228,23.1585873,113.3363811,3,,POINT (113.3363811 23.1585873)
3388063519,23.1525944,113.3426436,5,,POINT (113.3426436 23.1525944)
3388063520,23.1526621,113.3424119,5,,POINT (113.3424119 23.1526621)
3388063521,23.1525047,113.3420988,4,,POINT (113.3420988 23.1525047)
3388063524,23.1515677,113.3425775,5,crossing,POINT (113.3425775 23.1515677)
3388063525,23.1517703,113.3427977,4,,POINT (113.3427977 23.1517703)
3388063527,23.1525154,113.3427474,5,crossing,POINT (113.3427474 23.1525154)
3388063528,23.152254,113.3427704,5,,POINT (113.3427704 23.152254)
3388065436,23.1495151,113.3410163,3,,POINT (113.3410163 23.1495151)
3388065439,23.1513771,113.3422752,3,,POINT (113.3422752 23.1513771)
3388093182,23.1543065,113.3433865,3,,POINT (113.3433865 23.1543065)
3388094192,23.154211,113.3422858,3,,POINT (113.3422858 23.154211)
3388097695,23.1542492,113.345131,4,,POINT (113.345131 23.1542492)
3388097697,23.1539598,113.3452157,3,,POINT (113.3452157 23.1539598)
3540771083,23.1509829,113.33795,3,,POINT (113.33795 23.1509829)
