element_type,osmid,building,historic,name,name:zh-Hans,geometry,nodes,addr:housenumber,addr:place,alt_name,name:zh,name:en,addr:city,addr:district,addr:postcode,addr:province,building:levels,wheelchair,amenity,layer,level,opening_hours,operator,ref,start_date,subway,wikidata,wikimedia_commons,wikipedia,smoking,name:alt,old_name,alt_name:en,alt_name:zh,height,tourism,office,leisure,construction,ways,type
node,8148205724,yes,building,國立中山大學傳達室,国立中山大学传达室,POINT (113.3411245 23.1605431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,205381523,university,,公共基础课实验教学中心,,"POLYGON ((113.3591254 23.1555084, 113.3591283 23.1550604, 113.3608563 23.1550699, 113.3608534 23.1555178, 113.3591254 23.1555084))","[2153527660, 2153527663, 2153527661, 2153527668, 2153527660]",112,华南农业大学,东区实验楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,205381524,dormitory,,,,"POLYGON ((113.3610987 23.1552179, 113.3610987 23.1550225, 113.3615445 23.1550225, 113.3615445 23.1552179, 113.3610987 23.1552179))","[2153527673, 2153527664, 2153527669, 2153527672, 2153527673]",3,华南农业大学泰山学生公寓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,205381525,dormitory,,,,"POLYGON ((113.3611107 23.1555314, 113.3611078 23.1553532, 113.3615416 23.1553472, 113.3615445 23.1555254, 113.3611107 23.1555314))","[2153527670, 2153527665, 2153527667, 2153527671, 2153527670]",4,华南农业大学泰山学生公寓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,205485826,university,,田家炳体育馆,,"POLYGON ((113.351841 23.158243, 113.3518442 23.157296, 113.3523255 23.1572974, 113.3523225 23.1582443, 113.351841 23.158243))","[2154491420, 2154491415, 2154491435, 2154491406, 2154491420]",,,,田家炳体育馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,205485830,university,,华南农业大学 第六教学大楼,,"POLYGON ((113.3504321 23.1567337, 113.3508179 23.1563819, 113.3509309 23.1565013, 113.3510177 23.156424, 113.3511416 23.1565889, 113.3512084 23.156729, 113.3512415 23.156844, 113.3512624 23.156971, 113.3511301 23.1569741, 113.3511314 23.157155, 113.3505161 23.1571469, 113.3505155 23.1570579, 113.3503383 23.157059, 113.3504679 23.1569226, 113.3504276 23.1568655, 113.3504178 23.1567996, 113.3504321 23.1567337))","[7972746890, 2154491401, 7972746891, 7972746892, 7972746893, 7972746894, 7972746908, 7972746895, 7972746896, 7972746897, 7972746903, 7972746902, 7972746901, 7972746899, 7972746898, 7972746900, 7972746890]",,,,,The 6th. Teaching Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,205486720,university,,,,"POLYGON ((113.3525699 23.1565088, 113.3525712 23.1558146, 113.3533386 23.1562324, 113.3532686 23.1563206, 113.3534184 23.1564211, 113.353307 23.1564168, 113.3533059 23.1565157, 113.3525699 23.1565088))","[2154496758, 2154496737, 2154496741, 7965414910, 7965414911, 7965414912, 2154496744, 2154496758]",88,华南农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,205486724,university,,,,"POLYGON ((113.3531537 23.1572159, 113.3530793 23.1569411, 113.3534235 23.1568622, 113.353498 23.157137, 113.3531537 23.1572159))","[2154496733, 2154496740, 2154496754, 2154496760, 2154496733]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,205489317,hall,,红满堂,,"POLYGON ((113.3462263 23.1590278, 113.3462627 23.1590622, 113.3463093 23.1590839, 113.346361 23.1590906, 113.3464123 23.1590815, 113.3464576 23.1590576, 113.346492 23.1590215, 113.3465118 23.158977, 113.3465148 23.1589291, 113.3465008 23.1588829, 113.3464712 23.1588432, 113.3464291 23.1588145, 113.3463792 23.1588, 113.3463269 23.1588012, 113.3462778 23.158818, 113.3462373 23.1588485, 113.3462098 23.1588894, 113.3461983 23.1589364, 113.346204 23.1589842, 113.3462263 23.1590278))","[8008259685, 2154517530, 2154517502, 2154517453, 2154517532, 2154517520, 2154517508, 2154517524, 2154517466, 2154517474, 2154517487, 2154517463, 2154517528, 2154517470, 2154517506, 2154517481, 2154517492, 2154517500, 2154517485, 8008259685]",28,华南农业大学,,红满堂,,广州市,天河区,510642,广东省,4,yes,,,,,,,,,,,,,,,,,,,,,,,
way,205491391,yes,,荷园饭堂,,"POLYGON ((113.3620132 23.1636452, 113.3619092 23.1634717, 113.3619929 23.1634684, 113.3619947 23.1632923, 113.362079 23.1632837, 113.3620763 23.1632129, 113.3620099 23.1631799, 113.3619799 23.1631134, 113.3620127 23.1630475, 113.3620669 23.163021, 113.3620836 23.1629574, 113.3624302 23.1629283, 113.3625942 23.1630148, 113.362682 23.1631295, 113.3626838 23.1633062, 113.3620132 23.1636452))","[4112882663, 2154546740, 2154546729, 2154546744, 4112882669, 9398303832, 9398303833, 9398303831, 9398303835, 9398303834, 2154546706, 2154546710, 2154546715, 2154546737, 2154546755, 4112882663]",,,,荷园饭堂,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,
