u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,service,tunnel,bridge,ref,junction,access
1988660598,2154564602,0,852603758,华农泰山二路,living_street,False,True,154.719,"LINESTRING (113.3643303 23.1556339, 113.3642644 23.1542438)",,,,,,,,
1988660598,5730062213,0,853584756,紫荆路,living_street,False,True,17.341,"LINESTRING (113.3643303 23.1556339, 113.3644857 23.1556964)",,,,,,,,
1988660598,5726340658,0,852603756,紫荆路,living_street,False,False,39.649,"LINESTRING (113.3643303 23.1556339, 113.3642397 23.1556339, 113.3642311 23.1556342, 113.3639425 23.1556336)",,,,,,,,
1988660599,7961613997,0,852603759,华农紫荆路,residential,True,False,33.524,"LINESTRING (113.3517582 23.1556279, 113.3520861 23.155628)",2,20,,,,,,
1988660599,7961592378,0,852603760,岳洲路,residential,True,False,8.265,"LINESTRING (113.3517582 23.1556279, 113.3517604 23.1557022)",,,,,,,,
1988660645,2154585688,0,857689745,,service,False,True,44.413,"LINESTRING (113.3530656 23.1604426, 113.3530483 23.1608417)",,,driveway,,,,,
1988660645,7965414905,0,"[871061290, 614119180]",岳洲路,residential,True,False,219.555,"LINESTRING (113.3530656 23.1604426, 113.3518982 23.1589099, 113.3517871 23.1588941)",,,,,,,,
1988660665,5726341194,0,871061295,,unclassified,False,True,129.411,"LINESTRING (113.3567155 23.1616129, 113.3573435 23.1606024)",,,,,,,,
1988660665,1988660681,0,871061296,,residential,False,True,113.836,"LINESTRING (113.3567155 23.1616129, 113.3563295 23.161655, 113.3559518 23.1617587, 113.3556611 23.1619035)",,,,,,,,
1988660681,1988660689,0,"[188244771, 871061291]",,residential,True,False,164.39999999999998,"LINESTRING (113.3556611 23.1619035, 113.3556664 23.16196, 113.3553409 23.1621091, 113.3550412 23.1622135, 113.3547449 23.1622532, 113.3544985 23.1622111, 113.3542289 23.1620663)",,,,,,,,
1988660681,1988660665,0,871061296,,residential,False,False,113.836,"LINESTRING (113.3556611 23.1619035, 113.3559518 23.1617587, 113.3563295 23.161655, 113.3567155 23.1616129)",,,,,,,,
1988660683,1988660689,0,1039497750,,residential,False,False,12.888,"LINESTRING (113.3543112 23.1619785, 113.3542289 23.1620663)",,,,,,,,
1988660683,8113908160,0,188244769,,residential,True,False,122.618,"LINESTRING (113.3543112 23.1619785, 113.3545631 23.1621049, 113.3547557 23.1621426, 113.3550275 23.1621128, 113.3553228 23.1620064, 113.355433 23.1619529)",,,,,,,,
1988660689,8113908158,0,871061288,,residential,True,False,7.186,"LINESTRING (113.3542289 23.1620663, 113.3541832 23.1620172)",,,,,,,,
1988660689,1988660683,0,1039497750,,residential,False,True,12.888,"LINESTRING (113.3542289 23.1620663, 113.3543112 23.1619785)",,,,,,,,
1988660689,1988660704,0,188244772,华农黄河东路,residential,False,False,50.629,"LINESTRING (113.3542289 23.1620663, 113.354166 23.1621208, 113.3539928 23.1622493, 113.3538372 23.1623434)",,,,,,,,
