osmid,y,x,street_count,highway,geometry
1988660598,23.1556339,113.3643303,3,,POINT (113.3643303 23.1556339)
1988660599,23.1556279,113.3517582,4,,POINT (113.3517582 23.1556279)
1988660645,23.1604426,113.3530656,3,,POINT (113.3530656 23.1604426)
1988660665,23.1616129,113.3567155,4,,POINT (113.3567155 23.1616129)
1988660681,23.1619035,113.3556611,3,,POINT (113.3556611 23.1619035)
1988660683,23.1619785,113.3543112,3,,POINT (113.3543112 23.1619785)
1988660689,23.1620663,113.3542289,4,,POINT (113.3542289 23.1620663)
1988660704,23.1623434,113.3538372,3,,POINT (113.3538372 23.1623434)
1988660744,23.1637262,113.3537757,3,,POINT (113.3537757 23.1637262)
1988660746,23.1638261,113.3536985,3,,POINT (113.3536985 23.1638261)
1988660755,23.1638657,113.3544383,3,,POINT (113.3544383 23.1638657)
1988660768,23.1647052,113.35545,3,,POINT (113.35545 23.1647052)
1988660769,23.1647057,113.3550466,3,,POINT (113.3550466 23.1647057)
1988660770,23.1647086,113.3526232,4,,POINT (113.3526232 23.1647086)
1988660773,23.1647202,113.3473839,3,,POINT (113.3473839 23.1647202)
1988660783,23.1652133,113.3526099,3,,POINT (113.3526099 23.1652133)
1988660792,23.1653012,113.3516361,4,,POINT (113.3516361 23.1653012)
1988660793,23.1652999,113.3508477,3,,POINT (113.3508477 23.1652999)
1988660795,23.1653121,113.3552195,1,,POINT (113.3552195 23.1653121)
1988660796,23.1653076,113.3524874,3,,POINT (113.3524874 23.1653076)
1988660804,23.1654119,113.3525923,3,,POINT (113.3525923 23.1654119)
1988660807,23.1656533,113.3525914,4,,POINT (113.3525914 23.1656533)
1988660808,23.1656555,113.3516342,3,,POINT (113.3516342 23.1656555)
1988660810,23.1656541,113.3508538,3,,POINT (113.3508538 23.1656541)
1988660822,23.1662914,113.352589,3,,POINT (113.352589 23.1662914)
1988676626,23.1621379,113.3487122,4,,POINT (113.3487122 23.1621379)
1988676631,23.1626612,113.3488187,4,,POINT (113.3488187 23.1626612)
1988676636,23.1632473,113.3503604,3,,POINT (113.3503604 23.1632473)
1988676669,23.1647185,113.3482607,3,,POINT (113.3482607 23.1647185)
1988676671,23.1647195,113.3480005,3,,POINT (113.3480005 23.1647195)
1988676676,23.1649044,113.3508408,3,,POINT (113.3508408 23.1649044)
1988787386,23.1592818,113.3506592,3,,POINT (113.3506592 23.1592818)
1988787395,23.1598857,113.350118,3,,POINT (113.350118 23.1598857)
1988787409,23.160338,113.3497475,4,,POINT (113.3497475 23.160338)
1988787415,23.1611013,113.3511108,3,,POINT (113.3511108 23.1611013)
1988787418,23.1614881,113.3526812,3,,POINT (113.3526812 23.1614881)
2154470537,23.1556288,113.3536592,3,,POINT (113.3536592 23.1556288)
2154491397,23.1572721,113.3490448,3,,POINT (113.3490448 23.1572721)
2154564574,23.1556322,113.3623368,3,,POINT (113.3623368 23.1556322)
2154564577,23.1557007,113.3590459,3,,POINT (113.3590459 23.1557007)
2154564578,23.1541096,113.3609976,3,,POINT (113.3609976 23.1541096)
2154564587,23.1542386,113.3632133,3,,POINT (113.3632133 23.1542386)
2154564591,23.1556331,113.3633283,3,,POINT (113.3633283 23.1556331)
2154564592,23.1556316,113.3616414,3,,POINT (113.3616414 23.1556316)
2154564593,23.1556378,113.3596133,3,,POINT (113.3596133 23.1556378)
2154564598,23.1542343,113.3623442,4,,POINT (113.3623442 23.1542343)
2154564600,23.1565783,113.3596182,3,,POINT (113.3596182 23.1565783)
2154564602,23.1542438,113.3642644,3,,POINT (113.3642644 23.1542438)
2154564607,23.1556326,113.3628295,3,,POINT (113.3628295 23.1556326)
2154564612,23.155631,113.3609827,4,,POINT (113.3609827 23.155631)
2154585592,23.1632857,113.3553078,3,,POINT (113.3553078 23.1632857)
2154585666,23.1606726,113.3533833,3,,POINT (113.3533833 23.1606726)
2154585688,23.1608417,113.3530483,3,,POINT (113.3530483 23.1608417)
3722929338,23.1654204,113.3441948,3,,POINT (113.3441948 23.1654204)
4880432768,23.1594357,113.3537377,1,,POINT (113.3537377 23.1594357)
5726340656,23.1565769,113.3602433,3,,POINT (113.3602433 23.1565769)
5726340657,23.1556347,113.3602431,3,,POINT (113.3602431 23.1556347)
5726340658,23.1556336,113.3639425,3,,POINT (113.3639425 23.1556336)
5726340660,23.1565632,113.3654792,3,,POINT (113.3654792 23.1565632)
5726340663,23.1568923,113.3659158,3,,POINT (113.3659158 23.1568923)
5726340668,23.1563413,113.3649808,3,,POINT (113.3649808 23.1563413)
5726340670,23.156176,113.3644846,3,,POINT (113.3644846 23.156176)
5726341189,23.1622663,113.350811,4,,POINT (113.350811 23.1622663)
5726341190,23.1640275,113.3500008,3,,POINT (113.3500008 23.1640275)
5726341193,23.1601136,113.3513573,4,,POINT (113.3513573 23.1601136)
5726341194,23.1606024,113.3573435,1,,POINT (113.3573435 23.1606024)
5730062209,23.1569502,113.3666032,3,,POINT (113.3666032 23.1569502)
5730062210,23.1562952,113.3659752,3,,POINT (113.3659752 23.1562952)
5730062211,23.1561011,113.3654924,3,,POINT (113.3654924 23.1561011)
5730062212,23.1558976,113.3649861,3,,POINT (113.3649861 23.1558976)
5730062213,23.1556964,113.3644857,3,,POINT (113.3644857 23.1556964)
5808416927,23.1590535,113.3472283,3,,POINT (113.3472283 23.1590535)
5808416929,23.1590729,113.3466059,3,,POINT (113.3466059 23.1590729)
5808417158,23.1593736,113.3454546,4,,POINT (113.3454546 23.1593736)
5808417160,23.1593254,113.3472334,5,crossing,POINT (113.3472334 23.1593254)
5808417161,23.1582529,113.3444492,3,,POINT (113.3444492 23.1582529)
5808417168,23.1593779,113.3450897,3,,POINT (113.3450897 23.1593779)
5808417170,23.1584189,113.3472167,3,,POINT (113.3472167 23.1584189)
5808417175,23.1583665,113.3465581,3,,POINT (113.3465581 23.1583665)
5808417176,23.1583511,113.3463324,3,,POINT (113.3463324 23.1583511)
5808417199,23.1602957,113.3449146,3,,POINT (113.3449146 23.1602957)
5808417206,23.1610993,113.3445558,3,,POINT (113.3445558 23.1610993)
5808417211,23.1612594,113.3445354,3,,POINT (113.3445354 23.1612594)
5808417305,23.1639586,113.3471712,3,,POINT (113.3471712 23.1639586)
5808417307,23.1611712,113.3471365,3,,POINT (113.3471365 23.1611712)
5808417309,23.1617944,113.3471862,3,,POINT (113.3471862 23.1617944)
5808417310,23.1618903,113.3471837,3,,POINT (113.3471837 23.1618903)
5808417316,23.1633334,113.3448555,3,,POINT (113.3448555 23.1633334)
5808417325,23.1631407,113.3461431,3,,POINT (113.3461431 23.1631407)
5808417331,23.1639735,113.3463815,3,,POINT (113.3463815 23.1639735)
5808417338,23.1644126,113.3451124,3,,POINT (113.3451124 23.1644126)
5808417342,23.1653159,113.3434319,3,,POINT (113.3434319 23.1653159)
5808417347,23.1652257,113.3426898,3,,POINT (113.3426898 23.1652257)
5808417354,23.1650043,113.3413034,3,,POINT (113.3413034 23.1650043)
5808417358,23.1649714,113.3434905,3,,POINT (113.3434905 23.1649714)
5808417365,23.1642975,113.3435169,3,,POINT (113.3435169 23.1642975)
5808417367,23.1644048,113.3440578,3,,POINT (113.3440578 23.1644048)
5808417379,23.164848,113.3427393,3,,POINT (113.3427393 23.164848)
5808417383,23.1629945,113.3440013,3,,POINT (113.3440013 23.1629945)
5808417386,23.1637757,113.343911,5,,POINT (113.343911 23.1637757)
5808417387,23.1617509,113.3471415,3,,POINT (113.3471415 23.1617509)
5808417397,23.1621564,113.3449121,3,,POINT (113.3449121 23.1621564)
5808417400,23.1622365,113.344755,3,,POINT (113.344755 23.1622365)
5808417408,23.1572225,113.3462028,3,,POINT (113.3462028 23.1572225)
5808417419,23.1577927,113.3449937,3,,POINT (113.3449937 23.1577927)
5808417440,23.160608,113.3435791,4,,POINT (113.3435791 23.160608)
5808417453,23.1609807,113.3420921,3,,POINT (113.3420921 23.1609807)
5808417456,23.16144,113.3425382,3,,POINT (113.3425382 23.16144)
5808417458,23.161522,113.3427662,3,,POINT (113.3427662 23.161522)
5808417463,23.1613479,113.3441271,3,,POINT (113.3441271 23.1613479)
5808417468,23.1623455,113.3440854,5,,POINT (113.3440854 23.1623455)
5808417495,23.1639527,113.3424362,3,,POINT (113.3424362 23.1639527)
5808417499,23.1647984,113.3414196,3,,POINT (113.3414196 23.1647984)
5808417511,23.1597276,113.3396247,3,,POINT (113.3396247 23.1597276)
5808417514,23.1604781,113.3396859,3,,POINT (113.3396859 23.1604781)
5808417524,23.1618246,113.3397841,3,,POINT (113.3397841 23.1618246)
5808417531,23.1621514,113.3425603,3,,POINT (113.3425603 23.1621514)
5808417545,23.1619321,113.3405482,3,,POINT (113.3405482 23.1619321)
5808417552,23.1621887,113.3427559,3,,POINT (113.3427559 23.1621887)
5808417568,23.1624142,113.3400764,3,,POINT (113.3400764 23.1624142)
5808417585,23.1625393,113.3426645,3,,POINT (113.3426645 23.1625393)
5808417603,23.1636095,113.3419499,3,,POINT (113.3419499 23.1636095)
5808417610,23.1635026,113.3413142,3,,POINT (113.3413142 23.1635026)
5808417611,23.1633844,113.3410029,3,,POINT (113.3410029 23.1633844)
5809450441,23.1605575,113.3423826,3,,POINT (113.3423826 23.1605575)
5809450457,23.1608972,113.34135,3,,POINT (113.34135 23.1608972)
5809450458,23.1609702,113.341446,3,,POINT (113.341446 23.1609702)
5809450461,23.1610632,113.3418002,3,,POINT (113.3418002 23.1610632)
5809450610,23.1573416,113.3480397,3,,POINT (113.3480397 23.1573416)
5809450620,23.1583582,113.3486783,1,,POINT (113.3486783 23.1583582)
5809450621,23.1583573,113.3477255,1,,POINT (113.3477255 23.1583573)
5809450623,23.1586552,113.3486776,4,,POINT (113.3486776 23.1586552)
5809450629,23.1586502,113.3477266,5,,POINT (113.3477266 23.1586502)
5809450630,23.1594122,113.3481937,3,,POINT (113.3481937 23.1594122)
5809450631,23.1586527,113.3481983,3,,POINT (113.3481983 23.1586527)
5809450632,23.1579601,113.3491351,3,,POINT (113.3491351 23.1579601)
5809450637,23.158297,113.3472142,3,,POINT (113.3472142 23.158297)
5809450638,23.158295,113.3474008,3,,POINT (113.3474008 23.158295)
5809450651,23.1579603,113.3489448,3,,POINT (113.3489448 23.1579603)
5809450701,23.1617375,113.348782,3,,POINT (113.348782 23.1617375)
5809450702,23.1617753,113.3486884,4,,POINT (113.3486884 23.1617753)
5809450706,23.1617488,113.3478185,3,,POINT (113.3478185 23.1617488)
5809450709,23.1617241,113.3474266,3,,POINT (113.3474266 23.1617241)
5809450714,23.1606787,113.3490139,4,,POINT (113.3490139 23.1606787)
5809450725,23.1572638,113.3516509,4,,POINT (113.3516509 23.1572638)
5809450726,23.1572635,113.3517432,3,,POINT (113.3517432 23.1572635)
5809450728,23.158878,113.3516739,5,,POINT (113.3516739 23.158878)
5809450729,23.1586657,113.3516259,3,crossing,POINT (113.3516259 23.1586657)
5809450744,23.1599906,113.3528651,3,,POINT (113.3528651 23.1599906)
