u,v,key,osmid,highway,oneway,reversed,length,geometry,name,bridge,lanes,tunnel,service,access
1988660573,5726340785,0,603105988,residential,False,False,22.453,"LINESTRING (113.3465751 23.1515308, 113.346521 23.1517265)",,,,,,
1988660573,5726340693,0,188244812,residential,False,True,64.002,"LINESTRING (113.3465751 23.1515308, 113.3469674 23.1515379, 113.3471599 23.1516596)",,,,,,
1988660573,5726340697,0,188262502,residential,False,False,138.682,"LINESTRING (113.3465751 23.1515308, 113.346702 23.150959, 113.3466651 23.1507648, 113.346598 23.1506439, 113.3465 23.1504979, 113.3464673 23.1503416)",,,,,,
1988787237,5726340903,0,188255490,residential,False,True,21.422,"LINESTRING (113.3365917 23.1507753, 113.3363822 23.1507781)",,,,,,
1988787237,10965007718,0,347829657,residential,False,True,99.311,"LINESTRING (113.3365917 23.1507753, 113.3367057 23.1507785, 113.3371999 23.1507955, 113.3375467 23.1508933)",,,,,,
1988787237,5595530635,0,"[188255496, 585541814]",residential,False,False,37.527,"LINESTRING (113.3365917 23.1507753, 113.3364734 23.1508361, 113.3363976 23.1509621, 113.3363921 23.1510308)",漓江路,,,,,
1988787243,5726340883,0,365995701,residential,False,False,26.08,"LINESTRING (113.3391869 23.151001, 113.3393288 23.1508061)",珠江南路,,,,,
1988787243,3646557355,0,331713868,residential,False,True,401.264,"LINESTRING (113.3391869 23.151001, 113.3394215 23.1512244, 113.3396075 23.1515577, 113.3398686 23.1521847, 113.3399986 23.1524274, 113.3403202 23.1528877, 113.3405172 23.153105, 113.3405316 23.1531209, 113.3407648 23.1533781, 113.3408242 23.1534436, 113.340918 23.1535471, 113.3410794 23.1537251, 113.3411796 23.1539059, 113.3411906 23.1540469)",珠江北路,,,,,
1988787243,11052140932,0,347829657,residential,False,False,110.458,"LINESTRING (113.3391869 23.151001, 113.3386749 23.1510261, 113.3381079 23.1510013)",,,,,,
1988787276,3646549702,0,188255491,residential,False,True,73.919,"LINESTRING (113.3411999 23.154167, 113.3411552 23.1548305)",半山西路,,,,,
1988787276,3646557355,0,331713868,residential,False,False,13.388000000000002,"LINESTRING (113.3411999 23.154167, 113.3411934 23.1540836, 113.3411906 23.1540469)",珠江北路,,,,,
1988787276,3646549737,0,331713871,unclassified,False,False,84.377,"LINESTRING (113.3411999 23.154167, 113.3419212 23.1541961, 113.3420244 23.1542004)",中山西路,,,,,
1988787279,1988787285,0,188255496,residential,False,False,24.674,"LINESTRING (113.3361894 23.1543138, 113.3360588 23.1545004)",漓江路,,,,,
1988787279,5726340972,0,603106041,living_street,False,False,17.946,"LINESTRING (113.3361894 23.1543138, 113.3363634 23.1542925)",金钟山路,,,,,
1988787279,5726340939,0,188255496,residential,False,True,106.125,"LINESTRING (113.3361894 23.1543138, 113.3361394 23.1541348, 113.3360238 23.1535695, 113.3361163 23.1533947)",漓江路,,,,,
1988787279,5726340960,0,585541816,residential,False,True,76.055,"LINESTRING (113.3361894 23.1543138, 113.336224 23.1541664, 113.3362361 23.1537964, 113.3362379 23.1536334)",,,,,,
1988787285,1988787279,0,188255496,residential,False,True,24.674,"LINESTRING (113.3360588 23.1545004, 113.3361894 23.1543138)",漓江路,,,,,
1988787285,5572506755,0,365982011,residential,False,True,95.989,"LINESTRING (113.3360588 23.1545004, 113.3368508 23.154964)",大明山路,,,,,
1988787285,1988787296,0,188255496,residential,False,False,60.42,"LINESTRING (113.3360588 23.1545004, 113.3359503 23.1545822, 113.335714 23.1546716, 113.3355278 23.1547253)",漓江路,,,,,
1988787296,5572506750,0,188255496,residential,False,False,49.688,"LINESTRING (113.3355278 23.1547253, 113.3353887 23.1548378, 113.3352219 23.1550679)",漓江路,,,,,
1988787296,1988787285,0,188255496,residential,False,True,60.42,"LINESTRING (113.3355278 23.1547253, 113.335714 23.1546716, 113.3359503 23.1545822, 113.3360588 23.1545004)",漓江路,,,,,
1988787296,5572506754,0,582746739,footway,False,False,130.456,"LINESTRING (113.3355278 23.1547253, 113.3364811 23.1552115, 113.336649 23.1552848)",西湖南路,,,,,
1988787310,3699771260,0,316797584,residential,False,False,32.775,"LINESTRING (113.3378831 23.1559403, 113.3380825 23.1557095)",,,,,,
1988787310,5572506756,0,582746739,footway,False,True,77.66,"LINESTRING (113.3378831 23.1559403, 113.3372331 23.1555789)",西湖南路,,,,,
1988787310,1988787330,0,"[188255500, 868668357, 868668358]",residential,False,False,70.697,"LINESTRING (113.3378831 23.1559403, 113.3378074 23.1560257, 113.3374708 23.1563889, 113.3374381 23.1564269)",,yes,,,,
1988787310,3646582827,0,1001438677,residential,False,False,169.599,"LINESTRING (113.3378831 23.1559403, 113.3381682 23.1561106, 113.3387514 23.1564586, 113.339018 23.156612, 113.3393083 23.1567097)",湖滨南路,,,,,
1988787330,5726340991,0,188255496,residential,False,True,162.611,"LINESTRING (113.3374381 23.1564269, 113.3372931 23.1563868, 113.336498 23.1561568, 113.3358965 23.1560922)",漓江路,,,,,
1988787330,5726340994,0,360055038,footway,False,False,53.716,"LINESTRING (113.3374381 23.1564269, 113.3374161 23.1564871, 113.3371975 23.1568554)",,,,,,
1988787330,1988787310,0,"[188255500, 868668357, 868668358]",residential,False,True,70.697,"LINESTRING (113.3374381 23.1564269, 113.3374708 23.1563889, 113.3378074 23.1560257, 113.3378831 23.1559403)",,yes,,,,
