element_type,osmid,amenity,diet:halal,name,name:zh,geometry,delivery,outdoor_seating,nodes,building,fast_food,cuisine,name:en
node,3699770993,restaurant,yes,清真饭堂,清真饭堂,POINT (113.3451393 23.1572866),,,,,,,
node,5495322853,restaurant,,北区二饭堂,北区二饭堂,POINT (113.3340364 23.169314),no,no,,,,,
way,315240591,restaurant,,西区饭堂（学生第六饭堂）,西区饭堂（学生第六饭堂）,"POLYGON ((113.3366642 23.1552267, 113.3367945 23.1550527, 113.3360768 23.1545905, 113.3359454 23.1547829, 113.3366642 23.1552267))",,,"[3213470132, 3213470133, 3213470134, 3213470131, 3213470132]",yes,cafeteria,,
way,354147366,restaurant,,北区一饭堂,北区一饭堂,"POLYGON ((113.3368437 23.1655817, 113.3367736 23.1652382, 113.3369744 23.165191, 113.3369371 23.1650879, 113.337264 23.1650106, 113.3373107 23.1651738, 113.3374414 23.1651394, 113.3375068 23.1653584, 113.3368437 23.1655817))",,,"[3599293460, 3599293461, 3599293462, 3599293463, 3599293464, 3599293465, 3599293466, 3599293467, 3599293460]",yes,,,
way,360056891,restaurant,,西湖厅,西湖厅,"POLYGON ((113.3380466 23.1559328, 113.3381334 23.1558226, 113.3382112 23.1558714, 113.338597 23.1561187, 113.3386749 23.156174, 113.3385651 23.1562977, 113.3380466 23.1559328))",,,"[3646598304, 3646598305, 3646598306, 3646598309, 3646598310, 3646598314, 3646598304]",yes,,,
way,360056892,restaurant,,中区饭堂（学生第五饭堂）,中区饭堂（学生第五饭堂）,"POLYGON ((113.3384315 23.1557942, 113.3386063 23.1559044, 113.338647 23.1558558, 113.3386714 23.1558764, 113.3387425 23.1557811, 113.338645 23.1557119, 113.3386246 23.1557362, 113.338462 23.1556185, 113.3384254 23.1556708, 113.3384925 23.1557213, 113.3384315 23.1557942))",,,"[3646598315, 3646598316, 3646598317, 3646598318, 3646598319, 3646598320, 3646598321, 3646598322, 3646598323, 3646598324, 3646598315]",yes,cafeteria,,
way,365981998,restaurant,,饮食中心,饮食中心,"POLYGON ((113.3451312 23.157516, 113.3449918 23.1574445, 113.3448389 23.157151, 113.3449488 23.157077, 113.3451554 23.157336, 113.3455175 23.1573532, 113.3455175 23.1574938, 113.3451795 23.1574889, 113.3451312 23.157516))",,,"[3699770985, 3699770986, 3699770987, 3699770988, 3699770989, 3699770990, 3699770991, 3699770992, 3699770985]",yes,,,
way,365982000,restaurant,,第一饭堂,第一饭堂,"POLYGON ((113.3457133 23.1573952, 113.3457079 23.157008, 113.3460244 23.1569858, 113.3460129 23.1573144, 113.345834 23.1573236, 113.3458423 23.1573979, 113.3457133 23.1573952))",,,"[3699770994, 3699770995, 3699770996, 8991691056, 3699770998, 4030153130, 3699770994]",yes,,chinese,
way,365995711,restaurant,,南区饭堂（学生第三饭堂）,南区饭堂（学生第三饭堂）,"POLYGON ((113.3382507 23.1524492, 113.3381914 23.1520965, 113.3385038 23.1521038, 113.3385868 23.1523692, 113.3382507 23.1524492))",,,"[3699894972, 3699894973, 3699894974, 3699894975, 3699894972]",yes,cafeteria,,
way,582746748,restaurant,,发电所餐厅,发电所餐厅,"POLYGON ((113.3371546 23.1578876, 113.337572 23.157896, 113.3375768 23.1576977, 113.3371593 23.1576893, 113.3371546 23.1578876))",,,"[5572506784, 5572506785, 5572506786, 5572506787, 5572506784]",yes,,chinese;burger;pizza;italian;coffee_shop;ice_cream,Power House
