element_type,osmid,geometry,nodes,building,name,architect,roof:colour,start_date,tourism,historic,layer,building:levels,amenity,healthcare,air_conditioning,cuisine,delivery,microbrewery,opening_hours,wheelchair,ways,type
way,189318592,"POLYGON ((118.7852731 32.0571509, 118.7852839 32.0573009, 118.7849799 32.0573165, 118.7849883 32.0574334, 118.7846925 32.0574486, 118.7846801 32.0572753, 118.7848509 32.0572665, 118.7848442 32.057173, 118.7849094 32.0571696, 118.7852731 32.0571509))","[1999599509, 1999599507, 1999599513, 1999599512, 1999599510, 1999599511, 1999599508, 1999599514, 2452364574, 1999599509]",yes,交通学院 综合楼,,,,,,,,,,,,,,,,,
way,236944775,"POLYGON ((118.7888823 32.0581251, 118.7888829 32.0581025, 118.7888787 32.0580061, 118.7889749 32.0579103, 118.7889749 32.0578819, 118.7888984 32.0578853, 118.7888984 32.0578137, 118.7889507 32.0578114, 118.7889507 32.0577978, 118.7891237 32.057791, 118.7891251 32.057808, 118.7891814 32.0578035, 118.7891827 32.0578705, 118.7891076 32.057874, 118.789109 32.0579035, 118.7892207 32.0579842, 118.7892289 32.058087, 118.7892297 32.0581138, 118.7891605 32.0582087, 118.7891396 32.0582222, 118.7889878 32.0582284, 118.788983 32.0582207, 118.7888823 32.0581251))","[2449048110, 2449048141, 2449048111, 2449048112, 2449048113, 2449048114, 2449048115, 2449048116, 2449048117, 2449048118, 2449048119, 2449048120, 2449048121, 2449048122, 2449048123, 2449048124, 2449048134, 2449048125, 2449713783, 2449048126, 2449048127, 2449713784, 2449048110]",university,东南大学大礼堂,英国公和洋行,绿,1931年4月,,,,,,,,,,,,,,
way,236944776,"POLYGON ((118.7892207 32.0579842, 118.7894785 32.0579694, 118.7894703 32.0578659, 118.7895854 32.0578593, 118.7896104 32.0581742, 118.7894974 32.0581807, 118.7894888 32.0580722, 118.7892289 32.058087, 118.7892207 32.0579842))","[2449048124, 2449048128, 2449048129, 2449048130, 2449048131, 2449048132, 2449048133, 2449048134, 2449048124]",yes,礼东,,,,,,,,,,,,,,,,,
way,236944777,"POLYGON ((118.7888787 32.0580061, 118.7886058 32.0580147, 118.7886021 32.0579299, 118.7884706 32.057934, 118.7884842 32.0582435, 118.7886068 32.0582396, 118.7886012 32.0581114, 118.7888829 32.0581025, 118.7888787 32.0580061))","[2449048111, 2449048135, 2449048136, 2449048137, 2449048138, 2449048139, 2449048140, 2449048141, 2449048111]",yes,礼西,,,,,,,,,,,,,,,,,
way,236945039,"POLYGON ((118.79045 32.0568432, 118.7901126 32.0568591, 118.7901333 32.0571777, 118.7904708 32.0571637, 118.79045 32.0568432))","[2449049961, 2449049962, 2449049963, 2449049964, 2449049961]",yes,逸夫建筑馆,,,,,,,,,,,,,,,,,
way,236945040,"POLYGON ((118.79045 32.0568432, 118.7904437 32.0567462, 118.7904821 32.0567444, 118.7904797 32.0567067, 118.7906268 32.0566998, 118.7906289 32.0567314, 118.7906686 32.0567295, 118.790697 32.0571635, 118.7904716 32.0571741, 118.7904708 32.0571637, 118.79045 32.0568432))","[2449049961, 2449049965, 2449049966, 2449049967, 2449049968, 2449049969, 2449049970, 2449049971, 2449049972, 2449049964, 2449049961]",yes,群贤楼,,,,,,,,,,,,,,,,,
way,236945093,"POLYGON ((118.7885942 32.0568542, 118.7887283 32.0568438, 118.7887532 32.0571282, 118.7886442 32.0571346, 118.7886577 32.0572449, 118.788203 32.0572778, 118.7881963 32.0571653, 118.7880716 32.0571733, 118.7880489 32.056896, 118.7880797 32.0568934, 118.7880766 32.0568451, 118.7881321 32.0568372, 118.7881367 32.0568908, 118.7881737 32.0568868, 118.7881816 32.0569448, 118.7883249 32.0569332, 118.7884279 32.0569248, 118.7886013 32.0569107, 118.7885942 32.0568542))","[2449050359, 2449050360, 2449050361, 2449050362, 2449050363, 2449050364, 2449050368, 2449050369, 2449050365, 2452326310, 2452326307, 2452326308, 2452326309, 2449052064, 2449050367, 2452326311, 2452326315, 2449050366, 2449050359]",yes,孟芳图书馆,,,,,,,,,,,,,,,,,
way,236945197,"POLYGON ((118.787927 32.0558979, 118.7879075 32.0556636, 118.7886414 32.0556174, 118.788662 32.0558515, 118.787927 32.0558979))","[2449051425, 2449051426, 2449051427, 2449051428, 2449051425]",yes,五四楼,,,,,,,,,,,,,,,,,
way,236945198,"POLYGON ((118.789734 32.0577154, 118.7897193 32.0574449, 118.7904897 32.057415, 118.7905044 32.0576855, 118.789734 32.0577154))","[2449051429, 2449051430, 2449051431, 2449051432, 2449051429]",yes,健雄院,,,,,,,,,,,,,,,,,
way,236945199,"POLYGON ((118.7881066 32.0576415, 118.7880905 32.0574369, 118.7881925 32.0574323, 118.7881978 32.0575596, 118.7882407 32.0575869, 118.7883641 32.0575869, 118.7883695 32.0576597, 118.7881335 32.0576733, 118.7881066 32.0576415))","[2449051433, 2449051434, 2449051435, 2449051436, 2449051437, 2449051438, 2449051439, 2449051440, 2449051433]",yes,吴健雄纪念馆,,,,museum,,,,,,,,,,,,,
way,236945297,"POLYGON ((118.7891093 32.0556271, 118.7899132 32.0555975, 118.7899241 32.055811, 118.7891202 32.0558406, 118.7891093 32.0556271))","[2449052065, 2449052070, 2449052071, 2449052074, 2449052065]",yes,中山院,,,,,,,,,,,,,,,,,
way,236945298,"POLYGON ((118.7886217 32.0554551, 118.7888608 32.0554401, 118.7890506 32.0554261, 118.7890514 32.0554838, 118.7886248 32.0555068, 118.7886217 32.0554551))","[2449052077, 9711162066, 2449052078, 2449052079, 2449052080, 2449052077]",yes,南门,,,,,city_gate,-1,,,,,,,,,,,
way,236946061,"POLYGON ((118.7900141 32.0558082, 118.790393 32.0557875, 118.7903668 32.0554426, 118.7899879 32.0554633, 118.7900141 32.0558082))","[2449059311, 2449059312, 2449059313, 2449059314, 2449059311]",yes,东南院,,,,,,,,,,,,,,,,,
way,236949940,"POLYGON ((118.7878868 32.057542, 118.787893 32.0579245, 118.7880479 32.0579227, 118.7880466 32.0578451, 118.7883196 32.0578419, 118.7883178 32.0577312, 118.788045 32.0577344, 118.7880419 32.0575402, 118.7878868 32.057542))","[2449095359, 2449095360, 2449095361, 2449095362, 2449095363, 2449095364, 2449095365, 2449095366, 2449095359]",yes,火电机组振动中心,,,,,,,,,,,,,,,,,
way,236949941,"POLYGON ((118.7869977 32.0568083, 118.7869494 32.0562033, 118.7870949 32.0561976, 118.7870798 32.055884, 118.7869416 32.0558878, 118.7869327 32.0557417, 118.7872737 32.055728, 118.787305 32.0561805, 118.7876789 32.0561583, 118.7876946 32.0563433, 118.7871456 32.0563703, 118.7871681 32.0567929, 118.7869977 32.0568083))","[2449095367, 2449095368, 2449095369, 2449095370, 9711688993, 9711688994, 2449095371, 2449095372, 2449095373, 2449095374, 2449095375, 2449095376, 2449095367]",yes,动力楼,,,,,,,,,,,,,,,,,
way,237174414,"POLYGON ((118.7893686 32.0570536, 118.789523 32.0570437, 118.7895277 32.0570763, 118.789706 32.0570652, 118.7897053 32.0570319, 118.7898582 32.057022, 118.7898464 32.0568899, 118.7893567 32.0569215, 118.7893686 32.0570536))","[2451219189, 2451219190, 2451219191, 2451219193, 2451219195, 2451219197, 2451219199, 2451219201, 2451219189]",yes,中大院,,,,,,,3,,,,,,,,,,
way,237174543,"POLYGON ((118.7868556 32.0574922, 118.7878105 32.057422, 118.7878268 32.0575811, 118.7868719 32.0576514, 118.7868556 32.0574922))","[2451220784, 2451220785, 2451220786, 2451220787, 2451220784]",yes,南高院,,,,,,,,,,,,,,,,,
way,237174909,"POLYGON ((118.7932269 32.0564527, 118.7931944 32.056333, 118.7939342 32.0561888, 118.7939667 32.0563085, 118.7932269 32.0564527))","[2451227366, 2451227367, 2451227368, 2451227369, 2451227366]",yes,老六舍,,,,,,,,,,,,,,,,,
